股票代码,股票名称,平均增长率（%）,复合增长率（%）,增长频次
000150,宜华健康,-273.20,-8.75,20
000151,中成股份,0.97,18.86,19
000153,丰原药业,-164.94,8.51,20
000155,ST川化,5.38,6.84,8
000156,华数传媒,-6.03,-15.46,17
000157,中联重科,-413.98,-0.75,20
000158,常山股份,-98.41,-0.93,10
000159,国际实业,16.97,-0.44,17
000166,申万宏源,nan,nan,0
000301,东方市场,11.48,1.51,21
000333,美的集团,5.85,2.83,6
000338,潍柴动力,5.25,0.45,14
000400,许继电气,84.64,5.10,25
000401,冀东水泥,57.25,4.92,10
000402,金融街i,-212.73,0.68,24
000403,ST生化,-18.98,-0.92,18
000404,华意压缩,23.44,42.82,20
000405,ST鑫光,-51.25,-1.29,1
000407,胜利股份,-113.98,-2.88,12
000408,ST金源,-31.77,869.92,10
000409,山东地矿,469.47,-12.26,8
000410,沈阳机床,-46.65,-17.87,13
000411,英特集团,9.66,31.89,22
000413,东旭光电,-1.37,1799.01,17
000415,渤海金控,-61.04,-123.95,20
000416,民生控股,-1.90,0.68,17
000417,合肥百货,3.83,3.74,19
000418,小天鹅A,18.95,30.73,21
000419,通程控股,5.83,2.18,22
000420,吉林化纤,-31.03,0.24,5
000421,南京公用,-1.32,-0.77,4
000422,湖北宜化,-43.01,-0.17,17
000423,东阿阿胶,6.18,8.61,23
000425,徐工机械,486.41,24.75,16
000426,兴业矿业,-81.66,-4.68,8
000428,华天酒店,47.10,-2.79,19
000429,粤高速A,-31.10,1.98,15
000430,张家界i,-96.92,-5.79,14
000488,晨鸣纸业,13.53,3.47,26
000498,山东路桥,-inf,-3.67,12
000501,鄂武商A,4.67,2.98,17
000502,绿景控股,15.64,1.36,9
000503,海虹控股,-53.63,-9.04,11
000504,ST生物,2064.41,1.40,3
000505,ST珠江,-32.23,22.33,2
000506,中润资源,-240.74,-8.63,14
000507,珠海港i,-43.30,-1.81,7
000509,华塑控股,-57.41,1.98,3
000510,金路集团,122.32,0.20,8
000511,ST烯碳,-94.99,-0.79,13
000513,丽珠集团,1.91,3.60,21
000514,渝开发i,-33.46,-0.65,13
000515,攀渝钛业,-292.12,64.71,2
000516,国际医学,3.42,2.88,19
000517,荣安地产,-815.63,1.27,14
000518,四环生物,84.20,-0.42,18
000519,中兵红箭,-36.34,78.92,12
000520,长航凤凰,22.12,0.80,12
000521,美菱电器,-70.00,-2.97,19
000522,白云山A,16.22,3.23,8
000523,广州浪奇,11.94,1.73,23
000524,岭南控股,2.87,-0.79,16
000525,红太阳i,19.02,1.04,17
000526,紫光学大,-247.23,4.40,8
000527,美的电器,10.95,5.03,11
000528,柳工in,64.34,0.22,15
000529,广弘控股,-1.65,-2.68,19
000530,大冷股份,-73.85,-0.06,16
000531,穗恒运A,-20.52,1.50,19
000532,力合股份,13.34,-2.78,17
000533,万家乐i,83.72,7.41,21
000534,万泽股份,-23.79,-0.29,16
000536,华映科技,-123.67,5.80,13
000537,广宇发展,1.19,-18.17,17
000538,云南白药,4.44,11.20,26
000539,粤电力A,60.24,2.58,17
000540,中天城投,28.54,118.37,21
000541,佛山照明,4.21,2.60,18
000543,皖能电力,270.55,5.03,14
000544,中原环保,805.54,2.41,14
000545,金浦钛业,90.59,3.83,12
000546,金圆股份,22.46,-41.90,12
000547,航天发展,6.35,4.55,22
000548,湖南投资,97.88,0.11,18
000550,江铃汽车,2.50,2.18,15
000551,创元科技,4.66,2.23,23
000552,靖远煤电,11.46,3.54,13
000553,沙隆达A,12.68,0.96,20
000554,泰山石油,19.72,0.11,21
000555,神州信息,-56.52,-53.05,8
000556,PT南洋,-124.92,-22.75,5
000557,西部创业,17.57,7.99,5
000558,莱茵体育,-15.56,-3.54,18
000559,万向钱潮,2.31,2.33,18
000560,昆百大A,28.52,2.41,16
000561,烽火电子,-31.56,-1.41,15
000562,宏源证券,nan,nan,0
000563,陕国投A,nan,nan,0
000564,供销大集,6.64,1.55,15
000565,渝三峡A,2.12,4.23,18
000566,海南海药,-6.10,6.15,17
000567,海德股份,-435.25,-0.64,11
000568,泸州老窖,7.81,3.04,16
000569,长城股份,156.61,33.01,4
000570,苏常柴A,-18.66,2.30,17
000571,新大洲A,-18.62,-0.52,21
000572,海马汽车,22.66,1.50,11
000573,粤宏远A,-26.07,-0.64,16
000576,广东甘化,9.85,4.97,3
000578,盐湖集团,-193.67,-43.81,6
000581,威孚高科,0.03,3.33,20
000582,北部湾港,32.44,-27.61,17
000583,SST托,0.45,1.94,0
000584,友利控股,24.86,-0.72,11
000585,东北电气,436.38,1.96,10
000586,汇源通信,4230.03,0.05,11
000587,金洲慈航,-82.23,-32.01,15
000588,PT粤金,-89.31,-0.43,1
000589,黔轮胎A,5.67,-1.48,19
000590,启迪古汉,-82.07,-4.24,19
000591,太阳能i,-59.17,28.92,22
000592,平潭发展,605.36,-3.36,17
000593,大通燃气,418.54,17.04,18
000594,国恒退i,0.66,-16.57,7
000595,宝塔实业,-23.98,-15.28,6
000596,古井贡酒,16.64,38.91,19
000597,东北制药,-7.51,0.91,10
000598,兴蓉环境,-150.47,22.50,21
000599,青岛双星,6.04,1.67,18
000600,建投能源,58.59,4.09,19
000601,韶能股份,-63.74,9.02,15
000602,金马集团,-51.04,19.83,7
000603,盛达矿业,-30.58,94.24,16
000605,渤海股份,43.21,-3.80,17
000606,ST易桥,-22.99,1.67,7
000607,华媒控股,-18.53,-11.93,14
000608,阳光股份,-32.56,-2.82,15
000609,绵石投资,-8.85,-0.57,7
000610,西安旅游,-13.45,-3.11,10
000611,ST天首,-46.73,-0.17,17
000612,焦作万方,-145.67,0.09,14
000613,大东海A,-263.33,2.66,8
000615,京汉股份,9.48,15.04,9
000616,海航投资,4.62,-0.26,17
000617,中油资本,20.15,-3.71,6
000619,海螺型材,14.89,0.86,19
000620,新华联i,-1837.67,73.78,7
000621,ST比特,6.03,1.79,0
000622,ST恒立,-9.37,1.61,1
000623,吉林敖东,6.84,10.48,18
000625,长安汽车,92.02,0.05,8
000626,远大控股,-76.49,-18.10,13
000628,高新发展,-29.64,-0.45,9
000629,ST钒钛,-92.16,-2.79,14
000630,铜陵有色,33.77,0.54,22
000631,顺发恒业,-1081.35,-3.38,13
000632,三木集团,-278.35,0.56,15
000633,ST合金,40.41,1.31,3
000635,英力特i,-45.46,0.49,19
000636,风华高科,79.80,1.36,18
000637,茂化实华,12.00,1.82,14
000638,万方发展,35.52,-13.48,11
000639,西王食品,-190.54,23.01,17
000650,仁和药业,4.92,9.63,26
000651,格力电器,7.27,15.71,28
000652,泰达股份,-10.10,0.12,11
000655,金岭矿业,-4.31,-0.64,21
000656,金科股份,6480.05,-580.46,13
000657,中钨高新,-756.10,-4.99,8
000658,ST海洋,0.25,0.93,0
000659,珠海中富,-24.74,-0.45,17
000660,ST南华,-255.13,-0.04,3
000661,长春高新,-6.23,32.70,24
000662,天夏智慧,-60.02,3.25,7
000663,永安林业,-5.76,3.66,4
000665,湖北广电,-35.28,16.63,20
000666,经纬纺机,172.28,-9.64,4
000667,美好置业,53.91,2.92,21
000668,荣丰控股,-14.17,-1.00,18
000669,金鸿能源,-192.06,44.41,11
000670,ST盈方,21.37,-0.51,14
000671,阳光城i,35.44,-90.29,23
000672,上峰水泥,-32.30,-7.38,8
000673,当代东方,202.66,-8.98,6
000675,ST银山,6.27,0.75,0
000676,智度股份,164.35,18.38,7
000677,恒天海龙,-50.84,0.12,11
000678,襄阳轴承,-11.60,-0.88,11
000679,大连友谊,-3.77,-2.74,18
000680,山推股份,-144.48,-0.79,13
000681,视觉中国,-42.62,-6.99,10
000682,东方电子,7.64,18.26,20
000683,远兴能源,-288.55,4.64,14
000685,中山公用,-73.89,6.23,24
000686,东北证券,nan,nan,0
000687,华讯方舟,-44.66,2.50,6
000688,建新矿业,5.71,-5.01,10
000689,ST宏业,0.99,2.18,0
000690,宝新能源,21.42,1.66,17
000691,ST亚太,-142.93,-0.06,9
000692,惠天热电,151.42,1.18,17
000693,ST华泽,-1576.27,1.26,6
000695,滨海能源,7.12,-2.32,9
000697,炼石有色,30.73,7.37,12
000698,沈阳化工,-26.84,-0.15,12
000699,SST佳,0.52,110.72,0
000700,模塑科技,11.08,3.90,17
000701,厦门信达,-9.66,4.65,16
000702,正虹科技,186.11,-1.80,16
000703,恒逸石化,-38974.21,17.93,13
000705,浙江震元,5.81,5.88,22
000707,双环科技,-248.93,-4.51,14
000708,大冶特钢,24.79,1.27,18
000709,河钢股份,-84.50,0.50,19
000710,ST天仪,-31.15,9.20,8
000711,京蓝科技,-117.82,-10.90,12
000713,丰乐种业,-127.52,-2.58,19
000715,中兴商业,9.28,0.90,17
000716,黑芝麻i,-20.74,50.67,19
000717,ST韶钢,136.00,-0.41,13
000718,苏宁环球,56.01,38.25,21
000719,大地传媒,nan,-12.32,13
000720,新能泰山,66.38,0.16,11
000721,西安饮食,-133.78,-1.33,16
000722,湖南发展,-8.21,-2.83,11
000723,美锦能源,120.23,15.45,16
000725,京东方A,-25.32,0.87,10
000726,鲁泰Ai,2.22,2.44,26
000727,华东科技,-11.11,-96.98,5
000728,国元证券,nan,nan,0
000729,燕京啤酒,67.04,10.08,18
000730,ST环保,inf,inf,1
000731,四川美丰,2.44,-0.39,15
000732,泰禾集团,-12.71,-61.65,18
000733,振华科技,7.70,3.49,19
000735,罗牛山i,9.46,-6.79,9
000736,中房地产,-55.16,-173.56,9
000737,南风化工,-494.99,-0.64,9
000738,中航动控,17.70,17.78,18
000739,普洛药业,-2.55,7.49,21
000748,长城信息,560.29,5.54,23
000750,国海证券,nan,nan,0
000751,锌业股份,10.14,0.78,14
000752,西藏发展,1.04,1.28,19
000753,漳州发展,96.06,1.06,11
000755,山西三维,190.53,-1.48,13
000756,新华制药,10.08,3.69,20
000757,浩物股份,40.54,-0.58,11
000758,中色股份,-739.92,1.06,21
000759,中百集团,-8.29,-1.44,17
000760,斯太尔i,-46.07,-20.24,13
000761,本钢板材,1338.35,0.77,11
000762,西藏矿业,-50.23,-5.84,18
000765,ST华信,31.17,0.11,0
000766,通化金马,-100.15,20.29,12
000767,漳泽电力,-57.28,-0.09,11
000768,中航飞机,69.32,5.96,23
000776,广发证券,nan,nan,0
000777,中核科技,9.96,0.50,23
000778,新兴铸管,-1.03,0.37,14
000779,三毛派神,-141.43,658.64,5
000780,平庄能源,35.09,1.90,15
000782,美达股份,-21.43,-1.41,17
000783,长江证券,nan,nan,0
000785,武汉中商,53.50,0.91,12
000786,北新建材,26.85,24.83,28
000787,ST创智,-2674.44,-22.86,2
000788,北大医药,206.24,6.17,14
000789,万年青i,-41.06,143.45,24
000790,泰合健康,-48.27,-2.82,19
000791,甘肃电投,-9.83,2.18,9
000792,盐湖股份,16.15,0.51,17
000793,华闻传媒,52.07,15.25,24
000795,英洛华i,-9.70,9.20,13
000796,凯撒旅游,71.09,9.52,21
000797,中国武夷,-0.97,-0.57,19
000798,中水渔业,-147.49,0.97,5
000799,酒鬼酒i,-103.17,-15.58,19
000800,一汽轿车,-28.61,-6.36,13
000801,四川九洲,-85.76,-22.38,21
000802,北京文化,-112.33,-15.21,13
000803,金宇车城,-58.28,-98.96,11
000805,ST炎黄,-51.57,-0.71,2
000806,银河生物,61.89,-0.29,4
000807,云铝股份,-147.98,0.70,10
000809,铁岭新城,-410.35,23.49,15
000810,创维数字,-51.46,9.23,18
000811,烟台冰轮,-34.41,66.78,22
000812,陕西金叶,6.06,7.70,23
000813,德展健康,-3051.44,64.07,11
000815,美利云i,7.33,-1.75,7
000816,智慧农业,33.91,-0.25,16
000818,方大化工,-0.93,4.82,9
000819,岳阳兴长,6.17,0.64,20
000820,神雾节能,73.88,6.95,10
000821,京山轻机,-17.92,3.07,14
000822,山东海化,-5.73,0.22,17
000823,超声电子,4.66,1.70,23
000825,太钢不锈,-21.76,0.32,17
000826,启迪桑德,8.65,16.83,28
000828,东莞控股,1.55,3.14,25
000829,天音控股,-445.54,-0.01,14
000830,鲁西化工,18.31,0.93,22
000831,ST五稀,34.17,0.58,9
000832,ST龙涤,3.12,0.53,0
000833,贵糖股份,63.13,0.13,11
000835,长城动漫,-259.76,0.59,17
000836,鑫茂科技,-63.20,-5.48,10
000837,秦川机床,18.64,-3.51,9
000838,财信发展,214.37,278.25,12
000839,中信国安,50.84,0.07,11
000848,承德露露,16.84,3.14,12
000850,华茂股份,-130.40,-2.91,10
000851,高鸿股份,-78.25,-7.66,20
000852,石化机械,46.20,-3.18,17
000856,ST冀装,-30.40,0.75,6
000858,五粮液i,8.64,2.33,12
000859,国风塑业,-219.34,-2.76,9
000860,顺鑫农业,10.73,2.83,12
000861,海印股份,9.53,5.17,23
000862,银星能源,-704.74,-3.10,13
000863,三湘印象,-80.95,-13.89,5
000868,安凯客车,-52.80,884.92,13
000869,张裕Ai,5.56,1.42,19
000875,吉电股份,20.83,0.85,15
000876,新希望i,-204.02,35.85,12
000877,天山股份,-107.82,0.79,14
000878,云南铜业,1577.32,-0.02,14
000880,潍柴重机,-51.66,-0.12,15
000881,中广核技,-24.20,-2.32,17
000882,华联股份,-140.08,-12.66,9
000883,湖北能源,30.27,61.70,21
000885,同力水泥,-789.23,0.84,19
000886,海南高速,76.08,5.60,16
000887,中鼎股份,6.11,13.60,24
000888,峨眉山A,31.37,-7.10,23
000889,茂业通信,-10.09,31.90,16
000890,法尔胜i,-121.82,2.26,12
000892,欢瑞世纪,147.92,0.02,6
000893,东凌国际,220.67,1.38,13
000895,双汇发展,15.52,9.40,27
000897,津滨发展,25.45,1.52,11
000898,鞍钢股份,164.82,0.20,13
000899,赣能股份,105.32,-542.65,12
000900,现代投资,1.66,1.52,24
000901,航天科技,130.06,-0.70,17
000902,新洋丰i,-85.38,-56.00,11
000903,云内动力,45.44,0.63,17
000905,厦门港务,2.64,2.16,21
000906,浙商中拓,-40.80,-5.41,16
000908,景峰医药,26.16,53.97,8
000909,数源科技,-87.54,-1.38,13
000910,大亚圣象,5.06,2.36,25
000911,南宁糖业,2.96,-2.15,10
000912,泸天化i,-66.88,-0.70,9
000913,ST钱江,120.40,0.05,14
000915,山大华特,6.54,10.61,24
000916,华北高速,2.95,1.67,16
000917,电广传媒,73.61,0.15,16
000918,嘉凯城i,40.77,-24.76,13
000919,金陵药业,11.24,9.07,18
000920,南方汇通,10.38,7.18,19
000921,海信科龙,212.52,-4.67,16
000922,佳电股份,-20.01,2.85,6
000923,河北宣工,-144.44,3.93,14
000925,众合科技,24.21,-3.20,13
000926,福星股份,-74.69,7.87,21
000927,一汽夏利,5.08,6.51,0
000928,中钢国际,-17.81,159.37,13
000929,兰州黄河,12.16,0.83,20
000930,中粮生化,139.05,0.04,1
000931,中关村i,-180.46,-0.08,11
000932,华菱钢铁,18669.94,-0.96,5
000933,ST神火,-21.88,0.15,14
000935,四川双马,-26.79,-1.38,17
000936,华西股份,18.43,0.29,18
000937,冀中能源,19.84,0.27,15
000938,紫光股份,26.79,29.82,22
000939,凯迪生态,91.97,0.20,16
000948,南天信息,64.43,1.10,12
000949,新乡化纤,198.69,0.64,21
000950,ST建峰,19.21,-4.26,14
000951,中国重汽,10.86,0.63,16
000952,广济药业,-1471.38,2.89,14
000953,ST河化,-710.62,-10.87,8
000955,欣龙控股,-478.92,-410.38,1
000957,中通客车,-158.48,53.14,21
000958,东方能源,2572.13,16.20,5
000959,首钢股份,401.49,0.64,9
000960,锡业股份,-863.39,0.40,18
000961,中南建设,225.15,37.20,20
000962,ST东钽,28.26,-6.84,17
000963,华东医药,4.14,7.76,18
000965,天保基建,5.03,-6.10,18
000966,长源电力,24.79,13.03,16
000967,盈峰环境,-23.58,7.08,17
000968,ST煤气,2.68,-6.12,13
000969,安泰科技,0.61,1.04,24
000970,中科三环,8.08,4.36,20
000971,高升控股,16.57,-2.91,3
000972,中基健康,13.81,-2.94,5
000973,佛塑科技,-158.94,-6.67,19
000975,银泰资源,-34.29,29.73,15
000976,春晖股份,580.12,-5.98,8
000977,浪潮信息,-11660.70,-27.06,13
000978,桂林旅游,-91.33,0.33,16
000979,中弘股份,-3.65,-1.77,9
000980,金马股份,10.89,3.61,20
000981,银亿股份,1260.06,-42.47,16
000982,中银绒业,-63.17,11.38,18
000983,西山煤电,8.72,0.25,16
000985,大庆华科,149.54,-2.91,20
000987,越秀金控,-3.32,-2.49,17
000988,华工科技,-99.96,4.13,16
000989,九芝堂i,10.81,16.52,20
000990,诚志股份,1929.66,19.34,22
000993,闽东电力,-2.46,45.06,17
000995,ST皇台,-177.53,-13.88,8
000996,中国中期,-50.34,-1.23,4
000997,新大陆i,11.97,16.41,19
000998,隆平高科,77.90,14.08,16
000999,华润三九,4.93,8.85,21
001696,宗申动力,2.43,1.80,17
001896,豫能控股,-174.12,1097.13,13
001979,招商蛇口,19.30,6.19,3
002001,新和成i,38.55,-138.16,23
002002,鸿达兴业,1363.02,298.53,13
002003,伟星股份,-11.83,10.76,24
002004,华邦健康,12.74,19.40,23
002005,德豪润达,-1230.79,1.92,8
002006,精功科技,-2.92,13.82,16
002007,华兰生物,8.45,13.02,20
002008,大族激光,43.43,13.94,20
002009,天奇股份,2.11,1.96,15
002010,传化智联,-12.10,-0.26,20
002011,盾安环境,106.70,5.99,17
002012,凯恩股份,-37.84,-0.11,19
002013,中航机电,88.24,47.02,20
002014,永新股份,1.63,3.36,25
002015,霞客环保,-27.22,-0.88,14
002016,世荣兆业,109.33,-12.46,17
002017,东信和平,-9.87,1.85,17
002018,华信国际,25.42,29.16,18
002019,亿帆医药,0.92,9.40,18
002020,京新药业,12.07,92.90,15
002021,中捷资源,-28.95,-0.61,5
002022,科华生物,2.14,3.41,22
002023,海特高新,13.23,1.60,21
002024,苏宁云商,-21.32,-2.12,16
002025,航天电器,2.51,3.73,21
002026,山东威达,8.80,5.95,26
002027,分众传媒,-7196.57,117.83,11
002028,思源电气,16.87,4.58,26
002029,七匹狼i,7.33,3.11,23
002030,达安基因,-20.30,5.73,19
002031,巨轮智能,10.02,0.22,23
002032,苏泊尔i,3.61,5.21,23
002033,丽江旅游,8.21,6.59,21
002034,美欣达i,249.02,3.93,16
002035,华帝股份,-39.67,95.47,24
002036,联创电子,-111.61,8.74,18
002037,久联发展,-1.51,2.95,26
002038,双鹭药业,4.13,8.55,25
002039,黔源电力,-75.65,-6.24,11
002040,南京港i,35.20,0.98,15
002041,登海种业,39.91,2.34,17
002042,华孚色纺,-185.71,-17.52,13
002043,兔宝宝i,59.74,12.19,20
002044,美年健康,-86.99,7.86,19
002045,国光电器,26.48,0.81,22
002046,轴研科技,-31.38,-1.76,16
002047,宝鹰股份,-260.03,24.12,18
002048,宁波华翔,7.98,9.63,24
002049,紫光国芯,21.36,13.11,20
002050,三花智控,8.91,14.75,20
002051,中工国际,10.47,3.18,23
002052,同洲电子,-18.43,-4.30,11
002053,云南能投,-528.10,2.29,14
002054,德美化工,1.26,2.34,21
002055,得润电子,12.22,1.64,24
002056,横店东磁,14.87,2.51,23
002057,中钢天源,48.26,1.90,19
002058,威尔泰i,-67.37,-9.24,18
002059,云南旅游,-71.11,-38.46,25
002060,粤水电i,4.37,1.24,18
002061,ST江化,4.82,13.99,13
002062,宏润建设,4.43,2.11,20
002063,远光软件,46.28,7.47,18
002064,华峰氨纶,-28.10,0.28,15
002065,东华软件,8.70,13.20,27
002066,瑞泰科技,-5.72,0.48,22
002067,景兴纸业,28.77,-1.11,11
002068,黑猫股份,0.02,1.22,23
002069,ST獐岛,-18.70,-0.16,15
002070,众和股份,105.31,-4.18,17
002071,长城影视,-114.47,17.98,15
002072,凯瑞德i,69.95,-1.69,4
002073,软控股份,-39.66,-2.93,22
002074,国轩高科,48.67,38.67,17
002075,沙钢股份,-415.64,7.32,14
002076,雪莱特i,2.59,1.19,20
002077,大港股份,51.48,0.77,20
002078,太阳纸业,4.31,5.06,23
002079,苏州固锝,23.14,5.57,20
002080,中材科技,-46.29,31.24,22
002081,金螳螂i,7.18,19.89,28
002082,栋梁新材,4.10,2.07,19
002083,孚日股份,13.93,2.06,17
002084,海鸥卫浴,-77.76,0.68,24
002085,万丰奥威,11.05,25.30,24
002086,东方海洋,158.32,5.95,23
002087,新野纺织,19.32,3.26,21
002088,鲁阳节能,8.10,0.84,27
002089,新海宜i,-49.29,14.95,26
002090,金智科技,9.16,6.46,17
002091,江苏国泰,4.73,5.49,22
002092,中泰化学,43.24,8.30,20
002093,国脉科技,33.71,1.05,14
002094,青岛金王,23.84,10.18,21
002095,生意宝i,1.50,0.83,18
002096,南岭民爆,29.35,3.41,24
002097,山河智能,-109.51,0.32,17
002098,浔兴股份,458.66,2.57,14
002099,海翔药业,47.56,11.25,16
002100,天康生物,5.65,9.95,23
002101,广东鸿图,13.51,7.72,23
002102,冠福股份,-642.07,2.27,13
002103,广博股份,-472.01,1.80,19
002104,恒宝股份,3.61,2.77,26
002105,信隆健康,-7.87,0.27,17
002106,莱宝高科,-126.40,1.18,22
002107,沃华医药,4.90,1.87,21
002108,沧州明珠,21.82,93.19,27
002109,ST兴化,-0.47,0.22,14
002110,三钢闽光,-277.21,1.72,16
002111,威海广泰,2.93,5.97,24
002112,三变科技,-105.26,-1.17,14
002113,天润数娱,-363.56,2.21,14
002114,罗平锌电,-3276.00,1.34,15
002115,三维通信,-4104.54,-1.38,16
002116,中国海诚,2.83,5.63,23
002117,东港股份,3.78,4.27,17
002118,紫鑫药业,-1.06,5.25,20
002119,康强电子,30.11,2.38,19
002120,韵达股份,15.80,4.35,22
002121,科陆电子,83.24,0.21,22
002122,天马股份,-56.13,-0.08,16
002123,梦网荣信,-5.59,4.36,21
002124,天邦股份,-11.41,-17.38,12
002125,湘潭电化,-21.10,2.71,16
002126,银轮股份,5.84,6.78,21
002127,南极电商,-288.06,8.10,17
002128,露天煤业,11.78,0.79,17
002129,中环股份,-35.50,3.47,16
002130,沃尔核材,11.25,2.36,24
002131,利欧股份,8.70,11.23,16
002132,恒星科技,inf,inf,20
002133,广宇集团,-490.79,-23.23,17
002134,天津普林,7.70,-1.24,4
002135,东南网架,-1399.26,1.69,19
002136,安纳达i,-107.11,1.67,12
002137,麦达数字,20.31,4.01,18
002138,顺络电子,4.17,9.95,26
002139,拓邦股份,-221.35,-2026.30,23
002140,东华科技,75.56,12.00,20
002141,贤丰控股,-77.93,-0.31,16
002142,宁波银行,nan,nan,0
002143,印纪传媒,-75.70,56.48,11
002144,宏达高科,6.28,4.27,23
002145,中核钛白,25.35,-2.56,8
002146,荣盛发展,21.07,96.90,28
002147,新光圆成,9.40,18.08,14
002148,北纬通信,-23.67,2.82,19
002149,西部材料,-58.43,1.74,18
002150,通润装备,1.83,2.21,23
002151,北斗星通,-56.51,3.57,20
002152,广电运通,3.13,3.77,19
002153,石基信息,24.55,44.41,21
002154,报喜鸟i,2.55,-0.96,22
002155,湖南黄金,-31.11,6.80,23
002156,通富微电,-44.88,5.88,25
002157,正邦科技,11.68,53.21,19
002158,汉钟精机,12.87,5.50,24
002159,三特索道,-159.11,-3.80,17
002160,常铝股份,-291.18,1.31,15
002161,远望谷i,-14.98,1.67,20
002162,悦心健康,477.18,-0.83,8
002163,中航三鑫,-76.91,-4.08,12
002164,宁波东力,61.54,0.27,14
002165,红宝丽i,2.92,2.25,21
002166,莱茵生物,-33.03,3.09,12
002167,东方锆业,-94.53,-0.04,13
002168,深圳惠程,38.70,-4.67,21
002169,智光电气,37.38,9.69,21
002170,芭田股份,57.36,3.23,15
002171,楚江新材,-83.83,5.40,14
002172,澳洋科技,-996.51,1.27,14
002173,ST创疗,-8.84,3.81,11
002174,游族网络,-37.13,23.51,18
002175,东方网络,3.49,2.80,14
002176,江特电机,-418.84,17.11,23
002177,御银股份,8.84,0.40,16
002178,延华智能,22.18,2.19,18
002179,中航光电,6.11,8.77,24
002180,艾派克i,-15.22,32.90,21
002181,粤传媒i,52.67,-6.22,23
002182,云海金属,-187.50,2.74,19
002183,怡亚通i,-0.55,10.45,25
002184,海得控制,-45.94,0.48,22
002185,华天科技,-4.44,6.25,23
002186,全聚德i,1.38,1.79,24
002187,广百股份,3.29,0.58,15
002188,巴士在线,24.67,2.61,13
002189,利达光电,-65.07,1.04,19
002190,成飞集成,728.85,36.44,23
002191,劲嘉股份,3.07,2.60,16
002192,融捷股份,-138.76,-0.08,15
002193,山东如意,-11.48,1.02,18
002194,武汉凡谷,29.65,0.11,21
002195,二三四五,10.89,21.98,22
002196,方正电机,57.91,1.01,15
002197,证通电子,33.36,2.44,24
002198,嘉应制药,24.46,2.40,17
002199,ST东晶,1.97,-6.48,11
002200,云投生态,-202.99,1.36,14
002201,九鼎新材,-98.97,-0.29,14
002202,金风科技,-772.34,9.81,19
002203,海亮股份,7.15,3.76,18
002204,大连重工,85.61,-2.37,22
002205,国统股份,20.99,1.60,21
002206,海利得i,3.53,4.17,20
002207,准油股份,-47.47,4.73,18
002208,合肥城建,-1.75,1.02,17
002209,达意隆i,-5.19,-1.27,20
002210,飞马国际,20.40,5.12,18
002211,宏达新材,12.61,-0.22,12
002212,南洋股份,-33.18,0.70,21
002213,特尔佳i,13.58,1.39,21
