报表日期,2013-12-31,2014-12-31,2015-12-31,2016-12-31,2017-12-31,2018-12-31,2019-03-31,2019-06-30,2019-09-30
其他应付款,1129.86,1633.27,510.39,1018.18,672.83,711.22,98.3,433.28,448.14
预提费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内的递延收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付短期债券,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内到期的非流动负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他流动负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
流动负债合计,6744.58,10452.69,9970.32,11790.61,11779.25,11402.83,7326.49,8224.58,7854.67
长期借款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付债券,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
租赁负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期应付职工薪酬,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期应付款(合计),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期应付款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
专项应付款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预计非流动负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
递延所得税负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期递延收益,4153.0,1779.55,1140.55,543.0,230.0,128.0,97.05,93.0,93.0
其他非流动负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
非流动负债合计,4153.0,1779.55,1140.55,543.0,230.0,128.0,97.05,93.0,93.0
负债合计,10897.58,12232.24,11110.87,12333.61,12009.25,11530.83,7423.54,8317.58,7947.67
实收资本(或股本),6000.0,6000.0,6678.0,6678.0,6678.0,6678.0,7155.0,7155.0,7155.0
资本公积,5712.46,5712.46,7068.46,7068.46,7068.46,7068.46,11591.47,11591.47,11591.47
减：库存股,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他综合收益,1.37,-8.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0
专项储备,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
盈余公积,232.23,262.54,723.02,1095.4,1508.45,1983.39,1983.39,1983.39,1983.39
一般风险准备,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
未分配利润,-3879.47,-471.44,3137.15,7258.51,11080.64,12069.85,10367.2,9851.84,11879.61
归属于母公司股东权益合计,8066.59,11494.99,17606.64,22100.37,26335.55,27799.69,31097.06,30581.69,32609.47
少数股东权益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
所有者权益(或股东权益)合计,8066.59,11494.99,17606.64,22100.37,26335.55,27799.69,31097.06,30581.69,32609.47
负债和所有者权益(或股东权益)总计,18964.17,23727.23,28717.51,34433.99,38344.8,39330.53,38520.6,38899.27,40557.14
