报表日期,2009-12-31,2010-12-31,2011-12-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31
其他应收款,142.57,264.45,446.03,500.12,208.92,229.02,413.55,169.59,244.14,639.92,828.99,565.0,551.47,1001.75,1370.57,1022.54,1343.45,3988.02,3359.54,5533.21,6950.99,6463.88,2215.47,4294.38,6385.04,5542.8,5165.79,5578.84,8796.19,5117.84,0.0,5432.29,0.0,4622.73,0.0
买入返售金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
存货,0.0,4.36,9.53,9.44,24.24,26.87,13.99,11.84,11.3,35.53,22.34,42.37,24.0,29.55,66.81,27.18,48.84,43.73,81.0,33.89,32.42,5.99,6.6,7.18,6.18,1.4,1.76,109.93,34.34,51.89,58.09,62.62,68.93,120.56,241.25
划分为持有待售的资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内到期的非流动资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
待摊费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
待处理流动资产损益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他流动资产,0.0,1400.0,0.0,0.0,0.0,0.0,0.0,2500.0,1500.0,7800.0,7200.0,0.0,28000.0,2237.39,5177.17,0.0,0.0,1751.79,25657.13,10525.14,1031.86,18450.18,8903.37,9498.17,10820.58,8491.11,1921.14,2608.75,2666.37,1530.37,2997.11,12713.58,2108.11,8073.3,7876.41
流动资产合计,3758.96,8991.94,14358.17,16313.43,64524.35,66009.7,67341.04,63864.43,65645.81,68188.9,75254.04,69398.23,72313.78,78698.18,56150.01,53397.82,74258.89,68866.94,107439.17,105129.39,95873.73,109481.03,107042.6,127685.37,127810.49,134559.04,156827.06,152237.11,144417.37,160324.77,164828.74,350485.84,325185.93,336995.98,350058.45
发放贷款及垫款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
可供出售金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,518.0,4718.0,6323.0,5522.47,7284.47,17740.08,20654.91,22604.23,31065.76,42814.01,51438.94,58771.03,69586.93,79214.34,89092.91,97812.85,115317.24,122182.72,127335.97,0.0,0.0,0.0,0.0
持有至到期投资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期应收款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期股权投资,49.71,49.94,0.0,0.0,0.0,0.0,505.76,1009.83,1019.94,2035.52,2025.7,4255.23,4269.43,0.0,0.0,2362.2,3311.92,1629.13,1558.26,2618.35,3128.14,3264.24,3420.89,3572.09,6833.29,9045.99,11455.78,9493.09,9567.45,10329.34,11897.24,12368.83,11900.18,10971.26,6584.22
投资性房地产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
在建工程(合计),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366.15,0.0,497.48,0.0,0.0,0.0,0.0,78.55,0.0,0.0,0.0,94.74,310.01,57.76,2230.91,2454.93
在建工程,80.29,15.33,162.76,945.98,2100.53,3142.23,3240.49,3917.65,4370.92,5646.09,6171.76,6499.91,6872.45,1520.08,2019.22,2136.7,2229.4,0.0,0.0,366.15,401.8,497.48,513.01,0.0,0.0,0.0,78.55,0.0,0.0,0.0,0.0,310.01,0.0,2230.91,0.0
工程物资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
固定资产及清理(合计),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19094.56,0.0,19535.05,0.0,20629.88,0.0,20195.9,20763.82,25801.13,26985.13,25488.85,29169.97,21953.14,23503.64,25223.67,26189.35
固定资产净额,1652.22,1632.01,1984.49,1894.62,1861.59,1898.82,1859.83,1852.11,1835.53,1854.23,1788.23,1798.92,5803.25,13534.14,13284.5,14578.41,15776.6,19403.62,18305.87,19094.56,18910.42,19535.05,20317.01,20629.88,21228.3,20195.9,20763.82,25801.13,26985.13,25488.85,0.0,21953.14,0.0,25223.67,0.0
固定资产清理,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
生产性生物资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
公益性生物资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
油气资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
使用权资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12340.68,12620.45,15126.64,27886.11
无形资产,12.15,35.36,760.5,872.56,1018.72,860.78,874.26,1173.28,1016.56,1034.9,1145.02,1977.08,2005.53,1902.74,1849.37,1272.33,1233.0,1361.65,1322.54,1329.51,1429.14,1327.41,1274.18,1554.16,1469.56,1669.04,1592.79,1629.6,1484.96,2782.01,2861.47,3137.34,3341.07,9644.9,9334.7
开发支出,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
商誉,1151.24,1151.24,1151.24,1151.24,1151.24,1151.24,1204.24,1194.27,1194.27,1795.66,1795.66,3929.86,28025.38,33896.1,34121.17,34121.17,34121.17,46966.14,55399.86,61128.14,61128.14,60216.14,60216.14,105931.62,105811.88,104902.68,104902.68,104902.68,105189.16,103292.69,101497.05,101497.05,110071.39,115783.09,136312.36
长期待摊费用,8.98,94.97,197.24,152.45,136.47,125.82,117.31,136.65,118.85,107.28,90.89,127.94,242.33,219.09,202.5,182.0,58.2,179.87,167.17,150.6,135.49,146.53,136.25,638.25,647.97,668.08,820.28,886.58,911.83,943.6,894.7,822.94,1681.2,1981.37,1864.6
递延所得税资产,25.25,20.33,61.43,61.43,61.43,95.32,99.5,109.01,105.13,138.41,138.41,254.38,300.86,1256.58,1246.57,1245.69,1259.87,1358.22,1357.49,1554.26,1638.06,1421.0,1430.72,1520.26,1637.14,2170.74,2205.04,1680.98,2761.77,1915.32,1403.63,1786.71,2025.04,9147.61,9335.44
其他非流动资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.91,23.68,5.0,0.0,3497.47,342.9,157.17,77.47,129.86,126.77,3598.51,3593.28,5890.99,5687.48,1106.15,1154.09,719.53,351.01,1347.19,1048.89,1112.33,872.32
非流动资产合计,2979.85,2999.17,4317.66,5078.28,6329.99,7274.21,7901.39,9392.8,9661.2,12612.1,13155.68,18843.32,48037.22,57063.63,59070.0,61433.1,65274.63,92136.18,99109.0,109002.98,117914.43,129351.72,138873.92,196215.79,210808.35,223757.75,236599.32,243313.06,263371.62,267654.08,275505.76,291538.66,305814.65,416269.14,474156.69
资产总计,6738.81,11991.12,18675.83,21391.71,70854.33,73283.91,75242.43,73257.24,75307.01,80801.0,88409.72,88241.55,120351.0,135761.81,115220.01,114830.93,139533.52,161003.12,206548.17,214132.37,213788.16,238832.75,245916.52,323901.16,338618.84,358316.8,393426.38,395550.17,407788.99,427978.85,440334.5,642024.49,631000.58,753265.12,824215.14
短期借款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4920.83,4925.17,27366.24,27223.6,300.0,0.0,18054.34,25939.83,26375.67,20517.87,15000.0,17475.17,12967.45,18957.08,26481.55,24244.46,41484.17,36060.51,32007.0,60283.41,66909.41,76909.41,45189.41,86377.17,98351.64
交易性金融负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,415.2,67.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付票据及应付账款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1716.48,0.0,862.66,0.0,0.0,0.0,1518.58,0.0,1548.26,0.0,358.78,0.0,2395.63,2425.03,2090.12,4207.12,4402.75,2423.24,2092.14,3419.09,7519.15,6298.58
应付票据,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2290.94,0.0,0.0,0.0,481.98,494.67,747.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付账款,39.96,3.92,157.7,1139.43,1300.31,1165.04,1104.74,577.33,222.1,1404.57,602.29,930.11,1471.85,1716.48,880.11,862.66,1018.28,1011.52,1003.95,1023.91,1143.15,1548.26,798.5,358.78,2520.1,2395.63,2425.03,2090.12,0.0,4402.75,0.0,2092.14,3419.09,7519.15,6298.58
预收款项,2069.14,1869.45,3116.81,1715.24,1484.97,1526.51,1526.09,1340.51,1385.37,2072.95,2062.53,1893.32,1786.26,3144.55,3769.27,2390.55,3779.8,7649.49,6885.43,13099.25,14978.8,13971.96,17490.77,19623.61,18799.94,24423.22,28879.68,33145.25,36365.31,32944.99,30962.89,33421.91,32234.0,25795.23,0.0
应付手续费及佣金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付职工薪酬,0.52,73.96,143.82,140.37,185.99,209.23,153.91,265.24,342.48,412.38,411.12,647.09,751.66,1087.73,1067.22,1231.08,1539.58,2217.43,1647.05,2600.19,2865.48,3525.0,2841.17,2952.45,3503.22,4276.77,3849.68,4925.48,5403.25,6794.87,5347.5,8204.62,9958.04,12265.35,6426.16
应交税费,44.7,308.1,252.99,289.54,306.15,710.71,631.1,824.85,913.2,1045.98,1601.5,1711.8,2209.89,2684.36,2546.07,2250.28,2757.81,3009.25,1316.71,1717.07,2643.14,3291.37,2712.59,2375.17,3312.54,5113.79,4630.79,4377.79,6367.54,7894.23,7418.24,6643.18,7361.11,11238.7,10904.62
其他应付款(合计),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2435.45,0.0,7466.17,0.0,0.0,0.0,6655.67,0.0,2945.29,0.0,4033.45,0.0,3374.82,3713.12,4682.13,3094.09,4405.07,4223.95,24145.9,10801.81,18508.15,23834.39
应付利息,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.45,7.1,0.0,14.1,16.85,6.45,15.86,22.59,22.1,25.42,30.74,37.12,240.24,93.63,177.6,0.0,178.84,0.0,246.35,237.36,0.0,0.0
应付股利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.69,0.0,0.0,0.0,3.74,184.41,147.88,148.37,139.55,133.8,369.58,135.9,139.48,140.46,145.91,145.12,142.49,139.6,137.44,132.26,139.17,0.0,144.36,141.63,17479.8,144.6,275.37,346.49
其他应付款,158.74,69.33,144.49,223.16,161.7,240.44,126.1,252.78,303.99,350.68,169.71,396.54,3013.45,2162.12,5238.79,7326.62,5677.48,6140.26,5140.96,6500.34,5147.5,2777.28,1434.08,3860.23,4712.03,2997.14,3487.23,4365.35,3094.09,4081.88,0.0,6419.75,0.0,18232.77,0.0
预提费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内的递延收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付短期债券,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内到期的非流动负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384.76,384.76,0.0,0.0,770.23,0.0,681.01,720.2,821.28,850.12,914.12,973.63,7305.17,7121.52,4607.87,4116.43,4138.89,5475.54,4282.22,3543.45,3336.69,3561.51
其他流动负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
流动负债合计,2313.06,2324.77,3815.82,3507.74,3439.13,3851.92,3541.94,3270.41,3167.14,5286.56,9767.97,10507.76,36783.76,38676.93,16632.63,14200.74,32975.19,47124.43,42994.11,46789.64,43408.51,43578.33,39265.19,49214.66,60479.73,71549.07,92171.76,89889.15,91560.74,120864.22,122760.76,155699.37,112506.91,179069.23,192394.12
长期借款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750.57,719.96,666.94,570.0,610.0,1616.25,616.9,1608.76,2460.36,1742.46,1606.96,551.39,458.62,343.17,224.46,114.59,8630.0,3650.0,13610.0
应付债券,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
租赁负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9043.5,8904.85,11775.04,24430.16
长期应付职工薪酬,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期应付款(合计),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1991.03,0.0,2050.39,0.0,2127.84,0.0,1859.32,1836.38,2005.56,1806.23,1941.77,4445.89,0.0,0.0,2034.29,2986.74
长期应付款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,443.58,1178.37,1215.09,1912.72,2563.89,2290.64,2286.92,1991.03,1883.23,2050.39,3191.5,2127.84,2077.58,1859.32,1836.38,2005.56,1806.23,1941.77,0.0,0.0,0.0,2034.29,0.0
专项应付款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预计非流动负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3722.48,3722.48,3211.25,3342.37,3411.6,3393.28,5790.42,5816.07,5952.49,5925.21,5844.17,5770.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
递延所得税负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,394.26,395.76,393.92,409.88,865.23,1038.44,1067.65,1075.65,1656.94,1657.35,1617.68,1055.84,1266.82,1208.61,0.0,6.89,1413.72,1346.46,1038.96,1044.97,4571.77,4785.5
长期递延收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他非流动负债,0.0,87.5,257.4,122.45,122.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
非流动负债合计,0.0,87.5,257.4,122.45,122.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,443.58,5395.11,5433.33,5517.89,7066.72,7287.43,7385.58,9419.09,9384.96,11276.06,11390.95,11198.45,11363.84,4868.6,4651.95,2556.95,2271.75,3698.66,6016.82,10197.04,18579.82,22031.09,45812.4
负债合计,2313.06,2412.27,4073.22,3630.19,3562.11,3851.92,3541.94,3270.41,3167.14,5286.56,9767.97,10507.76,37227.34,44072.04,22065.95,19718.63,40041.91,54411.87,50379.69,56208.73,52793.47,54854.39,50656.14,60413.11,71843.57,76417.67,96823.72,92446.1,93832.49,124562.87,128777.58,165896.42,131086.74,201100.32,238206.52
实收资本(或股本),3000.0,4000.0,4000.0,4000.0,5340.0,5340.0,5340.0,10680.0,10680.0,10680.0,10680.0,21360.0,21360.0,21501.92,21501.92,43059.84,43059.84,43331.59,47074.11,47130.11,47130.11,47486.52,47486.52,50017.65,50017.65,50017.65,50017.65,50017.65,50017.65,50017.65,50017.65,50017.65,74962.56,74950.76,74946.77
资本公积,960.1,2582.68,2582.68,2582.68,49359.78,49359.78,49359.78,44019.9,44019.9,44289.59,44665.43,34361.27,34773.57,37635.28,36062.22,15492.14,15715.68,18257.94,61187.63,62210.49,62327.66,66709.2,66709.2,124949.96,124949.96,126889.51,130525.18,132517.22,131796.64,132264.94,132264.94,195799.24,171112.49,170830.32,172340.38
减：库存股,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24812.5,30997.26,6366.72,6548.48,19316.93,18224.91
其他综合收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-502.83,-481.77,-509.38,-520.95,-401.27,-1069.47,-279.48,-439.53,81.06,267.75,-225.18,-627.93,-58.24,311.64,562.37,1222.57,-82.24,-163.08,298.03,1952.82,2629.94,3965.61
专项储备,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
盈余公积,39.7,218.87,654.77,1039.14,654.77,1245.92,1245.92,1245.92,1245.92,2050.96,2050.96,2050.96,2050.96,2882.57,2882.57,2882.57,2882.57,3908.11,3908.11,3908.11,3908.11,4845.35,4845.35,4845.35,4845.35,6607.28,6607.28,6607.28,6607.28,8400.33,8400.33,8400.33,8400.33,13855.27,13855.27
一般风险准备,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
未分配利润,237.4,2535.62,6878.89,9715.03,11516.84,13062.59,15254.95,13416.42,15523.25,17391.22,20066.82,18541.27,21601.1,24837.23,28425.19,28129.3,31587.61,35139.11,39059.45,38246.89,40398.55,43559.65,47897.89,55522.6,58594.06,66897.35,76487.79,77510.2,87437.04,101070.23,115621.02,118946.85,136547.45,179596.43,205093.37
