报表日期,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31
偿还债务支付的现金,12192.01,15455.53,24091.56,48566.06,45122.18,57166.84,8991.95,30510.88,38477.54,54030.32,3800.0,13001.0,13001.0,16901.0,1100.0,4490.0,14735.22,69326.68,5000.0,6720.0,54084.88,148125.54,65904.97
分配股利、利润或偿付利息所支付的现金,34689.53,29160.98,24339.96,30875.61,48067.6,48628.83,14297.44,15062.32,15449.93,16047.94,108.05,29564.81,29645.64,29765.56,71.75,41836.61,43200.68,44813.0,1770.26,46492.4,48906.5,50418.27,1784.74
其中：子公司支付给少数股东的股利、利润,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,499.39,499.39,499.39,0.0,876.7,876.7,876.7,0.0,0.0,0.0,305.2,0.0
支付其他与筹资活动有关的现金,316.06,0.0,0.0,0.0,102.47,102.47,0.0,0.0,0.0,1349.53,0.0,85.0,85.0,1018.97,0.0,1667.5,12282.72,28467.88,18567.62,18903.47,22137.43,40017.57,11953.91
筹资活动现金流出小计,47197.6,44616.51,48431.52,79441.67,93292.25,105898.14,23289.39,45573.2,53927.46,71427.79,3908.05,42650.81,42731.64,47685.54,1171.75,47994.11,70218.62,142607.56,25337.88,72115.87,125128.81,238561.37,79643.62
筹资活动产生的现金流量净额,-28401.84,-22486.81,-30252.6,1170.78,-35169.97,-42229.44,1230.69,-8411.48,-16689.06,153320.54,-3900.05,-37237.81,-35068.64,3660.93,3828.25,34754.88,183753.76,158650.55,-422.91,-3904.23,-48397.2,-104568.29,-24918.34
四、汇率变动对现金及现金等价物的影响,-486.67,-189.24,-444.94,26.76,206.73,1111.35,-62.66,489.34,594.78,2123.81,47.06,-1652.72,-2925.68,-4713.52,-840.89,-2278.44,-1838.06,4034.47,139.54,167.49,1188.35,-70.97,63.77
五、现金及现金等价物净增加额,7944.65,-5222.39,-12117.6,-4500.21,775.02,10063.54,1340.19,4901.31,20145.82,92759.12,-34428.89,-49795.27,-34038.71,-31732.98,-4051.33,3826.33,147588.9,65184.65,38881.52,25650.19,129287.33,138277.26,-55185.54
加:期初现金及现金等价物余额,26891.62,34836.27,29613.89,17496.29,12996.08,12996.08,23059.62,23059.62,23059.62,23059.62,115818.74,115818.74,115818.74,115818.74,84085.76,84085.76,84085.76,84085.76,149270.4,149270.4,149270.4,149270.4,289744.84
六、期末现金及现金等价物余额,34836.27,29613.89,17496.29,12996.08,13771.1,23059.62,24399.8,27960.93,43205.43,115818.74,81389.85,66023.47,81780.03,84085.76,80034.43,87912.09,231674.66,149270.4,188151.92,174920.6,278557.73,287547.67,234559.3
净利润,0.0,0.0,40065.71,42021.77,0.0,49052.69,0.0,27478.97,0.0,57245.5,0.0,39624.36,0.0,83086.47,0.0,50346.04,0.0,100655.05,0.0,58300.65,0.0,122045.48,0.0
少数股东权益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
未确认的投资损失,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
资产减值准备,0.0,0.0,576.06,704.89,0.0,509.41,0.0,550.38,0.0,958.5,0.0,677.96,0.0,1451.82,0.0,589.05,0.0,1672.63,0.0,-1089.59,0.0,1481.79,0.0
固定资产折旧、油气资产折耗、生产性物资折旧,0.0,0.0,3034.34,3944.93,0.0,4678.95,0.0,3106.72,0.0,6679.47,0.0,3800.47,0.0,8012.83,0.0,4195.51,0.0,10123.53,0.0,6486.49,0.0,13695.56,0.0
无形资产摊销,0.0,0.0,262.53,391.31,0.0,484.81,0.0,290.62,0.0,633.96,0.0,363.62,0.0,935.53,0.0,544.7,0.0,1498.67,0.0,1633.31,0.0,2862.89,0.0
长期待摊费用摊销,0.0,0.0,549.15,426.98,0.0,94.29,0.0,368.8,0.0,740.24,0.0,404.27,0.0,932.35,0.0,546.85,0.0,2677.18,0.0,1859.35,0.0,4164.82,0.0
待摊费用的减少,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预提费用的增加,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
处置固定资产、无形资产和其他长期资产的损失,0.0,0.0,81.33,481.97,0.0,188.92,0.0,102.95,0.0,193.76,0.0,15.19,0.0,-6.1,0.0,0.0,0.0,45.08,0.0,24.97,0.0,206.13,0.0
固定资产报废损失,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.03,0.0,214.29,0.0,248.49,0.0,409.8,0.0,209.17,0.0
公允价值变动损失,0.0,0.0,-4633.59,4390.39,0.0,4579.65,0.0,837.47,0.0,-2933.36,0.0,0.0,0.0,-109.95,0.0,766.05,0.0,143.88,0.0,151.15,0.0,-1787.81,0.0
递延收益增加（减：减少）,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预计负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
财务费用,0.0,0.0,1331.55,880.29,0.0,905.44,0.0,862.43,0.0,196.63,0.0,1850.71,0.0,5096.59,0.0,914.82,0.0,2932.13,0.0,5793.24,0.0,12162.86,0.0
投资损失,0.0,0.0,-3456.66,-5021.46,0.0,-3342.47,0.0,-328.23,0.0,7599.23,0.0,-2791.06,0.0,-7599.79,0.0,-4485.59,0.0,-10603.36,0.0,-4530.13,0.0,-13963.15,0.0
递延所得税资产减少,0.0,0.0,-95.24,-576.51,0.0,268.75,0.0,-4.37,0.0,-802.02,0.0,-764.5,0.0,-2562.47,0.0,-150.77,0.0,-1249.61,0.0,512.16,0.0,-2723.33,0.0
递延所得税负债增加,0.0,0.0,1158.4,-1097.6,0.0,-411.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.0,-0.76,0.0,1025.91,0.0,-497.99,0.0,9231.79,0.0
存货的减少,0.0,0.0,-493.11,-15582.29,0.0,7127.64,0.0,-5896.45,0.0,-23927.75,0.0,-3649.18,0.0,-21570.11,0.0,2327.77,0.0,-8577.09,0.0,24788.17,0.0,-12313.55,0.0
经营性应收项目的减少,0.0,0.0,-4425.83,-12985.7,0.0,-5763.5,0.0,-8468.14,0.0,-23505.43,0.0,-9758.96,0.0,-8292.37,0.0,-23306.95,0.0,-38161.61,0.0,10199.35,0.0,-2018.27,0.0
经营性应付项目的增加,0.0,0.0,11498.25,4871.51,0.0,17836.37,0.0,7755.53,0.0,74380.97,0.0,-5541.07,0.0,50904.82,0.0,-16445.24,0.0,28559.06,0.0,-34418.25,0.0,73093.77,0.0
已完工尚未结算款的减少(减:增加),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
已结算尚未完工款的增加(减:减少),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3167.76,0.0,0.0,0.0,9960.44,0.0,0.0,0.0,6066.01,0.0
经营活动产生现金流量净额,0.0,0.0,45452.89,22850.48,0.0,76209.37,0.0,26656.67,0.0,97459.71,0.0,24231.8,0.0,113622.18,0.0,16055.75,0.0,100950.38,0.0,69622.67,0.0,212414.18,0.0
债务转为资本,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内到期的可转换公司债券,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
融资租入固定资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
现金的期末余额,0.0,0.0,17496.29,12996.08,0.0,23059.62,0.0,27960.93,0.0,115818.74,0.0,66023.47,0.0,84085.76,0.0,87912.09,0.0,149270.4,0.0,174920.6,0.0,287547.67,0.0
现金的期初余额,0.0,0.0,29613.89,17496.29,0.0,12996.08,0.0,23059.62,0.0,23059.62,0.0,115818.74,0.0,115818.74,0.0,84085.76,0.0,84085.76,0.0,149270.4,0.0,149270.4,0.0
现金等价物的期末余额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
现金等价物的期初余额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
现金及现金等价物的净增加额,0.0,0.0,-12117.6,-4500.21,0.0,10063.54,0.0,4901.31,0.0,92759.12,0.0,-49795.27,0.0,-31732.98,0.0,3826.33,0.0,65184.65,0.0,25650.19,0.0,138277.26,0.0
