报表日期,2011-12-31,2012-12-31,2013-12-31,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31
支付其他与筹资活动有关的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,923.5,0.0,7.41,7.41,15.0,30.0,30.0,30.0,157.05,0.0,0.0,0.0,55.0,30.0,30.0,44.9,5680.0,50.0,192.19,192.19,215.65,87.48
筹资活动现金流出小计,9344.95,16369.11,14178.04,7908.63,14283.11,8122.49,12173.97,12198.58,15255.62,5162.65,29941.79,31957.67,31965.25,30.0,13594.46,22649.27,22776.32,0.0,37650.08,37650.08,37705.08,30.0,47124.74,47181.89,56826.17,50.0,65963.71,66984.98,67037.58,5195.82
筹资活动产生的现金流量净额,-1797.9,-8269.11,-8753.04,-7908.63,-12283.11,-1122.49,-3173.97,-3198.58,51181.72,-5162.65,-27941.79,-29957.67,-29965.25,-30.0,-4594.46,-13649.27,58327.68,0.0,-37650.08,-37650.08,-37705.08,-30.0,-43124.74,55218.11,45573.83,-50.0,-60672.26,-56751.54,-46551.94,4996.7
四、汇率变动对现金及现金等价物的影响,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.18,26.23,20.52,-26.36
五、现金及现金等价物净增加额,-1038.68,4659.46,3447.41,-3694.2,-6161.54,1444.45,3367.7,7100.09,62379.89,-2143.7,-22462.74,-17460.38,-29377.76,-16359.48,1549.49,5512.24,91857.27,10550.53,-16336.92,-2051.73,6450.91,-2610.49,-54601.36,46307.63,-34660.32,9333.02,-11316.61,-6516.88,-36295.27,26445.7
加:期初现金及现金等价物余额,10207.22,9168.54,13828.0,17275.41,17275.41,11113.87,11113.87,11113.87,11113.87,73493.76,73493.76,73493.76,73493.76,44116.01,44116.01,44116.01,44116.01,135973.28,135973.28,135973.28,135973.28,142424.18,142424.18,142424.18,142424.18,107763.87,107763.87,107763.87,107763.87,71468.6
六、期末现金及现金等价物余额,9168.54,13828.0,17275.41,13581.21,11113.87,12558.32,14481.57,18213.96,73493.76,71350.06,51031.02,56033.38,44116.01,27756.53,45665.5,49628.24,135973.28,146523.81,119636.36,133921.55,142424.18,139813.7,87822.83,188731.82,107763.87,117096.88,96447.26,101246.99,71468.6,97914.3
净利润,0.0,21515.86,25460.43,19341.52,27295.45,0.0,14477.19,24944.76,34695.51,0.0,18926.26,0.0,43554.52,0.0,18314.3,0.0,51328.09,0.0,26288.85,0.0,64215.04,0.0,30366.74,0.0,68335.84,0.0,41767.77,0.0,88283.9,0.0
少数股东权益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
未确认的投资损失,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
资产减值准备,0.0,55.3,22.11,11.13,107.25,0.0,119.65,347.06,248.95,0.0,55.59,0.0,320.65,0.0,113.05,0.0,491.53,0.0,171.82,0.0,1035.09,0.0,68.07,0.0,609.57,0.0,0.0,0.0,0.0,0.0
固定资产折旧、油气资产折耗、生产性物资折旧,0.0,4048.27,4795.31,3835.98,5304.48,0.0,3151.78,4819.65,7401.37,0.0,4295.07,0.0,8231.32,0.0,5000.53,0.0,10316.89,0.0,6123.52,0.0,11983.74,0.0,6941.91,0.0,13928.18,0.0,5934.7,0.0,12032.89,0.0
无形资产摊销,0.0,130.8,197.55,186.24,245.71,0.0,130.19,195.12,277.67,0.0,189.05,0.0,373.92,0.0,187.69,0.0,526.16,0.0,296.07,0.0,626.31,0.0,369.51,0.0,792.04,0.0,438.79,0.0,881.76,0.0
长期待摊费用摊销,0.0,512.73,754.32,725.43,1086.8,0.0,584.05,927.46,1237.83,0.0,710.25,0.0,1574.71,0.0,1371.58,0.0,2575.36,0.0,1112.15,0.0,2115.61,0.0,843.08,0.0,1586.49,0.0,762.57,0.0,1665.9,0.0
待摊费用的减少,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预提费用的增加,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
处置固定资产、无形资产和其他长期资产的损失,0.0,-232.55,2.64,59.83,18.82,0.0,21.59,27.56,42.02,0.0,13.62,0.0,281.37,0.0,50.92,0.0,91.3,0.0,518.71,0.0,404.92,0.0,18.15,0.0,41.75,0.0,2.05,0.0,23.19,0.0
固定资产报废损失,0.0,6.95,3.84,7.51,69.14,0.0,0.0,7.61,-1.57,0.0,0.0,0.0,0.0,0.0,2.35,0.0,26.72,0.0,65.56,0.0,687.82,0.0,9.99,0.0,111.79,0.0,77.92,0.0,146.44,0.0
公允价值变动损失,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-200.19,0.0,-717.8,0.0,-1669.1,0.0
递延收益增加（减：减少）,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预计负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
财务费用,0.0,408.06,140.37,17.32,37.7,0.0,190.46,282.74,351.98,0.0,32.84,0.0,48.72,0.0,60.68,0.0,115.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1422.9,0.0,2443.59,0.0,3154.04,0.0
投资损失,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99.62,0.0,394.8,0.0,206.74,0.0,-1053.09,0.0,-3046.34,0.0,-1219.15,0.0,-2375.31,0.0,-1372.53,0.0,-1729.59,0.0
递延所得税资产减少,0.0,-44.25,-26.38,111.19,-312.83,0.0,132.17,127.12,80.58,0.0,-16.68,0.0,-609.32,0.0,-839.34,0.0,-1630.06,0.0,-604.54,0.0,-952.44,0.0,-1014.97,0.0,-2108.14,0.0,-737.1,0.0,-1385.46,0.0
递延所得税负债增加,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.28,0.0,0.0,0.0,-4.08,0.0,0.0,0.0,160.96,0.0
存货的减少,0.0,584.13,-472.62,2204.81,-408.0,0.0,300.14,-1242.46,-906.89,0.0,186.74,0.0,-1890.75,0.0,66.27,0.0,-1458.11,0.0,22.1,0.0,-1173.05,0.0,-124.72,0.0,-2107.83,0.0,1058.7,0.0,-704.25,0.0
经营性应收项目的减少,0.0,951.96,-2633.78,-8386.66,-5547.49,0.0,-2372.41,-11417.03,-4312.96,0.0,-1634.76,0.0,-6920.06,0.0,-6280.06,0.0,-4692.99,0.0,-2896.87,0.0,-9719.58,0.0,-6250.73,0.0,-6746.62,0.0,1603.75,0.0,-1145.21,0.0
经营性应付项目的增加,0.0,-2946.87,3636.62,1827.15,4041.39,0.0,1316.65,9558.62,3629.08,0.0,2521.57,0.0,7083.8,0.0,6086.88,0.0,7417.62,0.0,6981.6,0.0,14112.59,0.0,5527.82,0.0,15497.04,0.0,172.26,0.0,9729.17,0.0
已完工尚未结算款的减少(减:增加),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
已结算尚未完工款的增加(减:减少),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
经营活动产生现金流量净额,0.0,24990.38,31880.39,19941.43,31938.42,0.0,18051.45,28578.21,42743.55,0.0,25279.55,0.0,51949.24,0.0,24529.67,0.0,65314.72,0.0,37025.88,0.0,80321.99,0.0,35535.71,0.0,88783.41,0.0,51614.3,0.0,110136.61,0.0
债务转为资本,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内到期的可转换公司债券,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
融资租入固定资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
现金的期末余额,0.0,13828.0,17275.41,13581.21,11113.87,0.0,14481.57,18213.96,73493.76,0.0,51031.02,0.0,44116.01,0.0,45665.5,0.0,135973.28,0.0,119636.36,0.0,142424.18,0.0,87822.83,0.0,107763.87,0.0,96447.26,0.0,71468.6,0.0
现金的期初余额,0.0,9168.54,13828.0,17275.41,17275.41,0.0,11113.87,11113.87,11113.87,0.0,73493.76,0.0,73493.76,0.0,44116.01,0.0,44116.01,0.0,135973.28,0.0,135973.28,0.0,142424.18,0.0,142424.18,0.0,107763.87,0.0,107763.87,0.0
现金等价物的期末余额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
现金等价物的期初余额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
现金及现金等价物的净增加额,0.0,4659.46,3447.41,-3694.2,-6161.54,0.0,3367.7,7100.09,62379.89,0.0,-22462.74,0.0,-29377.76,0.0,1549.49,0.0,91857.27,0.0,-16336.92,0.0,6450.91,0.0,-54601.36,0.0,-34660.32,0.0,-11316.61,0.0,-36295.27,0.0
