报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30
投资活动产生的现金流量净额,-622.2,-1057.27,-7785.75,3364.64,-3222.37,-3450.74,-998.28,-5867.83,-2281.71,760.17,2773.17,3314.82,-4329.75,-2947.6,290.82,-9953.27,-71.71,-3649.56,-3626.68,-4181.86,-863.47,-2004.11,-2258.07,-4265.71,-3911.47,-4195.99,-5073.9,-9502.15,2124.41,432.12,-1060.35,-1529.38,-301.18,27.77,1167.07,-62134.33,-1732.76,-34939.92,-57189.7,-290518.1,-159197.32,178355.9,101041.89,-203697.38,-46296.07,284.49,55798.4,-138283.57,-259140.83,-152568.25,-70697.82,-158171.19,-229107.92,-261881.39,-364289.13,-195851.73,673.31,-182721.99,-243327.84,-242973.86,-189719.52,-163503.85
吸收投资收到的现金,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,405.39,3045.37,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,98.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,839.4,491420.0,486079.75,486229.75,486262.75,0.0,0.0,340.0,3328.66,110.0,110.0,1090.85,4023.6,1488.94,7507.96,9025.21,9074.21,0.0,4.0,4.0,266.41,0.0,293.63,293.63,516.63,126.65,206.79
其中：子公司吸收少数股东投资收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,839.4,0.0,0.0,150.0,183.0,0.0,0.0,340.0,3328.66,0.0,110.0,1090.85,4023.6,1488.94,7507.96,9025.21,9074.21,0.0,4.0,4.0,266.41,0.0,293.63,293.63,516.63,126.65,206.79
取得借款收到的现金,150.0,29969.2,40699.81,47898.42,16287.24,16881.43,19820.27,19920.28,0.0,3217.64,14592.96,20498.08,4585.21,8085.21,12457.02,15448.31,0.0,350.0,3610.45,5072.51,0.0,0.0,2000.0,8000.0,1259.97,1259.97,1259.97,11059.97,0.0,2000.0,4000.0,4000.0,0.0,0.0,0.0,0.0,0.0,29177.28,29177.28,65207.8,0.0,0.0,15765.28,119685.57,0.0,929.16,3227.56,4745.51,716.83,7446.82,7446.82,8369.89,0.0,0.0,10000.0,10000.0,0.0,2924.83,2924.83,2924.83,0.0,0.0
发行债券收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
收到其他与筹资活动有关的现金,0.0,0.0,0.0,0.0,0.0,19007.66,18860.91,26957.1,9388.12,9388.12,19336.24,0.0,0.0,0.0,6061.06,12633.7,2949.9,4139.81,8030.88,3016.64,1315.58,4638.15,6027.17,6257.75,0.0,0.0,0.0,2534.52,0.0,38.65,155.65,0.0,224.31,85.74,85.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77632.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7009.97,7009.97,7009.97,0.0,0.0
筹资活动现金流入小计,150.0,29969.2,43699.81,47898.42,16287.24,35889.09,38681.18,46877.38,9388.12,12605.76,33929.2,20498.08,4585.21,8085.21,18518.08,28082.01,3355.29,7535.18,11641.32,8289.14,1315.58,4638.15,8027.17,14257.75,1259.97,1259.97,1357.97,13692.5,0.0,2038.65,4155.65,4000.0,224.31,185.74,85.74,839.4,491420.0,515257.03,515407.03,551470.55,0.0,0.0,16105.28,200646.98,110.0,1039.16,4318.41,8769.11,2205.77,14954.78,16472.03,17444.1,0.0,4.0,10004.0,10266.41,0.0,10228.42,10228.42,10451.42,126.65,206.79
偿还债务支付的现金,0.0,5644.81,10098.04,21612.26,13241.1,31725.83,40198.11,51608.53,3174.18,3703.99,6641.41,6641.5,0.0,3217.64,19042.69,25782.14,4506.31,4400.01,9580.53,10114.85,906.18,3538.8,3538.8,4429.64,500.0,1759.97,3759.97,9759.97,9800.0,9800.0,11800.0,11800.0,2000.0,2410.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96007.3,0.0,0.0,0.0,0.0,0.0,5942.48,7986.75,10725.21,0.0,2763.85,2763.85,93749.56,1105.17,6093.31,6326.88,6554.08,220.92,441.15
分配股利、利润或偿付利息所支付的现金,197.21,552.02,1169.49,1707.52,668.66,801.33,1077.71,1531.06,8.74,8.74,16.93,89.98,29.74,44.26,97.71,541.83,80.11,130.15,196.61,311.06,19.38,115.28,305.21,314.53,134.63,254.5,389.86,524.13,85.52,98.76,134.12,172.38,40.59,40.59,40.59,46849.64,0.0,98167.3,109323.26,109706.72,611.21,1032.64,357675.02,358696.92,967.99,94109.44,125538.81,126821.31,1139.81,2308.95,147817.35,148820.89,1315.28,2351.23,104240.97,104851.61,31.59,55.1,166168.17,466591.99,27.43,2250.09
其中：子公司支付给少数股东的股利、利润,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.66,0.0,0.0,0.87,150.87,0.0,228.08,0.0,228.08,0.0,138.69,138.69,211.86,0.0,0.0,0.0,0.0,0.0,0.0,121.21,121.21,0.0,0.0,0.0,0.0,0.0,2210.89
支付其他与筹资活动有关的现金,0.0,0.0,0.0,31738.14,0.0,0.0,0.0,0.0,1134.69,10640.65,33519.92,19351.83,0.0,3629.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2051.36,963.77,2387.53,0.0,445.84,0.0,0.0,1059.95,0.0,0.0,5511.72,0.0,0.0,493020.0,493170.0,493020.0,0.0,2689.04,2689.04,2689.04,77594.92,78074.92,118092.81,148142.58,40005.62,89885.06,89885.06,91345.58,0.0,0.0,0.0,0.0,67402.9,136183.93,202977.06,292447.47,66932.39,125253.71
筹资活动现金流出小计,197.21,6196.83,11267.53,55057.93,13909.77,32527.17,41275.82,53139.59,4317.61,14353.38,40178.26,26083.3,29.74,6890.9,19140.4,26323.97,4586.42,4530.16,9777.15,10425.92,925.56,3654.08,3844.01,4744.17,2685.98,2978.25,6537.36,10284.1,10331.36,9898.76,11934.12,13032.32,2040.59,2450.59,7552.31,46849.64,0.0,591187.3,602493.26,602726.72,611.21,3721.68,360364.06,457393.26,78562.91,172184.37,243631.62,274963.89,41145.43,98136.49,245689.16,250891.68,1315.28,5115.08,107004.83,198601.17,68539.66,142332.34,375472.1,765593.54,67180.74,127944.95
筹资活动产生的现金流量净额,-47.21,23772.37,32432.28,-7159.5,2377.47,3361.93,-2594.64,-6262.21,5070.51,-1747.62,-6249.06,-5585.22,4555.48,1194.31,-622.32,1758.05,-1231.13,3005.03,1864.17,-2136.77,390.02,984.07,4183.15,9513.57,-1426.01,-1718.27,-5179.39,3408.39,-10331.36,-7860.11,-7778.47,-9032.32,-1816.29,-2264.85,-7466.57,-46010.24,491420.0,-75930.27,-87086.23,-51256.17,-611.21,-3721.68,-344258.78,-256746.28,-78452.91,-171145.21,-239313.21,-266194.78,-38939.66,-83181.71,-229217.13,-233447.57,-1315.28,-5111.08,-97000.83,-188334.77,-68539.66,-132103.91,-365243.68,-755142.12,-67054.09,-127738.16
四、汇率变动对现金及现金等价物的影响,0.0,0.0,0.0,-107.02,-264.56,0.0,0.0,-82.08,1.33,0.93,1.37,-1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.45,-54.6,-0.35,0.0,0.0,0.0,1.21,0.0,0.0,0.0,706.92,51.91,93.33,-55.9,66.71,-12.14,-88.34,-263.56,-309.59,-1902.37,-690.19,494.55,518.04,-528.25,-393.38,409.91,-342.85,-92.49,22.47,-452.49,-826.98,-121.15,-409.38,-357.86,-344.65,-160.87,860.06
五、现金及现金等价物净增加额,-1072.84,22858.95,26429.38,-12025.8,1341.19,2612.87,-332.07,-977.52,3604.6,-4252.74,134.17,10970.31,-7110.36,-9163.49,-7946.82,-4922.38,-5184.69,-7744.48,-3243.17,-7488.21,-5717.03,-6104.03,-5814.24,4794.52,-5563.14,-4466.89,-8804.11,-2007.25,-6901.33,-7556.71,-7274.27,-9980.08,-254.18,1260.31,243.23,155607.73,540767.03,56078.84,151416.47,138293.65,-64659.07,357479.21,-4668.31,-45127.79,-58304.74,-46849.61,-26940.27,-25676.09,-240452.84,-128388.87,-91112.73,-48974.63,-164684.32,-64851.38,-152102.94,137327.69,89275.86,88412.39,48925.28,-39418.94,-94883.04,-22731.57
加:期初现金及现金等价物余额,24887.1,24887.1,24887.1,24887.1,44599.44,17758.02,17758.02,12861.29,11883.78,11883.78,11883.78,11883.78,46986.96,22854.09,22854.09,22854.09,17931.71,17934.51,17931.71,17931.71,10443.5,10443.5,10443.5,10443.5,15238.02,15238.02,15238.02,15238.02,13230.77,13230.77,13230.77,13230.77,3250.69,3250.69,3250.69,142669.9,298277.63,298277.63,298277.63,298277.63,444545.28,436571.28,436571.28,436571.28,391443.49,391443.49,391443.49,391443.49,365767.39,365767.39,365767.39,365767.39,316792.76,316792.76,316792.76,316792.76,454120.45,454120.45,454120.45,454120.45,414701.51,414701.51
六、期末现金及现金等价物余额,23814.25,47746.05,51316.47,12861.29,45940.62,20370.89,17425.95,11883.78,15488.38,7631.04,12017.95,22854.09,39876.6,13690.6,14907.27,17931.71,12747.02,10190.03,14688.54,10443.5,4726.47,4339.47,4629.26,15238.02,9674.88,10771.13,6433.91,13230.77,6329.44,5674.06,5956.5,3250.69,2996.5,4510.99,3493.92,298277.63,839044.66,354356.48,449694.1,436571.28,379886.21,794050.5,431902.98,391443.49,333138.74,344593.88,364503.22,365767.39,125314.56,237378.53,274654.67,316792.76,152108.44,251941.38,164689.82,454120.45,543396.32,542532.84,503045.73,414701.51,319818.46,391969.94
净利润,0.0,587.88,0.0,5240.1,0.0,87.92,0.0,441.51,0.0,117.58,0.0,-6808.11,0.0,144.71,0.0,984.09,0.0,194.09,0.0,-5476.19,0.0,-954.6,0.0,678.54,0.0,-2178.33,0.0,-12564.85,0.0,69.85,0.0,659.13,0.0,25.3,0.0,338577.28,0.0,189280.99,0.0,444785.35,0.0,252341.94,0.0,597339.52,0.0,333396.78,0.0,579222.72,0.0,76036.71,0.0,185507.91,0.0,81705.98,0.0,400089.58,0.0,291547.24,0.0,611162.76,0.0,143093.15
少数股东权益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
未确认的投资损失,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
资产减值准备,0.0,853.11,0.0,2214.39,0.0,469.98,0.0,1846.35,0.0,363.52,0.0,1432.78,0.0,228.68,0.0,550.17,0.0,189.93,0.0,1443.93,0.0,185.12,0.0,-1611.81,0.0,944.03,0.0,1527.29,0.0,35.82,0.0,151.15,0.0,12.83,0.0,24259.75,0.0,23650.14,0.0,26092.77,0.0,10434.92,0.0,18100.34,0.0,6251.17,0.0,40004.05,0.0,37945.69,0.0,73992.69,0.0,19703.37,0.0,-1447.2,0.0,4124.75,0.0,7108.11,0.0,645.44
固定资产折旧、油气资产折耗、生产性物资折旧,0.0,670.83,0.0,1484.97,0.0,885.78,0.0,1887.66,0.0,964.85,0.0,1889.6,0.0,556.81,0.0,1766.44,0.0,789.0,0.0,1790.95,0.0,884.09,0.0,1734.71,0.0,836.53,0.0,1617.2,0.0,210.87,0.0,812.25,0.0,581.63,0.0,13569.43,0.0,6474.91,0.0,12579.82,0.0,6118.58,0.0,12935.0,0.0,7420.61,0.0,21959.07,0.0,24279.94,0.0,48478.13,0.0,22354.06,0.0,47788.0,0.0,24868.07,0.0,47378.39,0.0,20340.97
