报表日期,2009-12-31,2010-12-31,2011-12-31,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30
处置固定资产、无形资产和其他长期资产所收回的现金净额,0.0,80.0,217.05,0.0,3013.03,0.0,0.0,0.0,57.7,0.0,0.0,11.44,46.05,4.75,9.06,11.33,27.61,17.29,43.86,61.99,74.24,0.4,6.98,14.55,44.03,36.43,36.2,112.56,887.81,1.46,8369.56,8422.16,8482.02,157.74,450.61
处置子公司及其他营业单位收到的现金净额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
收到的其他与投资活动有关的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1058.76
投资活动现金流入小计,2.81,138.8,219.85,0.0,3013.03,0.0,0.0,0.0,57.7,0.0,0.0,29848.43,71469.89,18029.6,21045.65,21047.92,31070.34,65123.93,116104.42,134152.94,139191.67,660.4,30666.98,81949.71,146496.54,39171.87,243463.86,439781.86,604730.24,95633.94,121882.64,165251.41,245065.61,205970.39,218016.02
购建固定资产、无形资产和其他长期资产所支付的现金,10255.01,22231.01,40521.9,0.0,58444.42,26758.15,43018.34,0.0,65703.96,17251.32,23182.78,44344.04,73480.36,38783.9,74326.08,125874.82,179905.19,86548.42,189016.06,302378.98,436188.9,148328.94,267494.24,429012.65,627636.12,187129.1,262591.47,342261.97,504729.91,156537.55,332563.01,585750.58,1312060.03,780466.39,1798931.37
投资所支付的现金,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38900.0,84900.0,9000.0,9000.0,9000.0,82300.0,54000.0,84600.0,89600.0,89600.0,6000.0,100000.0,143000.0,163000.0,200521.82,386000.0,544600.0,678100.0,51000.0,68000.0,180900.0,212900.0,162000.0,162000.0
取得子公司及其他营业单位支付的现金净额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
支付的其他与投资活动有关的现金,0.0,0.0,0.0,0.0,0.0,643.76,643.76,0.0,643.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2188.55
投资活动现金流出小计,11455.01,22231.01,40521.9,0.0,58444.42,27401.92,43662.11,0.0,66347.72,17251.32,23182.78,83244.04,158380.36,47783.9,83326.08,134874.82,262205.19,140548.42,273616.06,391978.98,525788.9,154329.07,367494.38,572012.65,790636.12,387650.92,648591.47,886861.97,1182829.91,207537.55,400563.01,766650.58,1524960.03,942466.39,1963119.92
投资活动产生的现金流量净额,-11452.2,-22092.21,-40302.05,-40227.57,-55431.39,-27401.92,-43662.11,-58093.69,-66290.03,-17251.32,-23182.78,-53395.61,-86910.47,-29754.29,-62280.43,-113826.9,-231134.85,-75424.49,-157511.64,-257826.04,-386597.23,-153668.67,-336827.39,-490062.93,-644139.58,-348479.05,-405127.61,-447080.11,-578099.67,-111903.61,-278680.38,-601399.17,-1279894.42,-736496.01,-1745103.9
吸收投资收到的现金,2065.0,6504.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67689.43,67689.43,67689.43,67689.43,0.0,0.0,0.0,99269.44,0.0,0.0,99129.5,0.0,0.0,305176.07,305159.07,551134.08,0.0,0.0,0.0,141050.0,0.0,0.0,497873.0,1403138.53,435000.0,515000.0
其中：子公司吸收少数股东投资收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141050.0,0.0,0.0,0.0,700000.0,435000.0,515000.0
取得借款收到的现金,25400.0,59500.0,84020.0,0.0,121202.2,48000.0,144010.0,0.0,197510.0,29110.0,94441.6,130441.6,156570.6,70000.0,177500.0,244417.0,274367.0,89288.43,249288.43,289288.43,510288.43,166050.0,219650.0,394006.0,607451.0,330140.26,479073.37,724402.53,920561.71,233962.58,388526.63,769269.52,1022017.52,1083986.81,1949522.75
发行债券收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99129.5,49887.5,89567.5,169402.5,309192.5,89925.0,89925.0,299289.0,448966.89,79760.0,109760.0,0.0,0.0,0.0,0.0
收到其他与筹资活动有关的现金,0.0,548.43,1150.01,0.0,3977.27,0.09,100.26,0.0,100.26,0.23,260.96,260.96,260.96,10.42,14.63,26.98,27.51,0.0,0.0,0.0,481.56,21.95,34.79,699.86,1239.41,47.04,74.49,74.49,711.62,99.05,133.7,179.37,296.89,0.0,466.74
筹资活动现金流入小计,27465.0,66552.43,85170.01,0.0,125179.47,48000.09,144110.26,0.0,197610.26,96799.66,162391.99,198391.99,224520.99,70010.42,177514.63,244443.98,373663.95,89288.43,249288.43,388417.93,609899.5,215959.45,614428.35,869267.43,1469017.0,420112.3,569072.86,1023766.02,1511290.22,313821.63,498420.33,1267321.88,2425452.93,1518986.81,2464989.49
偿还债务支付的现金,14214.0,41900.0,59303.01,0.0,88290.0,22800.0,60239.0,0.0,126082.0,42791.0,90847.0,130447.0,152441.0,45000.0,94876.0,145159.28,180521.35,35323.26,177590.13,214354.89,306900.92,95658.64,283152.24,374789.59,553984.52,195501.52,410815.78,811253.35,1095582.57,246200.45,447502.77,1010224.47,1299860.48,217384.96,341615.0
分配股利、利润或偿付利息所支付的现金,1868.5,3531.15,8797.28,0.0,9209.24,1684.06,10824.19,0.0,17186.07,2949.93,5476.92,13734.22,16347.74,2681.13,7178.51,10789.27,14492.74,3680.72,8320.39,29217.79,34196.88,5833.63,12962.97,101626.34,109560.52,7084.34,48782.93,117921.16,147417.3,9818.44,25223.34,62393.13,88377.69,19344.88,160007.25
其中：子公司支付给少数股东的股利、利润,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3663.0
支付其他与筹资活动有关的现金,563.0,1818.01,1002.19,0.0,3143.87,0.01,190.13,0.0,770.3,322.11,470.11,630.11,788.85,400.0,400.31,667.8,701.33,100.14,104.7,197.78,1664.0,0.08,147.52,147.6,232.06,4.08,3704.46,3729.97,3546.11,439.31,441.47,530.64,659.0,225.08,2440.84
筹资活动现金流出小计,16645.5,47249.16,69102.48,0.0,100643.12,24484.07,71253.33,0.0,144038.36,46063.04,96794.03,144811.33,169577.6,48081.13,102454.83,156616.34,195715.43,39104.12,186015.22,243770.46,342761.81,101492.34,296262.73,476563.52,663777.11,202589.93,463303.17,932904.49,1246545.98,256458.2,473167.58,1073148.23,1388897.17,236954.92,504063.09
筹资活动产生的现金流量净额,10819.5,19303.27,16067.53,30729.43,24536.36,23516.02,72856.93,77096.84,53571.9,50736.62,65597.97,53580.67,54943.4,21929.29,75059.8,87827.64,177948.52,50184.31,63273.21,144647.47,267137.69,114467.11,318165.63,392703.91,805239.89,217522.37,105769.7,90861.53,264744.24,57363.43,25252.75,194173.65,1036555.76,1282031.89,1960926.4
四、汇率变动对现金及现金等价物的影响,0.0,-46.96,-14.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.0,-23.47,-11.64,-11.64,0.0,-0.04,-0.04,-379.54,126.68,126.61
五、现金及现金等价物净增加额,5539.75,6145.6,-6439.34,9640.88,9754.8,-3264.69,17241.21,-4442.74,-631.98,34405.22,37089.61,13134.33,13571.38,4536.87,15236.28,17721.95,38354.08,-12343.94,-19312.39,14067.92,8787.44,-4730.2,65758.49,52662.1,339813.91,-152401.05,-317587.23,-284207.3,-177601.14,-67589.39,-112318.72,65357.53,755171.34,984138.19,1330010.19
加:期初现金及现金等价物余额,2654.25,8194.0,14339.61,0.0,7900.26,17655.06,17655.06,0.0,17655.06,17023.08,17023.08,17023.08,17023.08,30594.46,30594.46,30594.46,30594.46,68948.55,68948.55,68948.55,68948.55,77735.99,77735.99,77735.99,77735.99,417549.9,417549.9,417549.9,417549.9,271524.76,239948.76,239948.76,239948.76,995120.1,995120.1
六、期末现金及现金等价物余额,8194.0,14339.61,7900.26,0.0,17655.06,14390.38,34896.28,0.0,17023.08,51428.3,54112.7,30157.41,30594.46,35131.34,45830.74,48316.42,68948.55,56604.6,49636.16,83016.47,77735.99,73005.79,143494.48,130398.09,417549.9,265148.85,99962.67,133342.6,239948.76,203935.37,127630.04,305306.29,995120.1,1979258.29,2325130.28
净利润,9435.47,8560.95,35663.58,0.0,33020.79,0.0,7557.75,0.0,30382.95,0.0,-8045.85,0.0,8019.81,0.0,4683.25,0.0,59585.08,0.0,107242.89,0.0,232189.87,0.0,120026.83,0.0,236552.94,0.0,-7865.57,0.0,52807.9,0.0,-14956.04,0.0,633645.81,0.0,1175802.57
少数股东权益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
未确认的投资损失,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
资产减值准备,39.6,-37.38,-47.27,0.0,-17.0,0.0,-0.62,0.0,-0.69,0.0,-0.42,0.0,-0.42,0.0,0.14,0.0,1.27,0.0,5.57,0.0,0.53,0.0,15.45,0.0,45.59,0.0,4.57,0.0,66.11,0.0,337.6,0.0,153.7,0.0,308.84
固定资产折旧、油气资产折耗、生产性物资折旧,2544.63,3851.24,6318.16,0.0,9674.88,0.0,7158.89,0.0,15397.32,0.0,7201.61,0.0,14808.07,0.0,8855.01,0.0,22102.08,0.0,19235.4,0.0,46094.82,0.0,39507.53,0.0,88016.14,0.0,60750.69,0.0,127155.5,0.0,77047.28,0.0,166696.53,0.0,133922.31
无形资产摊销,3.71,49.66,78.95,0.0,211.62,0.0,226.42,0.0,455.46,0.0,253.75,0.0,526.87,0.0,281.94,0.0,571.65,0.0,296.12,0.0,615.74,0.0,406.66,0.0,887.99,0.0,504.35,0.0,1022.54,0.0,525.25,0.0,1111.27,0.0,798.06
长期待摊费用摊销,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,4.94,0.0,42.74,0.0,184.37,0.0,356.4,0.0,256.64,0.0,626.79,0.0,735.37
待摊费用的减少,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预提费用的增加,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
处置固定资产、无形资产和其他长期资产的损失,75.53,-8.52,0.0,0.0,-847.01,0.0,0.0,0.0,7.92,0.0,0.0,0.0,128.49,0.0,0.0,0.0,106.0,0.0,0.0,0.0,232.13,0.0,36.03,0.0,0.0,0.0,171.67,0.0,24.94,0.0,-1006.8,0.0,-554.02,0.0,1.49
固定资产报废损失,21.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.37,0.0,0.0,0.0,21.7,0.0,0.0,0.0,66.81,0.0,0.0,0.0,0.0,0.0,574.92,0.0,0.0,0.0,406.91,0.0,48.75,0.0,679.63,0.0,666.31
公允价值变动损失,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
递延收益增加（减：减少）,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预计负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
财务费用,1369.02,1564.12,4243.39,0.0,5148.28,0.0,2837.11,0.0,7574.69,0.0,5443.67,0.0,10519.23,0.0,5626.34,0.0,12483.9,0.0,7564.01,0.0,17854.26,0.0,14369.6,0.0,32455.51,0.0,26595.12,0.0,58110.3,0.0,32846.83,0.0,65516.34,0.0,39362.88
投资损失,69.6,-928.93,90.94,0.0,-108.64,0.0,-84.15,0.0,-9.62,0.0,-120.98,0.0,-198.97,0.0,-76.84,0.0,-133.27,0.0,-624.61,0.0,-812.29,0.0,-1102.06,0.0,-2151.63,0.0,-3001.6,0.0,-7048.97,0.0,-1687.28,0.0,-4226.07,0.0,-2481.67
递延所得税资产减少,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.01,0.0,-483.25,0.0,-788.5,0.0,-1986.37,0.0,-528.19
递延所得税负债增加,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
存货的减少,-6119.75,-5007.86,-23449.05,0.0,-7812.41,0.0,-32939.67,0.0,-51529.88,0.0,-5030.33,0.0,-1471.2,0.0,-20573.24,0.0,-12062.36,0.0,-39133.65,0.0,-146206.03,0.0,-65747.8,0.0,-156734.26,0.0,-83990.68,0.0,-162882.35,0.0,-4348.67,0.0,-135344.8,0.0,-416055.46
经营性应收项目的减少,-666.37,-1030.15,-2453.63,0.0,4398.01,0.0,-781.34,0.0,-2470.99,0.0,219.98,0.0,-1291.13,0.0,-6485.35,0.0,-12753.87,0.0,-17997.56,0.0,-39365.41,0.0,13078.0,0.0,8638.14,0.0,-9568.73,0.0,-37340.3,0.0,-63838.61,0.0,-115998.94,0.0,-36770.44
经营性应付项目的增加,-695.2,1815.7,-2635.64,0.0,-3018.7,0.0,4072.01,0.0,12278.99,0.0,-5251.39,0.0,14497.69,0.0,10123.97,0.0,21639.92,0.0,-1728.95,0.0,17643.19,0.0,-36174.92,0.0,-29614.47,0.0,-1990.04,0.0,103570.2,0.0,116672.51,0.0,388569.66,0.0,156433.33
已完工尚未结算款的减少(减:增加),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
已结算尚未完工款的增加(减:减少),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他,94.26,152.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61865.67
经营活动产生现金流量净额,6172.45,8981.5,17809.43,0.0,40649.83,0.0,-11953.61,0.0,12086.15,0.0,-5325.58,0.0,45538.45,0.0,2456.92,0.0,91540.41,0.0,74926.04,0.0,128246.98,0.0,84420.25,0.0,178713.6,0.0,-18205.85,0.0,135765.93,0.0,141108.95,0.0,998889.54,0.0,1114061.07
债务转为资本,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内到期的可转换公司债券,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
融资租入固定资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
现金的期末余额,8194.0,14339.61,7900.26,0.0,17655.06,0.0,34896.28,0.0,17023.08,0.0,54112.7,0.0,30594.46,0.0,45830.74,0.0,68948.55,0.0,49636.16,0.0,77735.99,0.0,143494.48,0.0,417549.9,0.0,99962.67,0.0,239948.76,0.0,127630.04,0.0,995120.1,0.0,2325130.28
现金的期初余额,2654.25,8194.0,14339.61,0.0,7900.26,0.0,17655.06,0.0,17655.06,0.0,17023.08,0.0,17023.08,0.0,30594.46,0.0,30594.46,0.0,68948.55,0.0,68948.55,0.0,77735.99,0.0,77735.99,0.0,417549.9,0.0,417549.9,0.0,239948.76,0.0,239948.76,0.0,995120.1
现金等价物的期末余额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
现金等价物的期初余额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
现金及现金等价物的净增加额,5539.75,6145.6,-6439.34,0.0,9754.8,0.0,17241.21,0.0,-631.98,0.0,37089.61,0.0,13571.38,0.0,15236.28,0.0,38354.08,0.0,-19312.39,0.0,8787.44,0.0,65758.49,0.0,339813.91,0.0,-317587.23,0.0,-177601.14,0.0,-112318.72,0.0,755171.34,0.0,1330010.19
