报表日期,2013-12-31,2014-12-31,2015-12-31,2016-12-31,2017-06-30,2017-12-31,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30
收回投资所收到的现金,0.0,0.0,0.0,133593.13,87790.0,322940.0,397280.0,192170.0,286000.0,384520.0,489300.0,142100.0,320400.0,479810.0,693516.06,63000.0,139000.0,159000.0,304951.51,88000.0,228300.0
取得投资收益所收到的现金,572.76,1082.07,793.14,582.93,229.42,781.28,1224.52,3972.88,4321.52,4779.78,5230.7,1853.61,3353.64,4400.39,2559.38,1843.32,4698.91,5924.4,17318.33,2392.77,5626.19
处置固定资产、无形资产和其他长期资产所收回的现金净额,0.7,3.63,7.1,0.0,0.0,7.69,14.5,0.17,0.0,1.41,1.41,60.0,0.1,82.5,85.6,56.24,69.04,69.04,101.69,0.0,0.0
处置子公司及其他营业单位收到的现金净额,0.0,0.0,0.0,0.0,0.0,0.0,1291.78,35.46,35.46,35.46,35.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
收到的其他与投资活动有关的现金,51.66,489.35,3215.0,3449.74,736.09,2282.49,25.05,0.0,2901.34,2936.19,3839.88,0.0,0.0,0.0,245.27,0.0,0.0,0.0,33.0,0.0,0.0
投资活动现金流入小计,315385.11,339733.05,233551.11,137625.8,88755.5,326011.47,399835.84,196178.51,293258.32,392272.83,498407.45,144013.61,323753.74,484292.89,696406.3,64899.55,143767.95,164993.44,322404.53,90392.77,233926.19
购建固定资产、无形资产和其他长期资产所支付的现金,10006.37,31547.05,36843.43,25848.02,21918.6,43102.38,51344.08,15332.9,21970.84,30701.23,40663.3,4555.72,21839.71,39390.58,58214.3,23667.85,38240.82,53854.06,69208.3,15603.75,44754.15
投资所支付的现金,0.0,0.0,0.0,171079.0,82790.0,353990.0,412200.0,179940.0,305640.0,443670.0,574430.0,162000.0,361200.0,727710.0,959613.03,58000.0,83000.02,109000.0,299128.93,108000.0,228600.0
取得子公司及其他营业单位支付的现金净额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
支付的其他与投资活动有关的现金,43.7,3806.34,163.89,0.0,0.0,1519.12,5385.26,0.0,1.5,837.83,840.02,0.0,0.0,39987.31,871.75,5000.0,37004.5,39136.0,3880.75,1037.62,2819.58
投资活动现金流出小计,321710.06,373511.39,301557.32,196927.02,104708.6,398611.5,468929.34,195272.9,327612.34,475209.06,615933.32,166555.72,383039.71,807087.89,1018699.08,86667.85,158245.34,201990.06,372217.98,124641.37,276173.72
投资活动产生的现金流量净额,-6324.95,-33778.34,-68006.2,-59301.22,-15953.1,-72600.03,-69093.49,905.61,-34354.02,-82936.23,-117525.88,-22542.11,-59285.97,-322794.99,-322292.78,-21768.3,-14477.4,-36996.62,-49813.45,-34248.6,-42247.53
吸收投资收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245790.76,244113.45,244113.45,0.0,0.0,0.0,0.0,0.0,0.0
其中：子公司吸收少数股东投资收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
取得借款收到的现金,259.78,1902.77,4429.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
发行债券收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
收到其他与筹资活动有关的现金,0.0,0.0,1852.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
筹资活动现金流入小计,259.78,1902.77,6281.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245790.76,244113.45,244113.45,0.0,0.0,0.0,0.0,0.0,0.0
偿还债务支付的现金,459.78,200.0,50.0,3679.49,0.0,2970.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
分配股利、利润或偿付利息所支付的现金,2621.41,28.27,279.09,226.98,86.73,173.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14141.85,20055.0,0.0,15192.75,22461.6,22461.6,0.0,16259.92
其中：子公司支付给少数股东的股利、利润,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
支付其他与筹资活动有关的现金,0.0,1852.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.43,233.06,255.95,431.61,22.01,49.94
筹资活动现金流出小计,3081.19,2081.04,329.09,3906.47,86.73,3143.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14141.85,20055.0,87.43,15425.81,22717.55,22893.21,22.01,16309.86
筹资活动产生的现金流量净额,-2821.41,-178.27,5952.87,-3906.47,-86.73,-3143.27,0.0,0.0,0.0,0.0,0.0,0.0,245790.76,229971.6,224058.45,-87.43,-15425.81,-22717.55,-22893.21,-22.01,-16309.86
四、汇率变动对现金及现金等价物的影响,0.0,0.0,193.95,103.03,-61.28,-225.05,195.38,61.63,266.47,410.48,449.94,139.05,132.26,-95.71,-88.13,68.02,1382.33,1373.69,-267.66,-72.56,377.61
五、现金及现金等价物净增加额,7563.2,-4314.51,-11612.02,5509.18,3771.8,18991.54,-27094.37,29968.6,3586.07,-970.43,-1315.3,1103.9,248649.13,4650.17,25811.8,-830.76,16078.7,19817.55,34843.31,-11035.17,-30054.99
加:期初现金及现金等价物余额,15594.01,23157.2,18842.69,7230.67,12739.85,12739.85,31731.39,4637.02,4637.02,4637.02,4637.02,3321.72,3321.72,3321.72,3321.72,29133.52,29133.52,29133.52,29133.52,63976.83,63976.83
六、期末现金及现金等价物余额,23157.2,18842.69,7230.67,12739.85,16511.65,31731.39,4637.02,34605.61,8223.09,3666.59,3321.72,4425.62,251970.85,7971.89,29133.52,28302.77,45212.22,48951.07,63976.83,52941.67,33921.85
净利润,0.0,0.0,0.0,0.0,0.0,107995.43,93396.52,9766.74,26770.92,0.0,116728.07,12311.17,30764.74,0.0,123071.07,0.0,37276.94,0.0,145275.46,0.0,-19760.72
少数股东权益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
未确认的投资损失,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
资产减值准备,0.0,0.0,0.0,0.0,0.0,245.72,2747.23,-30.68,0.0,0.0,99.81,-392.64,-346.24,0.0,316.7,0.0,0.0,0.0,378.54,0.0,0.0
固定资产折旧、油气资产折耗、生产性物资折旧,0.0,0.0,0.0,0.0,0.0,4529.77,8637.72,1197.35,5079.64,0.0,11071.29,3496.08,7041.52,0.0,15238.31,0.0,8424.2,0.0,16856.19,0.0,8948.45
无形资产摊销,0.0,0.0,0.0,0.0,0.0,568.36,479.64,128.19,256.34,0.0,511.86,130.54,310.42,0.0,721.24,0.0,619.1,0.0,1207.74,0.0,924.8
长期待摊费用摊销,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.68,0.0,159.59,46.45,92.9,0.0,179.81,0.0,88.05,0.0,174.32,0.0,88.14
待摊费用的减少,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预提费用的增加,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
处置固定资产、无形资产和其他长期资产的损失,0.0,0.0,0.0,0.0,0.0,101.04,-8.23,0.0,83.25,0.0,168.24,-20.25,247.2,0.0,-32.97,0.0,-50.46,0.0,0.1,0.0,0.15
固定资产报废损失,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,685.03,0.0,29.65,0.0,169.48,0.0,5.45
公允价值变动损失,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-290.7,-932.54,0.0,-2239.3,-517.16,-639.52,0.0,4277.02,0.0,2250.72,0.0,5445.46,0.0,6717.76
递延收益增加（减：减少）,0.0,0.0,0.0,0.0,0.0,-223.86,-629.91,-167.29,0.0,0.0,-669.23,-167.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预计负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
财务费用,0.0,0.0,0.0,0.0,0.0,211.71,-67.17,-229.89,422.5,0.0,467.66,116.92,-17.11,0.0,-26.22,0.0,-968.93,0.0,-14489.14,0.0,-4468.45
投资损失,0.0,0.0,0.0,0.0,0.0,-1156.84,-2330.58,-2680.91,-3037.87,0.0,-4616.38,-1273.91,-1983.91,0.0,-6324.17,0.0,-2615.1,0.0,-14008.4,0.0,-7167.94
递延所得税资产减少,0.0,0.0,0.0,0.0,0.0,-603.54,711.04,756.18,-406.51,0.0,281.93,0.0,0.0,0.0,-1492.75,0.0,-1217.84,0.0,-1587.48,0.0,-1040.64
递延所得税负债增加,0.0,0.0,0.0,0.0,0.0,0.0,388.94,0.0,940.23,0.0,1731.3,-849.39,-1854.49,0.0,586.85,0.0,212.17,0.0,436.64,0.0,-503.67
存货的减少,0.0,0.0,0.0,0.0,0.0,-7271.72,-17601.65,-6385.04,-9377.72,0.0,-9860.17,-2875.81,-5379.78,0.0,-2529.96,0.0,-8324.01,0.0,-15846.59,0.0,-14628.17
经营性应收项目的减少,0.0,0.0,0.0,0.0,0.0,-10268.95,-54464.95,26125.98,23106.67,0.0,-8765.67,25546.36,39255.14,0.0,-871.25,0.0,8555.33,0.0,-15518.28,0.0,62900.37
经营性应付项目的增加,0.0,0.0,0.0,0.0,0.0,832.78,10545.15,811.43,-5186.42,0.0,10324.06,-12044.11,-5144.19,0.0,-9170.66,0.0,16.06,0.0,-3038.94,0.0,-4932.93
已完工尚未结算款的减少(减:增加),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
已结算尚未完工款的增加(减:减少),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-334.65,0.0,0.0,0.0,-334.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
经营活动产生现金流量净额,0.0,0.0,0.0,0.0,0.0,94959.89,41803.75,29001.35,37673.62,0.0,115393.05,23506.96,62012.08,0.0,124134.26,0.0,44599.58,0.0,107817.64,0.0,28124.8
债务转为资本,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内到期的可转换公司债券,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
融资租入固定资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
现金的期末余额,0.0,0.0,0.0,0.0,0.0,31731.39,4637.02,34605.61,8223.09,0.0,3321.72,4425.62,251970.85,0.0,29133.52,0.0,45212.22,0.0,63976.83,0.0,33921.85
现金的期初余额,0.0,0.0,0.0,0.0,0.0,12739.85,31731.39,4637.02,4637.02,0.0,4637.02,3321.72,3321.72,0.0,3321.72,0.0,29133.52,0.0,29133.52,0.0,63976.83
现金等价物的期末余额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
现金等价物的期初余额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
现金及现金等价物的净增加额,0.0,0.0,0.0,0.0,0.0,18991.54,-27094.37,29968.6,3586.07,0.0,-1315.3,1103.9,248649.13,0.0,25811.8,0.0,16078.7,0.0,34843.31,0.0,-30054.99
