报表日期,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31
收回投资所收到的现金,0.0,0.0,0.0,2500.0,0.0,0.0,0.0,5500.0,0.0,2800.0,4800.0,7000.0,1000.0,3200.0,4000.0,9080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
取得投资收益所收到的现金,0.0,0.0,0.0,20.49,0.0,0.0,0.0,60.71,0.0,30.99,59.52,86.77,4.96,32.9,36.74,36.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
处置固定资产、无形资产和其他长期资产所收回的现金净额,0.0,0.0,0.0,45.4,0.0,70.0,0.0,70.0,0.0,0.0,0.0,0.72,0.0,2.54,4.78,83.19,0.0,0.0,0.0,0.0,0.0,39.0,39.0,59.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2350.0,200.0,400.0,550.0,550.0,0.0,504.0,754.0,754.0
处置子公司及其他营业单位收到的现金净额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10300.0,10298.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
收到的其他与投资活动有关的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,0.0,0.0,0.0,5500.0,0.69,0.0,0.0,5500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
投资活动现金流入小计,0.0,0.0,0.0,2565.89,0.0,70.0,0.0,5630.71,0.0,2830.99,4859.52,7087.49,1004.96,3235.44,4041.52,9199.93,0.0,0.0,0.0,0.0,0.0,39.0,10339.0,14358.32,0.0,0.0,0.0,5500.0,0.69,0.0,0.0,7850.0,200.0,400.0,550.0,550.0,0.0,504.0,754.0,754.0
购建固定资产、无形资产和其他长期资产所支付的现金,322.53,561.77,1059.87,1116.81,14.35,76.4,130.61,1079.05,207.04,237.11,241.08,277.74,2.84,17.23,17.23,1347.22,106.52,106.52,127.76,1734.48,0.0,22.65,564.57,233.15,12.57,16.05,17.89,1334.24,0.0,0.0,0.0,720.16,0.0,0.0,0.0,8.7,0.0,0.0,10.76,17.46
投资所支付的现金,0.0,0.0,300.0,1200.0,0.0,0.0,0.0,5300.0,2600.0,5300.0,6200.0,7000.0,2000.0,4000.0,4000.0,9080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4843.57,4843.57,4843.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
取得子公司及其他营业单位支付的现金净额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
支付的其他与投资活动有关的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5372.15,0.0,0.0,0.0,3140.5,0.0,0.0,0.0,6500.0,0.0,0.0,0.0,5500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
投资活动现金流出小计,322.53,561.77,1359.87,2316.81,14.35,76.4,130.61,6379.05,2807.04,5537.11,6441.08,7277.74,2002.84,4017.23,4017.23,16044.46,106.52,106.52,127.76,4874.98,0.0,22.65,564.57,6733.15,12.57,16.05,17.89,6834.24,0.0,4843.57,4843.57,5563.73,0.0,0.0,0.0,8.7,0.0,0.0,10.76,17.46
投资活动产生的现金流量净额,-322.53,-561.77,-1359.87,249.08,-14.35,-6.4,-130.61,-748.33,-2807.04,-2706.12,-1581.55,-190.24,-997.88,-781.8,24.29,-6844.53,-106.52,-106.52,-127.76,-4874.98,0.0,16.35,9774.43,7625.17,-12.57,-16.05,-17.89,-1334.24,0.69,-4843.57,-4843.57,2286.27,200.0,400.0,550.0,541.3,0.0,504.0,743.24,736.54
吸收投资收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其中：子公司吸收少数股东投资收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
取得借款收到的现金,0.0,0.0,0.0,800.0,100.0,300.0,500.0,900.0,100.0,300.0,500.0,900.0,100.0,300.0,500.0,2900.0,300.0,600.0,700.0,700.0,0.0,0.0,0.0,4310.08,0.0,0.0,0.0,1050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
发行债券收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
收到其他与筹资活动有关的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2035.6,0.0,0.0,0.0,15.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
筹资活动现金流入小计,0.0,0.0,0.0,800.0,100.0,300.0,500.0,900.0,100.0,300.0,500.0,900.0,100.0,300.0,500.0,2900.0,300.0,600.0,700.0,2735.6,0.0,0.0,0.0,4325.51,0.0,0.0,0.0,1050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
偿还债务支付的现金,0.0,0.0,0.0,800.0,0.0,200.0,400.0,800.0,100.0,300.0,500.0,900.0,100.0,300.0,500.0,900.0,200.0,2700.0,2900.0,3600.0,0.0,0.0,0.0,3811.51,0.0,0.0,0.0,450.0,0.0,1050.0,1050.0,1050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
分配股利、利润或偿付利息所支付的现金,15.11,30.35,45.78,60.9,13.66,33.06,50.73,66.51,16.61,33.7,50.06,66.27,13.77,27.34,42.04,80.36,49.06,74.14,86.06,84.97,0.6,2.07,2.68,49.58,0.57,13.15,13.15,22.94,13.97,22.57,22.57,26.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其中：子公司支付给少数股东的股利、利润,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
支付其他与筹资活动有关的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.25,0.0,0.0,0.0,0.0,0.0,205.54,0.0,597.04,0.0,0.0,0.0,190.43,0.0,0.0,0.0,373.69,0.0,0.0,0.0,1289.47
筹资活动现金流出小计,15.11,30.35,45.78,860.9,13.66,233.06,450.73,866.51,116.61,333.7,550.06,966.27,113.77,327.34,542.04,980.36,249.06,2774.14,2986.06,3862.22,0.6,2.07,2.68,3861.09,0.57,218.68,13.15,1069.98,13.97,1072.57,1072.57,1267.43,0.0,0.0,0.0,373.69,0.0,0.0,0.0,1289.47
筹资活动产生的现金流量净额,-15.11,-30.35,-45.78,-60.9,86.34,66.94,49.27,33.49,-16.61,-33.7,-50.06,-66.27,-13.77,-27.34,-42.04,1919.64,50.94,-2174.14,-2286.06,-1126.62,-0.6,-2.07,-2.68,464.42,-0.57,-218.68,-13.15,-19.98,-13.97,-1072.57,-1072.57,-1267.43,0.0,0.0,0.0,-373.69,0.0,0.0,0.0,-1289.47
四、汇率变动对现金及现金等价物的影响,-0.25,0.0,0.0,-1.67,3.23,0.0,0.0,0.05,6.29,0.0,0.0,1.07,-0.2,0.79,1.07,2.63,-0.63,-1.19,-2.0,-2.62,-2.62,0.32,1.98,1.54,-0.98,0.11,0.11,0.88,0.0,3.4,4.12,-2.62,0.42,0.86,4.18,-0.97,-0.34,4.68,9.2,8.93
五、现金及现金等价物净增加额,-2341.38,-915.86,1034.41,3331.32,-3117.29,-2535.88,-2948.0,1965.77,-5030.41,-5637.07,-4909.27,-2079.17,-3086.23,-3975.48,-3635.2,-7911.41,3451.62,490.24,401.32,-1408.05,-422.64,-501.77,6306.71,7631.59,-728.25,-443.82,-1124.39,-1019.66,-201.96,257.53,495.78,-6599.19,-542.62,-482.68,548.95,710.04,-504.33,-562.17,-284.96,-705.35
加:期初现金及现金等价物余额,7511.13,6942.37,7197.89,6942.37,10272.95,10796.56,10554.21,10273.7,12421.85,12421.85,12421.85,12239.47,10160.3,10160.3,10160.3,10160.3,2760.04,2483.32,2248.89,2248.89,840.85,840.85,840.85,840.85,8472.43,8472.43,8472.43,8472.43,13527.43,7452.78,7452.78,7452.78,853.59,853.59,853.59,853.59,1864.54,1864.54,1864.54,1563.63
六、期末现金及现金等价物余额,5169.75,6026.51,8232.3,10273.7,7155.66,8260.67,7606.21,12239.47,7391.44,6784.78,7512.59,10160.3,7074.07,6184.82,6525.1,2248.89,6211.66,2973.56,2650.21,840.85,418.2,339.07,7147.55,8472.43,7744.18,8028.62,7348.04,7452.78,13325.47,7710.31,7948.55,853.59,310.97,370.91,1402.54,1563.63,1360.22,1302.37,1579.59,858.28
净利润,0.0,-48.06,0.0,966.08,0.0,-181.25,0.0,605.81,0.0,-156.38,0.0,485.75,0.0,-1316.93,0.0,-9958.86,0.0,-2028.55,0.0,-39815.6,0.0,-1447.26,0.0,1409.82,0.0,-358.09,0.0,-4013.32,0.0,-1187.42,0.0,6266.5,0.0,-1185.36,0.0,1759.87,0.0,0.0,0.0,-2526.94
少数股东权益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
未确认的投资损失,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
资产减值准备,0.0,-37.91,0.0,477.41,0.0,0.0,0.0,-586.31,0.0,0.0,0.0,-744.87,0.0,5.86,0.0,5514.31,0.0,22.12,0.0,4181.11,0.0,56.35,0.0,54.26,0.0,0.0,0.0,2245.97,0.0,0.0,0.0,-0.82,0.0,0.0,0.0,964.62,0.0,0.0,0.0,4.22
固定资产折旧、油气资产折耗、生产性物资折旧,0.0,314.26,0.0,655.4,0.0,362.0,0.0,708.56,0.0,281.17,0.0,689.08,0.0,348.35,0.0,675.91,0.0,251.62,0.0,518.81,0.0,232.08,0.0,504.94,0.0,588.16,0.0,336.47,0.0,166.06,0.0,337.36,0.0,156.93,0.0,321.17,0.0,0.0,0.0,359.52
无形资产摊销,0.0,6.77,0.0,13.55,0.0,6.77,0.0,13.55,0.0,6.77,0.0,13.55,0.0,6.77,0.0,20.15,0.0,19.97,0.0,39.95,0.0,19.97,0.0,38.04,0.0,17.69,0.0,35.37,0.0,483.54,0.0,30.89,0.0,13.2,0.0,26.4,0.0,0.0,0.0,26.4
长期待摊费用摊销,0.0,158.28,0.0,316.56,0.0,158.28,0.0,279.64,0.0,3.19,0.0,11.21,0.0,6.34,0.0,13.21,0.0,-127.53,0.0,60.48,0.0,23.69,0.0,61.81,0.0,24.44,0.0,48.87,0.0,4.07,0.0,4.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
待摊费用的减少,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预提费用的增加,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
处置固定资产、无形资产和其他长期资产的损失,0.0,0.0,0.0,-19.34,0.0,-7.41,0.0,-13.94,0.0,-8.1,0.0,-6.47,0.0,12.19,0.0,35.61,0.0,13.89,0.0,0.0,0.0,0.0,0.0,-1578.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3274.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51
固定资产报废损失,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.87,0.0,0.0,0.0,0.3,0.0,0.0,0.0,17.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
公允价值变动损失,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
递延收益增加（减：减少）,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预计负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
财务费用,0.0,19.6,0.0,37.1,0.0,1.42,0.0,66.51,0.0,19.3,0.0,66.27,0.0,26.98,0.0,81.48,0.0,69.86,0.0,105.6,0.0,2.07,0.0,49.84,0.0,13.22,0.0,127.77,0.0,25.26,0.0,168.47,0.0,52.47,0.0,33.03,0.0,0.0,0.0,49.23
投资损失,0.0,0.93,0.0,-67.9,0.0,0.63,0.0,-56.68,0.0,-56.19,0.0,-85.91,0.0,-32.9,0.0,-42.71,0.0,0.0,0.0,0.94,0.0,0.0,0.0,-3468.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1908.36
递延所得税资产减少,0.0,0.0,0.0,-140.25,0.0,0.0,0.0,146.55,0.0,0.0,0.0,191.5,0.0,0.0,0.0,695.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
递延所得税负债增加,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
存货的减少,0.0,-513.57,0.0,830.74,0.0,-919.97,0.0,-247.37,0.0,-1277.26,0.0,352.43,0.0,-139.09,0.0,421.03,0.0,207.1,0.0,376.0,0.0,-56.35,0.0,-250.35,0.0,-359.13,0.0,-729.65,0.0,-413.3,0.0,20.76,0.0,410.33,0.0,189.62,0.0,0.0,0.0,-493.16
经营性应收项目的减少,0.0,1030.35,0.0,4397.07,0.0,-2092.04,0.0,563.73,0.0,-1267.52,0.0,-1842.45,0.0,124.58,0.0,1783.7,0.0,5151.91,0.0,9676.06,0.0,3311.87,0.0,4634.02,0.0,-1192.75,0.0,519.93,0.0,-503.58,0.0,-8699.93,0.0,-199.34,0.0,-2495.17,0.0,0.0,0.0,1727.77
经营性应付项目的增加,0.0,-1254.39,0.0,-4321.75,0.0,75.14,0.0,1200.52,0.0,-442.23,0.0,-958.66,0.0,-2209.28,0.0,-2228.95,0.0,1754.76,0.0,29435.09,0.0,-3256.09,0.0,-1914.79,0.0,850.72,0.0,1251.84,0.0,1994.68,0.0,-15456.65,0.0,-574.08,0.0,-141.34,0.0,0.0,0.0,-1023.04
已完工尚未结算款的减少(减:增加),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
已结算尚未完工款的增加(减:减少),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,597.28,0.0,0.0,0.0,239.33,0.0,-138.46,0.0,5600.96,0.0,0.0,0.0,0.0,0.0,-1459.6,0.0,0.0,0.0,0.0
经营活动产生现金流量净额,0.0,-323.73,0.0,3144.82,0.0,-2596.42,0.0,2680.56,0.0,-2897.25,0.0,-1823.72,0.0,-3167.13,0.0,-2989.15,0.0,-808.31,0.0,4596.18,0.0,-516.37,0.0,-459.55,0.0,-209.19,0.0,333.68,0.0,6170.27,0.0,-7615.41,0.0,-883.54,0.0,543.4,0.0,0.0,0.0,-161.36
债务转为资本,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内到期的可转换公司债券,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
融资租入固定资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
现金的期末余额,0.0,6026.51,0.0,10273.7,0.0,8260.67,0.0,12239.47,0.0,6784.78,0.0,10160.3,0.0,6184.82,0.0,2248.89,0.0,2739.13,0.0,840.85,0.0,0.0,0.0,8472.43,0.0,8028.62,0.0,7452.78,0.0,7710.31,0.0,853.59,0.0,370.91,0.0,1563.63,0.0,0.0,0.0,995.19
现金的期初余额,0.0,6942.37,0.0,6942.37,0.0,10796.56,0.0,10273.7,0.0,12421.85,0.0,12239.47,0.0,10160.3,0.0,10160.3,0.0,2248.89,0.0,2248.89,0.0,840.85,0.0,840.85,0.0,8472.43,0.0,8472.43,0.0,7452.78,0.0,7452.78,0.0,853.59,0.0,853.59,0.0,0.0,0.0,1563.63
现金等价物的期末余额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,339.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
现金等价物的期初余额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
现金及现金等价物的净增加额,0.0,-915.86,0.0,3331.32,0.0,-2535.88,0.0,1965.77,0.0,-5637.07,0.0,-2079.17,0.0,-3975.48,0.0,-7911.41,0.0,490.24,0.0,-1408.05,0.0,-501.77,0.0,7631.59,0.0,-443.82,0.0,-1019.66,0.0,257.53,0.0,-6599.19,0.0,-482.68,0.0,710.04,0.0,0.0,0.0,-705.35
