报表日期,2013-12-31,2014-12-31,2015-12-31,2016-12-31,2017-12-31,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30
长期待摊费用摊销,0.0,0.0,0.0,57.83,45.07,35.86,44.67,5.07,9.28,13.2
待摊费用的减少,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预提费用的增加,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
处置固定资产、无形资产和其他长期资产的损失,0.0,0.0,0.0,-8.21,1.29,-9.41,-9.41,0.27,0.88,0.63
固定资产报废损失,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
公允价值变动损失,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
递延收益增加（减：减少）,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预计负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
财务费用,0.0,0.0,0.0,1.76,0.0,0.0,0.0,0.0,0.0,0.0
投资损失,0.0,0.0,0.0,-5.14,0.05,0.0,0.0,0.0,0.0,0.0
递延所得税资产减少,0.0,0.0,0.0,-36.92,114.53,-130.25,-31.69,-17.17,-367.66,-84.71
递延所得税负债增加,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
存货的减少,0.0,0.0,0.0,199.78,146.0,-1439.26,686.55,-2414.28,-3860.14,-4158.08
经营性应收项目的减少,0.0,0.0,0.0,-2076.18,-2045.01,-964.96,-4014.19,2385.99,2210.65,1326.03
经营性应付项目的增加,0.0,0.0,0.0,1229.03,-326.07,-4260.85,-423.5,-4082.29,-3195.06,-3558.43
已完工尚未结算款的减少(减:增加),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
已结算尚未完工款的增加(减:减少),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
经营活动产生现金流量净额,0.0,0.0,0.0,4809.92,3049.86,-7295.99,1993.11,-5864.97,-7341.4,-6317.92
债务转为资本,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内到期的可转换公司债券,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
融资租入固定资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
现金的期末余额,0.0,0.0,0.0,17049.78,19944.86,9112.07,18295.37,17379.6,15839.16,16837.79
现金的期初余额,0.0,0.0,0.0,9718.14,17049.78,19944.86,19944.86,18295.37,18295.37,18295.37
现金等价物的期末余额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
现金等价物的期初余额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
现金及现金等价物的净增加额,0.0,0.0,0.0,7331.64,2895.08,-10832.79,-1649.49,-915.76,-2456.2,-1457.58
