报表日期,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31
收回投资所收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38200.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,390000.0,60780.7
取得投资收益所收到的现金,0.0,0.0,0.0,0.0,244.17,278.65,0.0,19.42,29.86,35.71,0.0,0.0,16.09,16.09,0.0,0.0,0.0,968.23,1305.93,1765.33,866.28,1152.29,0.0,-765.44,-765.44,0.0,0.0,1072.65,2197.68,3100.23,333.01
处置固定资产、无形资产和其他长期资产所收回的现金净额,0.61,1.98,44.09,19.09,0.0,2.93,0.0,9.04,12.92,14.11,0.0,0.0,0.0,97.99,0.0,31.0,35.52,80.44,0.05,0.05,0.05,11.72,0.0,0.0,0.0,2.2,0.0,1.13,1.13,1.2,0.0
处置子公司及其他营业单位收到的现金净额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
收到的其他与投资活动有关的现金,525.3,1015.5,1677.34,1795.82,1250.35,1350.35,0.0,3496.13,4016.88,4204.09,0.0,0.0,0.0,584.0,0.0,846.64,0.0,130.65,0.0,0.0,0.0,2544.3,0.0,2085.7,3090.88,2529.23,0.0,120732.07,281001.64,305.61,0.0
投资活动现金流入小计,525.91,1017.48,1721.43,1814.91,1494.52,1631.94,0.0,3524.58,4059.67,4253.91,0.0,0.0,16.09,698.08,0.0,877.64,35.52,1179.33,1305.98,1765.38,866.33,41908.31,360.0,1320.25,2325.44,2531.43,0.0,121805.85,283200.46,393407.04,61113.71
购建固定资产、无形资产和其他长期资产所支付的现金,13732.32,13216.89,9172.9,6749.41,9036.78,12322.49,4143.88,10060.02,16930.43,23636.87,3642.33,9842.11,20943.98,30340.15,9879.3,26234.03,41674.29,54315.77,12886.07,26414.08,42710.96,51075.21,10065.61,28377.08,58400.57,101495.98,22439.84,57556.93,112700.58,165973.76,61351.58
投资所支付的现金,0.0,0.0,0.0,720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3756.74,0.0,25025.8,25025.8,57200.0,577.98,1423.33,9667.02,7386.17,1500.0,2500.0,8700.0,437700.0,109932.2
取得子公司及其他营业单位支付的现金净额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,872.17,0.0,0.0,0.0,10252.98,3009.0
支付的其他与投资活动有关的现金,1347.48,0.0,259.25,105.0,12784.38,3366.13,0.0,411.63,6430.14,574.02,0.0,0.0,0.0,386.0,0.0,0.0,34600.03,1477.05,2000.0,0.0,0.0,3622.94,0.0,0.0,0.0,2954.26,0.0,260000.0,390000.0,1.05,0.0
投资活动现金流出小计,15079.8,13216.89,9432.15,7574.41,21821.16,15688.62,4143.88,10471.65,23360.57,24210.89,3642.33,9842.11,20943.98,30726.15,9879.3,26234.03,76274.32,59549.56,14886.07,51439.87,67736.76,111898.15,10643.59,29800.41,68067.58,112708.59,23939.84,320056.93,511400.58,613927.79,174292.78
投资活动产生的现金流量净额,-14553.89,-12199.4,-7710.71,-5759.5,-20326.64,-14056.69,-4143.88,-6947.07,-19300.9,-19956.98,-3642.33,-9842.11,-20927.89,-30028.07,-9879.3,-25356.39,-76238.8,-58370.23,-13580.09,-49674.5,-66870.43,-69989.84,-10283.59,-28480.15,-65742.15,-110177.15,-23939.84,-198251.08,-228200.12,-220520.74,-113179.07
吸收投资收到的现金,30025.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65755.89,15303.52,15303.52,15303.52,15275.59,0.0,0.0,3304.82,3304.82,0.0,3096.24,3096.24,3096.24,0.0,0.0,239654.34,239362.89,2637.89,2637.89,40636.09,603868.97,38773.14
其中：子公司吸收少数股东投资收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
取得借款收到的现金,8500.0,4000.0,5000.0,5000.0,0.0,8000.0,6600.0,10600.0,10600.0,23600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,3000.0,0.0,0.0,15000.0,15000.0,0.0,0.0,16000.0,105707.75,0.0
发行债券收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
收到其他与筹资活动有关的现金,0.0,0.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3697.42,3697.42,3697.42,3697.42,0.0,0.0,848.94,718.76,355.89,0.0,0.0,0.0,0.0,0.0,0.0,308.94,0.0,0.0,0.0,0.0,0.0
筹资活动现金流入小计,38525.48,4000.0,5230.0,5000.0,0.0,8000.0,6600.0,10600.0,10600.0,89355.89,19000.94,19000.94,19000.94,18973.01,0.0,0.0,4153.76,4023.58,355.89,3096.24,6096.24,6096.24,0.0,0.0,254654.34,254671.83,2637.89,2637.89,56636.09,709576.72,38773.14
偿还债务支付的现金,9800.0,4600.0,5100.0,4208.0,5992.0,6992.0,0.0,7000.0,10000.0,13000.0,18600.0,18600.0,18600.0,18600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,14000.0,1000.0,1220.79,17285.37,69268.44,0.0
分配股利、利润或偿付利息所支付的现金,3129.71,873.8,685.39,1458.38,205.19,2259.36,0.0,316.39,3390.85,3539.91,127.57,5940.68,5940.68,5914.64,0.0,8053.59,8053.59,8053.38,0.0,9256.4,9256.4,9312.21,0.0,11565.99,11659.52,11809.82,5.45,78.61,14815.48,15196.8,388.98
其中：子公司支付给少数股东的股利、利润,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0
支付其他与筹资活动有关的现金,1507.8,0.0,462.5,77.0,70.5,70.5,0.0,3575.43,3630.27,4608.31,0.0,0.0,0.0,970.41,148.38,148.38,148.38,240.45,585.39,585.39,725.59,3993.68,0.0,270.03,270.03,2075.53,569.91,571.61,656.69,4040.81,0.0
筹资活动现金流出小计,14437.52,5473.8,6247.89,5743.38,6267.69,9321.86,0.0,10891.82,17021.12,21148.22,18727.57,24540.68,24540.68,25485.05,148.38,8201.97,8201.97,8293.83,585.39,9841.79,9981.99,16305.89,0.0,11836.02,11929.55,27885.35,1575.36,1871.02,32757.55,88506.05,388.98
筹资活动产生的现金流量净额,24087.96,-1473.8,-1017.89,-743.38,-6267.69,-1321.86,6600.0,-291.82,-6421.12,68207.67,273.37,-5539.74,-5539.74,-6512.04,-148.38,-8201.97,-4048.21,-4270.25,-229.5,-6745.55,-3885.75,-10209.65,0.0,-11836.02,242724.79,226786.48,1062.53,766.87,23878.55,621070.67,38384.16
四、汇率变动对现金及现金等价物的影响,-36.36,-15.22,-359.2,-52.14,605.16,1386.67,-829.52,211.92,528.74,2500.98,-1.14,-1484.93,-3236.0,-4939.44,-2386.11,-2598.03,-1372.68,-1191.89,53.68,-28.85,-28.85,1098.36,223.6,-200.0,-453.04,-2821.06,-314.7,-248.75,113.97,-817.51,-4837.57
五、现金及现金等价物净增加额,12086.07,-10249.94,1503.93,6149.56,-4056.08,11707.54,7693.9,2186.52,-457.44,78587.24,12058.19,-1707.72,-5084.33,-21839.52,1512.86,-10035.06,-54351.64,-22326.28,-6194.17,-40975.75,-35683.37,-19014.34,-5139.27,-26975.02,211143.93,170717.42,-13126.1,-149691.08,-169663.71,411047.44,-59171.78
加:期初现金及现金等价物余额,4834.19,16920.26,6670.33,8174.26,14323.83,14323.83,26031.36,26031.36,26031.36,26031.36,104618.6,104618.6,104618.6,104618.6,82779.08,82779.08,82779.08,82779.08,65997.1,60452.8,60452.8,60452.8,41438.47,41438.47,41438.47,41438.47,212155.89,212155.89,212155.89,212155.89,623445.72
六、期末现金及现金等价物余额,16920.26,6670.33,8174.26,14323.83,10267.75,26031.36,33725.26,28217.88,25573.93,104618.6,116676.79,102910.88,99534.28,82779.08,84291.94,72744.02,28427.44,60452.8,59802.93,19477.05,24769.43,41438.47,36299.2,14463.45,252582.39,212155.89,199029.78,62464.81,42492.17,623203.32,564273.94
净利润,7578.66,7139.32,8476.69,11370.55,0.0,16971.69,0.0,10141.92,0.0,27560.46,0.0,13967.01,0.0,36004.84,0.0,14019.84,0.0,40645.04,0.0,22931.84,0.0,55386.38,0.0,31560.99,0.0,72205.19,0.0,42932.5,0.0,106925.57,0.0
少数股东权益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
未确认的投资损失,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
资产减值准备,238.87,201.87,133.47,493.68,0.0,-33.52,0.0,150.51,0.0,333.49,0.0,-160.03,0.0,895.54,0.0,-443.88,0.0,485.11,0.0,491.03,0.0,960.5,0.0,1506.71,0.0,2575.1,0.0,816.66,0.0,2238.0,0.0
固定资产折旧、油气资产折耗、生产性物资折旧,0.0,0.0,3937.01,4635.16,0.0,5131.06,0.0,2898.46,0.0,6072.86,0.0,3194.29,0.0,7298.67,0.0,4806.15,0.0,10044.94,0.0,5630.17,0.0,11797.46,0.0,0.0,0.0,15092.28,0.0,9259.13,0.0,19452.01,0.0
无形资产摊销,0.0,0.0,97.9,140.49,0.0,181.44,0.0,97.56,0.0,199.14,0.0,104.95,0.0,217.09,0.0,119.79,0.0,303.22,0.0,208.59,0.0,425.46,0.0,7484.65,0.0,590.59,0.0,484.8,0.0,1016.99,0.0
长期待摊费用摊销,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.44,0.0,2.8,0.0,49.83,0.0,121.6,0.0,272.14,0.0,154.4,0.0,305.34,0.0,76.08,0.0,241.81,0.0
待摊费用的减少,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预提费用的增加,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
处置固定资产、无形资产和其他长期资产的损失,1.34,0.97,-7.38,12.43,0.0,-3.36,0.0,0.59,0.0,3.58,0.0,3.08,0.0,0.0,0.0,0.0,0.0,-36.51,0.0,-4.38,0.0,-8.16,0.0,33.51,0.0,-1.68,0.0,-0.87,0.0,-0.87,0.0
固定资产报废损失,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.84,0.0,59.44,0.0,0.0,0.0,2.6,0.0,0.0,0.0,35.18,0.0,0.0,0.0,88.31,0.0
公允价值变动损失,0.0,0.0,-50.26,56.22,0.0,-6.99,0.0,95.66,0.0,1.04,0.0,0.0,0.0,322.02,0.0,-322.02,0.0,-1032.98,0.0,-342.41,0.0,1242.01,0.0,-531.05,0.0,-531.05,0.0,0.0,0.0,-1896.46,0.0
递延收益增加（减：减少）,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预计负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
财务费用,433.27,358.44,797.15,297.06,0.0,-693.63,0.0,279.36,0.0,-983.27,0.0,592.83,0.0,4348.29,0.0,2487.13,0.0,2093.28,0.0,-163.98,0.0,-627.98,0.0,-573.51,0.0,2023.44,0.0,-320.1,0.0,1719.98,0.0
投资损失,0.0,0.0,-22.57,94.89,0.0,-278.65,0.0,153.32,0.0,227.85,0.0,-16.09,0.0,26.46,0.0,-8.32,0.0,-651.25,0.0,-1714.44,0.0,124.27,0.0,1122.51,0.0,998.22,0.0,1545.17,0.0,-2710.47,0.0
递延所得税资产减少,-49.74,-64.52,-39.54,-434.24,0.0,-88.64,0.0,36.82,0.0,-200.08,0.0,-185.72,0.0,-1117.65,0.0,22.11,0.0,-2615.23,0.0,-2636.26,0.0,-3698.03,0.0,-2315.44,0.0,-4150.5,0.0,-2522.47,0.0,-7051.59,0.0
递延所得税负债增加,0.0,0.0,7.54,-6.21,0.0,193.68,0.0,59.99,0.0,106.45,0.0,19.75,0.0,231.39,0.0,100.0,0.0,1920.0,0.0,2168.13,0.0,3667.61,0.0,633.37,0.0,2875.74,0.0,1053.3,0.0,2956.35,0.0
存货的减少,-6363.89,-763.19,-870.39,2908.65,0.0,-1193.29,0.0,-6874.13,0.0,-8973.95,0.0,-3004.58,0.0,-4402.15,0.0,-7921.52,0.0,-16389.04,0.0,-205.99,0.0,-2466.57,0.0,-11908.95,0.0,-27056.35,0.0,-15260.18,0.0,-66973.13,0.0
经营性应收项目的减少,-3834.02,-4789.61,-2419.23,-8778.65,0.0,2216.93,0.0,-239.51,0.0,-10069.55,0.0,6958.97,0.0,-17826.89,0.0,6371.93,0.0,-9651.23,0.0,-9582.26,0.0,-16189.0,0.0,-19845.18,0.0,-42182.76,0.0,11095.15,0.0,-106212.02,0.0
经营性应付项目的增加,2502.94,-1654.5,551.34,1914.54,0.0,3302.71,0.0,2412.92,0.0,13557.54,0.0,-6315.4,0.0,-8657.67,0.0,6886.48,0.0,14687.33,0.0,-1428.49,0.0,7679.3,0.0,6219.16,0.0,32354.7,0.0,-3001.77,0.0,56710.43,0.0
已完工尚未结算款的减少(减:增加),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
已结算尚未完工款的增加(减:减少),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2296.52,0.0,0.0,0.0,1594.13,0.0,0.0,0.0,1518.78,0.0,0.0,0.0,1795.71,0.0,1542.82,0.0,3846.28,0.0
经营活动产生现金流量净额,2588.35,3438.49,10591.74,12704.58,0.0,25699.41,0.0,9213.48,0.0,27835.56,0.0,15159.06,0.0,19640.03,0.0,26121.33,0.0,41506.09,0.0,15473.15,0.0,60086.78,0.0,13541.16,0.0,56929.16,0.0,48041.88,0.0,11315.01,0.0
债务转为资本,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内到期的可转换公司债券,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
融资租入固定资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
现金的期末余额,0.0,0.0,8174.26,14323.83,0.0,26031.36,0.0,28217.88,0.0,104618.6,0.0,102910.88,0.0,82779.08,0.0,72744.02,0.0,60452.8,0.0,19477.05,0.0,41438.47,0.0,14463.45,0.0,212155.89,0.0,62464.81,0.0,623203.32,0.0
现金的期初余额,0.0,0.0,6670.33,8174.26,0.0,14323.83,0.0,26031.36,0.0,26031.36,0.0,104618.6,0.0,104618.6,0.0,82779.08,0.0,82779.08,0.0,60452.8,0.0,60452.8,0.0,41438.47,0.0,41438.47,0.0,212155.89,0.0,212155.89,0.0
现金等价物的期末余额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
现金等价物的期初余额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
现金及现金等价物的净增加额,0.0,0.0,1503.93,6149.56,0.0,11707.54,0.0,2186.52,0.0,78587.24,0.0,-1707.72,0.0,-21839.52,0.0,-10035.06,0.0,-22326.28,0.0,-40975.75,0.0,-19014.34,0.0,-26975.02,0.0,170717.42,0.0,-149691.08,0.0,411047.44,0.0
