报表日期,2014-12-31,2015-12-31,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30
收到的其他与投资活动有关的现金,29936.98,86508.02,368157.67,3206.65,2948.86,5614.48,24600.9,133.17,543.17,0.0,0.0,3800.0,0.0,0.0
投资活动现金流入小计,87834.91,217223.53,398526.76,5406.79,96005.87,99958.77,150597.71,13957.84,11405.36,18357.29,21806.21,8492.44,13849.11,22213.59
购建固定资产、无形资产和其他长期资产所支付的现金,64815.87,92882.52,95768.45,19432.12,54467.63,98062.96,136328.12,39794.1,84476.37,127896.13,224889.46,54766.82,112605.02,183151.42
投资所支付的现金,41436.19,18644.65,74278.67,28577.76,11970.38,80069.47,30322.85,69319.88,303320.47,349480.96,312210.79,69759.58,158856.77,216031.93
取得子公司及其他营业单位支付的现金净额,0.0,3358.05,96487.69,54235.62,85121.13,85121.13,85121.13,0.0,0.0,0.0,12372.15,0.0,11566.73,13024.85
支付的其他与投资活动有关的现金,88389.01,195666.42,152622.98,985.72,0.0,1300.0,11257.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
投资活动现金流出小计,194641.07,310551.65,419157.79,103231.22,151559.14,264553.57,263029.12,109113.97,387796.84,477377.09,549472.4,124526.4,283028.52,412208.2
投资活动产生的现金流量净额,-106806.16,-93328.12,-20631.04,-97824.43,-55553.27,-164594.79,-112431.41,-95156.13,-376391.48,-459019.8,-527666.19,-116033.96,-269179.41,-389994.61
吸收投资收到的现金,2767.64,48624.18,207768.61,0.0,0.0,525.0,3141.68,0.0,216066.13,216066.13,925206.36,30823.49,30823.49,33301.84
其中：子公司吸收少数股东投资收到的现金,2767.64,48624.18,36879.24,0.0,0.0,525.0,3141.68,0.0,0.0,0.0,2586.57,0.0,0.0,0.0
取得借款收到的现金,129292.85,44087.6,90992.9,40003.24,55077.1,116689.63,162216.28,63324.85,83374.46,133319.76,146552.96,22000.0,129493.63,219493.63
发行债券收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208388.25
收到其他与筹资活动有关的现金,14762.36,114982.1,2906.94,1478.33,1478.33,1478.33,1478.33,0.0,0.0,2586.36,0.0,0.0,0.0,0.0
筹资活动现金流入小计,146822.85,207693.88,301668.45,41481.57,56555.43,118692.96,166836.29,63324.85,299440.59,351972.25,1071759.32,52823.49,160317.12,461183.72
偿还债务支付的现金,63566.88,140886.14,62254.37,28068.31,27889.58,28343.66,48700.39,39486.53,70054.7,106816.5,298358.4,10000.0,12000.0,12000.0
分配股利、利润或偿付利息所支付的现金,1383.01,4290.01,118373.88,559.49,3154.94,4112.93,5914.47,1727.79,5676.7,7913.14,10255.27,72.1,61414.27,70151.52
其中：子公司支付给少数股东的股利、利润,0.0,812.67,113773.2,0.0,1883.36,1883.36,1883.36,0.0,1920.54,1920.54,1920.54,0.0,0.0,0.0
支付其他与筹资活动有关的现金,16226.13,19666.52,133807.55,494.31,144002.44,150645.03,179638.41,0.0,4771.48,24852.01,64729.69,6011.72,117651.16,278715.42
筹资活动现金流出小计,81176.03,164842.67,314435.79,29122.11,175046.97,183101.63,234253.27,41214.32,80502.88,139581.65,373343.37,16083.82,191065.44,360866.93
筹资活动产生的现金流量净额,65646.82,42851.22,-12767.34,12359.46,-118491.53,-64408.67,-67416.98,22110.53,218937.7,212390.59,698415.96,36739.67,-30748.32,100316.79
四、汇率变动对现金及现金等价物的影响,2102.75,2992.91,8242.38,85.72,-3989.72,-3420.78,-3628.12,2222.13,-950.77,648.85,-5637.84,-4351.58,-3745.55,429.86
五、现金及现金等价物净增加额,32198.26,26375.59,150523.34,-74565.92,-120601.11,-120215.89,-4115.49,-73992.67,-108578.87,-154250.45,329154.7,-64638.21,-205792.59,-111929.47
加:期初现金及现金等价物余额,41632.68,73830.94,100206.53,250729.87,250729.87,250729.87,250729.87,247239.05,246614.38,246614.38,246614.38,575769.08,575769.08,575769.08
六、期末现金及现金等价物余额,73830.94,100206.53,250729.87,176163.94,130128.76,130513.98,246614.38,173246.38,138035.51,92363.93,575769.08,511130.87,369976.48,463839.61
净利润,0.0,68377.82,112097.34,0.0,78168.0,0.0,129672.05,0.0,130406.97,0.0,233368.07,0.0,110496.5,0.0
少数股东权益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
未确认的投资损失,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
资产减值准备,0.0,3134.23,3092.14,0.0,872.55,0.0,14095.61,0.0,-701.96,0.0,1253.22,0.0,52.65,0.0
固定资产折旧、油气资产折耗、生产性物资折旧,0.0,29883.74,30987.14,0.0,17287.27,0.0,36499.75,0.0,23191.74,0.0,50066.0,0.0,29439.21,0.0
无形资产摊销,0.0,2809.08,3511.17,0.0,2027.54,0.0,3778.37,0.0,2304.57,0.0,4374.52,0.0,3062.59,0.0
长期待摊费用摊销,0.0,6067.62,5477.55,0.0,3677.71,0.0,7516.22,0.0,4416.8,0.0,10535.82,0.0,7466.55,0.0
待摊费用的减少,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预提费用的增加,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
处置固定资产、无形资产和其他长期资产的损失,0.0,578.17,539.3,0.0,459.48,0.0,1772.26,0.0,259.22,0.0,-133.15,0.0,239.28,0.0
固定资产报废损失,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1170.46,0.0,0.0,0.0
公允价值变动损失,0.0,0.0,70.77,0.0,-67.76,0.0,-67.76,0.0,-38145.25,0.0,-60643.68,0.0,5439.33,0.0
递延收益增加（减：减少）,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预计负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
财务费用,0.0,-1263.03,-5304.2,0.0,4998.22,0.0,12882.03,0.0,4712.8,0.0,11074.67,0.0,7244.06,0.0
投资损失,0.0,-29042.66,227.21,0.0,-3420.91,0.0,-3979.38,0.0,-5960.92,0.0,-7963.65,0.0,-12593.87,0.0
递延所得税资产减少,0.0,-3261.08,2042.72,0.0,369.09,0.0,-19555.34,0.0,-1787.73,0.0,-601.63,0.0,-2014.15,0.0
递延所得税负债增加,0.0,-1609.71,2590.41,0.0,376.94,0.0,444.55,0.0,-1431.82,0.0,846.67,0.0,1981.01,0.0
存货的减少,0.0,-2439.16,-26130.21,0.0,-15898.31,0.0,-21475.96,0.0,-11229.55,0.0,-22623.66,0.0,-15775.44,0.0
经营性应收项目的减少,0.0,-53002.96,11338.79,0.0,-17723.31,0.0,-33352.05,0.0,-5953.21,0.0,-93808.28,0.0,-43949.82,0.0
经营性应付项目的增加,0.0,24733.67,32527.37,0.0,-10586.92,0.0,50276.51,0.0,-50025.48,0.0,32728.24,0.0,-6260.72,0.0
已完工尚未结算款的减少(减:增加),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
已结算尚未完工款的增加(减:减少),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他,0.0,0.0,0.0,0.0,-3106.17,0.0,0.0,0.0,-230.51,0.0,4399.16,0.0,6799.03,0.0
经营活动产生现金流量净额,0.0,73859.58,175679.34,0.0,57433.42,0.0,179361.03,0.0,49825.68,0.0,164042.78,0.0,97880.69,0.0
债务转为资本,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内到期的可转换公司债券,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
融资租入固定资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
现金的期末余额,0.0,100206.53,250729.87,0.0,130128.76,0.0,246614.38,0.0,138035.51,0.0,575769.08,0.0,369976.48,0.0
现金的期初余额,0.0,73830.94,100206.53,0.0,250729.87,0.0,250729.87,0.0,246614.38,0.0,246614.38,0.0,575769.08,0.0
现金等价物的期末余额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
现金等价物的期初余额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
现金及现金等价物的净增加额,0.0,26375.59,150523.34,0.0,-120601.11,0.0,-4115.49,0.0,-108578.87,0.0,329154.7,0.0,-205792.59,0.0
