报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30
收回投资所收到的现金,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,1170.0,1170.0,1726.52,0.0,0.0,0.0,0.0,502.03,30123.24,34307.49,43621.0,3000.0,230.77,420.65,420.65,0.0,0.0,0.0,12207.21,0.0,1911.83,4140.31,4287.34,1469.66,6112.86,18004.17,18994.47,348.81,38256.56,37877.57,42064.75,653.64,653.64,1065.14,1452.22,1367.59,3321.2,4479.79,144857.58,21726.41,55057.17,58853.3,84691.72,4664.22,19500.08,22980.45,61462.87,3253.98,6967.75,9715.19,13383.18,15347.77,44790.14
取得投资收益所收到的现金,0.0,0.0,0.0,154.46,0.0,222.71,222.71,3426.47,136.48,114.71,124.48,124.48,195.0,396.69,1830.74,1897.37,0.0,662.33,1122.47,1388.0,0.0,1718.47,2064.53,2064.53,648.85,1746.82,3334.38,13431.05,2961.86,7670.49,9277.77,11102.48,530.07,13511.89,2776.11,6353.92,768.68,2613.96,6522.91,13321.07,2410.42,3054.6,4422.44,5313.81,1590.29,5183.45,11536.51,11605.64,1012.7,7960.23,11944.17,20919.99,17662.83,17525.48,28503.57,82408.24,3338.61,11921.79,15036.21,18814.1,1412.62,3584.89
处置固定资产、无形资产和其他长期资产所收回的现金净额,699.46,3839.43,4036.76,2033.35,107.46,226.92,1206.58,1601.38,393.18,849.14,1113.77,760.58,140.87,220.14,763.13,1524.76,1406.03,2170.54,2280.6,2667.4,26.45,647.74,838.03,1988.87,228.11,448.07,5523.26,5915.34,93.13,324.4,1224.84,1492.09,1157.27,1852.21,2101.7,2636.18,177.51,517.15,1188.37,2287.58,2112.03,3280.18,3994.67,7280.2,2024.94,2835.07,3209.17,4716.85,167.65,1037.03,1027.64,3423.97,325.45,514.53,1310.55,2196.48,210.24,1226.76,2610.91,3877.69,78.13,68961.96
处置子公司及其他营业单位收到的现金净额,0.0,0.0,0.0,391.95,0.0,200.0,200.0,293.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2582.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4479.51,4479.51,0.0,122790.1,122790.1,122790.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,200.0,200.0,100.0,100.0,100.0,219.14,0.0,0.0,0.0,0.0,0.0,0.0
收到的其他与投资活动有关的现金,0.0,0.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,600000.0,180000.0,290000.0,290000.0,290000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13960.19,18723.97,13960.19,13908.57,0.0,51.62,51.62,51.62,27000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,726.87,2008.36,2458.89,2333.35,17.95,214.22
投资活动现金流入小计,699.46,3839.43,4516.76,2659.76,107.46,649.63,1629.29,5321.78,529.67,2133.85,2408.25,2611.58,335.87,616.83,2593.87,3422.13,1908.06,32956.11,37710.56,50258.61,3026.45,2596.98,3323.21,4474.06,876.96,2194.88,58857.64,631553.61,183054.99,299906.73,304642.92,306881.92,3157.0,21476.96,27361.48,32464.08,1294.99,164177.77,168378.95,180463.5,19136.28,25712.4,23442.45,27954.81,4982.81,11391.35,19277.09,161231.7,49906.76,64254.44,72025.11,109235.69,22752.49,37640.09,52894.57,146286.73,7529.7,22124.66,29821.2,38408.32,16856.46,117551.21
购建固定资产、无形资产和其他长期资产所支付的现金,21946.27,84659.6,118080.81,104117.99,16810.57,38689.31,78276.37,82029.65,16002.43,29357.19,40104.95,57145.41,30230.91,60133.02,77745.7,198734.13,71775.23,168470.83,312584.05,378854.13,74730.56,130506.88,233559.51,310196.1,74117.51,142933.96,206522.78,324106.64,91856.69,205396.16,307724.46,394646.92,112368.55,157783.53,263871.73,365213.16,69155.2,155792.12,242334.84,341900.72,66971.05,155144.69,230844.23,335135.95,140992.69,241444.44,323498.89,509060.05,219532.77,478759.84,719450.87,924285.87,133309.53,325154.71,500342.64,652219.71,149921.53,295877.22,480966.06,668273.41,136975.18,304646.7
投资所支付的现金,0.0,0.0,45060.58,37763.16,0.0,9750.0,14250.0,14250.0,400.0,2563.7,2563.7,9250.32,2000.0,5705.0,8410.77,22600.77,12150.0,17426.2,17489.48,18968.95,3500.0,0.0,0.0,0.0,0.0,6000.0,43055.62,43155.62,4500.0,4500.0,10677.5,12100.0,2000.0,5319.8,14944.8,15944.8,0.0,141523.81,144023.81,148923.81,0.0,0.0,0.0,4500.0,2500.0,2500.0,162500.0,162500.0,0.0,4645.28,11125.67,15285.35,123528.44,149114.79,193044.27,396102.94,86413.67,64004.07,68789.86,97930.31,3196.14,31254.96
取得子公司及其他营业单位支付的现金净额,0.0,0.0,0.0,5634.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,930.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.94,287.94,287.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51997.9,161844.72,161698.32,0.0,0.0,0.0,0.0,48064.29,51809.49,51809.49,51809.49,621946.35,673670.06
支付的其他与投资活动有关的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7758.03,0.0,0.0,0.0,201.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500000.0,270000.0,890000.0,0.0,0.0,0.0,0.0,388.44,388.44,0.0,0.0,0.0,0.0,0.0,13960.19,0.0,0.0,0.0,0.0,67.65,67.65,130067.65,27070.06,3663.12,404.84,4831.31,7900.1,984.4,2606.44,3615.26,2273.23,69.38,74.56,87.06,93.46,88.74,19585.52
投资活动现金流出小计,21946.27,84659.6,163141.39,147515.69,16810.57,48439.31,92526.37,96279.65,16402.43,31920.89,42668.65,74153.76,32230.91,65838.02,86156.47,221536.45,84855.97,185897.02,330073.52,397823.08,78230.56,130506.88,233559.51,310196.1,74117.51,649221.9,519866.34,1257550.2,96356.69,209896.16,318401.96,406746.92,114756.99,163491.77,278816.53,381157.96,69155.2,297315.93,386358.64,504784.71,66971.05,155144.69,230844.23,339635.95,143560.34,244012.09,616066.54,698630.11,223195.9,535807.85,897252.57,1109169.64,257822.37,476875.94,697002.17,1050595.88,284468.87,411765.34,601652.46,818106.67,762206.42,1029157.25
投资活动产生的现金流量净额,-21246.81,-80820.18,-158624.62,-144855.93,-16703.11,-47789.68,-90897.08,-90957.87,-15872.76,-29787.04,-40260.4,-71542.18,-31895.04,-65221.2,-83562.61,-218114.31,-82947.91,-152940.91,-292362.97,-347564.47,-75204.1,-127909.91,-230236.29,-305722.05,-73240.55,-647027.02,-461008.7,-625996.59,86698.3,90010.56,-13759.04,-99865.01,-111599.98,-142014.8,-251455.05,-348693.87,-67860.21,-133138.16,-217979.7,-324321.21,-47834.78,-129432.3,-207401.79,-311681.14,-138577.52,-232620.74,-596789.44,-537398.41,-173289.14,-471553.41,-825227.46,-999933.95,-235069.88,-439235.84,-644107.6,-904309.16,-276939.17,-389640.68,-571831.26,-779698.35,-745349.95,-911606.04
吸收投资收到的现金,0.0,0.0,0.0,137900.86,0.0,0.0,1085.88,1082.39,0.0,0.0,0.0,1423.0,0.0,0.0,0.0,1680.0,0.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,500144.82,611802.64,611802.64,611802.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21768.6,21768.6,21768.6,21768.6,1800.0,1800.0,1800.0,1800.0,28819.21,27489.38,27489.38,27489.38,44.51,24750.15,24750.34,24750.15,0.0,150.0,150.0,1225515.0,0.0,0.88
其中：子公司吸收少数股东投资收到的现金,0.0,0.0,0.0,19721.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1423.0,0.0,0.0,0.0,1680.0,0.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,1800.0,1800.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,44.52,44.34,0.0,150.0,150.0,20790.0,0.0,0.88
取得借款收到的现金,91740.08,84600.0,105600.0,116600.0,62000.0,84000.0,114200.0,332800.0,43300.0,132810.0,247810.0,261980.38,74000.0,230000.0,231900.0,263783.39,114189.11,302394.79,390725.94,396972.74,151807.34,336635.94,496313.8,558055.1,197800.0,424300.0,491200.0,531200.0,154109.68,639462.43,776831.58,956082.99,329469.61,492997.12,653480.98,1082082.47,45000.0,50000.0,55000.0,55000.0,300000.0,682000.0,725100.0,846000.0,180000.0,333300.0,368300.0,498300.0,0.0,115000.0,1181230.41,1656972.55,1123257.18,2208467.23,4936794.0,7455730.61,3587697.97,7144302.64,10052225.5,12693820.14,6581604.49,12555108.9
发行债券收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350000.0,650000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
收到其他与筹资活动有关的现金,0.0,0.0,0.0,7373.86,0.0,0.0,0.0,0.0,33000.0,46000.0,46000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2427.85,8347.53,8586.61,17648.13,30657.22,30657.22,30657.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235301.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63593.87,10865.94,0.0
筹资活动现金流入小计,91740.08,84600.0,105600.0,261874.72,62000.0,84000.0,115285.88,333882.39,76300.0,178810.0,293810.0,263403.38,74000.0,230000.0,231900.0,265463.39,114189.11,302444.79,390775.94,397022.74,151807.34,339063.79,504661.33,566641.71,715592.95,1066759.86,1133659.86,1173659.86,154109.68,639462.43,776831.58,956082.99,329469.61,492997.12,653480.98,1082082.47,45000.0,50000.0,55000.0,55000.0,321768.6,703768.6,746868.6,867768.6,181800.0,335100.0,370100.0,500100.0,378819.21,792489.38,1208719.79,1919763.14,1123301.7,2233217.39,4961544.34,7480480.76,3587697.97,7144452.64,10052375.5,13982929.01,6592470.43,12555109.78
偿还债务支付的现金,53816.47,70700.0,88600.0,105300.0,74000.0,74390.47,87700.0,155590.47,104500.0,239000.0,247322.02,266300.0,75000.0,236147.69,242044.92,267487.98,74000.0,235618.18,266648.76,377539.96,94185.79,326419.75,597146.87,599174.15,247052.89,274851.36,338723.24,381566.2,95000.0,301500.0,411761.4,487116.07,387062.01,676505.2,944650.03,1340649.39,125000.0,590000.0,615000.0,658800.0,10000.0,10000.0,75000.0,75000.0,360000.0,752000.0,1075000.0,1132000.0,132300.0,152424.11,573175.99,993696.85,66735.5,1389050.92,3565064.31,6943563.15,2788141.86,5873835.66,9584385.42,12195751.84,5270444.97,11242724.74
分配股利、利润或偿付利息所支付的现金,1455.29,2700.46,8422.56,13396.31,1509.78,3064.88,4801.74,6791.5,1962.12,3539.54,4944.01,6917.31,1597.2,4542.91,5139.27,6654.29,1611.28,3840.64,5927.74,8759.9,3596.67,47383.55,51333.19,53049.68,1036.27,55031.56,57986.89,60566.98,2795.09,6289.67,174486.56,180719.33,5826.34,255648.08,261467.31,265896.93,2820.23,275601.18,277393.67,277623.31,444.15,370108.96,376961.21,384542.89,7815.3,435714.45,438785.14,439260.28,1729.02,425544.94,430809.57,440567.13,3892.39,504905.47,515869.41,530973.73,14094.31,534494.39,551716.29,569280.51,22946.92,681603.53
其中：子公司支付给少数股东的股利、利润,0.0,0.0,0.0,3629.45,405.0,968.26,0.0,0.0,0.0,434.94,434.94,855.0,0.0,887.59,988.57,1213.57,315.0,785.9,902.9,935.72,480.0,628.82,783.77,865.71,0.0,0.0,368.71,368.71,135.0,223.27,223.27,595.67,135.0,704.53,1634.53,2984.15,276.4,308.36,1722.56,1722.56,0.0,935.21,935.21,1528.07,434.22,625.82,1864.66,1920.89,999.25,999.25,999.25,1370.8,0.0,0.0,1356.02,1373.07,0.0,2028.36,2108.77,2108.77,0.0,18166.85
支付其他与筹资活动有关的现金,0.0,1762.53,2257.19,222.93,0.0,1758.73,2587.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1683.87,2193.87,23922.12,16790.9,4016.1,4016.1,4901.0,142.75,6383.06,7427.24,7458.44,0.0,0.0,0.0,0.0,0.0,0.0,62260.05,103437.73,0.0,30.0,30.0,30.0,0.0,0.0,585.0,2945.05,0.0,412.5,1776.11,3738.21,756.31,290204.16,584016.54,587146.07,1209.29,3326.05,5205.71,10600.08,12593.59,4652.29,7692.7,23376.0,2862.24,17746.2
筹资活动现金流出小计,55271.77,75162.99,99279.75,118919.24,75509.78,79214.07,95089.17,162381.97,106462.12,242539.54,252266.03,273217.31,76597.2,240690.6,247184.18,274142.27,75611.28,241142.69,274770.37,410221.99,114573.37,377819.39,652496.16,657124.83,248231.91,336265.99,404137.37,449591.62,97795.09,307789.67,586247.96,667835.4,392888.35,932153.28,1268377.39,1709984.05,127820.23,865631.18,892423.67,936453.31,10444.15,380108.96,452546.21,462487.94,367815.3,1188126.95,1515561.25,1574998.48,134785.33,868173.21,1588002.1,2021410.05,71837.17,1897282.44,4086139.43,7485136.97,2814829.76,6412982.34,10143794.41,12788408.35,5296254.13,11942074.48
筹资活动产生的现金流量净额,36468.31,9437.01,6320.25,142955.48,-13509.78,4785.93,20196.71,171500.41,-30162.12,-63729.54,41543.97,-9813.92,-2597.2,-10690.6,-15284.18,-8678.88,38577.83,61302.11,116005.57,-13199.25,37233.97,-38755.6,-147834.83,-90483.12,467361.03,730493.87,729522.49,724068.24,56314.59,331672.76,190583.62,288247.59,-63418.74,-439156.16,-614896.41,-627901.58,-82820.23,-815631.18,-837423.67,-881453.31,311324.45,323659.64,294322.39,405280.66,-186015.3,-853026.95,-1145461.25,-1074898.48,244033.88,-75683.82,-379282.31,-101646.92,1051464.52,335934.95,875404.91,-4656.2,772868.21,731470.3,-91418.91,1194520.66,1296216.3,613035.31
四、汇率变动对现金及现金等价物的影响,0.0,0.0,0.0,37.69,0.0,-90.04,86.76,4.49,-0.86,-3.24,-80.65,-0.14,-11.11,-0.79,-1.66,-2.85,-7.05,-27.04,-57.27,-79.49,-1.21,6.15,8.65,-2.49,-19.28,-722.9,-485.96,-493.13,211.24,884.77,-409.94,-13.07,-34.82,-396.23,-1425.78,-1446.3,361.08,3859.32,3703.09,23510.42,-3706.04,-14242.61,-28807.7,-39771.77,-22863.41,7480.29,32197.29,30714.78,-12353.28,764.37,8896.88,6211.22,3163.76,6704.89,-13101.54,-39513.26,-1252.92,-4092.2,-4199.06,-2881.06,827.17,-13921.19
五、现金及现金等价物净增加额,59693.17,60588.49,-3111.98,75950.32,7876.9,84177.04,73088.26,98804.55,7003.42,61339.33,262707.66,121526.42,22730.07,25810.96,64732.11,-79338.66,-28356.78,94343.6,151555.67,6194.29,-116479.78,-37635.02,-113097.79,-155353.44,480133.45,408406.87,793552.74,645053.36,-25113.26,481417.5,435222.45,432018.21,39949.02,28061.24,74612.71,-24391.89,-53676.25,-194723.05,178207.84,99468.48,206820.73,462892.39,729684.79,754457.47,-180449.75,-549897.64,-932493.63,-719104.93,193390.17,-169959.27,-575321.54,-249821.63,554275.84,275589.92,1009651.22,36685.3,606849.08,971443.77,574417.28,1964693.22,595835.44,240499.16
加:期初现金及现金等价物余额,0.0,101208.87,101208.87,101208.87,177159.19,177159.19,177159.19,177159.19,277443.26,275963.74,275963.74,275963.74,397490.16,397490.16,397490.16,397490.16,318151.49,318151.49,318151.49,318151.49,324345.78,324345.78,324345.78,324345.78,168992.35,168992.35,168992.35,168992.35,814045.71,814045.71,814045.71,814045.71,1246063.92,1246063.92,1246063.92,1246063.92,1221672.03,1221672.03,1221672.03,1221672.03,1321140.52,1321140.52,1321140.52,1321140.52,2075597.99,2075597.99,2075597.99,2075597.99,1356493.06,1356493.06,1356493.06,1356493.06,1106671.44,1106671.44,1106671.44,1106671.44,1143356.73,1143356.73,1143356.73,1143356.73,3108049.95,3108049.95
六、期末现金及现金等价物余额,59693.17,161797.36,98096.88,177159.19,185036.09,261336.23,250247.45,275963.74,284446.69,337303.07,538671.4,397490.16,420220.22,423301.11,462222.26,318151.49,289794.72,412495.1,469707.17,324345.78,207866.0,286710.76,211248.0,168992.35,649125.8,577399.22,962545.09,814045.71,788932.45,1295463.21,1249268.15,1246063.92,1286012.94,1274125.16,1320676.63,1221672.03,1167995.78,1026948.99,1399879.87,1321140.52,1527961.25,1784032.91,2050825.31,2075597.99,1895148.24,1525700.35,1143104.36,1356493.06,1549883.23,1186533.79,781171.53,1106671.44,1660947.27,1382261.36,2116322.66,1143356.73,1750205.81,2114800.51,1717774.01,3108049.95,3703885.39,3348549.11
净利润,0.0,24418.9,0.0,-456.33,0.0,12970.84,0.0,-173671.09,0.0,27240.47,0.0,66526.83,0.0,35488.56,0.0,79576.27,0.0,82778.15,0.0,183243.73,0.0,77583.19,0.0,173602.17,0.0,174606.97,0.0,320119.68,0.0,230632.35,0.0,416653.81,0.0,267427.67,0.0,465442.51,0.0,322210.32,0.0,566903.52,0.0,336776.32,0.0,600281.5,0.0,346866.41,0.0,645199.61,0.0,379842.17,0.0,695072.62,0.0,375696.68,0.0,709893.87,0.0,531999.07,0.0,873202.56,0.0,613922.64
少数股东权益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
未确认的投资损失,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
