报表日期,2011-12-31,2012-12-31,2013-12-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30
收回投资所收到的现金,16610.0,0.0,5000.0,11000.0,5.16,38000.0,0.0,19600.0,19600.0,24900.0,0.0,62600.0,87600.0,113900.0,0.0,23400.0,47900.0,89300.0,0.0,400.0,16300.0,39000.0,5800.0,24800.0,48600.0,84000.0,16000.0,30000.0,59000.0
取得投资收益所收到的现金,32.28,0.0,86.83,138.82,0.0,458.7,86.63,151.8,225.24,537.47,81.96,279.25,442.57,586.46,2.66,192.3,404.21,704.56,0.0,0.0,0.0,483.86,0.0,0.0,0.0,941.05,0.0,0.0,0.0
处置固定资产、无形资产和其他长期资产所收回的现金净额,3.0,70.0,128.8,7.2,0.0,7.2,0.65,0.65,0.65,6.19,0.47,9.7,9.7,10.9,10.5,10.5,10.5,10.5,0.0,0.0,0.0,15.5,0.0,0.0,0.0,7.08,0.0,0.0,0.0
处置子公司及其他营业单位收到的现金净额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
收到的其他与投资活动有关的现金,0.0,570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,13869.19,0.0,0.0,0.0
投资活动现金流入小计,16645.28,640.0,5215.63,11146.02,5.16,38465.9,87.28,19752.45,19825.89,25443.66,82.43,62888.95,88052.27,114497.36,13.16,23602.8,48314.71,90015.06,0.0,400.0,16300.0,40099.36,5800.0,24800.0,48600.0,98817.33,16000.0,30000.0,59000.0
购建固定资产、无形资产和其他长期资产所支付的现金,741.96,1377.58,187.35,125.39,194.02,265.55,66.86,175.44,298.82,1183.22,30.5,30.5,30.5,558.51,1069.54,2040.57,3321.72,5200.79,1691.54,1364.41,1464.61,1325.57,8.79,109.84,154.17,2409.17,1298.43,1584.59,2857.23
投资所支付的现金,16610.0,0.0,12000.0,12000.0,0.0,31000.0,0.0,38790.0,43775.04,25250.0,0.0,86600.0,109900.0,117950.0,16200.0,38100.0,65400.0,85800.0,0.0,22500.0,38200.0,55300.0,16200.0,35100.0,57900.0,87400.0,22500.0,26750.0,68900.0
取得子公司及其他营业单位支付的现金净额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
支付的其他与投资活动有关的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,26800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3054.41,3054.41,3054.41,3479.41,0.0,0.0,0.0,1600.0,0.0,0.0,0.0
投资活动现金流出小计,17351.96,1377.58,12187.35,12125.39,194.02,31265.55,66.86,38965.44,44073.87,26533.22,26830.5,86630.5,109930.5,118508.51,17269.54,40140.57,68721.72,91000.79,4745.95,26918.82,42719.02,60104.98,16208.79,35209.84,58054.17,91409.17,23798.43,28334.59,71757.23
投资活动产生的现金流量净额,-706.68,-737.58,-6971.71,-979.37,-188.86,7200.35,20.42,-19212.99,-24247.97,-1089.56,-26748.07,-23741.55,-21878.23,-4011.15,-17256.38,-16537.77,-20407.01,-985.73,-4745.95,-26518.82,-26419.02,-20005.61,-10408.79,-10409.84,-9454.17,7408.16,-7798.43,1665.41,-12757.23
吸收投资收到的现金,1102.0,0.0,0.0,0.0,0.0,0.0,0.0,22920.81,22920.81,22920.81,0.0,0.0,49.0,96.5,0.0,0.0,152.5,152.5,3000.0,3049.0,3049.0,3049.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其中：子公司吸收少数股东投资收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.5,0.0,0.0,152.5,152.5,3000.0,3049.0,3049.0,3049.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
取得借款收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12054.62,0.0,1380.85,2588.17
发行债券收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
收到其他与筹资活动有关的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,11600.0
筹资活动现金流入小计,1102.0,0.0,0.0,0.0,0.0,0.0,0.0,22920.81,22920.81,22920.81,0.0,0.0,49.0,96.5,0.0,0.0,152.5,152.5,3000.0,3049.0,3049.0,3049.0,0.0,0.0,0.0,13054.62,0.0,1380.85,14188.17
偿还债务支付的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6200.0,0.0,1388.14,5200.0
分配股利、利润或偿付利息所支付的现金,2500.0,352.81,553.5,922.5,922.5,2029.5,0.0,837.2,1033.2,1033.2,0.0,0.0,0.0,0.0,0.0,910.21,967.04,964.32,0.0,1297.67,1376.6,1377.6,0.0,826.56,826.56,2566.7,252.42,3414.99,3667.13
其中：子公司支付给少数股东的股利、利润,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
支付其他与筹资活动有关的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266.55,573.62,517.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1048.16,0.0,0.0,0.0
筹资活动现金流出小计,2500.0,352.81,553.5,922.5,922.5,2029.5,0.0,1103.75,1606.82,1550.37,0.0,0.0,0.0,0.0,0.0,910.21,967.04,964.32,0.0,1297.67,1376.6,1377.6,0.0,826.56,826.56,9814.86,252.42,4803.13,8867.13
筹资活动产生的现金流量净额,-1398.0,-352.81,-553.5,-922.5,-922.5,-2029.5,0.0,21817.06,21313.98,21370.44,0.0,0.0,49.0,96.5,0.0,-910.21,-814.54,-811.82,3000.0,1751.33,1672.4,1671.4,0.0,-826.56,-826.56,3239.76,-252.42,-3422.28,5321.04
四、汇率变动对现金及现金等价物的影响,-2.96,-2.77,37.64,-3.49,5.34,-0.51,-3.58,3.29,14.58,13.52,-34.69,-30.22,-21.34,46.1,16.2,46.73,51.38,42.41,-10.62,19.35,3.46,10.73,-1.17,3.69,31.79,11.91,36.87,-63.97,-91.69
五、现金及现金等价物净增加额,-416.51,5037.68,-5713.11,1429.72,3099.1,8914.08,-330.74,214.29,-5651.22,17623.43,-26500.07,-24417.31,-21569.23,-3198.94,-21615.72,-21415.99,-21657.75,-794.45,-738.62,-23436.02,-22006.95,-12305.31,-11742.63,-7214.15,-3783.39,40776.03,-40650.01,-37827.97,-21902.51
加:期初现金及现金等价物余额,5247.25,4830.74,9868.42,4155.31,11003.59,4155.31,13069.39,13069.39,13069.39,13069.39,30692.82,30692.82,30692.82,30692.82,27940.15,27493.87,27493.87,27493.87,26699.42,26699.42,26699.42,26699.42,14394.1,14394.1,14394.1,14394.1,55170.01,55170.14,55170.14
六、期末现金及现金等价物余额,4830.74,9868.42,4155.31,5585.03,14102.69,13069.39,12738.65,13283.68,7418.17,30692.82,4192.75,6275.5,9123.59,27493.87,6324.43,6077.89,5836.13,26699.42,25960.8,3263.4,4692.47,14394.1,2651.47,7179.96,10610.72,55170.14,14520.0,17342.17,33267.63
净利润,3573.6,5082.8,4915.42,2912.66,0.0,5182.33,0.0,2188.83,0.0,4234.95,0.0,2703.2,0.0,4837.65,0.0,1878.56,0.0,4403.68,0.0,3713.2,0.0,5218.41,0.0,3254.42,0.0,27715.47,0.0,12386.82,0.0
少数股东权益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
未确认的投资损失,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
资产减值准备,389.57,226.84,535.24,197.64,0.0,978.93,0.0,475.1,0.0,1887.42,0.0,-252.33,0.0,555.4,0.0,634.3,0.0,957.7,0.0,774.4,0.0,453.09,0.0,688.49,0.0,-179.93,0.0,98.1,0.0
固定资产折旧、油气资产折耗、生产性物资折旧,242.72,254.13,292.31,147.04,0.0,301.8,0.0,155.2,0.0,309.85,0.0,152.81,0.0,303.71,0.0,138.08,0.0,266.9,0.0,217.84,0.0,513.96,0.0,318.12,0.0,929.68,0.0,731.97,0.0
无形资产摊销,7.37,13.96,15.28,7.64,0.0,15.28,0.0,7.64,0.0,17.13,0.0,21.65,0.0,46.76,0.0,25.11,0.0,50.22,0.0,25.11,0.0,50.22,0.0,25.11,0.0,308.22,0.0,541.04,0.0
长期待摊费用摊销,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
待摊费用的减少,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预提费用的增加,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
处置固定资产、无形资产和其他长期资产的损失,2.54,30.81,-16.06,-0.54,0.0,-0.54,0.0,0.65,0.0,-3.31,0.0,1.91,0.0,4.44,0.0,-5.69,0.0,-5.64,0.0,-1.43,0.0,-9.61,0.0,0.0,0.0,5.37,0.0,7.89,0.0
固定资产报废损失,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
公允价值变动损失,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
递延收益增加（减：减少）,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预计负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
财务费用,2.96,2.77,-37.64,3.49,0.0,0.51,0.0,-3.29,0.0,-13.52,0.0,30.22,0.0,-46.1,0.0,-46.73,0.0,-42.41,0.0,-19.35,0.0,-10.73,0.0,-3.69,0.0,147.72,0.0,648.16,0.0
投资损失,-32.28,0.0,-86.83,-138.82,0.0,-458.7,0.0,-151.8,0.0,-537.47,0.0,-278.82,0.0,-625.18,0.0,-197.79,0.0,-618.52,0.0,-1206.95,0.0,-1358.06,0.0,320.64,0.0,-371.54,0.0,329.77,0.0
递延所得税资产减少,-58.44,-31.89,-181.23,-24.63,0.0,-135.59,0.0,-92.41,0.0,-224.09,0.0,58.15,0.0,-170.34,0.0,-102.95,0.0,-159.62,0.0,-239.35,0.0,-213.15,0.0,-43.02,0.0,-2447.22,0.0,-552.93,0.0
递延所得税负债增加,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.19,0.0,186.73,0.0,0.0,0.0,-711.44,0.0,-275.77,0.0
存货的减少,-2387.94,633.62,-4443.64,1772.34,0.0,300.13,0.0,45.0,0.0,-3561.81,0.0,-3131.14,0.0,-5385.87,0.0,963.75,0.0,-853.43,0.0,1397.67,0.0,387.83,0.0,2880.96,0.0,21094.32,0.0,12940.64,0.0
经营性应收项目的减少,-5294.58,-918.49,-1631.2,-2736.55,0.0,-943.1,0.0,-2168.62,0.0,-8150.97,0.0,2215.67,0.0,923.83,0.0,-8511.07,0.0,-7423.05,0.0,706.7,0.0,-11050.05,0.0,-2178.88,0.0,-25908.33,0.0,-14561.54,0.0
经营性应付项目的增加,5245.61,836.3,2412.82,1194.8,0.0,-1497.31,0.0,-2849.38,0.0,3370.84,0.0,-2166.86,0.0,225.3,0.0,1209.7,0.0,4384.86,0.0,-4253.91,0.0,11845.63,0.0,-1243.59,0.0,6851.03,0.0,-49464.8,0.0
已完工尚未结算款的减少(减:增加),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
已结算尚未完工款的增加(减:减少),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
经营活动产生现金流量净额,1691.13,6130.83,1774.46,3335.08,0.0,3743.74,0.0,-2393.07,0.0,-2670.97,0.0,-645.54,0.0,669.61,0.0,-4014.73,0.0,960.69,0.0,1312.12,0.0,6018.17,0.0,4018.57,0.0,30116.2,0.0,-36007.13,0.0
债务转为资本,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内到期的可转换公司债券,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
融资租入固定资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
现金的期末余额,0.0,9868.42,4155.31,5585.03,0.0,13069.39,0.0,13283.68,0.0,30692.82,0.0,6275.5,0.0,27493.87,0.0,6077.89,0.0,26699.42,0.0,3263.4,0.0,14394.1,0.0,7179.96,0.0,55170.14,0.0,17342.17,0.0
现金的期初余额,0.0,4830.74,9868.42,4155.31,0.0,4155.31,0.0,13069.39,0.0,13069.39,0.0,30692.82,0.0,30692.82,0.0,27493.87,0.0,27493.87,0.0,26699.42,0.0,26699.42,0.0,14394.1,0.0,14394.1,0.0,55170.14,0.0
现金等价物的期末余额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
现金等价物的期初余额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
现金及现金等价物的净增加额,0.0,5037.68,-5713.11,1429.72,0.0,8914.08,0.0,214.29,0.0,17623.43,0.0,-24417.31,0.0,-3198.94,0.0,-21415.99,0.0,-794.45,0.0,-23436.02,0.0,-12305.31,0.0,-7214.15,0.0,40776.03,0.0,-37827.97,0.0
