报表日期,2014-12-31,2015-12-31,2016-12-31,2017-06-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30
投资活动现金流出小计,43846.36,76033.55,129081.74,7424.91,250954.42,44948.92,8097.78,154847.16,179420.51,46860.95,39808.49,178714.18,277212.45,52950.27,58426.55
投资活动产生的现金流量净额,-6905.71,-6654.6,-11894.28,-7413.98,-18153.79,-24882.69,-8096.93,-14846.5,-23784.75,-26765.03,-9446.01,-15054.88,-20480.29,-22727.2,-7637.25
吸收投资收到的现金,10018.33,16600.0,3750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55988.0,55988.0,0.0,0.0
其中：子公司吸收少数股东投资收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
取得借款收到的现金,2201.98,16300.0,49800.0,0.0,3000.0,16800.0,16800.0,16800.0,16800.0,0.0,0.0,0.0,24500.0,1000.0,1000.0
发行债券收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
收到其他与筹资活动有关的现金,30.0,260.0,0.0,153.83,0.0,19.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
筹资活动现金流入小计,12250.31,33160.0,53550.0,153.83,3000.0,16819.4,16800.0,16800.0,16800.0,0.0,0.0,55988.0,80488.0,1000.0,1000.0
偿还债务支付的现金,0.01,7016.26,20100.0,15800.0,18800.0,16800.0,16800.0,16800.0,16800.0,0.0,0.0,0.0,10000.0,15500.0,15500.0
分配股利、利润或偿付利息所支付的现金,1.9,77.29,1492.11,10329.59,10649.58,52.86,56.55,133.8,360.72,0.0,0.0,227.5,299.17,86.58,9134.9
其中：子公司支付给少数股东的股利、利润,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
支付其他与筹资活动有关的现金,0.0,10.0,135.0,105.0,130.0,0.0,25.0,37.5,50.0,0.0,0.0,0.0,1510.65,0.0,0.0
筹资活动现金流出小计,1.91,7103.55,21727.11,26234.59,29579.58,16852.86,16881.55,16971.3,17210.72,0.0,0.0,227.5,11809.82,15586.58,24634.9
筹资活动产生的现金流量净额,12248.4,26056.45,31822.89,-26080.77,-26579.58,-33.46,-81.55,-171.3,-410.72,0.0,0.0,55760.5,68678.18,-14586.58,-23634.9
四、汇率变动对现金及现金等价物的影响,69.03,0.0,0.0,0.0,-12.19,-1.3,-2.93,-8.11,-18.43,-2.45,0.0,-53.72,-73.13,0.0,0.0
五、现金及现金等价物净增加额,6176.41,793.99,30883.78,24737.74,-45.24,9559.51,53822.67,42726.47,39436.13,4120.37,35191.45,72774.74,15200.27,66780.42,29567.03
加:期初现金及现金等价物余额,3904.35,10080.76,10874.75,41758.53,41758.53,41713.29,41713.29,41800.74,41713.29,81149.42,81679.8,81679.8,81149.42,96349.68,96349.68
六、期末现金及现金等价物余额,10080.76,10874.75,41758.53,66496.27,41713.29,51272.79,95535.95,84527.2,81149.42,85269.79,116871.25,154454.54,96349.68,163130.1,125916.71
净利润,0.0,0.0,23650.03,0.0,30201.72,0.0,20826.2,0.0,30385.98,0.0,26645.86,0.0,23874.67,0.0,18781.85
少数股东权益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
未确认的投资损失,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
资产减值准备,0.0,0.0,189.45,0.0,666.74,0.0,416.27,0.0,781.68,0.0,329.63,0.0,487.77,0.0,52.71
固定资产折旧、油气资产折耗、生产性物资折旧,0.0,0.0,1263.61,0.0,2386.94,0.0,1550.03,0.0,3141.48,0.0,1586.13,0.0,3293.75,0.0,1760.87
无形资产摊销,0.0,0.0,148.67,0.0,221.05,0.0,137.79,0.0,293.37,0.0,138.96,0.0,290.21,0.0,127.13
长期待摊费用摊销,0.0,0.0,181.15,0.0,760.46,0.0,623.89,0.0,1363.52,0.0,855.86,0.0,2018.82,0.0,737.25
待摊费用的减少,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预提费用的增加,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
处置固定资产、无形资产和其他长期资产的损失,0.0,0.0,244.32,0.0,57.45,0.0,2.7,0.0,6.56,0.0,-11.17,0.0,18.6,0.0,-127.07
固定资产报废损失,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
公允价值变动损失,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
递延收益增加（减：减少）,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预计负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
财务费用,0.0,0.0,541.57,0.0,383.43,0.0,209.73,0.0,378.57,0.0,150.83,0.0,422.58,0.0,256.73
投资损失,0.0,0.0,-187.39,0.0,-579.86,0.0,30.16,0.0,-568.94,0.0,-225.2,0.0,-1044.91,0.0,-654.92
递延所得税资产减少,0.0,0.0,-64.52,0.0,-494.79,0.0,-193.06,0.0,-447.01,0.0,-35.8,0.0,-243.69,0.0,-312.39
递延所得税负债增加,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,10.49,0.0,-10.49
存货的减少,0.0,0.0,-51002.45,0.0,8009.12,0.0,62610.42,0.0,-15236.45,0.0,75425.92,0.0,-124087.11,0.0,172868.96
经营性应收项目的减少,0.0,0.0,-14420.43,0.0,1946.08,0.0,14069.71,0.0,-15639.53,0.0,-62609.86,0.0,-21763.26,0.0,46551.06
经营性应付项目的增加,0.0,0.0,45848.86,0.0,1132.55,0.0,-38270.21,0.0,59633.75,0.0,2386.31,0.0,83949.95,0.0,-179427.25
已完工尚未结算款的减少(减:增加),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
已结算尚未完工款的增加(减:减少),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他,0.0,0.0,4562.31,0.0,9.43,0.0,-9.6,0.0,-442.93,0.0,0.0,0.0,-152.36,0.0,234.76
经营活动产生现金流量净额,0.0,0.0,10955.18,0.0,44700.32,0.0,62004.07,0.0,63650.03,0.0,44637.46,0.0,-32924.49,0.0,60839.17
债务转为资本,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内到期的可转换公司债券,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
融资租入固定资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
现金的期末余额,0.0,0.0,41758.53,0.0,41713.29,0.0,95535.95,0.0,81149.42,0.0,116871.25,0.0,96349.68,0.0,125916.71
现金的期初余额,0.0,0.0,10874.75,0.0,41758.53,0.0,41713.29,0.0,41713.29,0.0,81679.8,0.0,81149.42,0.0,96349.68
现金等价物的期末余额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
现金等价物的期初余额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
现金及现金等价物的净增加额,0.0,0.0,30883.78,0.0,-45.24,0.0,53822.67,0.0,39436.13,0.0,35191.45,0.0,15200.27,0.0,29567.03
