报表日期,2016-12-31,2017-12-31,2018-12-31,2019-03-31,2019-06-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30
长期股权投资,167171.0,201412.0,246679.0,223245.0,225253.0,234651.0,0.0,0.0,262316.5
投资性房地产,0.0,0.0,22476.0,22407.0,21036.0,23099.0,0.0,0.0,23099.0
在建工程(合计),163773.0,125768.0,243977.0,340144.0,382581.0,449731.0,0.0,0.0,620491.3
在建工程,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
工程物资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
固定资产及清理(合计),1943914.0,2017648.0,1989714.0,2218658.0,2227381.0,2443909.0,0.0,0.0,2584505.8
固定资产净额,0.0,2017648.0,1989713.5,0.0,0.0,2443909.1,0.0,0.0,0.0
固定资产清理,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
生产性生物资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
公益性生物资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
油气资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
使用权资产,0.0,0.0,0.0,25745.0,31416.0,27974.0,0.0,0.0,27976.2
无形资产,1125729.0,1131008.0,1169247.0,1205443.0,1232011.0,1260267.0,0.0,0.0,1261753.5
开发支出,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
商誉,586478.0,587525.0,588621.0,588621.0,589477.0,596862.0,0.0,0.0,598768.8
长期待摊费用,13411.0,12735.0,13180.0,15468.0,13531.0,14337.0,0.0,0.0,13742.7
递延所得税资产,47023.0,69991.0,47907.0,85217.0,65943.0,41769.0,0.0,0.0,65932.9
其他非流动资产,60313.0,63442.0,136151.0,130296.0,191076.0,215086.0,0.0,0.0,240067.4
非流动资产合计,4249463.0,4340528.0,4602619.0,4999309.0,5137513.0,5466587.0,0.0,0.0,5851954.2
资产总计,11960405.0,13645494.0,16942063.0,16976390.0,17375888.0,17068497.0,17468690.0,18243306.0,17446739.8
短期借款,3891913.0,5472327.0,8168096.0,8235494.0,8507635.0,7344202.0,0.0,0.0,6974265.0
交易性金融负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付票据及应付账款,672588.0,771358.0,1013534.0,764051.0,866979.0,999295.0,0.0,0.0,997692.2
应付票据,197574.0,378346.0,364101.0,378209.0,321300.0,460084.0,0.0,0.0,291966.8
应付账款,475014.0,393012.0,649433.0,385842.0,545679.0,539211.0,0.0,0.0,705725.4
预收款项,359736.0,246064.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付手续费及佣金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付职工薪酬,71664.0,82675.0,92314.0,47936.0,41358.0,106748.0,0.0,0.0,105125.1
应交税费,37787.0,68690.0,57102.0,69872.0,41169.0,59512.0,0.0,0.0,148624.9
其他应付款(合计),699399.0,309837.0,232825.0,245537.0,305734.0,391063.0,0.0,0.0,357499.8
应付利息,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付股利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4107.0
其他应付款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预提费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内的递延收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付短期债券,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内到期的非流动负债,132472.0,234873.0,187457.0,157103.0,157546.0,289029.0,0.0,0.0,173948.4
其他流动负债,1017714.0,507662.0,291683.0,285095.0,273605.0,250305.0,0.0,0.0,264727.7
流动负债合计,6914994.0,7828248.0,10362392.0,10112018.0,10384612.0,9866138.0,0.0,0.0,9574470.5
长期借款,277384.0,0.0,272977.0,401761.0,454573.0,239349.0,0.0,0.0,480820.0
应付债券,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
租赁负债,0.0,0.0,0.0,19663.0,21101.0,17593.0,0.0,0.0,18777.1
长期应付职工薪酬,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期应付款(合计),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期应付款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
专项应付款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预计非流动负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
递延所得税负债,18171.0,279.0,10151.0,3064.0,8462.0,28463.0,0.0,0.0,14327.0
长期递延收益,16576.0,16265.0,21457.0,24819.0,37517.0,39249.0,0.0,0.0,48655.8
其他非流动负债,68564.0,93446.0,745.0,14152.0,16456.0,25829.0,0.0,0.0,27673.9
非流动负债合计,405370.0,109990.0,305863.0,467019.0,541660.0,354874.0,0.0,0.0,597551.5
负债合计,7320364.0,7938238.0,10668255.0,10579037.0,10926272.0,10221012.0,0.0,0.0,10172022.0
实收资本(或股本),421192.0,486896.0,487022.0,487943.0,487943.0,487943.0,0.0,0.0,487943.2
资本公积,1598311.0,2362490.0,2368319.0,2471040.0,2471040.0,2468564.0,0.0,0.0,2373343.1
减：库存股,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他综合收益,42994.0,37059.0,45523.0,50315.0,62103.0,61824.0,0.0,0.0,72715.9
专项储备,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
盈余公积,15146.0,15146.0,15146.0,0.0,0.0,51004.0,0.0,0.0,51003.9
一般风险准备,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
未分配利润,2274587.0,2492791.0,3005550.0,3007403.0,3080470.0,3410583.0,0.0,0.0,3919567.1
归属于母公司股东权益合计,4352230.0,5394382.0,5921560.0,6016701.0,6101556.0,6479918.0,6606790.0,6709803.0,6904573.2
少数股东权益,287811.0,312874.0,352248.0,380652.0,348060.0,367567.0,0.0,0.0,370144.6
所有者权益(或股东权益)合计,4640041.0,5707256.0,6273808.0,6397353.0,6449616.0,6847485.0,6606790.0,6709803.0,7274717.8
负债和所有者权益(或股东权益)总计,11960405.0,13645494.0,16942063.0,16976390.0,17375888.0,17068497.0,6606790.0,6709803.0,17446739.8
