报表日期,2009-12-31,2010-12-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30
取得子公司及其他营业单位支付的现金净额,2278.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,583.37,0.0,1860.37,11114.57,19886.32,918.0,1716.24,19991.84,16377.38,10228.23,10525.8,10525.8,8769.8,3877.0,55564.54,63807.29,53597.08,0.0,14782.38,31595.72,2803.62,0.0,0.0,0.0
支付的其他与投资活动有关的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7800.0,0.0,0.0,28000.0,0.0,5177.17,0.0,0.0,0.0,0.0,0.0,0.0,17.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
投资活动现金流出小计,3916.63,2229.02,6955.16,1209.31,12724.09,609.52,982.69,2369.11,2268.97,2621.77,5471.71,4168.11,14020.98,6241.06,12249.45,47889.68,74672.05,9317.99,12897.69,33030.7,77916.96,33662.74,47073.86,61528.27,112870.38,14200.42,91177.6,135603.51,158965.11,15644.58,43281.29,78437.12,96267.71,15009.43,29998.72,50697.98
投资活动产生的现金流量净额,-3416.52,-2076.41,1133.1,-1126.38,464.49,-609.52,-982.69,-2369.11,-2268.91,-2621.77,-5471.51,-4167.48,-13975.41,-5641.06,-4335.06,-39954.21,-21945.85,-6471.2,-4369.0,-23579.39,-41318.5,-32850.48,-27520.07,-28498.71,-53000.22,-1171.42,-55910.3,-72222.93,-84640.47,-8508.09,-17619.94,-34998.54,-36653.28,-5740.13,-15999.06,-31147.7
吸收投资收到的现金,0.0,1929.04,0.0,24.5,24.5,0.0,0.0,48117.1,48348.1,40.0,194.13,194.13,224.5,0.0,123.13,172.13,4540.61,0.0,860.72,860.72,4513.12,47900.0,48435.12,48855.12,59678.4,5000.0,65920.0,65989.0,71455.77,273.69,2283.69,2343.69,5929.92,0.0,164761.99,170469.82
其中：子公司吸收少数股东投资收到的现金,0.0,0.0,0.0,24.5,0.0,0.0,0.0,0.0,0.0,40.0,194.13,194.13,0.0,0.0,123.13,172.13,0.0,0.0,0.0,0.0,10.0,100.0,100.0,100.0,0.0,5000.0,5140.0,5209.0,0.0,273.69,2283.69,2343.69,0.0,0.0,3025.0,4780.0
取得借款收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4920.83,4925.17,27366.24,26923.6,0.0,0.0,18804.91,28191.18,530.0,770.0,10810.0,33266.17,2667.33,8166.56,16860.25,36296.53,20613.28,16378.42,17537.0,60283.41,23480.0,37735.41,75369.41
发行债券收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
收到其他与筹资活动有关的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.94,0.0,2250.0,2770.0,3244.17,2635.1,0.0,0.0,2053.66,2426.39,0.0,0.0,0.0,0.0,500.8,396.35,396.35,0.0,144.13,418.38,630.07
筹资活动现金流入小计,0.0,1929.04,0.0,24.5,24.5,0.0,0.0,48117.1,48348.1,40.0,194.13,194.13,224.5,4920.83,5048.3,27583.31,31464.21,2250.0,3630.72,22909.81,35339.4,48430.0,49205.12,61718.78,95370.96,7667.33,74086.56,82849.25,107752.31,21387.77,19058.46,20277.04,66213.33,23624.13,202915.78,246469.3
偿还债务支付的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12335.0,4377.53,26923.6,27608.36,27223.6,29145.01,770.23,6691.05,21909.82,37876.46,7970.51,7182.27,7182.27,28756.22,3692.72,4110.28,11336.51,26307.54,15680.0,21337.99,81912.05
分配股利、利润或偿付利息所支付的现金,0.0,0.0,30.0,30.0,30.0,0.0,65.24,65.24,68.18,0.0,4302.52,4312.21,4312.21,0.0,4314.74,4391.73,4603.9,204.4,4622.7,4746.41,4783.98,519.63,5314.06,5990.07,5912.17,159.61,345.79,5611.62,6234.73,463.61,11604.86,12306.57,12664.89,737.55,17106.67,24442.33
其中：子公司支付给少数股东的股利、利润,0.0,0.0,30.0,30.0,0.0,0.0,65.24,65.24,0.0,0.0,30.52,40.21,0.0,0.0,15.51,11.77,0.0,0.0,46.79,196.64,177.46,233.0,117.7,117.7,0.0,0.0,0.0,432.84,0.0,0.0,434.67,731.25,0.0,0.0,3489.34,4043.91
支付其他与筹资活动有关的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,608.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10187.02,0.0,0.0,0.0,0.0,2250.0,0.0,0.0,3011.23,149.53,146.19,230.79,2527.24,0.0,0.0,0.0,26239.49,6184.76,6184.76,7634.89
筹资活动现金流出小计,0.0,0.0,30.0,30.0,30.0,0.0,65.24,673.9,68.18,0.0,4302.52,4312.21,4312.21,0.0,4314.74,16726.73,19168.44,27128.0,32231.06,31970.01,33928.98,3539.86,12005.1,27899.89,46799.85,8279.65,7674.25,13024.68,37518.19,4156.33,15715.14,23643.08,65211.93,22602.31,44629.42,113989.26
筹资活动产生的现金流量净额,0.0,1929.04,-30.0,-5.5,-5.5,0.0,-65.24,47443.19,48279.92,40.0,-4108.39,-4118.08,-4087.71,4920.83,733.56,10856.58,12295.77,-24878.0,-28600.34,-9060.2,1410.41,44890.14,37200.02,33818.89,48571.11,-612.32,66412.31,69824.57,70234.12,17231.44,3343.32,-3366.04,1001.41,1021.82,158286.36,132480.03
四、汇率变动对现金及现金等价物的影响,-5.3,-8.66,-0.25,26.58,-0.62,-13.36,-24.15,-39.9,-0.37,-33.21,-71.47,-119.83,-209.74,-44.93,10.03,-23.65,77.09,41.23,25.12,46.5,1170.13,-202.76,137.51,640.05,1455.74,-30.22,-227.25,-770.78,-932.76,-741.79,-393.02,751.45,723.62,-175.97,121.05,518.16
五、现金及现金等价物净增加额,-1226.99,2502.55,3491.73,1893.05,4327.53,-1059.95,-261.21,47167.49,47508.89,-2287.29,-8342.97,-3809.94,-10562.9,-2480.74,-4062.7,-27629.25,-5206.89,-28688.66,-27794.14,-25714.41,-20164.75,9414.41,11955.88,11839.56,16217.73,7084.94,21282.85,10699.0,16157.99,16550.17,5207.5,-3166.02,17296.02,221.18,155014.56,135880.17
加:期初现金及现金等价物余额,2969.47,1742.48,4245.03,4245.03,4245.03,8572.55,8572.55,8572.55,8572.55,56081.44,56081.44,56081.44,56081.44,45518.54,45518.54,45518.54,45518.54,40311.65,40311.65,40311.65,40311.65,20146.9,20146.9,20146.9,20146.9,36364.63,36364.63,36364.63,36364.63,52522.62,52522.62,52522.62,52522.62,69818.64,69818.64,69818.64
六、期末现金及现金等价物余额,1742.48,4245.03,7736.76,6138.08,8572.55,7512.6,8311.34,55740.04,56081.44,53794.15,47738.47,52271.5,45518.54,43037.81,41455.85,17889.29,40311.65,11622.99,12517.51,14597.23,20146.9,29561.31,32102.79,31986.46,36364.63,43449.57,57647.49,47063.64,52522.62,69072.79,57730.12,49356.6,69818.64,70039.82,224833.2,205698.81
净利润,760.31,3223.66,0.0,0.0,4809.84,0.0,0.0,0.0,6782.62,0.0,4596.07,0.0,9474.74,0.0,5654.71,0.0,13639.53,0.0,8546.65,0.0,17389.15,0.0,8614.7,0.0,15678.07,0.0,14092.92,0.0,33217.32,0.0,23390.38,0.0,50679.72,0.0,37819.63,0.0
少数股东权益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
未确认的投资损失,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
资产减值准备,-36.44,47.0,0.0,0.0,153.5,0.0,0.0,0.0,223.45,0.0,169.51,0.0,293.4,0.0,316.31,0.0,852.11,0.0,69.08,0.0,1043.45,0.0,567.17,0.0,1941.29,0.0,307.67,0.0,2291.71,0.0,863.37,0.0,5096.26,0.0,846.54,0.0
固定资产折旧、油气资产折耗、生产性物资折旧,95.77,182.81,0.0,0.0,227.58,0.0,0.0,0.0,282.65,0.0,155.57,0.0,321.19,0.0,175.89,0.0,999.46,0.0,1672.4,0.0,2869.7,0.0,1311.83,0.0,3206.74,0.0,1494.85,0.0,2591.35,0.0,3259.67,0.0,5310.46,0.0,2131.54,0.0
无形资产摊销,2.59,5.81,0.0,0.0,29.95,0.0,0.0,0.0,75.58,0.0,62.9,0.0,113.74,0.0,150.89,0.0,208.07,0.0,116.57,0.0,272.82,0.0,163.08,0.0,342.26,0.0,273.82,0.0,462.56,0.0,333.99,0.0,508.94,0.0,371.31,0.0
长期待摊费用摊销,0.19,29.49,0.0,0.0,100.37,0.0,0.0,0.0,71.42,0.0,33.08,0.0,68.54,0.0,35.69,0.0,72.62,0.0,37.09,0.0,62.32,0.0,47.49,0.0,112.26,0.0,44.57,0.0,201.1,0.0,173.54,0.0,300.77,0.0,204.77,0.0
待摊费用的减少,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预提费用的增加,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
处置固定资产、无形资产和其他长期资产的损失,62.52,0.4,0.0,0.0,-2.91,0.0,0.0,0.0,0.04,0.0,0.33,0.0,2.89,0.0,0.55,0.0,1.77,0.0,0.87,0.0,30.95,0.0,-22.25,0.0,-94.52,0.0,0.79,0.0,10.76,0.0,0.0,0.0,15.17,0.0,0.0,0.0
固定资产报废损失,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
公允价值变动损失,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,596.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,415.2,0.0,-517.62,0.0,-515.41,0.0,100.21,0.0
递延收益增加（减：减少）,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预计负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
财务费用,5.26,20.19,0.0,0.0,42.59,0.0,0.0,0.0,96.2,0.0,71.47,0.0,203.97,0.0,31.78,0.0,331.43,0.0,124.97,0.0,-417.48,0.0,214.62,0.0,173.64,0.0,581.68,0.0,1881.85,0.0,1384.68,0.0,1461.47,0.0,1866.03,0.0
投资损失,-94.02,-3.37,0.0,0.0,-87.74,0.0,0.0,0.0,0.0,0.0,-16.83,0.0,-87.44,0.0,0.22,0.0,-580.13,0.0,-927.24,0.0,-574.77,0.0,-38.12,0.0,-3815.8,0.0,-1873.83,0.0,-5335.32,0.0,-3143.99,0.0,-11885.38,0.0,-7176.3,0.0
递延所得税资产减少,-1.46,4.92,0.0,0.0,-41.1,0.0,0.0,0.0,-33.89,0.0,-13.69,0.0,-43.09,0.0,-115.96,0.0,-511.23,0.0,10.89,0.0,-14.84,0.0,-196.04,0.0,-39.36,0.0,-99.26,0.0,-696.3,0.0,489.76,0.0,255.42,0.0,128.62,0.0
递延所得税负债增加,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.53,0.0,-0.35,0.0,470.97,0.0,202.41,0.0,791.71,0.0,-39.26,0.0,-390.12,0.0,-1266.82,0.0,146.91,0.0,-374.77,0.0
存货的减少,0.0,-4.36,0.0,0.0,-5.17,0.0,0.0,0.0,-17.35,0.0,15.03,0.0,-8.66,0.0,-6.84,0.0,5.99,0.0,2.37,0.0,-14.18,0.0,9.84,0.0,37.74,0.0,-1.19,0.0,-3.32,0.0,-108.53,0.0,-50.49,0.0,-10.73,0.0
经营性应收项目的减少,805.89,-874.49,0.0,0.0,-2663.62,0.0,0.0,0.0,-5098.33,0.0,-3361.45,0.0,-3909.53,0.0,-7006.75,0.0,-13026.6,0.0,-4720.04,0.0,-6381.69,0.0,-16769.78,0.0,-6715.15,0.0,-7722.71,0.0,-15888.9,0.0,-10652.34,0.0,-18070.23,0.0,-25030.11,0.0
经营性应付项目的增加,594.22,26.53,0.0,0.0,1460.37,0.0,0.0,0.0,-624.58,0.0,-403.59,0.0,1008.94,0.0,292.3,0.0,711.74,0.0,-264.75,0.0,2851.0,0.0,7786.29,0.0,7078.77,0.0,3948.05,0.0,13142.74,0.0,5671.05,0.0,18957.91,0.0,586.03,0.0
已完工尚未结算款的减少(减:增加),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
已结算尚未完工款的增加(减:减少),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他,0.0,0.0,0.0,0.0,-154.49,0.0,0.0,0.0,-259.57,0.0,0.0,0.0,271.27,0.0,0.0,0.0,1523.81,0.0,481.59,0.0,389.29,0.0,247.17,0.0,493.45,0.0,0.0,0.0,-403.53,0.0,0.0,0.0,12.75,0.0,0.0,0.0
经营活动产生现金流量净额,2194.83,2658.58,0.0,0.0,3869.16,0.0,0.0,0.0,1498.25,0.0,1308.41,0.0,7709.96,0.0,-471.23,0.0,4366.09,0.0,5150.09,0.0,18573.21,0.0,2138.43,0.0,19191.1,0.0,11008.09,0.0,31497.09,0.0,19877.14,0.0,52224.27,0.0,12606.21,0.0
债务转为资本,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内到期的可转换公司债券,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
融资租入固定资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
现金的期末余额,1742.48,4245.03,0.0,0.0,8572.55,0.0,0.0,0.0,56081.44,0.0,47738.47,0.0,45518.54,0.0,41455.85,0.0,40311.65,0.0,12517.51,0.0,20146.9,0.0,32102.79,0.0,36364.63,0.0,57647.49,0.0,52522.62,0.0,57730.12,0.0,69818.64,0.0,224833.2,0.0
现金的期初余额,2969.47,1742.48,0.0,0.0,4245.03,0.0,0.0,0.0,8572.55,0.0,56081.44,0.0,56081.44,0.0,45518.54,0.0,45518.54,0.0,40311.65,0.0,40311.65,0.0,20146.9,0.0,20146.9,0.0,36364.63,0.0,36364.63,0.0,52522.62,0.0,52522.62,0.0,69818.64,0.0
现金等价物的期末余额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
现金等价物的期初余额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
现金及现金等价物的净增加额,-1226.99,2502.55,0.0,0.0,4327.53,0.0,0.0,0.0,47508.89,0.0,-8342.97,0.0,-10562.9,0.0,-4062.7,0.0,-5206.89,0.0,-27794.14,0.0,-20164.75,0.0,11955.88,0.0,16217.73,0.0,21282.85,0.0,16157.99,0.0,5207.5,0.0,17296.02,0.0,155014.56,0.0
