报表日期,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30
处置子公司及其他营业单位收到的现金净额,756.71,0.0,0.0,0.0,1256.57,1256.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
收到的其他与投资活动有关的现金,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.79,24.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
投资活动现金流入小计,1010.19,0.34,0.0,30.3,1256.57,1262.17,0.0,0.0,0.0,0.0,8.08,27.08,540.09,540.79,0.0,2.68,13.06,13.11,0.0,0.0,0.0,0.0,0.0,1607.94,23873.16,44415.7,20231.51,39747.5
购建固定资产、无形资产和其他长期资产所支付的现金,797.7,1077.06,2305.92,1713.41,412.04,530.07,33.55,372.3,406.8,1187.45,527.66,608.28,779.23,1029.86,278.58,541.01,941.14,2007.5,1298.56,4433.98,4775.43,8946.66,4429.92,8144.42,9917.22,12753.65,1112.09,3129.12
投资所支付的现金,0.0,0.0,0.0,0.0,145.75,145.75,0.0,0.0,0.0,0.0,500.0,500.0,500.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,200.0,0.0,0.0,0.0,60930.0,17262.0,23762.0
取得子公司及其他营业单位支付的现金净额,0.0,0.0,0.0,0.0,69.43,69.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
支付的其他与投资活动有关的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10100.0,34427.0,0.0,0.0,0.0
投资活动现金流出小计,797.7,1077.06,2305.92,1713.41,627.22,745.24,33.55,372.3,406.8,1187.45,1027.66,1108.28,1279.23,1529.86,278.58,541.01,941.14,2007.5,1298.56,4433.98,4975.43,9146.66,4429.92,18244.42,44344.22,73683.65,18374.09,26891.12
投资活动产生的现金流量净额,212.49,-1076.72,-2305.92,-1683.11,629.35,516.93,-33.55,-372.3,-406.8,-1187.45,-1019.58,-1081.2,-739.14,-989.07,-278.58,-538.33,-928.08,-1994.39,-1298.56,-4433.98,-4975.43,-9146.66,-4429.92,-16636.48,-20471.06,-29267.95,1857.42,12856.38
吸收投资收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15200.0,13020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2346.0,2346.0,2346.0,2554.08,369.92,919.92
其中：子公司吸收少数股东投资收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,550.0
取得借款收到的现金,3000.0,3000.0,1500.0,2400.0,950.0,950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,2000.0,0.0,0.0
发行债券收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
收到其他与筹资活动有关的现金,0.0,0.0,600.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
筹资活动现金流入小计,3000.0,3000.0,2100.37,2400.0,950.0,950.0,0.0,0.0,15200.0,13020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2346.0,2346.0,4346.0,4554.08,369.92,919.92
偿还债务支付的现金,3400.0,2000.0,600.0,3500.0,1400.0,2400.0,950.0,950.0,950.0,950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
分配股利、利润或偿付利息所支付的现金,107.92,70.51,1109.74,224.17,1018.54,1048.45,14.09,14.09,14.09,14.09,0.0,800.0,800.0,800.0,0.0,600.0,600.0,600.0,0.0,1500.0,1500.0,1500.0,0.0,0.0,0.0,35.47,28.5,57.63
其中：子公司支付给少数股东的股利、利润,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
支付其他与筹资活动有关的现金,0.0,695.0,255.0,50.7,47.17,47.17,0.0,33.02,2258.5,622.21,54.14,54.14,56.22,69.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.44,3977.6,9078.53
筹资活动现金流出小计,3507.92,2765.51,1964.74,3774.87,2465.71,3495.62,964.09,997.11,3222.6,1586.3,54.14,854.14,856.22,869.98,0.0,600.0,600.0,600.0,0.0,1500.0,1500.0,1500.0,0.0,0.0,0.0,91.91,4006.1,9136.17
筹资活动产生的现金流量净额,-507.92,234.5,135.63,-1374.87,-1515.71,-2545.62,-964.09,-997.11,11977.4,11433.7,-54.14,-854.14,-856.22,-869.98,0.0,-600.0,-600.0,-600.0,0.0,-1500.0,-1500.0,-1500.0,2346.0,2346.0,4346.0,4462.17,-3636.18,-8216.25
四、汇率变动对现金及现金等价物的影响,-1.02,-35.7,-39.32,-6.92,-25.35,-43.41,6.83,16.97,11.69,7.13,3.64,14.44,100.94,43.77,-7.44,26.59,38.52,120.33,-13.98,-89.18,-195.56,-256.3,-148.88,-4.04,-74.14,-82.51,-7.44,-8.43
五、现金及现金等价物净增加额,722.14,2167.13,-284.02,-844.83,2132.19,1404.19,-908.45,-75.75,13505.11,13374.89,-201.09,-64.44,1723.94,3162.97,136.89,638.23,-638.14,160.14,1386.07,-207.41,-1562.44,-4316.41,-663.92,-9738.62,-11546.44,-12677.81,-1428.63,3625.64
加:期初现金及现金等价物余额,2141.3,2863.44,5030.58,4746.56,3901.72,3901.72,5305.91,5305.91,5305.91,5305.91,18680.8,18680.8,18680.8,18680.8,21843.76,21843.76,21843.76,21843.76,22003.91,22003.9,22003.9,22003.9,17687.49,17687.49,17687.49,17687.49,5009.68,5009.68
六、期末现金及现金等价物余额,2863.44,5030.58,4746.56,3901.72,6033.91,5305.91,4397.46,5230.16,18811.02,18680.8,18479.7,18616.36,20404.74,21843.76,21980.66,22482.0,21205.63,22003.9,23389.98,21796.5,20441.46,17687.49,17023.58,7948.87,6141.06,5009.68,3581.05,8635.32
净利润,1513.65,3526.65,4077.21,2823.98,0.0,3477.41,0.0,1750.27,0.0,3186.44,0.0,1861.35,0.0,3176.23,0.0,2009.48,0.0,5216.61,0.0,3070.68,0.0,8077.79,0.0,5186.46,0.0,9146.03,0.0,485.26
少数股东权益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
未确认的投资损失,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
资产减值准备,61.17,139.22,133.58,157.19,0.0,185.21,0.0,199.71,0.0,363.86,0.0,197.6,0.0,307.16,0.0,351.68,0.0,782.16,0.0,174.63,0.0,922.59,0.0,984.58,0.0,773.72,0.0,443.19
固定资产折旧、油气资产折耗、生产性物资折旧,319.65,401.18,499.33,585.54,0.0,589.44,0.0,304.43,0.0,612.19,0.0,310.02,0.0,592.78,0.0,294.6,0.0,575.65,0.0,280.82,0.0,595.88,0.0,297.97,0.0,585.62,0.0,791.24
无形资产摊销,44.25,238.19,293.59,296.17,0.0,364.53,0.0,164.55,0.0,207.27,0.0,43.08,0.0,86.09,0.0,38.94,0.0,77.51,0.0,38.58,0.0,76.6,0.0,37.68,0.0,77.19,0.0,50.29
长期待摊费用摊销,3.97,13.54,17.3,19.26,0.0,25.68,0.0,12.13,0.0,29.06,0.0,26.07,0.0,52.75,0.0,29.37,0.0,64.18,0.0,35.63,0.0,84.07,0.0,41.64,0.0,63.22,0.0,66.27
待摊费用的减少,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预提费用的增加,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
处置固定资产、无形资产和其他长期资产的损失,0.35,18.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.07,0.0,-1.04,0.0,3.18,0.0,0.0,0.0,0.0,0.0,-5.53,0.0,-5.85,0.0,14.2
固定资产报废损失,0.0,0.0,0.72,0.75,0.0,4.82,0.0,0.07,0.0,0.07,0.0,0.2,0.0,25.57,0.0,0.57,0.0,2.41,0.0,1.02,0.0,1.42,0.0,0.03,0.0,14.03,0.0,0.38
公允价值变动损失,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
递延收益增加（减：减少）,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预计负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
财务费用,120.74,137.12,284.25,256.74,0.0,208.22,0.0,0.84,0.0,10.69,0.0,-14.44,0.0,-92.17,0.0,-92.65,0.0,-56.08,0.0,42.82,0.0,158.63,0.0,-41.57,0.0,-193.92,0.0,14.87
投资损失,0.0,-0.34,0.0,0.0,0.0,-384.67,0.0,0.0,0.0,0.0,0.0,-20.68,0.0,-24.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.89,0.0,-168.85,0.0,-264.63
递延所得税资产减少,-9.21,-22.49,-30.73,-24.9,0.0,-24.0,0.0,-29.15,0.0,-54.91,0.0,-34.59,0.0,-45.54,0.0,-50.08,0.0,-283.62,0.0,-31.17,0.0,-280.02,0.0,-280.53,0.0,-239.83,0.0,49.44
递延所得税负债增加,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
存货的减少,-1490.46,-3159.54,675.86,660.52,0.0,-2152.11,0.0,-235.03,0.0,115.8,0.0,489.26,0.0,1457.03,0.0,-2725.77,0.0,-2532.88,0.0,-5853.55,0.0,-6188.56,0.0,-2403.72,0.0,-484.45,0.0,-7770.46
经营性应收项目的减少,-1178.92,-2447.25,-2641.57,-631.04,0.0,-1033.01,0.0,-1877.36,0.0,-1954.03,0.0,-2074.22,0.0,486.67,0.0,-2630.1,0.0,-6944.6,0.0,18.49,0.0,-4368.66,0.0,-7051.78,0.0,-2569.14,0.0,-389.9
经营性应付项目的增加,1633.4,4200.02,-1383.92,-1924.15,0.0,2214.76,0.0,986.24,0.0,605.08,0.0,1072.79,0.0,-1040.46,0.0,4524.97,0.0,5729.67,0.0,8037.79,0.0,7506.81,0.0,6950.61,0.0,3571.29,0.0,4963.48
已完工尚未结算款的减少(减:增加),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
已结算尚未完工款的增加(减:减少),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,840.94,0.0,1641.41,0.0,540.3
经营活动产生现金流量净额,1018.6,3045.06,1925.6,2220.06,0.0,3476.29,0.0,1276.68,0.0,3121.52,0.0,1856.45,0.0,4978.25,0.0,1749.98,0.0,2634.19,0.0,5815.75,0.0,6586.55,0.0,4555.9,0.0,12210.47,0.0,-1006.06
债务转为资本,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内到期的可转换公司债券,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
融资租入固定资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
现金的期末余额,0.0,0.0,4746.56,3901.72,0.0,5305.91,0.0,5230.16,0.0,18680.8,0.0,18616.36,0.0,21843.76,0.0,22482.0,0.0,22003.9,0.0,21796.5,0.0,17687.49,0.0,7948.87,0.0,5009.68,0.0,8635.32
现金的期初余额,0.0,0.0,5030.58,4746.56,0.0,3901.72,0.0,5305.91,0.0,5305.91,0.0,18680.8,0.0,18680.8,0.0,21843.76,0.0,21843.76,0.0,22003.9,0.0,22003.9,0.0,17687.49,0.0,17687.49,0.0,5009.68
现金等价物的期末余额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
现金等价物的期初余额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
现金及现金等价物的净增加额,0.0,0.0,-284.02,-844.83,0.0,1404.19,0.0,-75.75,0.0,13374.89,0.0,-64.44,0.0,3162.97,0.0,638.23,0.0,160.14,0.0,-207.41,0.0,-4316.41,0.0,-9738.62,0.0,-12677.81,0.0,3625.64
