报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31
收回投资所收到的现金,0.0,0.0,1713.28,0.0,0.0,2276.42,0.0,0.0,0.0,157.64,157.62,157.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37500.0,0.0,0.0,223199.14,280430.0,0.0,973520.0,1426760.0,2152875.4,0.0,727468.72,958940.0,1428366.0,0.0,524035.0,705035.0,1100775.0,118000.0,614000.0,849000.0,918222.0,0.0,195000.0,225000.0,245000.0,0.0,90000.0,115000.0,274700.0,45750.0,145750.0,404754.91,533754.91,115610.0,375610.0,629560.0,1128560.0,213500.0,688400.0,1102500.0,1343751.0,72000.0,451718.5,552960.3,782263.2,337827.9
取得投资收益所收到的现金,1375.71,3876.72,5245.02,8875.89,5578.85,5478.57,6078.85,6078.05,400.2,1726.48,2447.22,4675.03,464.45,2849.53,2849.53,4777.61,263.13,3221.12,3221.12,3454.53,0.0,1602.14,1573.75,4794.22,0.0,1948.94,3134.02,8100.26,4908.32,1737.7,11175.54,15735.16,2163.46,9242.9,11785.77,15616.57,685.65,6937.18,8724.83,10134.52,0.0,3686.35,4381.04,4920.44,10.03,2833.41,3251.38,4640.72,774.41,3443.89,11376.11,14240.93,2438.66,9170.46,14547.26,21534.09,3406.91,11478.9,18552.86,19953.01,371.86,7928.47,8873.37,12422.22,3978.16
处置固定资产、无形资产和其他长期资产所收回的现金净额,9.2,302.7,155.89,342.79,7.4,19.3,59.66,135.5,1.62,7.33,149.24,178.53,18.18,46.4,218.53,342.44,29.21,89.61,101.49,118.97,7.75,82.81,87.27,97.57,53.23,79.63,99.48,110.21,23.71,47.93,78.02,619.89,1.88,11.04,31.71,2282.33,6.07,112.96,188.43,1457.27,18.49,58.38,63.72,7915.6,0.17,122.56,150.02,6594.45,0.3,43.2,69.79,940.61,0.02,361.42,401.41,1956.16,24.72,772.83,964.74,1456.92,76.18,983.38,11884.85,16506.86,151.29
处置子公司及其他营业单位收到的现金净额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1107.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6777.69,28238.22,28238.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
收到的其他与投资活动有关的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37608.39,31500.0,51555.48,32000.0,74703.25,92782.75,0.0,634.96,107594.12,0.0,0.0,0.0,222097.34,0.0,0.0,0.0,135000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16400.41,0.0,1277.72,0.0
投资活动现金流入小计,1384.91,4179.42,7114.19,9218.68,5586.25,7774.29,6138.51,6213.55,401.82,1891.44,2754.09,6118.39,482.63,2895.92,3068.06,5120.04,37900.72,34810.73,54878.09,73073.5,74711.0,94467.69,224860.16,285956.75,107647.35,975548.57,1429993.5,2161085.88,227029.37,729254.35,970193.56,1444721.05,137165.34,533288.94,716852.48,1118673.91,118691.73,621050.14,857913.26,929813.79,18.49,198744.74,229444.76,257836.04,10.2,92955.96,118401.4,285935.17,46524.71,149237.09,416200.81,548936.46,118048.68,391919.57,672746.9,1180288.47,216931.63,700651.73,1122017.6,1365160.93,72448.03,477030.76,573718.52,812470.0,341957.35
购建固定资产、无形资产和其他长期资产所支付的现金,1834.89,2802.68,7572.62,17503.42,4304.74,8764.64,13979.13,25943.77,3923.77,11749.58,21989.75,42151.74,9525.42,21041.48,29823.61,45408.73,18065.35,22585.43,26468.86,45248.14,11238.96,18180.24,94099.86,120097.17,28239.02,55935.19,92961.12,133625.39,41195.24,86141.63,148836.93,248885.09,79535.57,147356.07,190890.53,225601.6,34004.23,48856.19,66162.32,89577.41,16387.47,25971.52,40180.57,52660.59,14339.78,24058.37,39815.74,51522.23,12067.44,23773.7,36135.88,66792.4,15453.06,40719.09,71838.55,115697.61,45496.63,130154.15,259446.49,393335.95,83996.61,177001.83,284959.2,354903.91,102534.61
投资所支付的现金,0.0,1023.47,3239.5,2621.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,467.3,0.0,0.0,0.0,0.0,61495.16,61829.56,61829.56,67495.16,0.0,0.0,262044.94,314430.0,0.0,1027026.0,1607788.7,2225845.4,0.0,679711.62,1045024.8,1419966.0,0.0,530105.0,869205.0,1222005.0,348403.89,550679.35,665815.76,663825.89,199000.0,245000.0,245178.39,245000.0,100000.0,115000.0,335490.0,459490.0,240000.0,240000.0,524004.91,619614.91,144000.0,339191.76,1239791.76,1429816.67,299389.24,477389.24,819659.24,1031060.24,222658.5,290918.5,552078.4,798362.9,767264.2
取得子公司及其他营业单位支付的现金净额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,866.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5846.1,5846.1,0.0
支付的其他与投资活动有关的现金,740.0,0.0,0.0,0.0,0.0,2380.14,577.17,0.0,0.0,0.0,39.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46000.0,70000.0,90000.0,126000.0,0.0,366.1,68046.0,0.0,0.0,0.0,308596.0,0.0,0.0,0.0,308955.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2190.0,240.0
投资活动现金流出小计,2574.89,3826.15,10812.12,20125.01,4304.74,11144.77,14556.3,25943.77,3923.77,11749.58,22029.49,42619.04,9525.42,21041.48,29823.61,45408.73,79560.52,84414.99,134298.42,182743.3,101238.96,144180.24,357010.91,434893.27,96285.02,1082961.19,1700749.82,2359470.79,349791.24,765853.25,1193861.73,1668851.09,388490.57,677461.07,1060095.53,1447606.6,382408.12,599535.54,731978.08,753403.3,215387.47,270971.52,285358.96,298006.08,114339.78,139058.37,375305.74,511012.23,252067.44,263773.7,560140.8,686407.31,159453.06,379910.85,1311630.31,1545514.29,344885.87,607543.39,1079105.73,1424396.19,306655.11,467920.33,842883.7,1161302.91,870038.81
投资活动产生的现金流量净额,-1189.98,353.27,-3697.93,-10906.33,1281.52,-3370.49,-8417.79,-19730.22,-3521.95,-9858.13,-19275.4,-36500.64,-9042.79,-18145.55,-26755.56,-40288.69,-41659.79,-49604.26,-79420.34,-109669.8,-26527.96,-49712.55,-132150.75,-148936.53,11362.33,-107412.61,-270756.32,-198384.92,-122761.87,-36598.89,-223668.17,-224130.04,-251325.23,-144172.13,-343243.05,-328932.69,-263716.39,21514.6,125935.18,176410.49,-215368.98,-72226.78,-55914.2,-40170.05,-114329.58,-46102.41,-256904.34,-225077.06,-205542.73,-114536.61,-143939.99,-137470.86,-41404.38,12008.72,-638883.41,-365225.81,-127954.24,93108.34,42911.87,-59235.26,-234207.07,9110.43,-269165.17,-348832.91,-528081.46
吸收投资收到的现金,0.0,0.0,1603.11,2353.11,0.0,1778.86,1778.86,1778.86,0.0,1750.0,1750.0,1750.0,1500.0,1500.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,4180.1,3989.23,0.0,0.0,0.0,3000.0,0.0,20490.0,20490.0,20490.0,0.0,0.0,4000.0,4000.0,0.0,0.0,0.0,12000.0,0.0,0.0,0.0,0.0,0.0,0.0,698612.5,696584.71,0.0,0.0,0.0,573.0,1077.0,1077.0,1077.0,1077.0,0.0
其中：子公司吸收少数股东投资收到的现金,0.0,0.0,0.0,2353.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1750.0,1500.0,1500.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3989.23,0.0,0.0,0.0,3000.0,0.0,20490.0,20490.0,20490.0,0.0,0.0,4000.0,4000.0,0.0,0.0,0.0,12000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,573.0,1077.0,1077.0,1077.0,1077.0,0.0
取得借款收到的现金,0.0,1000.0,2500.0,2500.0,0.0,0.0,0.0,0.0,94350.29,95006.18,900.0,0.0,0.0,0.0,0.0,0.0,23400.4,66800.4,84800.4,84786.4,4590.0,4760.0,128280.36,217685.9,25915.0,85340.63,117879.23,128668.05,9415.57,9415.57,9415.57,46402.49,30464.18,177140.03,192641.05,247258.59,4160.4,51557.62,182149.41,258607.95,343179.49,539136.76,646066.05,744418.21,169717.45,263874.14,508796.08,728078.57,360195.6,641099.28,1162705.46,1247524.57,282123.57,692274.82,799784.82,926854.82,524610.01,1102030.01,1645961.01,1775120.01,661204.0,938161.9,1648758.53,1800312.84,1118663.35
发行债券收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
收到其他与筹资活动有关的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31862.07,31862.07,3152.72,41227.57,0.0,0.0,0.0,0.0,0.0,0.0,1.1,7883.14,1653.62,3618.98,6494.22,17594.85,8568.4,9454.67,10700.59,13410.65,710.67,1981.73,3412.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2536.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0
筹资活动现金流入小计,0.0,1000.0,4103.11,4853.11,0.0,1778.86,1778.86,1778.86,94350.29,96756.18,2650.0,1750.0,1500.0,1500.0,1500.0,1500.0,23400.4,66800.4,84800.4,84786.4,36452.07,36622.07,131433.07,258913.47,25915.0,85340.63,117879.23,128668.05,9415.57,9665.57,13596.77,58274.86,32117.8,180759.01,199135.27,267853.44,12728.8,81502.3,213340.0,292508.61,343890.16,541118.5,653478.96,748418.21,169717.45,263874.14,508796.08,740078.57,360195.6,641099.28,1162705.46,1247524.57,282123.57,692274.82,1500933.32,1623439.53,524610.01,1102030.01,1645961.01,1775693.01,662281.0,939238.9,1649835.53,1801989.84,1118663.35
偿还债务支付的现金,0.0,1800.0,3800.0,3800.0,0.0,0.0,1500.0,1500.0,0.0,0.0,0.0,0.0,16.86,16.86,33.63,33.63,6016.25,16.25,9777.6,9777.6,36032.43,50532.43,204981.45,310699.36,15.4,80022.79,162708.99,178035.22,12298.04,25963.47,25507.75,42509.8,5469.45,45902.39,114215.13,220153.54,18476.64,51476.64,81666.37,215983.95,168680.06,338376.42,457162.86,571745.13,204594.51,258129.51,457906.7,690131.06,283016.7,579729.16,1135237.97,1249002.98,237279.12,454285.73,691598.1,998823.1,388720.37,1041255.37,1311808.67,1767554.67,249823.12,853591.12,1000559.93,1761544.77,383470.71
分配股利、利润或偿付利息所支付的现金,433.58,49584.11,49622.32,50826.8,7048.48,55649.2,55667.33,55785.36,3337.86,43920.41,43928.64,43932.14,0.0,1772.11,61174.4,62371.9,18318.66,19625.14,50337.28,50655.97,3139.88,45599.54,74602.54,80701.08,576.07,157089.85,157616.55,162068.65,15286.81,333850.11,336943.28,346667.1,621.73,315630.54,323225.04,329020.31,583.65,425312.82,626359.14,735079.03,7957.98,404850.28,407388.76,415080.8,3210.55,374093.0,380087.51,685634.76,2806.8,185742.93,202481.52,205095.37,1662.1,249066.68,320679.41,577611.38,7148.33,598454.35,606034.6,606701.21,20642.92,462457.11,675165.17,677148.03,11774.38
其中：子公司支付给少数股东的股利、利润,0.0,0.0,0.0,9429.57,7021.85,7116.07,0.0,0.0,0.0,6849.61,6849.61,6849.61,0.0,1772.11,1772.11,1772.11,17250.06,18556.53,48628.96,19188.34,2256.25,44582.94,39272.67,39899.23,0.0,0.0,0.0,10903.15,0.0,0.0,0.0,27136.74,376.24,9488.33,10742.9,15463.11,457.55,12662.3,297494.13,25306.83,1817.3,162236.05,6534.16,12256.63,630.48,6689.15,9093.01,17871.39,2090.17,3069.56,6083.99,9385.19,0.0,11850.92,11850.92,15245.11,5325.13,7906.97,10662.56,10662.56,2801.11,4063.18,4063.18,4063.18,4134.82
支付其他与筹资活动有关的现金,2.93,47.36,53.12,0.0,2.71,67.27,69.83,0.0,0.0,80048.55,48.55,0.0,0.0,0.0,80.94,0.0,0.0,28157.63,28157.63,33618.54,5800.0,0.0,0.0,5092.83,0.0,0.0,0.0,5333.3,0.0,0.0,0.0,7615.2,10317.16,2375.11,4999.67,15692.63,8819.06,9428.88,10597.51,15585.01,4034.64,4184.64,12285.87,9651.87,0.0,0.0,0.0,0.0,0.0,6182.59,6182.59,31909.34,0.0,65800.08,67560.58,65800.08,0.0,0.0,0.0,1631.8,351.27,1947.04,4829.22,4816.39,467.11
筹资活动现金流出小计,436.52,51431.47,53475.44,54626.8,7051.19,55716.46,57237.16,57285.36,3337.86,123968.96,43977.19,43932.14,16.86,1788.96,61288.98,62405.53,24334.92,47799.03,88272.52,94052.12,44972.32,96131.97,279583.98,396493.27,591.47,237112.63,320325.54,345437.17,27584.85,359813.58,362451.03,396792.1,16408.33,363908.04,442439.84,564866.49,27879.35,486218.34,718623.03,966647.99,180672.68,747411.34,876837.49,996477.8,207805.06,632222.5,837994.21,1375765.81,285823.5,771654.68,1343902.08,1486007.7,238941.22,769152.49,1079838.09,1642234.55,395868.71,1639709.72,1917843.27,2375887.68,270817.31,1317995.27,1680554.32,2443509.18,395712.19
筹资活动产生的现金流量净额,-436.52,-50431.47,-49372.33,-49773.69,-7051.19,-53937.6,-55458.31,-55506.51,91012.44,-27212.78,-41327.19,-42182.14,1483.14,-288.96,-59788.98,-60905.53,-934.52,19001.37,-3472.12,-9265.72,-8520.25,-59509.9,-148150.91,-137579.8,25323.53,-151772.0,-202446.32,-216769.12,-18169.28,-350148.01,-348854.26,-338517.24,15709.47,-183149.02,-243304.56,-297013.04,-15150.55,-404716.04,-505283.03,-674139.38,163217.48,-206292.85,-223358.53,-248059.59,-38087.6,-368348.37,-329198.13,-635687.24,74372.09,-130555.41,-181196.63,-238483.13,43182.36,-76877.67,421095.23,-18795.02,128741.3,-537679.71,-271882.26,-600194.67,391463.69,-378756.37,-30718.79,-641519.34,722951.15
四、汇率变动对现金及现金等价物的影响,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-491.94,9.49,0.0,0.0,-636.96,1020.68,0.0,-308.59,-413.71,1243.69,23.95,-1.56,-1.56,-17.92,4.69,29.69,55.62,59.96,-4.15,18.86,95.51,104.23,232.83,314.86,294.67,215.49,265.87,358.86,381.9,385.43,-5.45,23.2,96.31,71.25,36.51
五、现金及现金等价物净增加额,28619.24,7142.47,17543.87,16246.17,-3129.55,-45379.11,19299.59,36604.89,132712.16,8830.02,81631.04,63066.3,2330.56,-28958.02,31939.35,45336.25,-51848.99,13460.07,-20590.75,-18860.86,-49779.74,-125779.15,3417.23,169215.32,112889.74,-146120.91,-160371.07,-28224.93,-104339.05,-273653.34,-267589.83,-91433.65,-117166.15,-96671.8,-123157.93,-48292.63,-93032.81,-99428.71,14125.4,58114.73,102674.55,-54882.25,166046.71,276756.82,-26332.81,-222539.78,-222994.49,-341219.67,-98164.05,-91234.88,-56602.06,66511.79,180522.49,112339.37,393830.32,498387.33,141441.26,-316706.57,-27193.2,-55639.22,134437.82,-214477.43,103746.91,-233734.39,194350.68
加:期初现金及现金等价物余额,75303.24,75303.24,75303.24,75303.24,91549.4,91549.4,91549.4,91549.4,128154.29,128154.29,128154.29,128154.29,191220.59,191220.59,191220.59,191220.59,238344.6,237844.6,237844.6,237844.6,218983.74,218983.74,279519.55,238241.98,407457.29,407457.29,407457.29,407457.29,384565.66,384565.66,384565.66,379232.36,287798.72,287798.72,287798.72,287798.72,239506.09,239506.09,239506.09,239506.09,297620.82,297620.82,297620.82,297620.82,574377.63,574377.63,574377.63,574377.63,233157.96,233157.96,248108.1,248108.1,314619.9,314619.9,314619.9,314619.9,813007.23,813007.23,813007.23,813007.23,757368.01,757368.01,757368.01,757368.01,523633.62
六、期末现金及现金等价物余额,103922.47,82445.71,92847.1,91549.4,88419.85,46170.29,110848.99,128154.29,260866.46,136984.31,209785.33,191220.59,193551.15,162262.57,223159.94,236556.84,186495.6,251304.67,217253.85,218983.74,169204.0,93204.59,282936.78,407457.29,520347.03,261336.38,247086.23,379232.36,280226.61,110912.32,116975.83,287798.72,170632.56,191126.92,164640.79,239506.09,146473.28,140077.38,253631.49,297620.82,400295.37,242738.56,463667.53,574377.63,548044.83,351837.85,351383.14,233157.96,134993.92,141923.08,191506.04,314619.9,495142.38,426959.26,708450.22,813007.23,954448.49,496300.66,785814.03,757368.01,891805.83,542890.58,861114.92,523633.62,717984.3
净利润,0.0,28770.3,0.0,56188.1,0.0,32892.77,0.0,81769.27,0.0,45652.21,0.0,110575.18,0.0,56777.77,0.0,132725.34,0.0,9397.75,0.0,64345.56,0.0,46099.19,0.0,306895.97,0.0,178684.3,0.0,406906.53,0.0,229140.33,0.0,421545.78,0.0,205472.07,0.0,441646.34,0.0,222815.95,0.0,456154.16,0.0,198329.09,0.0,451053.26,0.0,245873.67,0.0,507640.43,0.0,247899.58,0.0,566598.89,0.0,311131.83,0.0,636980.23,0.0,255311.85,0.0,488363.29,0.0,276708.15,0.0,571717.43,0.0
