报表日期,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31
收回投资所收到的现金,8303.43,8769.37,227958.52,70915.23,10791.28,320478.38,406304.09,38897.68,53864.59,74961.4,35027.73,4667.65,9535.3,9969.91,6973.41,17108.78,17328.93,25237.33,30063.05,19931.12,20031.26,38311.81,38284.31,23533.06,22907.9,35698.79,735850.26,400000.0,920000.0,937713.86,1024583.76,0.0,0.0,19489.82,138127.65,25500.0,46000.0,46591.38,48773.65,0.0,2581.95,2581.95,4595.61,0.0,0.0,7729.31,103956.31,25597.07,30045.97,54039.66,227937.14,33211.25,50561.47,66568.46,95216.84,42365.78
取得投资收益所收到的现金,67977.41,85493.44,129595.41,7138.5,50684.84,121059.9,134549.46,4119.5,29688.3,36977.36,104288.92,790.48,17871.44,53193.01,89111.38,31792.26,54982.86,97703.12,121617.56,10615.72,108436.63,136978.56,180866.29,12174.81,48779.09,51486.95,92091.55,20915.78,53075.9,100571.97,135810.44,4037.56,39116.32,71906.39,120134.82,3499.09,42879.32,50220.48,103005.79,1501.83,37202.55,66539.13,123779.6,5914.77,34626.95,105982.61,134012.01,15445.51,56077.68,148566.5,204869.45,17659.02,62796.9,143934.73,171463.23,10353.5
处置固定资产、无形资产和其他长期资产所收回的现金净额,73546.81,108229.07,635347.31,26208.36,48483.06,272100.7,270221.18,12288.09,22658.93,84948.72,93674.06,27811.36,63781.36,64118.09,52423.93,986.19,150138.12,163806.72,173138.72,9189.89,17751.25,34178.11,47070.82,14840.31,47160.13,84486.04,150401.69,49745.92,84656.82,183220.9,235820.31,30172.92,43326.65,43972.99,45302.7,2392.73,4849.13,21678.53,41377.65,160.83,893.33,6112.12,7236.17,2817.5,5371.89,11369.03,22669.08,8093.63,5239.17,11281.05,20598.94,3357.43,7237.49,18201.6,20263.55,2923.8
处置子公司及其他营业单位收到的现金净额,0.0,0.0,54.66,0.0,0.0,0.0,316.9,0.0,1562.83,1563.11,11303.28,949.03,0.0,306.82,2020.44,707.81,707.81,6152.0,707.81,0.0,0.0,6114.84,0.0,0.0,696932.96,1099476.52,1423246.56,0.0,0.0,0.0,11.13,0.0,0.0,0.0,0.0,1122918.49,945898.89,945898.89,953486.44,0.0,0.0,0.0,0.0,0.0,0.0,7641.15,0.0,0.0,0.0,0.0,1226469.77,83974.73,85520.5,85520.5,85520.5,0.0
收到的其他与投资活动有关的现金,5244.24,5244.24,34359.96,10441.49,202107.26,11866.49,50802.32,3.0,51358.49,60750.04,135822.92,450.67,268.64,16431.2,5273.93,10529.03,8731.48,13579.71,8453.49,2122.45,17.35,19268.74,18.92,2.07,0.79,0.79,300.38,0.0,61463.21,66861.66,61735.33,0.0,1670.97,58343.62,58343.62,42597.35,43057.61,43057.61,64839.04,0.0,0.0,364.84,0.0,12208.24,12266.17,24870.35,23403.62,0.0,694.74,24895.75,40955.86,0.0,86683.57,86152.97,90206.47,0.0
投资活动现金流入小计,155071.89,207736.13,1027315.86,114703.59,312066.45,725505.47,862193.94,55308.26,159133.15,259200.63,380116.92,34669.19,91456.73,144019.03,155803.09,61124.07,231889.19,306478.86,333980.63,41859.18,146236.49,234852.06,266240.33,50550.24,815780.87,1271149.08,2401890.46,470661.7,1119195.93,1288368.4,1457960.97,34210.48,84113.94,193712.82,361908.79,1196907.65,1082684.95,1107446.9,1211482.57,1662.65,40677.83,75598.04,135611.39,20940.52,52265.01,157592.45,284041.02,49136.21,92057.55,238782.96,1720831.15,138202.43,292799.92,400378.26,462670.58,55643.08
购建固定资产、无形资产和其他长期资产所支付的现金,328461.54,622946.8,1276916.66,435775.0,1069045.09,1350004.45,1776870.14,215037.24,439882.75,786823.14,1118232.51,160141.65,338884.25,622261.64,846632.1,226824.05,414319.39,639943.2,849678.31,106086.91,490087.59,773835.16,1139080.67,327887.72,603382.49,777455.93,1060660.03,217636.28,433238.47,602079.6,695796.6,61342.44,411429.36,529457.5,722746.68,210078.48,276544.86,386759.15,545165.7,140195.92,557505.92,824076.0,1114598.45,264077.27,777124.1,1423952.93,1988751.91,205474.62,626231.9,926327.89,1108274.89,125797.03,333722.63,442177.85,666877.55,110187.48
投资所支付的现金,46579.98,57554.34,400386.77,208512.99,815614.42,945432.92,1107292.81,129396.72,30446.91,37146.09,36043.52,18353.81,434805.26,457487.26,388510.29,13430.35,4900.96,4983.95,25957.66,10014.66,16956.66,18384.06,52215.44,20825.3,7135.35,859341.82,1175706.08,171280.1,741723.29,742014.95,782603.04,20000.0,20000.0,48721.28,332550.61,31740.1,65660.71,97549.57,167553.26,23273.86,308732.56,315653.87,336169.95,15166.82,15217.19,36865.74,124178.23,413.26,23731.85,57653.0,161638.68,39653.62,76189.88,75936.23,124502.65,7000.42
取得子公司及其他营业单位支付的现金净额,0.0,0.0,1272849.67,0.0,19596.74,19405.5,8296.16,0.0,2942.48,2942.48,31256.41,0.0,698.01,698.01,0.0,0.0,20523.73,20523.73,252.68,0.0,0.0,0.0,0.0,0.0,19931.36,0.0,19931.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203945.86,0.0,0.0,2067246.58,2103398.9,0.0,0.0,0.0,9840.91,0.0,0.0,0.0,0.0,0.0
支付的其他与投资活动有关的现金,2.0,2.0,2341.45,613.31,64800.34,432.57,53299.92,6048.83,213596.1,261107.89,303965.58,9172.86,1549.22,2144.25,24570.15,0.0,3961.23,6154.57,9478.69,0.0,0.0,17990.0,0.0,0.0,282.0,282.07,62252.0,0.0,0.29,62296.29,57527.41,1289.76,1299.7,1762.43,1538.2,44.67,106.11,108.84,122.98,865.39,3427.31,4184.71,4202.49,0.0,0.0,8.6,2066.76,26471.9,2253.07,3322.2,1327.64,0.93,1.84,4.94,21.7,0.0
投资活动现金流出小计,375043.53,680503.14,2952494.55,644901.3,1969056.6,2315275.44,2945759.04,350482.79,686868.22,1088019.6,1489498.01,187668.31,775936.73,1082591.16,1259712.54,240254.4,443705.32,671605.45,885367.34,116101.57,507044.25,810209.22,1191296.11,348713.02,630731.2,1637079.82,2318549.46,388916.38,1174962.05,1406390.84,1535927.06,82632.2,432729.06,579941.21,1056835.49,241863.25,342311.67,484417.55,712841.94,164335.17,869665.8,1143914.59,1658916.76,279244.08,792341.29,3528073.85,4218395.8,232359.77,652216.82,987303.08,1281082.12,165451.59,409914.35,518119.02,791401.9,117187.9
投资活动产生的现金流量净额,-219971.64,-472767.01,-1925178.69,-530197.72,-1656990.15,-1589769.97,-2083565.1,-295174.53,-527735.07,-828818.97,-1109381.09,-152999.12,-684480.0,-938572.13,-1103909.46,-179130.32,-211816.13,-365126.59,-551386.71,-74242.39,-360807.76,-575357.15,-925055.78,-298162.78,185049.67,-365930.73,83340.99,81745.32,-55766.12,-118022.44,-77966.09,-48421.72,-348615.12,-386228.4,-694926.69,955044.4,740373.28,623029.34,498640.63,-162672.52,-828987.97,-1068316.55,-1523305.37,-258303.57,-740076.28,-3370481.4,-3934354.78,-183223.56,-560159.27,-748520.13,439749.02,-27249.15,-117114.43,-117740.76,-328731.32,-61544.83
吸收投资收到的现金,1504679.84,1508185.94,2820245.94,0.0,271.18,269.72,13057.41,30.0,16090.8,16698.87,37226.84,0.0,425999.11,426792.67,413114.23,297.16,2236.13,2692.42,14107.89,0.0,120.0,120.0,120.0,6920.42,6920.42,10077.52,10326.41,2550.0,2550.0,2550.0,2550.0,0.0,28626.45,28642.16,27150.95,5641.69,5618.4,5730.04,5787.14,0.0,2.75,68114.9,96730.94,0.0,0.0,5293.11,9925.08,770412.84,770412.84,770847.86,770847.86,0.0,69542.22,69495.56,68630.65,77127.43
其中：子公司吸收少数股东投资收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,13057.41,0.0,0.0,16198.87,17054.76,0.0,425999.11,426792.67,17575.38,0.0,2236.13,2394.52,12545.13,0.0,120.0,120.0,120.0,6920.42,6920.42,6920.42,8867.22,2550.0,2550.0,2550.0,2550.0,0.0,28626.45,28642.16,27150.95,5602.6,5618.4,5730.04,5787.14,0.0,2.75,68114.9,96730.94,0.0,0.0,5293.11,9925.08,0.0,0.0,435.01,435.01,0.0,69542.22,69495.56,68630.65,77127.43
取得借款收到的现金,573497.46,1033621.29,1212340.2,148544.17,1158892.98,1338231.07,1535787.01,1011537.23,2009856.08,3349090.67,5121705.41,173977.49,388245.26,1163552.02,1376622.04,175201.38,721439.18,1288239.37,2643777.94,831722.03,1516941.56,2321524.26,4045431.69,1362255.12,2098235.72,2492382.88,2579912.28,430176.47,1196011.81,1788785.49,2171138.69,636128.61,1796319.32,2282136.51,2971090.79,1485141.39,1920591.46,2276837.67,2544430.35,610708.02,881812.61,1872672.06,2156237.39,686281.5,2181869.18,5994193.22,7362247.86,1309003.98,2752025.86,5407763.0,5807190.72,836372.32,1737920.53,2125000.18,2534836.79,423500.7
发行债券收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
收到其他与筹资活动有关的现金,0.0,294.92,0.0,104.59,19.07,19.07,0.44,0.0,0.2,6.93,0.0,0.0,0.0,0.0,0.0,1913.84,30212.55,30285.04,122144.1,0.0,0.0,0.32,65917.0,0.0,8400.0,8400.0,0.0,0.0,0.0,32000.0,81473.95,0.0,0.0,0.0,35060.95,0.0,38.85,38.25,44045.04,0.0,3042.73,7909.4,14797.66,3567.98,3584.71,3660.84,144981.71,0.0,0.0,0.0,107944.57,24995.1,25541.27,61378.13,75012.16,21298.1
筹资活动现金流入小计,2078177.3,2542102.15,4032586.15,148648.75,1159183.23,1338519.86,1548844.86,1011567.23,3025947.08,4365796.47,5158932.25,173977.49,814244.36,1590344.69,1789736.27,177412.38,753887.85,1321216.83,2780029.93,831722.03,1517061.56,2321644.58,4111468.69,1369175.54,2113556.14,2510860.41,2590238.69,432726.47,1198561.81,1823335.49,2255162.64,636128.61,1824945.77,2310778.67,3033302.7,1490783.08,1926248.7,2282605.97,2594262.53,610708.02,884858.09,1948696.36,2267765.99,689849.48,2185453.89,6003147.17,7517154.64,2079416.82,3522438.7,6178610.85,6685983.15,861367.42,1833004.02,2255873.86,2678479.61,521926.24
偿还债务支付的现金,361251.84,527709.81,1118065.05,164874.93,489606.87,714173.09,785602.68,64621.33,697734.25,1344131.38,1778589.85,157402.72,496170.1,969098.67,1205071.99,193586.74,504547.22,767344.99,1251646.9,502640.56,1341410.36,1869956.3,2430737.33,351074.01,826224.12,1241611.67,1755855.96,481663.08,2182841.66,2523788.52,3194267.92,853083.45,1507330.45,2351282.11,3416534.78,1361385.29,1532253.28,1721833.32,2234412.64,443846.97,841025.12,1206753.78,1609855.93,766279.98,1024129.08,2070469.94,3167243.19,1127764.53,3310754.92,5591932.57,6093350.12,1741457.85,2361390.9,3533790.32,4570836.19,1116080.75
分配股利、利润或偿付利息所支付的现金,140794.01,291186.34,513998.12,491474.25,1109063.3,1445942.85,1492159.79,30168.24,61322.54,416542.33,443223.71,25316.51,120921.07,181301.15,194610.61,28562.4,208702.44,299748.81,337263.61,36536.61,116832.09,201991.22,275327.73,50845.65,160995.2,258861.52,377078.59,48975.3,145564.87,223605.79,307764.93,48713.09,112077.17,199349.39,302204.33,58678.23,214248.73,299788.96,409094.03,34499.7,84663.92,148593.8,235925.57,35613.4,100026.54,225679.48,388178.72,111483.86,254890.87,422683.35,539563.45,269208.74,394570.88,486071.12,581395.29,44169.1
其中：子公司支付给少数股东的股利、利润,0.0,0.0,0.0,0.0,3393.09,0.0,0.0,0.0,0.0,32201.52,7321.98,132.99,21300.13,21975.25,61983.66,0.0,29555.21,36164.29,74261.92,282.26,3536.04,14241.22,37081.24,678.75,7461.6,21070.7,63788.11,719.83,1617.19,13816.97,32166.6,1726.99,4870.02,7061.78,44097.21,0.0,108784.6,156151.96,169157.92,293.9,4964.81,6315.93,38108.06,92.26,10714.78,13171.1,61524.84,510.6,10446.21,33384.21,82557.08,177816.86,215693.38,227115.01,243294.52,3768.16
支付其他与筹资活动有关的现金,194.51,194.51,5918.62,259.42,7878.7,8252.16,15287.84,267.74,15679.46,16249.44,18570.32,10054.47,22789.85,107475.71,108552.37,323.3,2225.71,3372.81,25108.47,473.9,2539.25,6705.62,13647.22,6108.59,18797.24,56663.83,45960.06,6872.42,11565.77,15545.61,111052.17,4676.0,6598.5,9266.0,60409.22,860885.23,847343.84,852297.61,900547.55,3199.52,22452.24,26312.08,142287.9,3778.48,6768.86,22234.89,205062.5,184478.35,458586.02,658805.55,1006856.03,224122.83,578444.6,800973.69,1150077.22,165328.72
筹资活动现金流出小计,502240.36,819090.66,1637981.79,656608.6,1606548.88,2168368.1,2293050.31,95057.32,774736.25,1776923.15,2240383.88,192773.7,639881.03,1257875.54,1508234.96,222472.43,715475.37,1070466.62,1614018.98,539651.07,1460781.7,2078653.14,2719712.28,408028.25,1006016.56,1557137.02,2178894.6,537510.8,2339972.3,2762939.91,3613085.02,906472.54,1626006.11,2559897.49,3779148.32,2280948.75,2593845.85,2873919.89,3544054.22,481546.2,948141.28,1381659.66,1988069.4,805671.86,1130924.48,2318384.31,3760484.4,1423726.74,4024231.81,6673421.48,7639769.6,2234789.42,3334406.38,4820835.12,6302308.7,1325578.57
筹资活动产生的现金流量净额,1575936.94,1723011.49,2394604.36,-507959.85,-447365.65,-829848.24,-744205.45,916509.91,2251210.83,2588873.32,2918548.37,-18796.21,174363.34,332469.15,281501.3,-45060.05,38412.48,250750.21,1166010.95,292070.95,56279.86,242991.44,1391756.41,961147.29,1107539.58,953723.39,411344.09,-104784.33,-1141410.49,-939604.42,-1357922.38,-270343.93,198939.65,-249118.82,-745845.63,-790165.67,-667597.14,-591313.92,-949791.69,129161.82,-63283.2,567036.7,279696.59,-115822.38,1054529.41,3684762.86,3756670.24,655690.08,-501793.11,-494810.62,-953786.45,-1373421.99,-1501402.36,-2564961.26,-3623829.1,-803652.33
四、汇率变动对现金及现金等价物的影响,-18872.5,-33278.18,-101703.77,-48829.43,-94741.3,-100144.87,-117674.64,-3317.78,-642.25,1917.81,5844.59,-3894.3,-18687.03,-31372.28,-47486.59,-13691.3,-30493.79,-68676.97,-85568.2,-596.63,6723.76,5947.74,634.33,-10879.87,-46762.99,-63046.82,-76362.74,23577.69,20882.2,17355.07,-4329.87,-3392.27,-10637.02,66292.98,72905.27,-17078.91,39329.49,56180.31,128340.69,-10168.85,-34896.24,-82103.54,-110599.79,-55709.16,21094.26,94886.93,74527.32,-31765.36,18479.34,138732.9,86507.38,31941.08,38533.85,-89055.86,-263942.11,18175.13
五、现金及现金等价物净增加额,1455125.35,1533034.21,2635990.16,-273052.01,-530472.58,-167543.8,-607621.55,230252.49,1116997.81,1128044.01,1227111.07,-5747.24,-55667.09,296798.64,245288.23,-290248.94,-288558.27,-357709.35,27950.44,-74513.14,-614456.08,-861686.18,-62593.12,354886.77,905672.12,202556.13,184509.72,-12295.02,-1036401.81,-600916.32,-850086.6,-211278.61,423554.15,-2867.38,-701498.99,90043.41,116504.46,29670.43,-170857.15,-108066.2,-748989.37,-62910.35,-645004.63,-482754.53,382173.5,856577.36,709920.33,849941.92,-96789.16,395607.03,1692707.11,-1215322.39,-436213.83,-498400.62,286553.01,1850794.72
加:期初现金及现金等价物余额,782571.2,782571.2,1097034.06,3733024.22,3766718.47,3766718.47,3765865.15,3158243.6,3159186.48,3212110.49,3182691.74,4409812.2,4409802.8,4409802.8,4409802.8,4728227.3,4668322.04,4668322.04,4668322.04,4696272.48,4696272.48,4696272.48,4696272.48,4633679.37,4633679.37,4633679.37,4636129.31,4820639.02,4820639.02,4820639.02,4820639.02,3970552.43,3970552.43,3970552.43,3970552.43,3361325.52,3360604.24,3375994.54,3389714.35,3218857.2,3218857.2,3218857.2,3218857.2,2573852.57,2573852.57,2573852.57,2573852.57,3283772.9,3283772.9,3283772.9,3283772.9,4976480.01,4976480.01,4976480.01,4976480.01,5263033.02
六、期末现金及现金等价物余额,2237696.55,2315605.41,3733024.22,3459972.22,3236245.89,3599174.67,3158243.6,3388496.08,4276184.29,4340154.5,4409802.8,4404064.97,4354135.72,4706601.44,4655091.03,4437978.37,4379763.77,4310612.69,4696272.48,4621759.34,4081816.41,3834586.31,4633679.37,4988566.14,5539351.49,4836235.5,4820639.02,4808344.0,3784237.21,4219722.7,3970552.43,3759273.82,4394106.58,3967685.05,3269053.44,3451368.93,3477108.7,3405664.96,3218857.2,3110791.0,2469867.83,3155946.85,2573852.57,2091098.04,2956026.07,3430429.93,3283772.9,4133714.82,3186983.74,3679379.93,4976480.01,3761157.62,4540266.18,4478079.39,5263033.02,7113827.74
净利润,146216.89,0.0,2085397.48,0.0,1489590.34,0.0,1192586.53,0.0,-415452.87,0.0,-673713.06,0.0,398982.58,0.0,799429.87,0.0,-174362.22,0.0,-883882.64,0.0,-411951.17,0.0,-813744.15,0.0,110649.51,0.0,287942.17,0.0,-167372.99,0.0,155082.12,0.0,255471.13,0.0,179150.36,0.0,-679559.89,0.0,-910123.22,0.0,340136.01,0.0,483068.54,0.0,76913.77,0.0,302636.18,0.0,216808.48,0.0,1034975.48,0.0,193833.24,0.0,1318749.43,0.0
少数股东权益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
未确认的投资损失,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
资产减值准备,783.25,0.0,132.84,0.0,-916.49,0.0,29377.17,0.0,-18631.94,0.0,-4043.23,0.0,-1278.9,0.0,-1567.39,0.0,493.2,0.0,10761.48,0.0,1587.58,0.0,16449.74,0.0,-3705.89,0.0,3308.06,0.0,-1888.86,0.0,6872.95,0.0,-279.69,0.0,-554.14,0.0,-2764.71,0.0,10966.53,0.0,763.61,0.0,1277.06,0.0,1715.92,0.0,202.67,0.0,131.16,0.0,327.34,0.0,42.53,0.0,963.3,0.0
固定资产折旧、油气资产折耗、生产性物资折旧,79186.8,0.0,406310.18,0.0,181220.11,0.0,355061.35,0.0,177884.81,0.0,332965.07,0.0,162494.87,0.0,337365.7,0.0,168415.75,0.0,340354.23,0.0,179924.11,0.0,369273.79,0.0,190079.5,0.0,386413.33,0.0,199373.13,0.0,401881.35,0.0,198979.49,0.0,410169.31,0.0,152048.78,0.0,261074.8,0.0,108011.98,0.0,220425.19,0.0,124042.12,0.0,390246.78,0.0,564798.09,0.0,1161043.66,0.0,265786.89,0.0,537984.04,0.0
