报表日期,2016-12-31,2017-12-31,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31
支付的其他与投资活动有关的现金,0.0,5000.0,0.0,2000.0,3000.0,6000.0,0.0,6000.0,130117.09,167200.0,266600.0,37462.45,2720.0
投资活动现金流出小计,90.17,5353.5,0.0,4491.05,3091.27,6161.49,0.0,9093.02,130176.76,167468.34,268033.9,378030.25,89436.74
投资活动产生的现金流量净额,-56.68,1689.65,0.0,-2481.1,-85.42,-149.89,0.0,-3081.42,-130157.51,-129948.78,-111266.07,-144718.09,6483.63
吸收投资收到的现金,0.0,0.0,0.0,0.0,11070.57,11070.57,0.0,11070.57,152861.38,152861.38,152861.38,152861.38,0.0
其中：子公司吸收少数股东投资收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
取得借款收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
发行债券收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
收到其他与筹资活动有关的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,517.22,0.0,0.0,0.0,0.0,0.0
筹资活动现金流入小计,0.0,0.0,0.0,0.0,11070.57,11070.57,0.0,11587.79,152861.38,152861.38,152861.38,152861.38,0.0
偿还债务支付的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
分配股利、利润或偿付利息所支付的现金,867.31,1500.0,0.0,3083.12,0.0,2000.0,0.0,2000.0,0.0,3671.11,3671.11,3671.11,0.0
其中：子公司支付给少数股东的股利、利润,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
支付其他与筹资活动有关的现金,0.0,9.94,0.0,0.0,0.0,0.0,0.0,950.32,1946.64,1984.44,1984.44,1984.44,0.0
筹资活动现金流出小计,867.31,1509.94,0.0,3083.12,0.0,2000.0,0.0,2950.32,1946.64,5655.55,5655.55,5655.55,0.0
筹资活动产生的现金流量净额,-867.31,-1509.94,0.0,-3083.12,11070.57,9070.57,0.0,8637.47,150914.74,147205.83,147205.83,147205.83,0.0
四、汇率变动对现金及现金等价物的影响,91.94,-152.52,0.0,176.88,-69.87,-9.45,0.0,31.01,95.16,83.41,-162.62,-465.9,7.99
五、现金及现金等价物净增加额,2796.14,1090.66,5676.72,4790.58,12341.65,10839.1,998.91,11552.14,21796.11,22594.05,45200.71,15889.28,8671.52
加:期初现金及现金等价物余额,2520.5,5316.64,0.0,6407.3,11197.88,11197.88,0.0,11197.88,22750.02,22750.02,22750.02,22750.02,38639.31
六、期末现金及现金等价物余额,5316.64,6407.3,0.0,11197.88,23539.53,22036.98,0.0,22750.02,44546.13,45344.08,67950.74,38639.31,47310.83
净利润,4120.82,5281.14,0.0,9072.93,2323.53,3798.39,0.0,10198.71,0.0,8940.33,0.0,19919.07,0.0
少数股东权益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
未确认的投资损失,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
资产减值准备,196.14,68.55,0.0,73.02,161.73,265.74,0.0,32.41,0.0,13.44,0.0,31.77,0.0
固定资产折旧、油气资产折耗、生产性物资折旧,119.24,145.96,0.0,194.72,57.3,116.12,0.0,239.54,0.0,136.13,0.0,311.4,0.0
无形资产摊销,7.23,10.12,0.0,12.18,3.41,14.09,0.0,40.46,0.0,9.38,0.0,25.97,0.0
长期待摊费用摊销,3.36,2.02,0.0,72.56,27.96,59.05,0.0,122.85,0.0,66.86,0.0,138.98,0.0
待摊费用的减少,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预提费用的增加,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
处置固定资产、无形资产和其他长期资产的损失,0.0,0.0,0.0,-0.69,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
固定资产报废损失,10.47,3.39,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0
公允价值变动损失,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5467.88,0.0
递延收益增加（减：减少）,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预计负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
财务费用,-91.94,152.52,0.0,-176.88,69.32,8.36,0.0,-33.19,0.0,-350.27,0.0,-747.15,0.0
投资损失,-33.48,-43.15,0.0,-9.11,-5.85,-11.6,0.0,-11.6,0.0,-1472.02,0.0,0.0,0.0
递延所得税资产减少,-29.44,-14.53,0.0,-11.23,-26.13,-42.14,0.0,-69.77,0.0,-82.91,0.0,-581.52,0.0
递延所得税负债增加,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.91,0.0
存货的减少,-205.13,-1503.69,0.0,-1248.33,327.6,387.23,0.0,-921.86,0.0,-834.82,0.0,-1930.06,0.0
经营性应收项目的减少,-657.18,-3876.76,0.0,485.23,-143.14,-1178.65,0.0,-5539.47,0.0,-1751.52,0.0,-5995.05,0.0
经营性应付项目的增加,188.09,837.89,0.0,1713.5,-1369.36,-1488.71,0.0,1498.76,0.0,-212.95,0.0,4422.55,0.0
已完工尚未结算款的减少(减:增加),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
已结算尚未完工款的增加(减:减少),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,620.22,0.0,3127.76,0.0
经营活动产生现金流量净额,3628.19,1063.47,0.0,10177.92,1426.36,1927.87,0.0,5965.09,0.0,5253.6,0.0,13867.45,0.0
债务转为资本,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内到期的可转换公司债券,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
融资租入固定资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
现金的期末余额,5316.64,6407.3,0.0,11197.88,23539.53,22036.98,0.0,22750.02,0.0,45344.08,0.0,38639.31,0.0
现金的期初余额,2520.5,5316.64,0.0,6407.3,11197.88,11197.88,0.0,11197.88,0.0,22750.02,0.0,22750.02,0.0
现金等价物的期末余额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
现金等价物的期初余额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
现金及现金等价物的净增加额,2796.14,1090.66,0.0,4790.58,12341.65,10839.1,0.0,11552.14,0.0,22594.05,0.0,15889.28,0.0
