报表日期,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30
生产性生物资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
公益性生物资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
油气资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
无形资产,522.95,510.91,498.86,486.82,480.8,0.0,474.77,471.76,502.42,497.64,492.86,488.07,483.29,481.81,477.56,471.53,478.73,475.44,515.26,507.03,498.79,490.56,504.94,495.56,486.18,3122.94,5011.97,4920.84,4831.04,6638.13,6528.99,6419.32,6309.65,6211.38
开发支出,727.73,806.54,959.34,1132.85,1313.77,0.0,1465.65,1529.41,1569.72,1616.04,1685.7,1806.74,2051.16,2184.57,2300.84,2478.47,2699.03,2928.81,3160.75,3391.39,4025.59,4307.09,4809.12,5073.11,5420.47,5969.85,7323.13,7880.54,8659.9,8589.76,9564.94,9877.4,10188.12,10581.5
商誉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期待摊费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.15,111.33,101.51,154.19,141.99,129.79,117.6,105.4,96.98,83.91,70.84,60.8,47.56,41.46,38.92,36.38,33.84,34.83,32.01,29.18,26.36,299.36,283.6,480.86,443.06,422.48
递延所得税资产,70.78,73.72,70.77,68.91,68.79,0.0,103.57,76.95,110.37,144.05,130.5,137.78,169.81,211.54,127.72,143.39,136.59,175.59,168.14,182.35,157.49,187.78,172.04,186.26,189.66,223.94,188.24,202.99,201.68,251.85,366.91,400.54,418.15,492.24
其他非流动资产,0.0,4.59,30.18,64.89,52.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
非流动资产合计,4591.92,5257.54,5220.04,5626.54,6087.48,0.0,6887.1,7111.76,7522.87,7626.06,8438.79,8984.6,9855.33,11014.4,12720.82,13363.06,13671.11,14118.7,15768.01,16016.75,16498.11,18059.4,19181.4,19603.08,20608.05,23943.09,27623.41,28977.66,30935.92,34636.55,37820.75,39230.61,39984.76,41525.73
资产总计,12138.42,11052.39,14718.77,19111.33,22351.82,25097.47,26395.49,47585.73,46696.38,50833.01,53130.68,50531.93,53474.63,57775.5,61148.75,63960.33,60798.36,66310.27,69689.46,72883.59,72856.78,80591.29,84831.12,90327.45,89104.16,100192.4,105789.25,124823.97,123840.84,137418.7,142821.09,145191.07,142531.35,156215.22
短期借款,0.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
交易性金融负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付票据及应付账款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.03,87.74,253.25,262.6,344.75,484.64,422.66,395.22,868.44,461.67,621.82,622.76
应付票据,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付账款,459.61,73.71,62.52,63.0,118.63,0.0,59.7,104.25,141.88,78.31,99.9,96.08,129.93,113.94,59.84,114.51,117.85,108.18,102.71,94.73,108.02,100.6,138.03,87.74,253.25,0.0,344.75,0.0,422.66,395.22,868.44,461.67,621.82,622.76
预收款项,0.0,2.28,2.07,9.06,10.95,0.0,6.69,13.78,4.47,8.2,4.19,3.19,5.99,13.23,3.46,4.75,8.62,206.3,206.52,203.45,218.41,210.76,9.66,12.19,18.1,11.19,28.04,129.11,18.37,20.79,16.02,16.7,11.29,0.0
应付手续费及佣金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付职工薪酬,0.0,0.0,0.0,0.0,0.0,0.0,250.0,283.39,298.01,411.43,342.0,328.41,324.7,466.78,392.74,402.93,386.93,607.31,745.42,531.61,537.42,699.82,959.42,634.35,682.46,1017.1,1261.77,914.78,995.59,1486.07,1693.25,1052.76,1184.96,1685.72
应交税费,25.31,250.51,404.22,479.55,452.39,0.0,466.0,307.53,595.6,736.13,790.05,631.92,588.22,830.34,482.05,569.07,527.34,1039.32,392.12,817.12,821.69,1475.22,1670.34,2535.72,2145.71,1796.62,2506.53,1473.75,1562.87,2587.17,1321.79,1093.75,1488.09,2748.62
应付利息,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付股利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他应付款,21.87,327.4,223.61,244.66,347.95,0.0,332.63,1045.46,278.17,380.11,384.14,393.54,390.49,321.16,1524.78,1335.72,1314.12,969.66,2199.7,1373.18,1296.27,1254.8,1442.55,1252.22,1463.24,1352.33,1620.79,0.0,1564.12,0.0,2103.47,0.0,1433.4,0.0
预提费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内的递延收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付短期债券,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内到期的非流动负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他流动负债,0.0,0.0,0.0,0.0,0.0,0.0,88.52,66.39,44.26,22.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
流动负债合计,506.78,1653.9,1692.43,796.28,929.92,0.0,1203.55,1820.8,1362.4,1636.32,1620.29,1453.15,1439.33,1745.44,2462.87,2426.97,2354.87,2930.77,3646.47,3020.09,2981.81,3741.2,4220.01,4522.22,4562.76,4439.83,5761.88,4598.02,4563.61,6098.48,6002.96,4349.38,4739.55,6478.63
长期借款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付债券,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期应付款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期应付职工薪酬,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
专项应付款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预计非流动负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
递延所得税负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.85,2.88,7.9,9.27,9.28,0.43,15.15
长期递延收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.03,155.03,155.03,394.54,394.54,394.54,394.54,394.54,485.32,485.32,485.32,485.32,485.32,485.32,485.32,485.32,485.32,485.32,485.32,485.32,1109.37,1613.07,1613.07,1613.07,1613.07
其他非流动负债,442.62,354.1,265.57,177.05,132.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
非流动负债合计,442.62,354.1,265.57,177.05,132.79,0.0,0.0,0.0,0.0,287.03,155.03,155.03,394.54,394.54,394.54,394.54,394.54,485.32,485.32,485.32,485.32,485.32,485.32,485.32,485.32,485.32,485.32,487.17,488.2,1117.26,1622.34,1622.35,1613.49,1628.22
负债合计,949.41,2008.0,1958.0,973.33,1062.7,1353.15,1203.55,1820.8,1362.4,1923.35,1775.32,1608.18,1833.87,2139.98,2857.41,2821.51,2749.41,3416.09,4131.79,3505.41,3467.13,4226.52,4705.33,5007.54,5048.08,4925.15,6247.2,5085.18,5051.82,7215.74,7625.3,5971.73,6353.04,8106.85
实收资本(或股本),12680.92,8695.37,9000.0,9000.0,9000.0,0.0,9000.0,10100.0,16160.0,16160.0,16160.0,16160.0,16160.0,16160.0,16160.0,16160.0,16160.0,16160.0,16160.0,16160.0,16160.0,16160.0,16160.0,16160.0,29088.0,29088.0,29088.0,29088.0,52358.4,52358.4,52358.4,52358.4,52358.4,52358.4
资本公积,3.47,3.47,32.56,32.56,32.56,0.0,32.56,18170.97,18170.97,18170.97,18170.97,18170.97,18170.97,18170.97,18170.97,18170.97,18170.97,18170.97,18170.97,18170.97,18170.97,18170.97,18170.97,18170.97,5242.97,5242.97,5242.97,12819.44,12819.44,12819.44,12819.44,12819.44,12819.44,12819.44
减：库存股,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他综合收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6,-1.71,-1.86,-1.35,-0.06,0.62,0.44,1.28,1.53,2.85,2.58,1.81,1.1,0.57,-0.75,0.84,2.23,2.1,1.42,2.23,3.04,15.82,16.47,16.46,15.22
专项储备,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
盈余公积,0.0,34.27,372.68,910.77,910.77,0.0,1616.65,1616.65,1616.65,1616.65,2612.32,2612.32,2612.32,2612.32,3790.63,3790.63,3790.63,3790.63,5088.23,5088.23,5088.23,5088.23,6963.92,6963.92,6963.92,6963.92,9362.39,9362.39,9362.39,9362.39,12475.8,12475.8,12475.8,12475.8
一般风险准备,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
未分配利润,-1497.9,308.42,3353.79,8193.08,11346.05,0.0,14543.64,15878.53,9387.54,12963.28,14413.44,11982.32,14698.82,18692.29,20169.13,23016.79,19926.07,24771.05,26135.63,29956.4,29968.64,36944.48,38830.33,44025.77,42760.36,51300.21,53256.28,59870.05,35761.71,47372.07,49430.12,53566.99,50711.13,62918.67
归属于母公司股东权益合计,11186.28,9041.66,12758.03,18135.72,21288.06,23743.38,25190.99,45764.57,45333.61,48909.29,51355.02,48923.74,51640.76,55635.52,58291.35,61138.83,58048.95,62894.18,65557.67,69378.18,69389.64,76364.78,80125.79,85319.91,84056.08,92597.33,96951.73,111141.29,110304.16,121915.34,127099.58,131237.1,128381.23,140587.53
少数股东权益,2.74,2.74,2.74,2.28,1.05,0.0,0.96,0.36,0.36,0.36,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2669.91,2590.32,8597.5,8484.86,8287.63,8096.21,7982.24,7797.07,7520.84
所有者权益(或股东权益)合计,11189.02,9044.4,12760.77,18138.0,21289.11,23744.32,25191.94,45764.93,45333.97,48909.66,51355.36,48923.74,51640.76,55635.52,58291.35,61138.83,58048.95,62894.18,65557.67,69378.18,69389.64,76364.78,80125.79,85319.91,84056.08,95267.24,99542.05,119738.79,118789.02,130202.96,135195.79,139219.34,136178.31,148108.37
负债和所有者权益(或股东权益)总计,12138.42,11052.39,14718.77,19111.33,22351.82,0.0,26395.49,47585.73,46696.38,50833.01,53130.68,50531.93,53474.63,57775.5,61148.75,63960.33,60798.36,66310.27,69689.46,72883.59,72856.78,80591.29,84831.12,90327.45,89104.16,100192.4,105789.25,124823.97,123840.84,137418.7,142821.09,145191.07,142531.35,156215.22
