报表日期,2014-12-31,2015-12-31,2016-12-31,2017-06-30,2017-12-31,2018-12-31,2019-03-31,2019-06-30,2019-09-30
投资性房地产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
在建工程(合计),0.0,0.0,2397.05,2144.23,6194.9,7306.79,7257.82,2914.21,2562.07
在建工程,207.51,257.9,0.0,2144.23,0.0,0.0,0.0,2914.21,0.0
工程物资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
固定资产及清理(合计),0.0,0.0,33848.28,37969.22,53701.52,85612.92,86434.12,91380.8,90548.67
固定资产净额,16373.38,20883.1,33848.28,37969.22,53701.52,85612.92,86434.12,91380.8,0.0
固定资产清理,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
生产性生物资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
公益性生物资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
油气资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
使用权资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
无形资产,104.21,252.17,7841.05,7767.34,7760.5,7656.82,7672.06,7707.22,7636.67
开发支出,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
商誉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期待摊费用,0.0,0.0,0.0,0.0,0.0,1430.55,1536.01,1342.85,1541.44
递延所得税资产,194.25,123.72,254.79,261.14,310.67,480.08,480.08,0.0,0.0
其他非流动资产,3387.89,1292.11,1064.37,4474.25,9574.17,3915.97,4198.75,2214.62,2230.43
非流动资产合计,20267.23,22809.0,45405.53,52616.17,77541.76,106403.13,107578.82,105559.69,104519.28
资产总计,49600.72,54591.09,83115.56,107695.99,136394.15,189431.62,190609.12,234223.94,200162.77
短期借款,13935.93,14784.74,15194.94,12552.32,15355.32,30765.79,37016.41,33759.87,11500.0
交易性金融负债,0.0,50.47,0.0,28.26,0.0,123.29,0.0,0.0,0.0
应付票据及应付账款,0.0,0.0,9867.04,10673.75,15318.02,20408.55,14562.75,18535.31,18435.01
应付票据,0.0,0.0,192.57,219.92,0.0,0.0,0.0,0.0,2112.17
应付账款,7134.34,7528.23,9674.47,10453.83,15318.02,20408.55,0.0,18535.31,16322.84
预收款项,7.13,6.72,147.29,563.19,482.4,48.71,161.6,91.24,37.42
应付手续费及佣金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付职工薪酬,1688.27,1554.44,1967.75,1874.65,3145.73,2791.9,1890.97,2039.44,1988.54
应交税费,48.11,129.88,267.87,136.35,111.48,101.14,79.28,90.2,972.24
其他应付款(合计),0.0,0.0,1294.64,949.38,2743.66,4042.62,4274.65,3239.71,2465.4
应付利息,25.98,20.57,0.0,16.63,0.0,0.0,120.1,109.3,29.94
应付股利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他应付款,460.5,396.6,0.0,932.75,0.0,0.0,0.0,3130.41,0.0
预提费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内的递延收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付短期债券,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内到期的非流动负债,0.0,0.0,0.0,0.0,0.0,5100.0,5100.0,6800.0,0.0
其他流动负债,746.67,706.26,905.23,1125.72,1301.28,1703.98,1271.36,1006.31,1039.49
流动负债合计,24046.93,25177.92,29644.75,27903.62,38457.88,65085.98,64357.01,65594.91,36546.97
长期借款,0.0,0.0,0.0,0.0,14452.73,31698.68,31698.68,27498.68,21456.37
应付债券,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
租赁负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期应付职工薪酬,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期应付款(合计),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期应付款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
专项应付款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预计非流动负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
递延所得税负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,341.0,204.8
长期递延收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他非流动负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
非流动负债合计,0.0,0.0,0.0,0.0,14452.73,31698.68,31698.68,27839.67,21661.17
负债合计,24046.93,25177.92,29644.75,27903.62,52910.62,96784.66,96055.68,93434.58,58208.14
实收资本(或股本),18575.47,18575.47,12000.0,15000.0,15000.0,15000.0,15000.0,20000.0,20000.0
资本公积,0.0,0.0,38111.15,57611.15,57611.15,57611.15,57611.15,97854.74,97854.74
减：库存股,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他综合收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-29.94,-15.54
专项储备,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
盈余公积,748.56,1146.57,398.77,780.93,1150.04,2066.39,2066.39,2359.26,2359.26
一般风险准备,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
未分配利润,6229.76,9691.13,2960.89,6400.28,9722.34,17969.42,19875.9,20605.3,21756.17
归属于母公司股东权益合计,25553.79,29413.17,53470.81,79792.36,83483.53,92646.96,94553.44,140789.36,141954.63
少数股东权益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
所有者权益(或股东权益)合计,25553.79,29413.17,53470.81,79792.36,83483.53,92646.96,94553.44,140789.36,141954.63
负债和所有者权益(或股东权益)总计,49600.72,54591.09,83115.56,107695.99,136394.15,189431.62,190609.12,234223.94,200162.77
