报表日期,2013-12-31,2014-12-31,2015-09-30,2015-12-31,2016-06-30,2016-12-31,2017-12-31,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30
处置固定资产、无形资产和其他长期资产所收回的现金净额,0.0,7.54,5.4,0.0,0.0,3.45,3.89,0.0,0.0,3.83,5.01,5.01,0.0,0.0,0.0
处置子公司及其他营业单位收到的现金净额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
收到的其他与投资活动有关的现金,3000.0,1500.0,3000.0,109.0,0.0,7739.94,26887.56,78788.72,0.0,64256.77,71310.08,124095.26,0.0,53046.75,70686.88
投资活动现金流入小计,3162.22,1507.54,3075.4,179.0,0.0,7743.39,26891.45,78788.72,0.0,64260.6,71315.09,124100.27,0.0,53046.75,70686.88
购建固定资产、无形资产和其他长期资产所支付的现金,7610.92,2203.73,2419.49,3543.25,1108.93,1782.55,2302.1,7663.32,0.0,3421.46,6656.7,9541.38,0.0,9545.79,16692.85
投资所支付的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
取得子公司及其他营业单位支付的现金净额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
支付的其他与投资活动有关的现金,1509.0,142.21,3100.0,0.0,3500.0,8000.0,26000.0,78606.14,0.0,63496.0,98359.0,123358.0,0.0,52479.0,87209.0
投资活动现金流出小计,9119.92,2345.94,5519.49,3543.25,4608.93,9782.55,28302.1,86269.46,0.0,66917.46,105015.7,132899.38,0.0,62024.79,103901.85
投资活动产生的现金流量净额,-5957.7,-838.4,-2444.09,-3364.25,-4608.93,-2039.17,-1410.65,-7480.74,-22139.57,-2656.86,-33700.61,-8799.11,-7332.14,-8978.04,-33214.96
吸收投资收到的现金,0.0,0.0,0.0,1845.37,0.0,6971.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124388.06
其中：子公司吸收少数股东投资收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
取得借款收到的现金,0.0,0.0,1845.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0
发行债券收到的现金,4000.0,2100.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
收到其他与筹资活动有关的现金,701.9,964.7,331.0,990.0,715.0,0.0,0.0,0.0,0.0,0.0,0.0,864.16,0.0,0.0,0.0
筹资活动现金流入小计,4701.9,3064.7,2676.37,2835.37,715.0,6971.98,0.0,0.0,0.0,0.0,394.68,864.16,0.0,4000.0,128388.06
偿还债务支付的现金,3000.0,4000.0,2600.0,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
分配股利、利润或偿付利息所支付的现金,237.52,252.87,58.95,61.63,0.0,0.0,2250.0,0.0,0.0,2250.0,2250.0,2250.0,0.0,17.36,43.64
其中：子公司支付给少数股东的股利、利润,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
支付其他与筹资活动有关的现金,0.0,150.0,283.53,589.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,1029.68,1798.99
筹资活动现金流出小计,3237.52,4402.87,2942.48,2750.63,0.0,0.0,2650.0,0.0,0.0,2250.0,2250.0,2250.0,0.0,1047.04,1842.63
筹资活动产生的现金流量净额,1464.38,-1338.16,-266.11,84.75,715.0,6971.98,-2650.0,0.0,-1924.75,-2250.0,-1855.32,-1385.84,-394.68,2952.96,126545.43
四、汇率变动对现金及现金等价物的影响,0.0,0.0,0.0,0.0,0.0,5.01,-9.15,3.32,-4.25,-0.01,1.1,2.51,1.53,1.52,-0.45
五、现金及现金等价物净增加额,-1681.58,2494.64,1203.8,1777.17,634.79,15543.61,4500.18,9201.33,-23014.27,3791.02,-21801.42,4000.57,-5739.62,-325.14,100870.24
加:期初现金及现金等价物余额,3980.75,2299.16,4793.8,4793.8,6570.98,7159.98,22703.58,27203.76,0.0,36405.09,36405.09,36405.09,0.0,40405.67,40405.67
六、期末现金及现金等价物余额,2299.16,4793.8,5997.61,6570.98,7205.77,22703.58,27203.76,36405.09,0.0,40196.12,14603.68,40405.67,0.0,40080.52,141275.91
净利润,1473.13,2923.27,2765.95,3761.92,2550.61,5731.66,6436.56,13502.01,0.0,7920.08,0.0,10861.16,0.0,8607.68,0.0
少数股东权益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
未确认的投资损失,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
资产减值准备,96.94,76.06,79.72,41.16,-13.42,131.91,24.3,240.14,0.0,19.88,0.0,302.15,0.0,78.92,0.0
固定资产折旧、油气资产折耗、生产性物资折旧,821.17,1217.0,1418.66,1947.85,1079.38,2128.31,2297.2,2440.53,0.0,1263.59,0.0,2654.09,0.0,1440.19,0.0
无形资产摊销,26.71,43.23,34.83,46.75,26.82,58.43,73.37,94.85,0.0,69.88,0.0,95.93,0.0,56.64,0.0
长期待摊费用摊销,0.0,0.0,0.0,0.66,3.94,14.4,17.01,8.1,0.0,14.53,0.0,45.09,0.0,49.72,0.0
待摊费用的减少,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预提费用的增加,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
处置固定资产、无形资产和其他长期资产的损失,0.0,17.64,90.37,0.0,0.0,-0.15,0.03,7.31,0.0,3.99,0.0,25.59,0.0,0.0,0.0
固定资产报废损失,0.0,0.0,0.0,66.52,0.0,0.0,0.0,0.0,0.0,0.51,0.0,19.39,0.0,0.0,0.0
公允价值变动损失,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
递延收益增加（减：减少）,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预计负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
财务费用,242.64,252.25,47.04,49.72,0.0,-5.01,9.15,-3.32,0.0,1.24,0.0,-1.28,0.0,-64.95,0.0
投资损失,-130.99,0.0,-70.0,-70.0,-2.32,-79.94,-87.56,-288.72,0.0,-338.77,0.0,-704.39,0.0,-255.25,0.0
递延所得税资产减少,-115.42,-15.74,-84.98,-85.6,-66.65,-67.28,-153.78,53.41,0.0,66.96,0.0,52.18,0.0,-169.38,0.0
递延所得税负债增加,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
存货的减少,-1268.53,-22.62,-122.73,-381.3,-371.44,-546.28,-1248.36,-52.93,0.0,214.34,0.0,-1173.84,0.0,-1353.4,0.0
经营性应收项目的减少,308.63,-58.53,224.82,-580.07,-207.84,-5087.69,-2150.8,-4262.81,0.0,-4975.29,0.0,-4829.79,0.0,-2629.23,0.0
经营性应付项目的增加,1316.67,172.31,-561.62,197.75,1529.68,7461.17,1990.38,4750.83,0.0,4085.71,0.0,3762.69,0.0,-185.5,0.0
已完工尚未结算款的减少(减:增加),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
已结算尚未完工款的增加(减:减少),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他,40.79,66.35,91.94,91.94,0.0,866.25,1362.48,189.35,0.0,65.3,0.0,2913.87,0.0,50.35,0.0
经营活动产生现金流量净额,2811.74,4671.21,3914.0,5361.67,4528.73,10605.78,8569.98,16678.75,0.0,8697.89,0.0,14183.02,0.0,5698.42,0.0
债务转为资本,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内到期的可转换公司债券,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
融资租入固定资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
现金的期末余额,2299.16,4793.8,5997.61,6570.98,7205.77,22703.58,27203.76,36405.09,0.0,40196.12,0.0,40405.67,0.0,40080.52,0.0
现金的期初余额,3980.75,2299.16,4793.8,4793.8,6570.98,7159.98,22703.58,27203.76,0.0,36405.09,0.0,36405.09,0.0,40405.67,0.0
现金等价物的期末余额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
现金等价物的期初余额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
现金及现金等价物的净增加额,-1681.58,2494.64,1203.8,1777.17,634.79,15543.61,4500.18,9201.33,0.0,3791.02,0.0,4000.57,0.0,-325.14,0.0
