报表日期,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31
买入返售金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
存货,1563.36,818.32,2238.3,2640.87,2558.01,2148.51,2544.62,2520.39,3780.61,4502.41,7344.13,7406.0,7895.75,7180.1,8079.15,8021.1,10721.95,9336.65,10149.3,10644.5,12276.75,9828.09
划分为持有待售的资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内到期的非流动资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
待摊费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
待处理流动资产损益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他流动资产,439.9,676.36,204.47,418.19,623.4,913.55,717.58,863.42,972.89,1138.17,1152.02,972.82,803.87,322.17,272.06,518.09,467.59,420.07,404.97,217.52,110.89,11.23
流动资产合计,8273.51,13748.82,12870.77,7993.83,13736.86,12043.14,12114.35,16786.15,17404.7,29559.75,27169.06,33027.05,34774.74,37496.12,40646.58,44872.2,45470.11,52431.3,40427.47,43623.19,56489.96,66078.32
发放贷款及垫款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
可供出售金融资产,0.0,0.0,0.0,1922.71,1922.71,1922.71,1922.71,1922.71,1922.71,1922.71,1922.71,1922.71,1922.71,1922.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
持有至到期投资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期应收款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期股权投资,5159.38,2687.95,1922.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
投资性房地产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
在建工程(合计),0.0,0.0,0.0,0.0,0.0,23134.99,24738.66,25245.25,0.0,7489.68,8388.62,10404.0,13515.43,14910.83,16927.67,15933.83,14988.6,14924.07,17161.34,19438.22,7605.43,5471.47
在建工程,4816.39,8685.68,4000.12,8426.69,14899.28,23134.99,24738.66,25245.25,27831.14,7489.68,8388.62,10404.0,13515.43,14910.83,0.0,15933.83,0.0,14924.07,0.0,19438.22,0.0,5471.47
工程物资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
固定资产及清理(合计),0.0,0.0,0.0,0.0,0.0,31839.05,31071.61,33472.1,0.0,55237.44,59368.12,59490.66,59261.13,59969.23,59477.17,61876.18,63381.93,67116.48,64991.08,64337.14,76104.18,77569.2
固定资产净额,4575.17,10177.23,23999.09,24422.51,28446.94,31839.05,31071.61,33472.1,32116.77,55237.44,59368.12,59490.66,59261.13,59969.23,0.0,61876.18,0.0,67116.48,0.0,64337.14,0.0,77569.2
固定资产清理,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
生产性生物资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
公益性生物资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
油气资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
使用权资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
无形资产,14191.86,15358.79,15580.85,27885.01,28640.55,28709.1,28650.34,28545.66,28442.53,28240.08,36157.64,35948.98,35742.35,36650.07,36522.02,36269.03,36065.2,47989.3,47851.85,47294.58,46734.46,46207.72
开发支出,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
商誉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期待摊费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.71,19.42,18.12,16.83,15.53,14.24,12.94,11.65,10.36,9.06,7.77,6.47,5.18
递延所得税资产,155.43,70.83,74.55,88.39,274.11,24.31,83.35,84.63,120.95,221.37,136.67,146.51,189.2,340.54,345.38,249.08,376.62,347.13,167.4,341.72,188.19,985.94
其他非流动资产,0.0,0.0,4600.0,200.0,134.53,100.0,100.0,100.0,100.0,250.0,250.0,435.34,435.34,0.0,0.0,0.0,0.0,210.34,218.2,242.04,181.98,152.76
非流动资产合计,28898.22,36980.48,50177.31,62945.3,74318.12,85730.15,86566.66,89370.36,90534.09,93381.99,106243.17,108366.32,111083.0,113808.9,115209.19,116263.78,116746.71,130600.02,130401.28,131663.8,130823.06,130392.28
资产总计,37171.74,50729.3,63048.08,70939.12,88054.97,97773.3,98681.01,106156.51,107938.79,122941.74,133412.23,141393.37,145857.74,151305.03,155855.76,161135.98,162216.82,183031.33,170828.75,175286.99,187313.01,196470.6
短期借款,3100.0,6000.0,12000.0,11240.0,24740.0,26850.0,27900.0,21900.0,21500.0,29922.07,33868.98,39297.95,41434.29,31162.65,38006.97,42070.9,27520.76,33427.61,34416.12,33003.42,38426.3,33716.26
交易性金融负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付票据及应付账款,0.0,0.0,0.0,0.0,0.0,4720.42,4189.72,5060.63,0.0,8370.37,11514.1,10914.18,12532.18,17877.77,15410.78,12644.02,12695.11,18718.32,9688.46,10525.97,10133.92,10590.85
应付票据,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,486.79,1146.54,4039.82,2695.29,0.0,8817.71,0.0,4725.58,5198.77,4648.53,1767.37,1756.94,2166.58,1779.24
应付账款,998.88,2654.52,2749.81,2545.37,4241.81,4720.42,4189.72,5060.63,5182.58,7223.84,7474.28,8218.89,0.0,9060.06,0.0,7918.44,7496.33,14069.79,7921.09,8769.03,7967.35,8811.61
预收款项,18.65,0.0,81.61,238.37,162.91,118.25,118.7,73.05,312.04,173.21,305.5,576.27,559.57,293.34,171.37,448.56,508.3,480.87,699.41,770.4,1494.23,2055.46
应付手续费及佣金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付职工薪酬,54.61,79.29,194.84,297.83,272.75,305.06,433.01,333.52,372.77,617.58,566.72,755.1,562.07,956.29,539.65,731.55,731.96,1455.83,819.13,790.05,624.85,1626.91
应交税费,1727.66,1474.87,1519.63,759.48,792.09,616.32,517.23,1479.99,1437.43,2119.91,1940.35,1966.44,2772.6,5473.07,2959.73,4040.85,4297.22,3330.76,2421.29,3248.02,3209.04,5764.37
其他应付款(合计),0.0,0.0,0.0,0.0,0.0,550.6,824.24,515.93,0.0,623.14,2152.11,3528.99,934.86,3062.75,2180.88,2105.67,1840.77,1282.92,3607.9,10780.44,3752.36,3748.19
应付利息,6.32,16.16,22.24,35.45,43.95,48.61,40.51,28.98,28.64,37.16,58.43,41.58,22.25,20.52,18.08,20.54,31.65,0.0,0.0,0.0,0.0,0.0
应付股利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7140.98,0.0,63.5
其他应付款,2561.15,496.62,525.27,575.61,464.21,501.99,783.73,486.95,521.89,585.98,2093.68,1087.42,0.0,3042.23,0.0,2085.13,0.0,1282.92,0.0,3639.46,0.0,3684.69
预提费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内的递延收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付短期债券,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内到期的非流动负债,0.0,200.0,200.0,600.0,4119.02,2746.64,2746.64,0.0,0.0,0.0,0.0,837.83,837.83,0.0,0.0,0.0,0.0,260.25,280.45,1962.85,200.3,3165.65
其他流动负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.39
流动负债合计,8467.26,10921.47,17293.39,16292.11,34836.75,35907.29,36729.54,29363.11,29842.15,41826.29,50347.76,57876.76,59633.41,58825.87,59269.38,62041.55,47594.13,58956.57,51932.76,61081.15,57841.02,61731.56
长期借款,0.0,1100.0,900.0,3800.0,1500.0,6000.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9990.0,14739.7,16716.72,12908.9,19768.71,16728.72
应付债券,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
租赁负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期应付职工薪酬,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期应付款(合计),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,837.83,837.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期应付款,1835.12,1978.81,1867.8,1748.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,837.83,837.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
专项应付款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预计非流动负债,207.4,287.57,272.63,634.91,680.41,781.93,337.44,600.0,612.22,842.72,860.84,870.35,887.72,1019.72,1036.92,1047.35,1062.08,1137.77,1151.21,1096.73,1046.87,1326.34
递延所得税负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,448.46,558.77,616.53,705.09,750.23,734.64,781.08,874.17,747.31
长期递延收益,0.0,0.0,0.0,9760.41,8922.49,7999.04,7868.42,7617.33,7368.56,7368.25,7178.55,6976.02,6776.33,6576.6,6396.77,6216.94,6049.3,5961.84,5806.84,5651.84,5547.33,5511.78
其他非流动负债,2598.25,4779.37,7670.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
非流动负债合计,4640.77,8145.76,10711.3,15943.42,11102.9,14780.96,14205.86,8217.33,7980.79,8210.98,8039.4,8684.2,8501.88,8044.78,7992.46,7880.82,17806.47,22589.53,24409.41,20438.55,27237.09,24314.15
负债合计,13108.04,19067.23,28004.7,32235.53,45939.65,50688.25,50935.4,37580.45,37822.93,50037.27,58387.16,66560.97,68135.29,66870.65,67261.83,69922.38,65400.6,81546.1,76342.17,81519.71,85078.11,86045.71
实收资本(或股本),11453.4,12000.0,18000.0,18000.0,18000.0,18000.0,18000.0,24000.0,24000.0,24000.0,24000.0,24000.0,24000.0,24000.0,24000.0,24000.0,24000.0,24000.0,24000.0,24000.0,24000.0,24000.0
资本公积,5863.56,12998.66,5473.57,5473.57,5473.57,5466.16,5466.16,17569.73,17569.73,17569.73,17569.73,17569.73,17569.73,17569.73,17569.73,17569.73,17569.73,17569.73,14311.37,14809.58,15307.78,16130.6
减：库存股,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7187.25,7187.25,7187.25,7123.75
其他综合收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1920.37,-1920.37,-1920.37,-1920.37,-1922.71
专项储备,18.05,21.17,72.87,97.06,84.22,147.42,145.09,148.61,171.39,155.1,153.96,167.52,201.24,236.6,223.64,197.29,220.69,162.62,155.3,176.0,152.86,186.81
盈余公积,473.31,37.73,602.81,1016.26,1333.81,1782.23,1782.23,1782.23,1782.23,2101.49,2101.49,2101.49,2101.49,2835.37,2835.37,3002.17,3002.17,4260.25,4260.25,4260.25,4260.25,5580.68
一般风险准备,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
未分配利润,4941.47,5649.95,10463.01,13723.07,16869.08,21440.43,22104.14,24826.92,26345.59,28832.63,30876.45,30680.3,33528.57,39462.62,43612.27,46048.33,51549.42,55963.86,59375.2,57853.19,65580.04,71298.28
归属于母公司股东权益合计,22749.79,30707.52,34612.26,38309.96,41760.68,46836.25,47497.62,68327.5,69868.95,72658.95,74701.63,74519.04,77401.03,84104.32,88241.02,90817.53,96342.01,100036.1,92994.5,91991.39,100193.32,108149.91
少数股东权益,1313.91,954.55,431.12,393.63,354.64,248.8,247.99,248.57,246.91,245.52,323.45,313.36,321.42,330.06,352.91,396.07,474.22,1449.13,1492.08,1775.89,2041.58,2274.97
所有者权益(或股东权益)合计,24063.7,31662.07,35043.38,38703.6,42115.33,47085.04,47745.61,68576.07,70115.86,72904.47,75025.08,74832.4,77722.44,84434.38,88593.93,91213.6,96816.22,101485.23,94486.57,93767.28,102234.9,110424.89
负债和所有者权益(或股东权益)总计,37171.74,50729.3,63048.08,70939.12,88054.97,97773.3,98681.01,106156.51,107938.79,122941.74,133412.23,141393.37,145857.74,151305.03,155855.76,161135.98,162216.82,183031.33,170828.75,175286.99,187313.01,196470.6
