报表日期,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30
长期待摊费用摊销,0.0,0.0,12.06,21.2,0.0,0.0,0.0,54.82,0.0,21.04,0.0,37.82,0.0,25.44,0.0,45.27,0.0,11.86
待摊费用的减少,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预提费用的增加,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
处置固定资产、无形资产和其他长期资产的损失,0.0,0.0,0.44,0.02,0.0,0.0,0.0,2.45,0.0,14.0,0.0,-6.89,0.0,0.6,0.0,0.59,0.0,0.0
固定资产报废损失,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.47,0.0,8.48,0.0,0.0
公允价值变动损失,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
递延收益增加（减：减少）,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预计负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
财务费用,0.0,0.0,39.13,110.91,0.0,0.0,0.0,61.55,0.0,6.24,0.0,7.99,0.0,0.9,0.0,0.87,0.0,0.0
投资损失,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.35,0.0,-1104.64,0.0,-135.31,0.0,-492.14,0.0,-159.43
递延所得税资产减少,0.0,0.0,-32.64,-6.0,0.0,0.0,0.0,-5.41,0.0,-13.15,0.0,-34.47,0.0,-105.45,0.0,-41.47,0.0,-61.71
递延所得税负债增加,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
存货的减少,0.0,0.0,-995.05,-2327.69,0.0,0.0,0.0,-4898.1,0.0,3836.76,0.0,4960.64,0.0,1960.04,0.0,1205.77,0.0,1824.9
经营性应收项目的减少,0.0,0.0,-4684.5,-956.22,0.0,0.0,0.0,-1580.31,0.0,-469.46,0.0,-5836.31,0.0,-3805.01,0.0,-634.42,0.0,-3792.66
经营性应付项目的增加,0.0,0.0,3363.07,3883.8,0.0,0.0,0.0,5781.67,0.0,-5243.12,0.0,-2647.9,0.0,-798.25,0.0,534.76,0.0,-5293.04
已完工尚未结算款的减少(减:增加),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
已结算尚未完工款的增加(减:减少),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他,0.0,0.0,0.0,6.13,0.0,0.0,0.0,4.2,0.0,0.0,0.0,58.28,0.0,47.48,0.0,892.49,0.0,191.36
经营活动产生现金流量净额,0.0,0.0,1170.06,4610.36,0.0,0.0,0.0,4379.22,0.0,713.39,0.0,1953.94,0.0,162.9,0.0,7714.71,0.0,-4871.44
债务转为资本,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内到期的可转换公司债券,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
融资租入固定资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
现金的期末余额,0.0,0.0,8522.41,9313.1,0.0,0.0,0.0,10197.67,0.0,18873.31,0.0,29443.93,0.0,13472.59,0.0,36505.7,0.0,18813.38
现金的期初余额,0.0,0.0,5713.1,8522.41,0.0,0.0,0.0,9313.1,0.0,10197.67,0.0,10197.67,0.0,29443.93,0.0,29443.93,0.0,36505.7
现金等价物的期末余额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000.0,0.0,0.0,0.0,16980.0,0.0,0.0,0.0,0.0
现金等价物的期初余额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
现金及现金等价物的净增加额,0.0,0.0,2809.3,790.69,0.0,0.0,0.0,884.58,0.0,16675.64,0.0,19246.26,0.0,1008.65,0.0,7061.77,0.0,-17692.33
