报表日期,2009-12-31,2010-12-31,2011-12-31,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31
取得投资收益所收到的现金,134.74,29.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.07,124.87,55.98,55.98,55.98,154.31,96.38,178.23,204.72,343.16,132.7,336.76,598.95,821.18,314.85,553.72,708.42,827.32,119.19,137.85,143.85,211.09,23.44
处置固定资产、无形资产和其他长期资产所收回的现金净额,0.02,3.0,0.03,0.0,0.05,0.0,1.65,0.0,1.8,2.2,2.23,2.36,2.49,0.03,0.52,0.56,0.56,0.14,0.15,0.15,1.76,0.0,0.52,0.55,1.45,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0
处置子公司及其他营业单位收到的现金净额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
收到的其他与投资活动有关的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,106.16,261.19,260.39,499.9,499.9,239.51,0.0,0.0,90.78,90.78,0.0,0.0,77.0,77.0,0.0,0.0,0.0,223.71,245.9,306.4,1047.45,1591.15,90.0
投资活动现金流入小计,4734.76,982.41,0.03,0.0,0.05,0.0,1.65,0.0,201.8,2.2,2.23,6168.59,12388.56,6316.4,6556.4,6556.44,10394.37,10096.53,20178.39,27295.66,42935.71,16632.7,37937.28,65776.5,86599.62,26314.85,51553.72,64708.42,75551.13,15465.09,25444.25,26491.3,34402.24,3013.44
购建固定资产、无形资产和其他长期资产所支付的现金,2147.92,1056.2,399.35,0.0,724.61,160.07,530.93,0.0,1752.86,257.19,986.2,1504.32,2266.56,753.49,1596.12,2444.31,3151.11,909.03,1460.05,2865.2,3592.88,1228.42,1880.4,2509.3,3472.65,579.99,1041.79,2635.41,5775.0,1758.41,4137.2,7581.91,9982.91,2374.31
投资所支付的现金,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,12000.0,18000.0,0.0,0.0,10000.0,14000.0,10000.0,22700.0,32500.0,49600.0,20500.0,48600.0,76900.0,99900.0,23000.0,34000.0,44500.0,56100.0,5100.0,16600.0,24100.0,84700.0,1900.0
取得子公司及其他营业单位支付的现金净额,0.0,0.0,3.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
支付的其他与投资活动有关的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.16,246.16,0.0,0.0,0.0,0.0,33.0,33.0,63.0,63.0,47.0,47.0,47.0,437.0,56.35,56.35,361.85,412.35,15.0
投资活动现金流出小计,2197.92,1056.2,402.58,0.0,724.61,160.07,530.93,0.0,1752.86,257.19,3986.2,13504.32,20266.56,753.49,1596.12,12550.47,17397.27,10909.03,24160.05,35365.2,53192.88,21761.42,50513.4,79472.3,103435.65,23626.99,35088.79,47182.41,62312.0,6914.76,20793.55,32043.75,95095.25,4289.31
投资活动产生的现金流量净额,2536.84,-73.79,-402.56,0.0,-724.56,-160.07,-529.28,0.0,-1551.07,-254.99,-3983.98,-7335.74,-7878.01,5562.9,4960.28,-5994.03,-7002.9,-812.5,-3981.67,-8069.55,-10257.17,-5128.72,-12576.12,-13695.8,-16836.02,2687.86,16464.93,17526.0,13239.13,8550.34,4650.7,-5552.45,-60693.01,-1275.87
吸收投资收到的现金,0.0,869.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20291.63,20291.63,20291.63,20291.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13650.0,13650.0,13650.0,13650.0,0.0
其中：子公司吸收少数股东投资收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13650.0,13650.0,13650.0,13650.0,0.0
取得借款收到的现金,0.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
发行债券收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
收到其他与筹资活动有关的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
筹资活动现金流入小计,0.0,1869.54,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,20291.63,20291.63,20291.63,20291.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13650.0,13650.0,13650.0,13650.0,0.0
偿还债务支付的现金,0.0,0.0,1000.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
分配股利、利润或偿付利息所支付的现金,0.0,1.7,54.06,0.0,32.03,0.0,0.0,0.0,0.0,0.0,2963.48,3038.02,3030.0,4770.19,4848.0,4848.0,4848.0,0.0,5656.0,5656.0,5656.0,0.0,4040.0,4040.0,4040.0,0.0,6464.0,6464.0,6464.0,0.0,7272.0,7272.0,7272.0,0.0
其中：子公司支付给少数股东的股利、利润,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
支付其他与筹资活动有关的现金,2739.88,4855.08,0.0,0.0,154.91,170.0,170.0,0.0,350.0,129.6,385.6,385.6,540.22,0.0,0.0,-2.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
筹资活动现金流出小计,2739.88,4856.78,1054.06,0.0,1186.93,170.0,170.0,0.0,350.0,129.6,3349.08,3423.62,3570.22,4770.19,4848.0,4845.91,4848.0,0.0,5656.0,5656.0,5656.0,0.0,4040.0,4040.0,4040.0,0.0,6464.0,6464.0,6464.0,0.0,7272.0,7272.0,7272.0,0.0
筹资活动产生的现金流量净额,-2739.88,-2987.25,-54.06,0.0,-1186.93,-170.0,-170.0,0.0,-350.0,20162.03,16942.55,16868.01,16721.41,-4770.19,-4848.0,-4845.91,-4848.0,0.0,-5656.0,-5656.0,-5656.0,0.0,-4040.0,-4040.0,-4040.0,0.0,-6464.0,-6464.0,-6464.0,13650.0,6378.0,6378.0,6378.0,0.0
四、汇率变动对现金及现金等价物的影响,0.03,1.25,-1.08,0.0,0.34,-0.02,-0.64,0.0,-1.15,0.28,0.3,0.26,0.11,0.12,-0.02,1.25,2.12,-0.16,0.69,0.93,2.61,-0.34,-1.4,-2.53,-3.36,-2.06,0.52,2.71,2.51,-0.95,0.01,1.06,0.66,0.85
五、现金及现金等价物净增加额,1059.84,-1606.0,1457.28,1892.87,2205.49,520.88,2174.16,3910.33,3928.14,20851.55,16207.01,15121.27,17213.82,3489.48,5942.95,-2940.44,-366.75,2538.8,-3657.45,-4613.69,-3633.31,-1271.23,-9226.97,-5926.53,-4965.97,8427.55,18332.53,24302.98,27422.89,27037.09,21382.64,16581.73,-31021.79,5496.96
加:期初现金及现金等价物余额,3288.89,4348.73,2742.73,0.0,4200.01,6405.5,6405.5,0.0,6405.5,10333.64,10333.64,10333.64,10333.64,27547.46,27547.46,27547.46,27547.46,27180.71,27180.71,27180.71,27180.71,23547.4,23547.4,23547.4,23547.4,18581.43,18581.43,18581.43,18581.43,46004.31,46004.31,46004.31,46004.31,14982.52
六、期末现金及现金等价物余额,4348.73,2742.73,4200.01,0.0,6405.5,6926.38,8579.66,0.0,10333.64,31185.19,26540.65,25454.91,27547.46,31036.95,33490.41,24607.02,27180.71,29719.51,23523.26,22567.02,23547.4,22276.17,14320.43,17620.86,18581.43,27008.98,36913.96,42884.4,46004.31,73041.4,67386.96,62586.04,14982.52,20479.48
净利润,1051.32,1840.59,3726.47,0.0,5377.38,0.0,3152.98,0.0,7055.11,0.0,3933.31,0.0,9954.86,0.0,5133.04,0.0,11781.66,0.0,5412.94,0.0,12920.1,0.0,7873.01,0.0,18610.39,0.0,10394.03,0.0,23186.42,0.0,12868.84,0.0,29262.02,0.0
少数股东权益,0.0,0.0,0.0,0.0,-0.46,0.0,-1.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
未确认的投资损失,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
资产减值准备,-56.12,19.63,87.87,0.0,96.29,0.0,46.7,0.0,103.2,0.0,108.11,0.0,104.19,0.0,88.36,0.0,130.52,0.0,63.15,0.0,183.69,0.0,81.65,0.0,205.26,0.0,120.89,0.0,114.69,0.0,163.51,0.0,135.27,0.0
固定资产折旧、油气资产折耗、生产性物资折旧,205.52,245.12,308.86,0.0,317.34,0.0,169.46,0.0,350.58,0.0,188.86,0.0,376.97,0.0,186.75,0.0,394.7,0.0,295.12,0.0,545.16,0.0,309.37,0.0,583.79,0.0,271.07,0.0,570.43,0.0,304.68,0.0,687.15,0.0
无形资产摊销,12.05,12.05,12.05,0.0,12.05,0.0,6.02,0.0,12.05,0.0,7.79,0.0,17.36,0.0,9.57,0.0,21.38,0.0,12.5,0.0,25.09,0.0,16.47,0.0,33.32,0.0,18.77,0.0,154.82,0.0,162.45,0.0,349.31,0.0
长期待摊费用摊销,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.27,0.0,22.92,0.0,23.6,0.0,45.55,0.0,24.98,0.0,51.11,0.0,26.47,0.0,35.11,0.0,5.08,0.0,10.53,0.0,5.65,0.0,48.12,0.0
待摊费用的减少,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预提费用的增加,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
处置固定资产、无形资产和其他长期资产的损失,0.18,2.01,0.06,0.0,0.22,0.0,2.53,0.0,4.11,0.0,0.17,0.0,3.28,0.0,2.74,0.0,3.55,0.0,5.82,0.0,450.56,0.0,2.38,0.0,14.83,0.0,3.61,0.0,5.88,0.0,0.29,0.0,0.44,0.0
固定资产报废损失,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
公允价值变动损失,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.73,0.0,-37.11,0.0
递延收益增加（减：减少）,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预计负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
财务费用,0.19,0.79,54.12,0.0,32.0,0.0,0.0,0.0,-0.02,0.0,-0.02,0.0,0.04,0.0,-0.01,0.0,0.2,0.0,-0.69,0.0,-0.38,0.0,0.36,0.0,-1.09,0.0,-0.25,0.0,0.98,0.0,0.08,0.0,-0.05,0.0
投资损失,-124.48,-29.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-124.87,0.0,-55.98,0.0,-154.31,0.0,-178.23,0.0,-343.16,0.0,-304.29,0.0,-761.29,0.0,-522.38,0.0,-780.49,0.0,-130.05,0.0,-199.14,0.0
递延所得税资产减少,-70.78,-2.94,2.95,0.0,1.86,0.0,0.13,0.0,-34.66,0.0,-6.8,0.0,-26.93,0.0,-39.31,0.0,2.79,0.0,-8.87,0.0,-40.42,0.0,10.64,0.0,-3.91,0.0,-17.62,0.0,-16.2,0.0,-13.43,0.0,-178.67,0.0
递延所得税负债增加,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.88,0.0,9.27,0.0
存货的减少,-51.92,16.23,-101.51,0.0,-41.73,0.0,-112.58,0.0,-293.16,0.0,-346.15,0.0,-394.59,0.0,209.46,0.0,275.83,0.0,-183.72,0.0,-488.55,0.0,-495.02,0.0,-578.69,0.0,246.07,0.0,-364.57,0.0,-575.63,0.0,-1334.59,0.0
经营性应收项目的减少,126.29,-794.8,-2239.75,0.0,-1680.21,0.0,-607.73,0.0,-1510.5,0.0,-791.04,0.0,-1922.6,0.0,457.38,0.0,-667.02,0.0,512.44,0.0,-1624.58,0.0,-224.49,0.0,-3354.91,0.0,-1997.54,0.0,-3663.81,0.0,-1242.39,0.0,-5295.32,0.0
经营性应付项目的增加,170.59,144.52,63.86,0.0,1.92,0.0,217.81,0.0,143.64,0.0,150.63,0.0,359.68,0.0,-184.9,0.0,-352.83,0.0,24.1,0.0,598.62,0.0,94.01,0.0,1130.6,0.0,-190.63,0.0,1426.56,0.0,-1170.21,0.0,-154.11,0.0
已完工尚未结算款的减少(减:增加),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
已结算尚未完工款的增加(减:减少),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
经营活动产生现金流量净额,1262.85,1453.79,1914.97,0.0,4116.64,0.0,2874.08,0.0,5830.35,0.0,3248.14,0.0,8370.31,0.0,5830.69,0.0,11482.02,0.0,5979.53,0.0,12277.25,0.0,7390.56,0.0,15913.41,0.0,8331.09,0.0,20645.25,0.0,10353.93,0.0,23292.56,0.0
债务转为资本,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内到期的可转换公司债券,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
融资租入固定资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
现金的期末余额,0.0,2742.73,4200.01,0.0,6405.5,0.0,8579.66,0.0,10333.64,0.0,26540.65,0.0,27547.46,0.0,33490.41,0.0,27180.71,0.0,23523.26,0.0,23547.4,0.0,14320.43,0.0,18581.43,0.0,36913.96,0.0,46004.31,0.0,67386.96,0.0,14982.52,0.0
现金的期初余额,0.0,4348.73,2742.73,0.0,4200.01,0.0,6405.5,0.0,6405.5,0.0,10333.64,0.0,10333.64,0.0,27547.46,0.0,27547.46,0.0,27180.71,0.0,27180.71,0.0,23547.4,0.0,23547.4,0.0,18581.43,0.0,18581.43,0.0,46004.31,0.0,46004.31,0.0
现金等价物的期末余额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
现金等价物的期初余额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
现金及现金等价物的净增加额,0.0,-1606.0,1457.28,0.0,2205.49,0.0,2174.16,0.0,3928.14,0.0,16207.01,0.0,17213.82,0.0,5942.95,0.0,-366.75,0.0,-3657.45,0.0,-3633.31,0.0,-9226.97,0.0,-4965.97,0.0,18332.53,0.0,27422.89,0.0,21382.64,0.0,-31021.79,0.0
