报表日期,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31
其他应收款,450.26,397.44,236.29,1069.06,1147.7,1233.53,1031.96,1236.14,1487.47,1442.89,1050.48,1064.93,1120.66,1059.77,1014.12,967.13,1151.76,0.0,2307.47,0.0,1888.65,0.0,2524.03,0.0,2680.93,0.0,3491.81,0.0
买入返售金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
存货,5252.03,4667.9,5140.52,5548.53,5248.39,6790.99,6455.42,6258.42,6268.68,7354.81,8346.17,8405.84,8279.9,11028.21,9804.28,9350.7,9782.18,11610.87,10977.32,10889.09,11109.24,12664.74,13085.16,13827.62,12026.46,16576.75,13789.41,14382.83
划分为持有待售的资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内到期的非流动资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
待摊费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
待处理流动资产损益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他流动资产,0.0,0.0,280.72,58.56,248.39,9.09,36.87,12.48,152.51,570.52,9470.12,23689.41,1876.49,2336.2,3350.84,3137.14,3007.64,2528.72,3180.44,3162.7,3512.89,4387.84,59525.49,66029.93,39831.0,14554.74,4258.55,4824.79
流动资产合计,27961.46,32912.27,38296.7,37890.66,43531.78,52926.86,106034.01,102979.56,84963.69,97693.73,94263.81,92639.15,93422.32,104554.88,186849.95,195249.12,173136.64,200932.3,204023.09,201465.15,155953.25,262860.53,262188.62,274879.81,217841.41,237017.87,241922.27,241675.57
发放贷款及垫款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
可供出售金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
持有至到期投资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期应收款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期股权投资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
投资性房地产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
在建工程(合计),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10794.32,0.0,8376.72,0.0,12074.29,0.0,15979.27,1150.7,2622.34,6277.22,14009.4,16791.36,25464.93,31439.91,27388.56,19595.65,29880.97,46069.24,61145.9,56305.06
在建工程,3802.81,184.04,3389.89,18595.16,13156.55,17554.54,7375.41,8815.22,10794.32,12511.54,8376.72,10092.34,12074.29,16624.52,15979.27,1150.7,2622.34,6277.22,14009.4,0.0,25464.93,0.0,27388.56,0.0,29880.97,0.0,61145.9,0.0
工程物资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
固定资产及清理(合计),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78442.46,0.0,98355.04,0.0,99238.73,0.0,110425.53,128669.53,128601.07,126925.86,127688.89,126551.18,126363.58,130363.46,154454.21,169913.5,176970.54,177197.87,179444.52,199837.44
固定资产净额,32714.31,43712.48,45251.13,48286.69,60022.93,62875.87,76881.28,77857.7,78442.46,80802.01,98355.04,97893.23,99238.73,100140.77,110425.53,128669.53,128601.07,126925.86,127688.89,0.0,126363.58,0.0,154454.21,0.0,176970.54,0.0,179444.52,0.0
固定资产清理,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
生产性生物资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
公益性生物资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
油气资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
使用权资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
无形资产,4906.09,5713.62,10934.5,10732.19,10625.12,10560.94,14425.05,14340.98,14421.52,16642.02,16532.26,16429.3,22522.77,22632.08,23741.49,23649.45,25796.33,25643.12,27598.53,27629.47,33076.08,34604.06,34392.19,34817.29,34596.66,34423.98,34202.14,33981.38
开发支出,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
商誉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期待摊费用,987.4,1336.43,1240.35,2440.26,2821.48,2642.94,2975.51,3239.93,3174.73,3229.84,4209.52,7833.72,7253.69,6458.54,6088.02,5574.59,5244.93,4954.64,4842.93,4705.76,4660.71,4781.79,5498.86,5317.08,5015.07,4863.4,7316.19,7441.56
递延所得税资产,377.43,421.68,448.06,760.89,628.71,633.77,680.31,687.6,696.99,897.32,1289.64,1776.41,2128.98,2608.51,2919.7,3219.57,3524.24,3576.73,3872.14,4444.13,4887.11,5135.42,5632.0,6218.23,6369.1,6537.13,7017.46,7761.35
其他非流动资产,2726.34,1249.26,4921.48,4819.08,5410.59,4770.3,6109.73,10313.03,15968.03,19021.57,13563.97,17250.74,16497.98,16037.5,6639.78,7033.41,7616.51,9933.44,9019.46,20683.28,32651.9,36626.52,29049.9,31853.29,30532.68,37815.23,37462.22,39465.49
非流动资产合计,45514.39,52617.51,66185.41,85634.28,92665.37,99038.35,108447.3,115254.46,123498.04,133104.3,142327.15,151275.74,159716.42,164501.91,165793.8,169297.25,173405.42,177311.02,187031.34,200805.19,227104.32,242951.15,256415.72,267715.04,283365.01,306906.84,326588.44,344792.28
资产总计,73475.84,85529.78,104482.11,123524.94,136197.16,151965.22,214481.31,218234.02,208461.73,230798.03,236590.96,243914.89,253138.74,269056.79,352643.75,364546.37,346542.07,378243.32,391054.43,402270.33,383057.57,505811.68,518604.34,542594.85,501206.42,543924.71,568510.71,586467.84
短期借款,7110.0,3000.0,0.0,2000.0,7000.0,7000.0,5000.0,0.0,2000.0,0.0,0.0,0.0,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,0.0,0.0,5479.49,10425.06,20528.04,24906.57
交易性金融负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付票据及应付账款,0.0,0.0,0.0,0.0,0.0,16362.17,0.0,0.0,16430.82,0.0,21055.37,0.0,22216.26,0.0,24362.32,23689.13,28811.04,40479.04,31838.7,30090.8,35292.82,38449.25,41423.35,40102.55,37547.83,44170.69,39920.37,37339.23
应付票据,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付账款,9250.51,8108.42,9090.64,12111.37,12876.4,16362.17,14808.3,14277.48,16430.82,25418.07,21055.37,19500.98,22216.26,26177.29,24362.32,23689.13,28811.04,0.0,31838.7,0.0,35292.82,38449.25,41423.35,40102.55,37547.83,44170.69,39920.37,37339.23
预收款项,382.54,20.91,19.59,27.55,88.46,12.03,64.15,100.59,120.6,145.52,60.4,262.7,89.8,102.81,121.77,177.44,146.85,237.64,111.31,319.53,508.53,526.65,450.66,903.63,674.07,1237.11,0.0,0.0
应付手续费及佣金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付职工薪酬,150.05,108.06,122.17,126.2,135.26,271.74,115.38,151.4,152.13,166.53,147.94,177.75,168.62,133.19,134.06,212.62,98.5,155.46,3082.03,3152.79,3748.55,4289.63,4108.87,5930.84,5685.96,6095.37,8516.59,7074.66
应交税费,2413.49,2062.72,2981.45,3297.84,3175.33,4309.81,3803.86,4716.13,4205.35,5687.46,4837.76,5382.14,5840.91,8936.67,7400.0,7529.43,7291.6,8554.8,9413.02,8352.65,8467.9,8928.66,8619.39,10280.68,8771.72,11860.87,9680.73,9584.22
其他应付款(合计),0.0,0.0,0.0,0.0,0.0,3355.95,0.0,0.0,3749.46,0.0,3455.45,0.0,3979.7,0.0,3731.76,5237.89,4662.57,4508.13,4331.16,5961.59,5458.52,5711.23,5331.84,6154.23,6111.57,6488.52,5616.92,6526.56
应付利息,0.0,0.0,0.0,0.0,0.0,208.91,144.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.96,111.78,211.51,311.22,0.0,0.0,0.0
应付股利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他应付款,998.36,1293.97,1484.8,2150.95,2735.78,3147.04,3021.25,3082.44,3749.46,3989.77,3455.45,4429.51,3979.7,4379.05,3731.76,5237.89,4662.57,4508.13,4331.16,0.0,5458.52,0.0,5220.05,0.0,5800.35,0.0,5616.92,0.0
预提费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内的递延收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付短期债券,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内到期的非流动负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他流动负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.21,2.21,2.21,2.21,2.21,2.21,2.21,2.21,2.21,2.21,2.21,2.21,0.0,0.0,0.0,0.0,45.36,54.69
流动负债合计,20304.95,14594.08,13698.65,19713.92,26011.22,31311.71,26957.55,22328.04,26658.37,35407.36,29559.12,29755.29,41297.48,39731.21,35752.12,36848.71,41012.77,53937.28,48778.43,47879.57,57478.53,61907.62,59934.11,63371.92,64270.65,80277.62,84943.89,86211.32
长期借款,0.0,0.0,389.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付债券,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83118.03,84225.92,85336.63,86459.93,0.0,0.0,0.0
租赁负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期应付职工薪酬,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期应付款(合计),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期应付款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
专项应付款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预计非流动负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
递延所得税负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.28,32.28,32.28,32.28,28.2,28.2,28.2,28.2,189.16,361.11
长期递延收益,0.0,0.0,0.0,0.0,0.0,0.0,605.67,715.94,715.94,715.94,1316.16,1316.16,1315.06,1315.06,1313.96,1313.96,1312.86,102.18,101.08,101.08,99.98,99.98,101.08,101.08,99.98,99.98,98.88,98.88
其他非流动负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
非流动负债合计,0.0,0.0,389.01,0.0,0.0,0.0,605.67,715.94,715.94,715.94,1316.16,1316.16,1315.06,1315.06,1313.96,1313.96,1312.86,102.18,133.37,133.37,132.26,83250.29,84355.2,85465.91,86588.11,128.18,288.03,459.99
负债合计,20304.95,14594.08,14087.66,19713.92,26011.22,31311.71,27563.22,23043.98,27374.31,36123.3,30875.28,31071.46,42612.54,41046.27,37066.08,38162.67,42325.62,54039.46,48911.8,48012.93,57610.8,145157.91,144289.31,148837.83,150858.76,80405.8,85231.92,86671.31
实收资本(或股本),15004.2,15004.2,15004.2,40511.34,40511.34,40511.34,45012.6,45012.6,45012.6,45012.6,45012.6,45012.6,45012.6,45012.6,47062.6,47062.6,47062.6,47062.6,47062.6,47062.6,65887.64,65887.64,65887.64,65887.67,65887.77,68015.27,68015.27,68015.27
资本公积,749.21,749.21,749.21,749.21,749.21,749.21,52761.79,52761.79,52761.79,52761.79,52761.79,52761.79,52761.79,52761.79,122749.47,122749.47,122749.47,122749.47,122749.47,122749.47,103924.43,103924.43,103924.43,103925.61,103956.88,203431.36,203510.15,203749.06
减：库存股,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0
其他综合收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
专项储备,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
盈余公积,2127.75,3136.46,5374.35,7631.51,7631.51,7631.51,10206.92,10206.92,10206.92,10206.92,14506.95,14506.95,14506.95,14506.95,20176.64,20176.64,20176.64,20176.64,27144.1,27144.1,27144.1,27144.1,33927.72,33927.72,33927.72,33927.72,34007.64,34007.64
一般风险准备,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
未分配利润,35289.74,52045.83,69266.69,54918.95,61293.87,71761.45,78936.78,87208.73,73106.11,86693.43,93434.34,100562.1,98244.86,115729.19,125588.96,136394.98,114227.73,134215.14,145186.45,157301.22,128490.59,148430.87,160808.51,180249.48,136809.52,163644.55,183245.74,199524.56
归属于母公司股东权益合计,53170.89,70935.7,90394.45,103811.01,110185.93,120653.51,186918.09,195190.04,181087.42,194674.73,205715.68,212843.43,210526.2,228010.52,315577.67,326383.69,304216.44,324203.86,342142.63,354257.4,325446.77,360653.77,374315.03,393757.02,350347.66,463518.91,483278.79,499796.53
少数股东权益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
所有者权益(或股东权益)合计,53170.89,70935.7,90394.45,103811.01,110185.93,120653.51,186918.09,195190.04,181087.42,194674.73,205715.68,212843.43,210526.2,228010.52,315577.67,326383.69,304216.44,324203.86,342142.63,354257.4,325446.77,360653.77,374315.03,393757.02,350347.66,463518.91,483278.79,499796.53
负债和所有者权益(或股东权益)总计,73475.84,85529.78,104482.11,123524.94,136197.16,151965.22,214481.31,218234.02,208461.73,230798.03,236590.96,243914.89,253138.74,269056.79,352643.75,364546.37,346542.07,378243.32,391054.43,402270.33,383057.57,505811.68,518604.34,542594.85,501206.42,543924.71,568510.71,586467.84
