报表日期,2010-12-31,2011-12-31,2012-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31
其他流动资产,0.0,0.0,0.0,116771.66,88463.42,72151.44,63715.16,45896.62,76241.72,84047.28,175244.0,82532.52,79949.43,99928.28,170221.44,232731.45,259398.02,246169.09,301244.17,289837.99,261784.03,181703.84,270361.75,248167.77,268141.81,274117.95,305876.12,290561.73,300647.84,296845.7,352008.59,292051.36
流动资产合计,0.0,2511013.67,2560204.52,2158592.48,2210245.28,2043956.95,4209640.7,3059527.58,2726085.56,2404820.38,4521289.77,2706568.61,2644801.88,2413595.63,4373898.11,5028789.04,5131498.99,5273932.09,5627092.24,5724619.36,5551383.73,5551318.93,5538791.63,5431959.78,5168540.51,6959286.09,6192338.33,6126765.89,5785188.54,5888164.4,6324427.44,6420671.66
发放贷款及垫款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
可供出售金融资产,0.0,0.0,0.0,0.0,0.0,0.0,240364.83,240364.83,11000.0,11000.0,19531.04,11000.0,11000.0,11000.0,19531.04,19531.04,19531.04,19531.04,19531.04,54075.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
持有至到期投资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期应收款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期股权投资,1189300.0,1386600.0,1107400.0,1322785.95,1333288.68,1368044.27,1196847.54,1226332.44,1228929.58,1263792.57,1115725.38,1206501.22,1262417.74,1321407.17,1203709.92,789680.78,806203.85,825594.53,836363.1,872778.91,909791.92,936369.58,1020302.32,1050599.94,1091999.71,1092591.34,1119929.18,1126555.7,1181468.94,1189960.6,1192406.3,1218601.46
投资性房地产,0.0,0.0,0.0,74791.76,73115.53,71599.04,69727.85,68119.52,66502.46,64931.14,65910.64,63638.38,29846.82,29096.18,32033.26,26230.43,24607.27,23630.84,23967.04,22961.37,22331.02,21694.47,21034.6,20328.05,19681.9,19039.89,18374.72,16108.4,15486.29,14972.56,24474.84,23717.56
固定资产净额,0.0,0.0,0.0,6066465.67,6007997.22,5944668.63,5884608.68,5831292.31,6875522.81,6805608.68,6884373.75,7983116.51,7947303.02,7858968.82,10479086.58,16271981.25,16100884.95,16071283.96,15914714.03,15750777.0,15618241.94,16710869.91,21085020.66,0.0,0.0,0.0,25695469.33,0.0,25242083.96,0.0,24845555.64,0.0
在建工程,0.0,0.0,0.0,2670443.3,2915835.54,3145017.15,3464280.62,3644660.86,8871577.9,9332527.97,12702859.98,8771202.61,9155272.33,9529874.22,10866612.59,10164047.44,10676695.1,11111143.38,11529093.19,11886208.44,12302459.01,11444473.51,0.0,0.0,0.0,0.0,3924057.0,0.0,4285346.03,0.0,4736476.94,0.0
工程物资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
固定资产清理,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
生产性生物资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
公益性生物资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
油气资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
无形资产,0.0,0.0,0.0,195171.79,191934.32,188499.0,187664.05,191205.29,284739.15,280918.37,382744.51,285179.49,296241.31,295712.09,388383.54,454566.73,449628.4,442868.35,458134.83,450101.31,444744.93,443627.29,471979.64,575678.33,472107.44,491914.15,493702.85,485357.09,488675.66,483000.83,504717.92,500036.08
开发支出,0.0,0.0,0.0,38733.26,40496.89,42514.59,35146.98,33735.01,35966.46,40695.44,128648.62,39221.04,30648.85,37845.23,127381.03,138381.09,141680.4,151673.27,164527.93,171265.51,175221.55,211139.94,196245.58,199258.36,213064.72,223363.55,227422.57,229196.2,227075.26,251176.47,279509.42,280191.9
商誉,0.0,0.0,0.0,1214.27,1214.27,1214.27,1214.27,1214.27,1214.27,1214.27,1214.27,1214.27,1214.27,1214.27,0.0,41924.27,41924.27,41924.27,41924.27,41924.27,41924.27,41924.27,41924.27,41924.27,41924.27,41924.27,41924.27,41924.27,41924.27,41924.27,41924.27,41924.27
长期待摊费用,0.0,0.0,0.0,53213.58,51641.55,50103.56,47233.72,45205.01,94409.99,93063.01,157072.97,89759.06,87465.55,85230.8,169133.44,197557.03,194039.42,193608.41,193675.96,191810.62,192277.23,191057.24,173465.85,166231.07,165579.53,151147.04,147342.78,147063.52,145764.48,144599.45,147291.0,151549.83
递延所得税资产,0.0,0.0,0.0,9453.77,9068.53,11164.66,10006.58,10970.99,13510.92,15409.72,147935.17,16321.56,15587.89,16576.6,166462.96,137454.05,140145.0,140949.25,153296.46,153364.72,155560.05,151488.76,177486.84,175589.13,180281.47,178903.23,190406.33,189328.74,208626.12,206162.44,217715.92,219154.55
其他非流动资产,0.0,0.0,0.0,319868.38,330427.86,317331.95,339769.07,1026702.89,627328.04,617992.52,733792.33,597165.82,604027.89,552966.62,701538.22,779875.75,774958.66,765137.26,799217.11,779741.27,679838.25,678368.48,624493.26,647180.21,615410.72,632213.31,602924.97,627145.79,618159.09,595565.47,731570.33,767552.98
非流动资产合计,0.0,1386600.0,1107400.0,10752141.72,10955020.38,11140157.11,11476864.19,12319803.42,18110701.57,18527153.68,22342808.65,19064319.96,19441025.66,19739892.0,24153872.59,29021229.84,29370298.36,29787344.53,30134444.95,30375008.9,30587663.98,30877247.74,31316775.41,31541196.45,31806286.15,32668057.22,32605185.12,32573787.05,32585525.32,32461844.94,32865409.9,32932154.08
资产总计,9279763.37,11336901.28,12197591.11,12910734.2,13165265.66,13184114.06,15686504.88,15379331.01,20836787.13,20931974.06,26864098.42,21770888.58,22085827.54,22153487.63,28527770.7,34050018.88,34501797.35,35061276.62,35761537.2,36099628.26,36139047.71,36428566.67,36855567.04,36973156.22,36974826.66,39627343.31,38797523.45,38700552.94,38370713.85,38350009.34,39189837.35,39352825.74
短期借款,0.0,0.0,0.0,979217.02,596098.66,513599.13,414857.82,251738.43,610145.25,446841.86,1047528.02,409174.27,290934.4,330765.83,1702133.15,2141137.46,2188797.88,2237823.22,1958282.14,1598559.55,1340270.48,1349497.05,1629624.0,1384712.95,1845486.1,1749926.14,1426327.35,1790233.1,1857330.2,1822940.26,2312399.34,1851551.99
交易性金融负债,0.0,0.0,0.0,246.33,357.98,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付票据及应付账款,0.0,0.0,0.0,921815.71,445647.76,333424.06,557305.25,448228.96,506380.05,473551.5,1412085.9,545828.62,572817.54,600720.95,1455801.75,1582722.78,1533250.23,1470643.2,1734454.96,1541334.76,1474399.87,1549722.28,1824706.46,1641562.9,1635550.77,2394961.03,2260186.36,2076882.5,1991246.71,1993560.83,2311654.77,2179520.81
应付票据,0.0,0.0,0.0,0.0,0.0,0.0,48705.3,48705.3,89902.6,117402.6,27177.17,60000.0,137154.51,205756.1,75068.82,76213.66,55154.63,30429.25,99726.0,67980.62,0.0,0.0,226016.49,0.0,122478.19,178447.13,261838.38,204981.09,163381.26,301692.89,441803.03,401524.75
应付账款,0.0,0.0,0.0,921815.71,445647.76,333424.06,508599.95,399523.66,416477.45,356148.9,1384908.73,485828.62,435663.03,394964.85,1380732.93,1506509.12,1478095.59,1440213.95,1634728.97,1473354.15,0.0,0.0,1598689.97,0.0,1513072.58,2216513.91,1998347.98,1871901.4,1827865.46,1691867.93,1869851.74,1777996.06
预收款项,0.0,0.0,0.0,9367.35,3337.76,14021.24,4446.78,11369.98,5771.67,6245.78,217635.9,3151.75,6211.26,5904.79,356593.09,321354.6,420657.66,424075.42,510418.59,536171.25,0.0,0.0,205.84,200.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
应付手续费及佣金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付职工薪酬,0.0,0.0,0.0,5174.62,10463.93,8916.42,3120.27,5853.46,9887.19,10508.27,5076.35,6464.65,9698.05,7816.03,5043.76,6133.47,8440.38,7588.09,3701.03,6629.33,10365.2,9757.33,4261.64,5740.23,10454.29,8883.05,5104.67,7569.67,8979.06,8227.9,15107.18,11661.41
应交税费,0.0,0.0,0.0,69000.4,45796.52,65762.29,73478.49,76924.89,54134.89,76494.34,224693.83,93162.57,59386.61,78844.46,90934.61,118597.57,84495.54,102964.49,117339.3,89611.42,82261.68,111352.82,143129.42,139466.96,99311.23,153467.55,145675.33,113684.3,119026.48,153350.48,146982.92,122586.79
应付利息,0.0,0.0,0.0,71739.21,60805.26,54172.42,40760.1,50326.56,73379.02,73535.56,61725.11,70680.71,61442.24,71273.11,53252.38,88572.87,79910.74,91513.27,59708.83,68722.32,0.0,0.0,62915.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付股利,0.0,0.0,0.0,54781.15,5384.89,208.0,468913.18,469148.08,49509.7,14036.99,124927.68,124560.75,234271.81,19093.47,173470.66,248260.27,364877.49,102350.84,201958.57,229234.27,0.0,0.0,96890.38,0.0,0.0,68413.29,477.51,89754.85,543647.93,204047.28,905.33,148151.82
其他应付款,757661.99,697645.84,183221.31,717955.43,302375.02,100557.13,124922.19,43348.57,60454.59,82780.17,126787.38,41973.12,66305.23,97547.67,772412.23,703183.15,505543.03,543929.42,242766.37,161192.1,733269.75,374734.94,290957.54,0.0,0.0,0.0,381298.15,0.0,316799.97,0.0,453234.03,0.0
预提费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内的递延收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应付短期债券,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内到期的非流动负债,0.0,0.0,0.0,228971.92,228773.98,225935.66,663669.84,478220.71,851016.11,661465.38,1060172.23,784676.13,674821.73,555939.1,1785650.89,1605051.75,1699180.75,1507655.4,1107540.66,1199262.44,1221186.82,1126443.48,1829510.92,1790638.83,2423283.78,2201169.93,2274758.95,2064837.95,1676845.07,1666956.75,2090925.58,2362367.45
其他流动负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,100000.0,100000.0,0.0,109014.97,58073.91,114439.47,120102.33,122169.08,122127.58,130434.09,92267.25,96454.54,77749.08,33510.62,50061.82,53633.42,54014.17,50877.18,53899.2,60962.34,263518.13
流动负债合计,0.0,697645.84,183221.31,3058269.13,1699041.75,1316702.36,2353826.5,1841625.82,2222946.29,1947710.67,4390783.68,2193007.2,2083957.87,1775348.42,6512791.22,6879845.0,7001841.61,6609033.7,6061332.55,5557704.16,5209855.2,4819089.6,6062509.14,5675310.22,6531045.11,7179773.11,6701789.97,6640549.67,6899948.65,6693499.87,7715275.35,7750616.8
长期借款,0.0,0.0,0.0,5414149.76,5756169.5,5998040.89,5874642.33,5874932.06,9810961.57,9672373.16,12615771.41,9967619.19,10367534.41,10400876.94,12747201.5,16733733.76,17037828.24,17560378.06,18351248.3,18635480.12,18912364.37,18984687.46,17963994.61,17992590.51,17444056.05,17361129.85,16785981.22,16575686.22,16180337.29,15780514.02,15669318.9,15693798.02
应付债券,0.0,0.0,0.0,848752.42,848801.47,848851.06,848900.65,848951.44,1059003.4,1059056.54,1109106.64,1209161.01,1219216.02,1199272.28,799356.82,799413.49,749471.45,749530.74,699586.65,599643.32,729151.29,748988.37,848804.44,998544.91,748803.25,898588.8,898713.38,898898.8,699336.79,948739.88,748985.39,599049.97
长期应付款,0.0,0.0,0.0,550058.98,645841.26,550935.02,294311.19,294456.03,199264.79,199434.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期应付职工薪酬,0.0,0.0,0.0,0.0,0.0,0.0,3534.1,3512.7,3708.5,3703.84,4972.88,5942.64,5442.35,6268.46,6845.76,8866.88,7202.15,7504.21,6598.87,8789.87,9028.96,11009.05,10226.73,14754.46,14155.87,13646.67,11976.98,11977.72,5808.36,5747.57,7507.03,7506.58
专项应付款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预计非流动负债,0.0,0.0,0.0,145178.85,147772.47,150356.46,152600.25,154586.33,169169.41,171906.14,175573.24,188233.1,193671.83,197570.72,246743.3,305701.81,310017.12,313497.2,324486.57,321015.74,336951.53,357496.27,400153.18,404868.57,413785.6,471175.28,491062.96,500848.72,500959.93,500250.53,503092.67,513729.23
递延所得税负债,0.0,0.0,0.0,115419.95,117721.79,119301.33,125913.98,127927.78,121798.15,125313.44,129311.83,133175.41,107705.13,104612.72,107494.19,122598.94,120469.38,117700.67,116068.17,112349.64,137376.01,141043.55,117728.44,116610.01,120431.26,121037.48,121722.84,125213.77,123842.48,121792.06,120542.8,125428.07
长期递延收益,0.0,0.0,0.0,0.0,0.0,0.0,71232.29,70863.62,77688.12,82625.36,103130.74,81741.4,81786.96,81527.71,98487.29,99357.09,98033.46,100727.89,99528.61,99144.23,106622.72,137610.91,139585.48,134065.54,144525.52,143060.71,187333.78,186766.27,203014.68,202217.52,204361.1,204404.32
其他非流动负债,0.0,0.0,0.0,87238.14,89747.91,94898.07,21517.31,21760.46,25593.48,29213.8,14063.42,10188.6,9666.02,10454.31,574.42,0.0,194.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
非流动负债合计,0.0,0.0,0.0,7160798.1,7606054.39,7762382.83,7392652.1,7396990.42,11467187.4,11343627.17,14151930.16,11596061.34,11985022.71,12000583.14,14006703.29,18069671.97,18323216.69,18849338.77,19597517.19,19776422.93,20231494.87,20380835.61,19480492.88,19743515.41,18962162.89,19076326.11,18566346.73,18366158.75,17770799.1,17615486.47,17311501.37,17195212.58
负债合计,7619880.59,9013932.51,9802056.64,10219067.24,9305096.15,9079085.19,9746478.6,9238616.24,13690133.69,13291337.84,18542713.84,13789068.54,14068980.58,13775931.55,20519494.51,24949516.97,25325058.3,25458372.47,25658849.74,25334127.08,25441350.07,25199925.21,25543002.03,25418825.63,25493208.0,26256099.22,25268136.7,25006708.42,24670747.74,24308986.35,25026776.72,24945829.38
实收资本(或股本),0.0,0.0,0.0,2790464.34,3530000.0,3530000.0,4544875.0,4544875.0,4544875.0,4544875.0,4544875.0,4544875.0,4544875.0,4544875.0,4544875.0,4544875.0,4544875.0,4544875.0,4544875.0,4544875.0,4544875.0,4544875.0,4544875.0,4544875.0,4544875.0,5049861.11,5049861.11,5049861.11,5049861.11,5049861.11,5049861.11,5049861.11
资本公积,0.0,0.0,0.0,-965575.52,-692893.59,-693994.43,452608.82,452608.82,335964.37,335964.37,905815.99,335964.37,335964.37,335964.37,52452.84,52452.84,52810.04,52485.27,308421.58,344415.61,325227.21,325440.21,335051.92,335077.07,335314.64,1069295.66,1070232.28,1070009.28,1070358.48,1070233.88,1078400.41,1079530.21
减：库存股,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他综合收益,0.0,0.0,0.0,0.0,0.0,1437.39,2251.35,4568.34,-465.3,-465.3,62345.36,-689.53,-1063.05,-1063.05,84242.12,11299.87,6965.85,7096.69,40323.39,51234.45,57925.81,80115.87,69985.41,68993.38,74974.03,91651.39,76658.47,84574.56,84743.9,65252.38,40530.67,45723.2
专项储备,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5991.14,0.0,0.0,0.0,10415.09,11628.83,11751.52,11446.18,13141.38,12669.75,14595.15,19506.82,19713.97,20274.11,20577.7,21541.03,22240.16,21253.06,19713.92,21547.71,24886.23,27109.17
盈余公积,0.0,0.0,0.0,0.0,0.0,0.0,50414.55,50414.55,50449.08,50449.08,153181.02,112078.16,112078.16,112078.16,221833.6,221833.6,221833.6,221833.6,271211.83,271211.83,273221.37,273221.37,334149.57,334149.57,334149.57,334149.57,394433.93,394433.93,394433.93,394433.93,434662.48,434662.48
一般风险准备,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
未分配利润,0.0,0.0,0.0,9133.9,132516.33,329684.3,29374.15,178557.15,248644.51,486345.65,290004.72,707442.29,699448.73,972513.04,632544.04,971300.42,1024516.22,1281705.67,1313925.63,1568190.9,1460112.29,1774066.3,1807715.68,2059529.06,1982744.48,2310319.32,2366771.66,2520053.34,2503506.21,2801450.55,2898986.51,3136424.46
归属于母公司股东权益合计,0.0,0.0,0.0,1834022.72,2969669.51,3167262.96,5079523.86,5230250.08,5176584.63,5435295.32,5962213.22,5727057.18,5731786.8,6008884.37,5546362.69,5878829.56,5918355.25,6163272.65,6491898.8,6803567.99,6675956.83,7017225.57,7111491.55,7362898.18,7292635.41,8876818.07,8980197.61,9140185.28,9122617.55,9402779.57,9527327.41,9773310.65
少数股东权益,0.0,0.0,0.0,857644.25,890500.01,937765.9,860502.42,910464.69,1970068.81,2205340.9,2359171.36,2254762.86,2285060.16,2368671.71,2461913.51,3221672.36,3258383.8,3439631.5,3610788.66,3961933.19,4021740.81,4211415.89,4201073.46,4191432.42,4188983.25,4494426.02,4549189.14,4553659.24,4577348.56,4638243.42,4635733.22,4633685.72
所有者权益(或股东权益)合计,1659882.78,2322968.77,2395534.47,2691666.96,3860169.52,4105028.87,5940026.28,6140714.77,7146653.44,7640636.23,8321384.58,7981820.03,8016846.96,8377556.08,8008276.19,9100501.92,9176739.05,9602904.15,10102687.46,10765501.17,10697697.64,11228641.46,11312565.01,11554330.6,11481618.66,13371244.09,13529386.75,13693844.52,13699966.11,14041022.99,14163060.63,14406996.36
负债和所有者权益(或股东权益)总计,0.0,11336901.28,12197591.11,12910734.2,13165265.66,13184114.06,15686504.88,15379331.01,20836787.13,20931974.06,26864098.42,21770888.58,22085827.54,22153487.63,28527770.7,34050018.88,34501797.35,35061276.62,35761537.2,36099628.26,36139047.71,36428566.67,36855567.04,36973156.22,36974826.66,39627343.31,38797523.45,38700552.94,38370713.85,38350009.34,39189837.35,39352825.74
