报表日期,2017-12-31,2018-12-31,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31
六、期末现金及现金等价物余额,121.92,3132.66,0.0,2791.03,0.0,1361.84,0.0,4345.56,0.0
净利润,2534.46,2290.72,0.0,5418.35,0.0,2999.92,0.0,6837.09,0.0
少数股东权益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
未确认的投资损失,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
资产减值准备,120.02,946.59,0.0,-6.78,0.0,61.25,0.0,204.65,0.0
固定资产折旧、油气资产折耗、生产性物资折旧,733.98,1055.18,0.0,1271.23,0.0,695.26,0.0,1432.48,0.0
无形资产摊销,104.86,109.33,0.0,162.01,0.0,85.75,0.0,186.06,0.0
长期待摊费用摊销,78.32,0.0,0.0,6.85,0.0,41.78,0.0,85.51,0.0
待摊费用的减少,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预提费用的增加,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
处置固定资产、无形资产和其他长期资产的损失,28.05,-2.51,0.0,2.64,0.0,0.0,0.0,-0.77,0.0
固定资产报废损失,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0
公允价值变动损失,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
递延收益增加（减：减少）,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预计负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
财务费用,185.53,104.01,0.0,18.95,0.0,76.79,0.0,377.67,0.0
投资损失,0.0,-98.1,0.0,-40.18,0.0,0.0,0.0,0.0,0.0
递延所得税资产减少,-36.46,-192.88,0.0,-28.42,0.0,-68.54,0.0,-248.81,0.0
递延所得税负债增加,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
存货的减少,-1986.72,-7045.83,0.0,-4897.69,0.0,-1626.66,0.0,-5947.39,0.0
经营性应收项目的减少,-891.46,-3566.32,0.0,-1830.33,0.0,-4115.14,0.0,-5341.83,0.0
经营性应付项目的增加,3493.15,7483.03,0.0,2921.97,0.0,402.94,0.0,5304.7,0.0
已完工尚未结算款的减少(减:增加),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
已结算尚未完工款的增加(减:减少),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他,121.95,1157.36,0.0,105.89,0.0,67.89,0.0,129.67,0.0
经营活动产生现金流量净额,4485.67,2240.58,0.0,3285.71,0.0,-921.46,0.0,3913.01,0.0
债务转为资本,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内到期的可转换公司债券,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
融资租入固定资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
现金的期末余额,121.92,3132.66,0.0,2791.03,0.0,1361.84,0.0,4345.56,0.0
现金的期初余额,1078.56,121.92,0.0,3132.66,0.0,2791.03,0.0,2791.03,0.0
现金等价物的期末余额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
现金等价物的期初余额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
现金及现金等价物的净增加额,-956.63,3010.73,0.0,-341.62,0.0,-1429.19,0.0,1554.53,0.0
