报表日期,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30
筹资活动现金流入小计,37051.84,49612.41,68584.16,23430.68,42440.59,59149.01,22023.52,32472.96,82501.92,96733.5,16911.58,40389.55,91858.85,150275.69,83435.75,161130.65,246499.7,243737.96,35256.92,46580.06,51526.17
偿还债务支付的现金,31235.05,42818.34,63640.9,17770.59,31288.34,42202.19,16118.69,29541.3,51473.89,59114.65,11179.18,29650.37,47510.53,93623.27,55087.19,108791.01,176341.96,189476.3,18707.61,80066.72,82266.72
分配股利、利润或偿付利息所支付的现金,1074.2,1186.38,1153.6,1065.55,1302.12,1388.42,428.47,843.46,1158.16,1482.84,242.63,2050.07,2365.32,2817.04,446.68,4056.93,5191.78,5504.02,806.56,4642.38,11687.45
其中：子公司支付给少数股东的股利、利润,0.0,0.0,0.0,59.17,0.0,59.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
支付其他与筹资活动有关的现金,2800.0,1913.6,0.0,180.0,180.0,185.0,0.0,0.0,0.0,2825.19,0.0,3893.16,21424.19,27847.32,18595.12,30847.12,34296.14,1337.4,0.0,578.28,583.05
筹资活动现金流出小计,35109.25,45918.33,64794.5,19016.14,32770.46,43775.61,16547.16,30384.75,52632.06,63422.67,11421.81,35593.6,71300.04,124287.63,74128.99,143695.06,215829.88,196317.72,19514.17,85287.38,94537.22
筹资活动产生的现金流量净额,1942.59,3694.09,3789.67,4414.54,9670.13,15373.4,5476.36,2088.21,29869.86,33310.83,5489.77,4795.96,20558.8,25988.06,9306.76,17435.59,30669.82,47420.25,15742.75,-38707.32,-43011.05
四、汇率变动对现金及现金等价物的影响,-574.75,5.12,770.52,271.61,328.04,950.21,-59.09,-507.35,-1008.53,-1772.25,-1715.6,546.88,3164.19,2721.58,-848.23,-311.74,684.5,338.33,1201.63,1113.08,-12352.32
五、现金及现金等价物净增加额,-607.97,1140.91,-172.29,932.38,1821.05,2945.48,2056.53,1863.27,7608.71,18228.73,12094.4,-1607.88,19072.37,29293.88,7909.89,12167.91,8453.45,1617.64,14117.2,153258.45,324623.72
加:期初现金及现金等价物余额,3857.17,3249.2,4390.11,4461.46,4461.46,4217.82,7400.46,7400.46,7400.46,7400.46,25629.19,25629.19,25629.19,25629.19,54923.07,54923.07,54923.07,54923.07,56540.71,56540.71,56540.71
六、期末现金及现金等价物余额,3249.2,4390.11,4217.82,5393.84,6282.51,7163.3,9456.99,9263.73,15009.17,25629.19,37723.59,24021.31,44701.56,54923.07,62832.96,67090.98,63376.52,56540.71,70657.9,209799.15,381164.43
净利润,1069.52,3174.94,6422.0,4986.32,0.0,8626.25,0.0,6100.38,0.0,14508.41,0.0,6910.99,0.0,17933.87,0.0,7084.78,0.0,17826.72,0.0,192110.9,0.0
少数股东权益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
未确认的投资损失,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
资产减值准备,248.85,-108.63,235.46,31.47,0.0,281.91,0.0,151.55,0.0,832.89,0.0,153.97,0.0,614.33,0.0,173.64,0.0,116.75,0.0,1730.2,0.0
固定资产折旧、油气资产折耗、生产性物资折旧,2282.54,2831.8,3293.7,1995.26,0.0,4218.72,0.0,2914.87,0.0,6448.84,0.0,3642.38,0.0,7698.52,0.0,3869.28,0.0,8896.06,0.0,5267.23,0.0
无形资产摊销,36.31,45.7,56.55,37.57,0.0,77.32,0.0,42.89,0.0,89.87,0.0,112.25,0.0,257.11,0.0,148.02,0.0,324.52,0.0,272.05,0.0
长期待摊费用摊销,25.44,27.51,59.49,13.76,0.0,27.67,0.0,14.08,0.0,28.15,0.0,14.34,0.0,29.05,0.0,14.71,0.0,29.41,0.0,11.7,0.0
待摊费用的减少,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预提费用的增加,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
处置固定资产、无形资产和其他长期资产的损失,-1.32,132.33,374.45,192.62,0.0,280.31,0.0,191.87,0.0,1.96,0.0,-3.67,0.0,-1.75,0.0,0.0,0.0,5.23,0.0,-1.51,0.0
固定资产报废损失,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,493.3,0.0,89.43,0.0,291.57,0.0,39.72,0.0,43.45,0.0,143.93,0.0
公允价值变动损失,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.7,0.0,0.0,0.0,-260.27,0.0,137.92,0.0
递延收益增加（减：减少）,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预计负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
财务费用,1445.74,1180.56,489.71,146.33,0.0,-52.68,0.0,1286.8,0.0,2988.2,0.0,279.24,0.0,-817.32,0.0,1425.15,0.0,3057.87,0.0,662.16,0.0
投资损失,0.0,-19.21,-100.45,-19.53,0.0,-36.48,0.0,-6.21,0.0,-348.11,0.0,-280.12,0.0,-657.22,0.0,0.0,0.0,-8.48,0.0,-418.85,0.0
递延所得税资产减少,0.06,74.35,-114.47,20.21,0.0,5.96,0.0,4.79,0.0,-224.89,0.0,-53.42,0.0,-24.1,0.0,36.12,0.0,-372.93,0.0,-1436.65,0.0
递延所得税负债增加,0.0,171.43,437.17,74.3,0.0,127.89,0.0,65.51,0.0,265.51,0.0,-20.23,0.0,172.04,0.0,-63.73,0.0,1655.14,0.0,12276.3,0.0
存货的减少,-904.91,-625.15,-1061.7,-718.11,0.0,-6271.6,0.0,-177.04,0.0,-2095.72,0.0,-3144.13,0.0,-4586.68,0.0,1500.53,0.0,-2650.28,0.0,-21232.0,0.0
经营性应收项目的减少,-5161.1,121.02,-2037.76,-3370.81,0.0,-7177.76,0.0,-5202.51,0.0,-2119.53,0.0,-5745.41,0.0,-10799.89,0.0,-788.51,0.0,-7914.73,0.0,-45488.08,0.0
经营性应付项目的增加,8411.14,721.08,-1947.62,5089.39,0.0,7738.61,0.0,4661.85,0.0,3684.27,0.0,2703.25,0.0,7430.86,0.0,-652.61,0.0,11563.12,0.0,113007.75,0.0
已完工尚未结算款的减少(减:增加),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
已结算尚未完工款的增加(减:减少),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他,0.0,0.0,1522.56,0.0,0.0,0.0,0.0,0.0,0.0,195.3,0.0,585.9,0.0,996.72,0.0,353.46,0.0,657.47,0.0,1275.98,0.0
经营活动产生现金流量净额,7452.27,7727.72,7629.1,8478.77,0.0,7846.12,0.0,10048.84,0.0,24748.45,0.0,5244.78,0.0,18577.8,0.0,13140.54,0.0,32969.03,0.0,258319.04,0.0
债务转为资本,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内到期的可转换公司债券,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
融资租入固定资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
现金的期末余额,0.0,4390.11,4217.82,5393.84,0.0,7163.3,0.0,9263.73,0.0,25629.19,0.0,24021.31,0.0,54923.07,0.0,67090.98,0.0,56540.71,0.0,209799.15,0.0
现金的期初余额,0.0,3249.2,4390.11,4461.46,0.0,4217.82,0.0,7400.46,0.0,7400.46,0.0,25629.19,0.0,25629.19,0.0,54923.07,0.0,54923.07,0.0,56540.71,0.0
现金等价物的期末余额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
现金等价物的期初余额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
现金及现金等价物的净增加额,0.0,1140.91,-172.29,932.38,0.0,2945.48,0.0,1863.27,0.0,18228.73,0.0,-1607.88,0.0,29293.88,0.0,12167.91,0.0,1617.64,0.0,153258.45,0.0
