报表日期,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30
其中：子公司吸收少数股东投资收到的现金,0.0,37.5,382.5,345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1035.0,0.0,300.0,300.0,1160.0,0.0,3266.0,5233.86,5865.86,0.0,3270.0,5398.0,8381.5,0.0,4075.0,4900.0,3079.5,1485.0,2540.0,2540.0,2540.0,187.0,714.0,861.0,6906.97,16127.0,16690.5,17450.5
取得借款收到的现金,6910.0,6910.0,11510.0,11510.0,5300.0,5300.0,10300.0,10300.0,0.0,270.0,1270.0,15090.94,33091.33,40345.97,88269.08,103270.2,33500.0,78050.0,114298.8,178416.61,56934.0,90543.9,143448.29,226107.92,18228.67,95202.0,173249.13,215381.65,45310.0,129200.0,177942.17,254693.76,150768.83,219788.83,320741.15,399635.38,151679.55,294070.45,428970.45
发行债券收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79486.0,79486.0,0.0,0.0,39712.0,39674.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
收到其他与筹资活动有关的现金,15.0,615.0,615.0,615.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,0.0,0.0,0.0,1738.2,0.0,0.0,0.0,7582.74,0.0,4478.5,5575.32,20708.53,0.0,2029.16,10020.53,5906.49,4269.0,5096.0,10629.47,2240.0,24960.06,32113.36,32113.36,20325.0,650.0,650.0,2200.0
筹资活动现金流入小计,6925.0,7562.5,12507.5,12470.0,5300.0,5300.0,10300.0,10300.0,0.0,4253.05,5353.05,19643.99,33091.33,43965.77,91888.87,109580.59,134571.67,183043.07,300745.72,373571.6,57550.0,98292.4,207657.58,294872.71,18963.67,101306.16,188169.66,330867.49,51064.0,136836.0,191111.65,259473.76,175915.89,252616.19,353715.51,426867.35,168456.55,311410.95,448620.95
偿还债务支付的现金,2000.0,2000.0,10510.0,11510.0,90.0,1630.0,5390.0,7390.0,3000.0,3000.0,3000.0,5000.0,15000.0,19737.62,40422.66,52528.67,70400.0,76115.23,91970.8,148547.41,8977.13,29663.42,73071.19,124246.53,15013.67,55415.0,130405.0,185484.5,17240.0,107707.69,209295.9,276074.6,109937.59,134218.48,248038.48,386538.29,132603.63,267600.46,380245.24
分配股利、利润或偿付利息所支付的现金,67.82,1683.69,1749.14,1752.18,41.89,1031.2,1261.28,1333.93,16.43,2403.68,2988.91,3055.69,142.17,2706.45,3451.52,3952.52,503.82,4482.35,5506.36,6050.97,1365.15,4196.03,9170.74,11486.63,2438.47,6493.61,15349.28,19905.75,7808.14,13364.55,24194.84,28428.85,4770.75,10232.84,28376.44,33074.81,6477.11,22083.76,27970.84
其中：子公司支付给少数股东的股利、利润,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.09,0.0,0.0,0.0,591.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.0,0.0,0.0,0.0,2569.6,0.0,0.0,1172.12,2442.14,3475.0,3544.35,4912.44,5245.49,500.0,1360.74,3997.69,6921.3,1408.0,3619.8,5236.45
支付其他与筹资活动有关的现金,0.0,182.25,0.0,0.0,0.0,0.0,974.36,3634.38,1190.78,1674.61,6913.61,6963.61,276.96,389.89,389.89,1618.06,4396.42,4396.42,5682.43,16141.84,4941.71,8417.25,7614.61,30208.04,3405.56,10337.36,12748.41,23147.52,4840.56,8667.84,16798.31,22599.06,26280.06,36984.36,39056.84,32891.21,100.0,7848.15,13858.24
筹资活动现金流出小计,2067.82,3865.94,12259.14,13262.18,131.89,2661.2,7625.64,12358.31,4207.21,7078.29,12902.52,15019.3,15419.12,22833.96,44264.07,58099.24,75300.24,84994.0,103159.6,170740.23,15283.99,42276.7,89856.55,165941.21,20857.7,72245.96,158502.7,228537.77,29888.7,129740.08,250289.05,327102.5,140988.4,181435.67,315471.76,452504.31,139180.74,297532.36,422074.32
筹资活动产生的现金流量净额,4857.18,3696.56,248.36,-792.18,5168.11,2638.8,2674.36,-2058.31,-4207.21,-2825.24,-7549.47,4624.69,17672.21,21131.81,47624.8,51481.35,59271.43,98049.06,197586.13,202831.37,42266.01,56015.7,117801.03,128931.5,-1894.03,29060.2,29666.96,102329.72,21175.3,7095.92,-59177.4,-67628.74,34927.49,71180.52,38243.75,-25636.95,29275.81,13878.58,26546.62
四、汇率变动对现金及现金等价物的影响,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.17,0.0,-69.53,63.75,79.48,-45.45,-43.83,-34.47,7.17,-9.87,-18.85,-29.26,-3.58,32.65,72.16,65.43,-155.93,-75.68,-4.04,57.25,97.74,68.41,-224.6,-763.17,127.77,-267.13,-213.39
五、现金及现金等价物净增加额,-3105.51,12932.74,215.02,12487.63,218.96,-1191.21,-976.01,-562.19,-8067.32,-4841.24,-11237.02,3547.24,-16727.6,-6905.95,-10025.36,-7815.65,6095.68,16822.48,86189.32,30697.18,-26877.38,-23956.09,-31946.39,21019.43,-49789.77,-25871.44,-39917.31,90169.93,-20670.04,-31325.9,-90761.14,-43383.86,-4585.91,60062.33,50715.03,46248.82,-11537.7,3556.46,43241.42
加:期初现金及现金等价物余额,15284.42,15284.42,15284.42,15284.42,27772.05,27772.05,27772.05,27772.05,27209.86,27209.86,27209.86,27209.86,30850.89,30757.1,30757.1,30757.1,22941.45,22941.45,22941.45,22941.45,53638.63,53638.63,53638.63,53638.63,75538.06,74658.06,74658.06,74658.06,164827.99,164827.99,164827.99,164827.99,121444.13,121444.13,121444.13,121444.13,167692.95,167692.95,167692.95
六、期末现金及现金等价物余额,12178.91,28217.16,15499.43,27772.05,27991.01,26580.84,26796.03,27209.86,19142.54,22368.62,15972.83,30757.1,14123.29,23851.15,20731.73,22941.45,29037.13,39763.93,109130.77,53638.63,26761.24,29682.54,21692.24,74658.06,25748.29,48786.62,34740.76,164827.99,144157.95,133502.09,74066.85,121444.13,116858.22,181506.46,172159.16,167692.95,156155.25,171249.41,210934.37
净利润,0.0,3116.27,0.0,5939.34,0.0,4678.27,0.0,9003.42,0.0,6624.24,0.0,12785.26,0.0,8635.13,0.0,17878.54,0.0,16383.86,0.0,33795.02,0.0,23467.46,0.0,46409.2,0.0,28425.57,0.0,58846.19,0.0,37009.79,0.0,57556.81,0.0,60469.3,0.0,106993.41,0.0,88095.52,0.0
少数股东权益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
未确认的投资损失,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
资产减值准备,0.0,126.77,0.0,201.7,0.0,159.48,0.0,172.75,0.0,173.65,0.0,330.07,0.0,171.96,0.0,293.3,0.0,376.2,0.0,714.03,0.0,584.69,0.0,4932.94,0.0,1432.98,0.0,10724.71,0.0,2542.82,0.0,21569.63,0.0,6395.14,0.0,56875.9,0.0,6465.78,0.0
固定资产折旧、油气资产折耗、生产性物资折旧,0.0,538.6,0.0,1238.86,0.0,895.6,0.0,1898.72,0.0,1161.4,0.0,2619.1,0.0,1731.3,0.0,3723.83,0.0,2790.62,0.0,5984.88,0.0,5157.67,0.0,11492.78,0.0,7486.07,0.0,17195.21,0.0,11313.06,0.0,23112.23,0.0,12754.59,0.0,27268.06,0.0,15722.95,0.0
无形资产摊销,0.0,17.61,0.0,34.94,0.0,28.61,0.0,70.48,0.0,36.22,0.0,79.42,0.0,38.29,0.0,90.01,0.0,34.31,0.0,105.99,0.0,61.99,0.0,190.69,0.0,136.79,0.0,546.09,0.0,769.17,0.0,1657.81,0.0,1010.09,0.0,2022.99,0.0,1034.62,0.0
长期待摊费用摊销,0.0,185.46,0.0,638.72,0.0,411.26,0.0,887.5,0.0,358.83,0.0,886.39,0.0,695.11,0.0,1469.01,0.0,1000.05,0.0,1907.07,0.0,1858.78,0.0,3768.64,0.0,2603.36,0.0,5367.57,0.0,3149.54,0.0,5671.48,0.0,3840.2,0.0,7278.38,0.0,3322.82,0.0
待摊费用的减少,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预提费用的增加,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
处置固定资产、无形资产和其他长期资产的损失,0.0,-2.57,0.0,61.11,0.0,-2.03,0.0,10.42,0.0,2.12,0.0,48.16,0.0,3.13,0.0,12.76,0.0,0.0,0.0,35.47,0.0,-16.81,0.0,0.84,0.0,-102.49,0.0,-286.27,0.0,88.27,0.0,3.57,0.0,-19.3,0.0,7.93,0.0,-249.35,0.0
固定资产报废损失,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.9,0.0,9.2,0.0,34.48,0.0,212.11,0.0,132.1,0.0
公允价值变动损失,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.17,0.0,-1.8,0.0,-1483.86,0.0,-1152.35,0.0,258.56,0.0,-10334.2,0.0
递延收益增加（减：减少）,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预计负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
财务费用,0.0,150.69,0.0,219.18,0.0,111.4,0.0,249.41,0.0,12.2,0.0,89.58,0.0,795.99,0.0,2336.63,0.0,1012.5,0.0,3698.7,0.0,4863.99,0.0,11306.65,0.0,8191.86,0.0,16895.16,0.0,10397.66,0.0,22045.36,0.0,10414.98,0.0,20468.43,0.0,9641.54,0.0
投资损失,0.0,0.0,0.0,0.0,0.0,19.73,0.0,117.07,0.0,93.69,0.0,-258.89,0.0,-916.38,0.0,-2551.25,0.0,-1609.39,0.0,-4187.85,0.0,-3183.7,0.0,-19748.39,0.0,-1016.23,0.0,-7217.34,0.0,-3559.57,0.0,-9954.7,0.0,-744.63,0.0,-7314.76,0.0,-2027.91,0.0
递延所得税资产减少,0.0,-361.35,0.0,-380.84,0.0,-436.83,0.0,-662.07,0.0,483.61,0.0,-269.02,0.0,1952.98,0.0,1192.22,0.0,-52.31,0.0,227.94,0.0,-2127.32,0.0,709.66,0.0,-1971.74,0.0,-3430.19,0.0,-2978.95,0.0,-2553.51,0.0,-2714.57,0.0,-4094.73,0.0,-5009.3,0.0
递延所得税负债增加,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.52,0.0,4.1,0.0,712.37,0.0,294.06,0.0,829.09,0.0,1909.82,0.0
存货的减少,0.0,-4169.75,0.0,-5581.11,0.0,460.77,0.0,2520.81,0.0,-249.5,0.0,-1744.07,0.0,-2023.96,0.0,-6161.51,0.0,-3683.29,0.0,-11187.53,0.0,-10435.07,0.0,-20186.18,0.0,-5484.11,0.0,-22346.95,0.0,4724.03,0.0,-16313.0,0.0,1909.61,0.0,23690.76,0.0,-6596.87,0.0
经营性应收项目的减少,0.0,-5124.19,0.0,-2812.87,0.0,-9638.15,0.0,-9028.86,0.0,-9503.7,0.0,-12367.44,0.0,-12248.48,0.0,-16959.8,0.0,-26271.94,0.0,-48791.0,0.0,-24434.91,0.0,-40591.49,0.0,-55469.79,0.0,-96023.12,0.0,-65959.5,0.0,-30950.28,0.0,-115209.85,0.0,35308.25,0.0,-107885.79,0.0
经营性应付项目的增加,0.0,437.36,0.0,3066.78,0.0,2274.1,0.0,1158.36,0.0,3879.72,0.0,8449.03,0.0,8786.6,0.0,11960.3,0.0,13998.85,0.0,30823.4,0.0,-9575.57,0.0,5565.73,0.0,1225.54,0.0,56967.0,0.0,-2408.71,0.0,-22944.4,0.0,20926.04,0.0,-116469.92,0.0,4102.6,0.0
已完工尚未结算款的减少(减:增加),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
已结算尚未完工款的增加(减:减少),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他,0.0,0.0,0.0,-60.21,0.0,261.42,0.0,1145.87,0.0,671.47,0.0,1147.35,0.0,280.94,0.0,-152.39,0.0,98.6,0.0,98.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.86,0.0,3858.0,0.0,1388.23,0.0,6508.64,0.0
经营活动产生现金流量净额,0.0,-5085.09,0.0,2565.61,0.0,-776.38,0.0,7543.89,0.0,3743.95,0.0,11794.93,0.0,7902.61,0.0,13128.66,0.0,4078.06,0.0,13224.71,0.0,-13778.79,0.0,3851.08,0.0,-14542.19,0.0,37323.74,0.0,-4786.19,0.0,48318.56,0.0,2065.79,0.0,154722.7,0.0,11925.98,0.0
债务转为资本,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内到期的可转换公司债券,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
融资租入固定资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
现金的期末余额,0.0,28217.16,0.0,27772.05,0.0,26580.84,0.0,27209.86,0.0,22368.62,0.0,30757.1,0.0,23851.15,0.0,22941.45,0.0,39763.93,0.0,53638.63,0.0,29682.54,0.0,74658.06,0.0,48786.62,0.0,164827.99,0.0,133502.09,0.0,121444.13,0.0,181506.46,0.0,167692.95,0.0,171249.41,0.0
现金的期初余额,0.0,15284.42,0.0,15284.42,0.0,27772.05,0.0,27772.05,0.0,0.0,0.0,27209.86,0.0,30757.1,0.0,30757.1,0.0,22941.45,0.0,22941.45,0.0,53638.63,0.0,53638.63,0.0,74658.06,0.0,74658.06,0.0,164827.99,0.0,164827.99,0.0,121444.13,0.0,121444.13,0.0,167692.95,0.0
现金等价物的期末余额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
现金等价物的期初余额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27209.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
现金及现金等价物的净增加额,0.0,12932.74,0.0,12487.63,0.0,-1191.21,0.0,-562.19,0.0,-4841.24,0.0,3547.24,0.0,-6905.95,0.0,-7815.65,0.0,16822.48,0.0,30697.18,0.0,-23956.09,0.0,21019.43,0.0,-25871.44,0.0,90169.93,0.0,-31325.9,0.0,-43383.86,0.0,60062.33,0.0,46248.82,0.0,3556.46,0.0
