科目,2007年度,2008年度,2009年1-9月,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
支付给职工以及为职工支付的现金,"4,687,871.67","5,491,424.68","4,249,933.19","22,680,499.47","28,435,598.50","34,434,418.85","9,209,257.34","18,046,041.00","26,760,713.32","36,596,604.44","9,709,578.42","20,102,784.43","30,619,716.35"
取得借款收到的现金,,,"8,000,000.00",,,,,,,,,,
支付的各项税费,"3,687,571.85","8,538,518.66","7,499,725.49","12,063,057.97","13,227,768.07","12,028,072.17","3,331,014.47","6,052,131.03","10,865,001.66","15,696,623.33","2,909,839.03","5,634,642.80","7,992,330.56"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"6,344,095.94","3,955,596.90","3,233,335.30","6,237,283.00","6,809,265.76","7,843,218.46","5,182,726.00","4,317,493.38","7,345,150.64","10,575,952.55","781,590.83","4,649,547.53","6,650,619.33"
筹资活动现金流入小计,,,"33,000,000.00",,,,,,"190,699,300.00","203,500,000.00",,,
经营活动现金流出小计,"47,056,825.87","69,824,140.27","55,648,686.93","177,743,264.16","206,932,193.13","218,395,489.03","55,229,718.25","98,632,423.16","195,705,922.49","253,959,488.04","69,327,054.56","145,833,829.67","228,059,844.88"
偿还债务支付的现金,,,"8,000,000.00",,,,,,,,,,
经营活动产生的现金流量净额,"26,225,833.86","26,754,844.82","25,018,263.88","39,184,948.82","40,486,210.68","16,839,361.19","-4,215,493.93","16,500,474.16","11,999,298.99","46,775,637.54","8,046,316.08","12,047,790.67","-455,047.47"
分配股利、利润或偿还利息支付的现金,,,"17,622,629.22","6,300,000.00","6,930,000.00","9,000,000.00","9,000,000.00","9,000,000.00","9,000,000.00","9,000,000.00",,"11,348,632.60","12,000,000.00"
收回投资收到的现金,,,,"142,000,000.00","258,000,000.00","190,200,000.00","18,020,000.00","60,770,279.51","60,240,000.00","107,240,000.00","118,000,000.00","251,482,000.00","380,506,000.00"
支付其他与筹资活动有关的现金,,,"823,425.00","1,377,810.10","757,968.79","625,000.00","127,160.25","1,700,000.00","1,700,000.00","10,831,681.36",,"80,999.60","80,999.60"
取得投资收益收到的现金,,,,"905,226.17","2,797,590.43","1,590,891.45","33,690.41","329,228.34","329,228.34","692,665.51","737,020.51","2,428,083.09","3,701,054.11"
筹资活动现金流出小计,,,"26,446,054.22","7,677,810.10","7,687,968.79","9,625,000.00","9,127,160.25","10,700,000.00","10,700,000.00","19,831,681.36",,"11,429,632.20","12,080,999.60"
处置固定资产、无形资产和其他长期资产收回的现金净额,,,,,"1,360.00","1,600.00",,,,,,"47,000.00","47,000.00"
筹资活动产生的现金流量净额,,,"6,553,945.78","-7,677,810.10","-7,687,968.79","-9,625,000.00","-9,127,160.25","-10,700,000.00","179,999,300.00","183,668,318.64",,"-11,429,632.20","-12,080,999.60"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-115,515.95","-152,312.97","-10,373.16","-1,187,798.55","46,149.74","-261,474.20","17,361.79","17,361.79","17,361.79","92,225.03","-810,949.46","-3,387,184.60","-6,638,999.35"
收到其他与投资活动有关的现金,,,,,,,,,,"500,000.00",,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,
投资活动现金流入小计,,,,"142,905,226.17","260,798,950.43","191,792,491.45","18,053,690.41","61,099,507.85","60,569,228.34","108,432,665.51","118,737,020.51","253,957,083.09","384,254,054.11"
五、现金及现金等价物净增加额,"24,307,818.90","25,889,547.85","10,761,675.47","15,282,546.25","18,591,505.71","-4,485,977.77","-37,371,482.70","-1,401,039.14","157,884,823.43","38,192,316.18","14,711,444.13","15,471,054.96","5,627,967.29"
购建固定资产、无形资产和其他长期资产支付的现金,"1,802,499.01","712,984.00","20,800,161.03","15,942,020.09","17,051,836.35","7,135,195.21","3,549,601.21","7,548,103.43","9,460,365.69","22,016,530.54","14,798,943.00","20,231,002.00","27,286,922.00"
期初现金及现金等价物余额,"5,707,085.69","30,014,904.59","55,904,452.44","109,052,627.61","124,335,173.86","142,926,679.57","138,440,701.80","138,440,701.80","138,440,701.80","138,440,701.80","176,633,017.98","176,633,017.98","176,633,017.98"
投资支付的现金,,,,"142,000,000.00","258,000,000.00","196,096,161.00","38,550,279.51","60,770,279.51","85,240,000.00","278,760,000.00","96,462,000.00","215,486,000.00","332,164,118.40"
期末现金及现金等价物余额,"30,014,904.59","55,904,452.44","66,666,127.91","124,335,173.86","142,926,679.57","138,440,701.80","101,069,219.10","137,039,662.66","296,325,525.23","176,633,017.98","191,344,462.11","192,104,072.94","182,260,985.27"
