科目,2010年度,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
处置交易性金融资产净增加额,,,"630,337,591.14",,"4,045,368,752.73",,"825,260.90",,,,,,"1,603,710,696.86","13,213,266,577.27","13,060,343,115.36","4,595,447,438.69","8,319,530,235.21","5,148,159,524.54","1,049,627,436.18",
质押贷款净增加额,,,,,,,,,,,,,,,,,,,,
拆入资金净增加额,,,,,,,,,,,,,"3,500,000,000.00",,"4,400,000,000.00","300,000,000.00","2,000,000,000.00","2,700,000,000.00","3,500,000,000.00","300,000,000.00"
购建固定资产、无形资产和其他长期资产支付的现金,"247,925,525.77","204,894,255.18","189,142,631.63","153,915,607.03","71,259,213.61","203,192,817.34","255,377,951.38","76,245,197.34","107,665,217.27","251,403,271.19","361,455,065.27","85,794,773.28","112,058,283.69","200,852,267.02","482,139,489.77","93,564,230.19","177,870,788.88","229,531,701.02","421,852,128.21","86,812,550.46"
回购业务资金净增加额,,"6,044,061,723.60","3,342,942,114.23","1,322,273,034.03",,,"3,236,087,097.32","13,573,446,414.05","11,714,709,223.15",,,"3,715,229,964.69","7,379,591,045.07",,,,,"1,140,743,918.95",,"2,034,466,529.37"
支付其他与投资活动有关的现金,,,,,,,,"25,359,203.64",,,,,,,,,,,,
销售商品、提供劳务收到的现金,,,,,,,,,,,,,,,,,,,,
投资活动现金流出小计,"584,602,725.77","242,894,255.18","715,123,251.63","356,915,607.03","81,259,213.61","1,675,117,756.11","465,377,951.38","268,391,268.75","242,665,217.27","415,203,271.19","654,334,065.27","157,794,773.28","191,903,283.69","338,497,267.02","708,674,489.77","114,052,230.19","223,358,788.88","517,541,117.81","725,140,128.21","86,812,550.46"
收到的税费返还,,,,,,,,,,,,,,,,,,,,
投资活动产生的现金流量净额,"-300,523,141.33","-140,702,801.72","-581,044,774.53","-280,051,782.04","-76,058,795.61","-1,018,971,079.41","-461,581,943.19","436,641,204.55","-169,762,687.84","-247,605,971.86","-479,647,733.34","-157,790,162.25","36,302,792.46","-32,321,366.53","-437,693,377.94","-113,570,033.48","-22,642,252.60","-250,076,910.97","-455,376,572.57","7,971,186.40"
收到原保险合同保费取得的现金,,,,,,,,,,,,,,,,,,,,
三、筹资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,
收到再保业务现金净额,,,,,,,,,,,,,,,,,,,,
吸收投资收到的现金,,,,,,"6,410,031,351.61","6,840,220,000.00",,"5,000,000,000.00","5,004,900,000.00","5,014,700,000.00","2,450,000.00","9,800,000.00","34,945,490.36","39,200,000.00",,"4,900,000.00","4,900,000.00","4,900,000.00",
保户储金及投资款净增加额,,,,,,,,,,,,,,,,,,,,
发行债券收到的现金,,,,"10,000,000,000.00","1,182,451,750.00","4,700,000,000.00","22,607,323,993.88","26,200,000,000.00","80,133,571,000.00","92,436,464,000.00","91,165,448,000.00","230,454,000.00","475,224,000.00","6,713,991,000.00","8,281,696,000.00","7,262,981,000.00","16,705,883,000.00","35,775,482,923.08","53,644,148,384.62","7,759,160,000.00"
收到其他与经营活动有关的现金,"1,253,775,408.87","399,183,142.17","710,653,337.27","973,569,762.21","2,895,560,559.69","11,622,423,863.84","35,659,726,421.92","23,900,479,435.90","91,067,155,193.42","59,971,679,691.88","46,010,911,357.67","15,190,665,358.05","12,648,096,085.49","10,787,537,289.33","14,670,381,798.89","1,422,988,664.74","6,334,845,940.42","2,376,463,614.51","1,061,314,949.52","5,659,397,287.74"
取得借款收到的现金,,,"612,964,800.00","123,912,300.00",,"173,668,000.00","206,016,001.88",,"204,411,879.20","162,845,998.12","2,397,437.76",,"9,773,025.12","9,773,025.12","8,912,000.00",,"885,050,000.00","1,038,520,800.00","1,038,520,800.00","115,796,399.18"
经营活动现金流入小计,"10,023,817,776.33","13,618,660,608.66","10,738,819,719.68","15,750,229,902.46","11,256,347,705.18","19,024,912,244.12","50,150,794,880.43","42,962,135,135.42","119,622,804,664.06","84,517,414,789.07","77,055,491,656.32","23,168,634,306.29","33,694,049,645.39","36,969,672,301.38","44,402,475,570.90","9,662,920,155.04","23,432,346,396.35","22,123,359,085.80","19,937,706,848.09","11,337,771,919.63"
收到其他与筹资活动有关的现金,,,,,,"845,441,000.00",,"4,455,611,000.00",,,,,,,,,,,,
客户贷款及垫款净增加额,,,,,,,,,,,,,,,,,,,,
筹资活动现金流入小计,,,"612,964,800.00","10,123,912,300.00","1,182,451,750.00","12,129,140,351.61","29,653,559,995.76","30,655,611,000.00","85,337,982,879.20","97,604,209,998.12","96,182,545,437.76","232,904,000.00","494,797,025.12","6,758,709,515.48","8,329,808,000.00","7,262,981,000.00","17,595,833,000.00","36,818,903,723.08","54,687,569,184.62","7,874,956,399.18"
存放中央银行和同业款项净增加额,,,,,,,,,,,,,,,,,,,,
偿还债务支付的现金,,,"154,806,300.00","7,000,000,000.00","22,441,800.00","217,265,884.63","1,700,000,000.00","15,838,112,000.00","28,962,573,000.00","42,784,968,000.00","57,869,213,000.00","365,573,000.00","11,218,622,922.36","14,464,325,015.52","21,336,016,990.40","8,013,984,000.00","21,979,019,000.00","31,969,438,128.00","41,719,909,128.00","9,150,952,399.18"
支付的手续费及佣金的现金,"1,345,516,080.16","1,364,362,610.70","1,048,365,217.72","1,270,560,303.24","705,744,853.45","1,476,823,773.63","2,539,549,743.95","992,524,539.31","3,145,635,715.83","4,283,246,785.97","6,035,436,779.88","546,758,891.42","1,405,383,319.35","1,564,224,378.44","2,493,865,132.78","373,892,643.56","925,250,617.57","1,291,072,917.88","2,179,350,722.34","557,762,995.51"
分配股利、利润或偿付利息支付的现金,"560,000,000.00","1,260,000,000.00","711,230,380.16","1,067,582,257.29","538,609,213.33","896,202,119.13","938,667,184.56","79,310,972.65","1,944,455,203.94","2,447,474,901.36","3,021,128,809.50","639,939,254.41","6,648,012,007.79","6,801,806,343.28","8,103,875,942.32","637,158,284.97","4,110,837,003.93","4,775,049,040.74","5,115,447,852.65","406,114,103.31"
购买商品、提供劳务支付的现金,,,,,,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金,,,,,"2,747,010.53",,,,,,"700,265.50",,,,,,"552,000.00","877,000.00","1,009,000.00",
支付原保险合同赔付款项的现金,,,,,,,,,,,,,,,,,,,,
筹资活动现金流出小计,"560,000,000.00","1,260,000,000.00","866,036,680.16","8,067,582,257.29","563,798,023.86","1,113,468,003.76","2,638,667,184.56","15,917,422,972.65","30,907,028,203.94","45,232,442,901.36","60,891,042,075.00","1,005,512,254.41","17,866,634,930.15","21,266,131,358.80","29,439,892,932.72","8,651,142,284.97","26,090,408,003.93","36,745,364,168.74","46,836,365,980.65","9,557,066,502.49"
支付保单红利的现金,,,,,,,,,,,,,,,,,,,,
筹资活动产生的现金流量净额,"-560,000,000.00","-1,260,000,000.00","-253,071,880.16","2,056,330,042.71","618,653,726.14","11,015,672,347.85","27,014,892,811.20","14,738,188,027.35","54,430,954,675.26","52,371,767,096.76","35,291,503,362.76","-772,608,254.41","-17,371,837,905.03","-14,507,421,843.32","-21,110,084,932.72","-1,388,161,284.97","-8,494,575,003.93","73,539,554.34","7,851,203,203.97","-1,682,110,103.31"
支付给职工以及为职工支付的现金,"2,351,798,861.30","2,488,541,747.98","2,280,509,907.66","2,400,977,152.10","1,330,642,982.22","1,988,279,368.98","2,703,142,093.20","1,393,956,028.48","2,412,937,127.58","3,609,614,515.35","4,939,145,147.95","1,585,870,967.23","2,186,751,236.40","3,325,073,294.25","4,308,323,433.33","1,547,651,473.72","2,315,586,247.76","3,162,199,756.10","4,047,433,573.67","1,467,329,882.13"
四、汇率变动对现金的影响,"-7,735,933.17","-17,908,550.38","589,558.24","-17,842,024.13","9,705,818.81","10,982,925.26","1,276,486.82","35,654,973.84","184,761.49","41,515,533.09","70,763,057.97","1,040,851.85","13,785,158.62","60,245,403.47","71,390,929.46","-17,009,466.93","-13,505,880.77","-96,828,616.70","-136,881,235.13","-64,482,953.82"
支付的各项税费,"1,396,211,984.94","1,278,937,955.61","717,500,668.44","1,162,775,714.94","893,314,389.30","967,386,074.47","1,537,670,163.49","1,014,557,901.35","2,546,590,597.02","5,407,671,170.33","6,316,238,661.61","1,323,331,393.40","2,268,836,326.69","3,251,722,881.25","3,718,667,052.93","656,427,621.45","1,515,024,126.51","1,961,792,837.82","2,546,878,583.61","587,784,336.31"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"22,511,740,932.50","19,991,805,316.14","6,750,701,865.50","18,098,367,754.99","4,649,801,862.73","12,351,253,331.35","37,393,942,041.05","35,507,046,088.84","69,509,211,878.67","75,532,005,080.80","62,062,647,465.32","24,609,282,618.75","22,752,940,133.05","44,277,369,745.43","41,151,995,231.27","9,483,710,493.08","12,933,698,695.22","19,851,573,742.83","22,738,555,506.37","3,358,503,797.27"
五、现金及现金等价物净增加额,"-18,554,349,677.62","-12,923,598,373.87","-891,785,036.09","-5,424,014,786.27","3,911,329,326.66","11,999,611,520.43","32,531,078,193.57","19,264,534,783.18","96,269,806,093.87","47,850,553,894.61","32,584,642,288.95","-5,825,967,129.32","-12,241,611,324.05","-29,928,215,804.37","-28,746,762,660.61","-3,917,502,862.15","-8,056,876,302.19","-4,416,646,142.16","-15,683,851,190.17","1,203,261,466.90"
经营活动现金流出小计,"27,709,908,379.45","25,123,647,630.43","10,797,077,659.32","22,932,680,925.27","7,897,319,127.86","17,032,984,917.39","44,174,304,041.69","38,908,084,557.98","77,614,375,319.10","88,832,537,552.45","79,353,468,054.76","28,065,243,870.80","28,613,911,015.49","52,418,390,299.37","51,672,850,850.31","12,061,682,231.81","22,958,499,561.24","26,266,639,254.63","42,880,503,434.53","8,395,888,582.00"
期初现金及现金等价物余额,"63,816,048,086.47","45,261,698,408.85","32,338,100,034.98","31,446,314,998.89","26,022,300,212.62","26,192,347,411.93","26,192,347,411.93","58,723,425,605.50","58,723,425,605.50","58,723,425,605.50","58,723,425,605.50","91,308,067,894.45","91,308,067,894.45","91,308,067,894.45","91,308,067,894.45","62,561,305,233.84","62,561,305,233.84","62,561,305,233.84","62,561,305,233.84","46,877,454,043.67"
经营活动产生的现金流量净额,"-17,686,090,603.12","-11,504,987,021.77","-58,257,939.64","-7,182,451,022.81","3,359,028,577.32","1,991,927,326.73","5,976,490,838.74","4,054,050,577.44","42,008,429,344.96","-4,315,122,763.38","-2,297,976,398.44","-4,896,609,564.51","5,080,138,629.90","-15,448,717,997.99","-7,270,375,279.41","-2,398,762,076.77","473,846,835.11","-4,143,280,168.83","-22,942,796,586.44","2,941,883,337.63"
期末现金及现金等价物余额,"45,261,698,408.85","32,338,100,034.98","31,446,314,998.89","26,022,300,212.62","29,933,629,539.28","38,191,958,932.36","58,723,425,605.50","77,987,960,388.68","154,993,231,699.37","106,573,979,500.11","91,308,067,894.45","85,482,100,765.13","79,066,456,570.40","61,379,852,090.08","62,561,305,233.84","58,643,802,371.69","54,504,428,931.65","58,144,659,091.68","46,877,454,043.67","48,080,715,510.57"
二、投资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
