科目,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
偿还债务支付的现金,"316,000,000.00","299,000,000.00","365,000,000.00","285,000,000.00","435,000,000.00","635,000,000.00","635,000,000.00","12,000,000.00","14,000,000.00","14,000,000.00","14,000,000.00",,
经营活动产生的现金流量净额,"124,656,748.64","230,856,622.69","282,164,837.48","88,946,953.11","89,476,301.52","118,760,712.39","389,579,174.34","-30,824,765.25","-55,716,957.99","-38,860,327.17","107,052,971.76","81,638,021.94","74,355,764.53"
分配股利、利润或偿还利息支付的现金,"47,363,570.81","62,989,846.51","85,110,183.19","68,918,166.68","74,047,263.89","75,368,513.89","75,375,280.56","42,933.33","67,256,933.33","67,256,933.33","67,423,683.33","217,500.01","88,418,125.02"
收回投资收到的现金,,,,,,,,"100,000,000.00","258,000,000.00","300,000,000.00",,,
支付其他与筹资活动有关的现金,,,,"7,353,000.00","11,002,000.00","11,002,000.00","11,002,000.00",,,,,,
取得投资收益收到的现金,"171,780.82","210,947.94",,,,,,"872,602.74","1,940,903.69","2,287,835.20","2,287,835.20",,
筹资活动现金流出小计,"363,363,570.81","361,989,846.51","450,110,183.19","361,271,166.68","520,049,263.89","721,370,513.89","721,377,280.56","12,042,933.33","81,256,933.33","81,256,933.33","81,423,683.33","217,500.01","88,418,125.02"
处置固定资产、无形资产和其他长期资产收回的现金净额,"212,403.85","647,751.38","264,535.37","20,000.00","185,700.00","409,900.00","426,890.00",50.00,"102,950.00","260,625.45","157,700.30",,500.00
筹资活动产生的现金流量净额,"-108,363,570.81","141,010,153.49","-110,183.19","359,528,833.32","200,750,736.11","-570,513.89","11,422,719.44","-12,042,933.33","-79,256,933.33","-79,256,933.33","-59,423,683.33","-217,500.01","91,581,874.98"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,,"21,999.20"
收到其他与投资活动有关的现金,"30,000,000.00","46,000,000.00",,,,,"4,000,000.00",,,,"303,400,000.00","1,200,000.00","1,200,000.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,
投资活动现金流入小计,"30,384,184.67","46,858,699.32","264,535.37","20,000.00","185,700.00","409,900.00","4,426,890.00","100,872,652.74","260,043,853.69","302,548,460.65","305,845,535.50","1,200,000.00","1,200,500.00"
五、现金及现金等价物净增加额,"-87,345,124.47","-739,222.56","101,241,587.95","378,013,367.88","195,297,779.00","-8,501,098.72","153,941,517.16","-39,081,759.27","-160,092,042.74","-185,313,453.53","-108,512,597.25","37,878,749.85","64,073,868.61"
购建固定资产、无形资产和其他长期资产支付的现金,"104,022,486.97","373,464,698.06","181,077,601.71","70,482,418.55","95,114,958.63","127,101,197.22","150,197,266.62","39,086,713.43","85,162,005.11","169,744,653.68","261,987,421.18","44,741,772.08","103,086,270.10"
期初现金及现金等价物余额,"311,141,904.59","223,796,780.12","223,057,557.56","324,299,145.51","324,299,145.51","324,299,145.51","324,299,145.51","478,240,662.67","478,240,662.67","478,240,662.67","478,240,662.67","369,728,065.42","369,728,065.42"
投资支付的现金,,,,,,,,,,,,,
期末现金及现金等价物余额,"223,796,780.12","223,057,557.56","324,299,145.51","702,312,513.39","519,596,924.51","315,798,046.79","478,240,662.67","439,158,903.40","318,148,619.93","292,927,209.14","369,728,065.42","407,606,815.27","433,801,934.03"
