科目,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
支付给职工以及为职工支付的现金,"25,166,819.24","42,082,229.70","42,930,441.85","12,151,816.13","20,260,567.59","30,817,382.04","52,449,320.46","21,264,385.25","30,996,739.08","43,721,123.75","57,964,436.58","25,526,897.26","45,534,090.81"
取得借款收到的现金,"45,000,000.00","80,000,000.00","129,000,000.00",,"30,000,000.00","30,000,000.00","30,000,000.00",,,,,,
支付的各项税费,"36,787,052.39","21,418,705.42","39,018,182.24","21,859,284.79","31,706,861.47","44,575,115.44","54,204,944.76","38,592,909.87","45,441,734.88","50,626,604.21","51,168,707.01","7,715,937.59","9,917,336.89"
收到其他与筹资活动有关的现金,"800,000.00",,,,,,,,"1,922,249.61","2,183,335.11","2,278,673.33","50,136.84","1,087,734.11"
支付其他与经营活动有关的现金,"23,005,663.43","19,054,225.24","26,397,091.92","2,613,576.20","7,403,504.88","13,158,073.68","24,308,730.47","2,880,807.35","7,831,002.10","13,379,481.02","19,188,859.05","4,569,816.87","8,084,051.51"
筹资活动现金流入小计,"45,800,000.00","80,000,000.00","129,000,000.00",,"664,500,000.00","664,500,000.00","664,500,000.00",,"1,922,249.61","2,183,335.11","2,278,673.33","50,136.84","1,087,734.11"
经营活动现金流出小计,"273,685,481.05","308,114,677.54","337,098,949.78","116,303,302.46","194,468,573.21","330,143,281.15","502,000,926.70","124,657,597.95","229,770,145.67","312,261,902.15","425,135,493.80","97,555,174.62","205,021,678.60"
偿还债务支付的现金,,"45,000,000.00","90,000,000.00","733,039.54","91,167,421.42","139,000,000.00","149,000,000.00",,,,,,
经营活动产生的现金流量净额,"35,890,052.67","36,508,863.17","124,675,824.37","-60,336,621.73","-56,796,269.92","-130,200,734.86","92,987,406.96","-105,804,025.33","-115,332,021.04","-176,822,324.08","-127,091,222.90","4,222,832.29","-23,199,885.18"
分配股利、利润或偿还利息支付的现金,"1,469,883.32","19,212,872.21","23,763,762.94","1,447,587.37","2,763,391.85","2,894,757.84","2,894,757.84",,"43,200,000.00","43,200,000.00","43,200,000.00",,"13,320,000.00"
收回投资收到的现金,,,,,,,"50,000,000.00",,"50,000,000.00","350,000,000.00","500,000,000.00","500,000,000.00","1,250,000,000.00"
支付其他与筹资活动有关的现金,,,"829,943.76","290,298.02","1,142,697.72","6,022,697.72","6,022,697.72",,"1,210,538.83","1,471,624.33","1,566,962.55","50,136.84","1,087,869.44"
取得投资收益收到的现金,,,,,,,"480,900.00",,"722,250.00","6,962,965.37","8,835,882.03","6,161,070.20","9,150,946.91"
筹资活动现金流出小计,"1,469,883.32","64,212,872.21","114,593,706.70","2,470,924.93","95,073,510.99","147,917,455.56","157,917,455.56",,"44,410,538.83","44,671,624.33","44,766,962.55","50,136.84","14,407,869.44"
处置固定资产、无形资产和其他长期资产收回的现金净额,,,,,,,,,,,,,
筹资活动产生的现金流量净额,"44,330,116.68","15,787,127.79","14,406,293.30","-2,470,924.93","569,426,489.01","516,582,544.44","506,582,544.44",,"-42,488,289.22","-42,488,289.22","-42,488,289.22",,"-13,320,135.33"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-55,367.78","8,103.33","192,832.10","-16,686.85","60,569.58","81,717.72","197,946.09","-16,884.34","-39,129.91","-61,611.31","-78,419.30","-263,568.72","-225,797.58"
收到其他与投资活动有关的现金,,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,
投资活动现金流入小计,,,,,,,"50,480,900.00",,"50,722,250.00","356,962,965.37","508,835,882.03","506,161,070.20","1,259,150,946.91"
五、现金及现金等价物净增加额,"56,007,489.39","12,252,634.21","68,594,207.58","-77,714,914.57","495,385,033.68","107,068,422.21","301,890,338.25","-118,524,449.41","-272,459,539.40","-347,684,177.26","-221,394,812.49","-101,823,051.66","107,621,697.73"
购建固定资产、无形资产和其他长期资产支付的现金,"24,157,312.18","40,051,460.08","70,680,742.19","14,890,681.06","17,305,754.99","29,395,105.09","48,358,459.24","12,703,539.74","15,322,349.23","35,274,918.02","60,572,763.10","11,943,385.43","14,783,431.09"
期初现金及现金等价物余额,"59,488,803.01","115,496,292.40","127,748,926.61","196,343,134.19","196,343,134.19","196,343,134.19","196,343,134.19","498,233,472.44","498,233,472.44","498,233,472.44","498,233,472.44","276,838,659.95","276,838,659.95"
投资支付的现金,,,,,,,"300,000,000.00",,"150,000,000.00","450,000,000.00","500,000,000.00","600,000,000.00","1,100,000,000.00"
期末现金及现金等价物余额,"115,496,292.40","127,748,926.61","196,343,134.19","118,628,219.62","691,728,167.87","303,411,556.40","498,233,472.44","379,709,023.03","225,773,933.04","150,549,295.18","276,838,659.95","175,015,608.29","384,460,357.68"
