科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
四、利润总额,"1,051,023,380.81","711,627,882.59","307,442,673.57","77,544,059.50","138,914,949.45","219,801,301.29","165,660,948.63","184,118,082.11","234,703,771.28","353,994,739.09","376,736,396.34","109,388,208.16","207,990,665.57","567,161,010.55","890,507,753.50","689,100,455.56","2,022,235,762.61","2,303,581,478.38","2,647,220,943.11","367,173,450.88","782,103,730.51","1,240,983,281.42","1,469,552,026.65","246,924,002.23","594,539,634.01","957,752,733.60","983,711,702.21"
其中：对联营企业和合营企业的投资收益,,"-22,187,209.06","-21,667,346.01","-3,763,445.93","-6,624,485.19","-958,898.36","-6,789,451.70","-4,403,362.26","-9,818,048.73","-14,256,903.88","-22,124,005.79","-4,942,433.39","-9,891,538.45","-14,173,451.35","-15,626,427.39","-1,636.82","-58,852.53","-97,988.95","3,852.69","-63,608.56","-175,700.00","-21,531.03",,,,,
减：所得税,"259,666,947.04","174,537,785.70","84,775,979.59","20,520,005.04","36,752,307.46","55,539,276.11","46,925,969.03","47,129,111.11","60,452,370.24","91,384,825.99","102,640,295.52","29,808,929.15","55,696,819.77","146,330,180.44","230,028,200.30","174,341,825.61","506,998,595.58","577,079,032.50","679,375,026.77","94,623,983.78","200,419,387.06","315,972,377.16","356,371,471.95","65,730,708.49","157,326,738.55","247,868,915.85","229,215,067.27"
公允价值变动收益,"-6,856,376.45","-6,935,923.36","6,133,145.67","-2,555,842.81","6,071,403.39","-5,015,939.65","11,283,408.59","41,507,016.61","8,092,315.80","17,577,291.85","-6,211,059.17","-4,876,232.65","30,589,779.99","54,728,538.37","80,842,065.32","71,409,713.14","159,816,614.54","33,741,601.34","237,517,883.36","-4,457,715.61","-91,789,674.85","-41,115,726.78","-363,798,071.02","-10,610,994.71","112,224,033.15","148,006,299.90","107,979,438.11"
加：影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,
汇兑收益,"-13,619.82","-445,122.57","-714,749.25","-12,446.96","60,271.26","100,756.49","-30,783.30","-45,131.70","-262,868.53","-337,648.52","-465,968.09","137,663.37","142,072.94","135,466.19","42,159.31","44,552.25","-6,645.80","686,657.74","1,068,590.05","-111,488.79","375,587.24","505,826.95","1,279,117.75","-118,861.41","-449,290.34","-928,617.73","-1,252,198.18"
五、净利润,"791,356,433.77","537,090,096.89","222,666,693.98","57,024,054.46","102,162,641.99","164,262,025.18","118,734,979.60","136,988,971.00","174,251,401.04","262,609,913.10","274,096,100.82","79,579,279.01","152,293,845.80","420,830,830.11","660,479,553.20","514,758,629.95","1,515,237,167.03","1,726,502,445.88","1,967,845,916.34","272,549,467.10","581,684,343.45","925,010,904.26","1,113,180,554.70","181,193,293.74","437,212,895.46","709,883,817.75","754,496,634.94"
其他业务收入,"2,458,637.40","2,344,027.15","2,439,383.35","772,268.92","418,694,723.90","623,700,216.90","2,356,506.85","394,367.00","805,414.81","1,886,587.70","2,318,188.09","431,600.38","1,116,940.03","1,727,540.43","2,985,360.09","1,209,164.87","2,636,516.65","6,168,737.12","3,372,492.09","3,308,268.95","8,602,150.24","11,669,679.75","2,920,689.90","1,589,547.09","863,988.67","863,988.67","2,608,754.57"
（一）归属于母公司所有者的净利润,"791,580,879.15","537,084,098.27","223,237,142.83","57,035,871.64","102,207,737.82","164,371,729.66","118,899,060.32","136,926,790.08","174,104,126.84","262,462,638.90","273,902,139.77","79,579,279.01","152,293,845.80","420,830,830.11","663,854,622.42","518,808,582.88","1,518,030,052.96","1,727,893,806.67","1,972,662,987.16","276,571,110.24","588,801,653.91","935,256,660.38","1,124,621,115.06","181,928,119.53","437,454,770.86","710,007,246.20","752,270,907.74"
二、营业支出,"694,282,126.56","831,517,377.62","730,865,733.12","131,649,025.25","322,571,042.68","474,051,491.66","634,660,451.74","169,470,190.63","330,782,209.83","515,914,345.13","752,613,729.50","171,504,411.51","341,797,271.71","549,811,157.60","1,054,094,265.72","404,671,887.91","999,682,794.99","1,804,012,356.16","3,005,164,022.13","551,344,700.26","937,945,187.55","1,365,883,316.71","1,961,568,754.26","416,659,385.75","830,995,855.72","1,288,542,595.18","2,190,594,331.69"
（二）少数股东损益,"-224,445.38","5,998.62","-570,448.85","-11,817.18","-45,095.83","-109,704.48","-164,080.72","62,180.92","147,274.20","147,274.20","193,961.05",,,,"-3,375,069.22","-4,049,952.93","-2,792,885.93","-1,391,360.79","-4,817,070.82","-4,021,643.14","-7,117,310.46","-10,245,756.12","-11,440,560.36","-734,825.79","-241,875.40","-123,428.45","2,225,727.20"
退保金,,,,,,,,,,,,,,,,,,,,,,,,,,,
六、每股收益,,,,,,,,,,,,,,,,,,,,,,,,,,,
赔付支出,,,,,,,,,,,,,,,,,,,,,,,,,,,
（一）基本每股收益,0.79,0.54,0.22,0.06,0.10,0.15,0.10,0.11,0.15,0.22,0.23,0.07,0.13,0.35,0.55,0.37,0.56,0.63,0.72,0.10,0.21,0.33,0.40,0.07,0.14,0.22,0.23
减：摊回赔付支出,,,,,,,,,,,,,,,,,,,,,,,,,,,
（二）稀释每股收益,0.79,0.54,0.22,0.06,0.10,0.15,0.10,0.11,0.15,0.22,0.23,0.07,0.13,0.35,0.55,0.37,0.56,0.63,0.72,0.10,0.21,0.33,0.40,0.07,0.14,0.22,0.23
