科目,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
减：所得税,"73,401,512.37","103,245,247.96","134,153,217.07","265,162,465.73","45,707,358.81","36,447,027.16","114,509,569.37","240,038,649.83","100,299,619.18","100,522,089.61","38,443,595.30","72,500,235.50","48,570,670.04","72,871,893.55","42,442,422.89","42,772,012.63","37,804,831.14","27,224,627.17","83,632,003.94","72,703,125.73","91,301,052.67","183,559,261.68","309,825,375.03","317,489,642.61","314,917,449.37","743,684,431.79","697,915,521.87","797,681,872.16","59,264,563.77","96,010,129.51","103,402,084.17","213,829,400.70","-1,799,991.84","86,163,748.19","139,572,350.55","151,755,184.61"
公允价值变动收益,"108,354,826.66","30,916,192.81","-14,345,721.41","45,165,092.03","58,394,479.71","-91,477,827.32","35,997,629.70","-105,002,388.44","45,242,687.79","-64,572,822.96","-517,741,139.00","-484,332,214.77","169,260,209.94","356,016,184.05","206,875,752.65","542,985,229.61","-97,517,626.25","-66,626,686.93","132,246,669.60","-134,118,933.72","79,478,297.03","369,949,381.04","375,614,594.48","302,139,407.84","175,015,263.00","-78,997,439.65","-659,875,151.93","-65,146,630.45","54,951,424.37","-71,374,270.37","50,919,016.04","-285,222,186.39","-101,040,389.51","-127,592,270.17","-18,986,771.74","-77,136,428.06"
加：影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
汇兑收益,"30,386.30","9,439.23","-6,401.02","-21,047.27","74,815.86","-181,283.94","-658,093.65","-1,172,024.75","-424,289.91","-955,502.29","-1,723,772.46","-2,015,307.17","-13,924.94","641,368.31","759,499.89","396,354.04","-138,524.97","-742,314.12","-945,970.80","-1,295,409.41","372,107.92","80,069.85","-2,529,043.60","-3,102,134.22","105,532.37","-1,136,304.93","33,095,932.78","78,911,664.78","-21,525,266.06","18,355,394.14","23,206,413.95","83,311,977.77","-20,580,276.26","-46,282,500.80","-81,714,868.02","-111,047,538.67"
五、净利润,"220,112,837.10","430,630,321.37","601,807,972.62","1,007,162,624.22","130,572,992.07","161,188,449.96","403,491,473.62","805,283,323.34","297,575,617.81","335,035,405.28","201,611,157.83","262,675,208.26","160,461,716.04","282,383,726.82","202,259,027.12","342,407,499.38","134,078,887.66","308,237,851.61","510,094,248.70","636,428,320.70","275,628,525.05","547,584,107.45","901,216,472.04","1,346,796,992.54","972,236,159.49","2,851,947,192.44","3,103,827,884.21","3,545,060,131.45","369,937,504.27","880,313,787.93","1,086,268,319.19","912,701,377.38","22,224,329.04","373,367,421.41","602,673,181.96","690,882,061.83"
其他业务收入,"1,352,038.62","1,926,478.94","6,726,993.91","4,783,019.90","849,852.64","1,222,958.52","2,545,879.90","4,536,272.31","670,390.16","1,215,385.89","3,350,821.59","6,645,488.20","775,248.35","2,447,808.92","29,403,989.88","33,815,099.50","184,030.80","290,190.78","659,044.44","70,333,308.47","3,333,836.64","1,308,006.55","1,394,596.93","5,393,675.96","931,922.65","2,543,593.49","4,129,166.88","13,806,402.37","4,713,620.65","7,951,069.41","9,086,053.45","15,414,517.39","5,807,900.72","15,373,489.94","17,976,092.73","24,177,293.12"
（一）归属于母公司所有者的净利润,"220,112,837.10","430,630,321.37","601,807,972.62","1,007,162,624.22","130,572,992.07","161,188,449.96","403,491,473.62","805,283,323.34","297,575,617.81","335,035,405.28","201,611,157.83","262,675,208.26","160,461,716.04","282,383,726.82","202,259,027.12","342,407,499.38","133,378,026.22","304,333,950.76","505,390,003.27","630,328,806.70","272,249,674.17","541,905,947.42","890,642,464.29","1,339,048,940.41","965,222,284.48","2,842,499,775.04","3,109,941,477.78","3,554,650,541.89","343,819,480.65","860,368,675.67","1,056,561,178.80","917,572,729.00","23,885,995.69","366,709,871.13","590,529,184.40","668,800,161.74"
二、营业支出,"144,112,824.40","329,234,209.48","497,185,229.60","804,656,474.44","181,406,200.09","370,868,835.12","588,942,117.10","892,738,300.49","188,227,763.56","406,276,259.88","608,138,808.80","820,795,610.37","142,827,131.24","351,098,159.46","568,238,677.88","884,281,336.21","239,383,054.20","438,951,206.23","652,980,467.25","1,197,899,168.91","420,655,839.72","777,814,420.55","1,374,871,843.49","2,028,864,694.98","731,949,604.34","2,505,971,083.49","2,982,675,184.87","4,230,702,247.50","299,677,208.48","1,029,149,071.77","1,696,888,812.54","2,474,064,211.40","486,964,418.37","871,127,360.71","1,443,723,497.25","2,174,557,473.09"
（二）少数股东损益,,,,,,,,,,,,,,,,,"700,861.44","3,903,900.85","4,704,245.43","6,099,514.00","3,378,850.88","5,678,160.03","10,574,007.75","7,748,052.13","7,013,875.01","9,447,417.40","-6,113,593.57","-9,590,410.44","26,118,023.62","19,945,112.26","29,707,140.39","-4,871,351.62","-1,661,666.65","6,657,550.28","12,143,997.56","22,081,900.09"
退保金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
六、每股收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
赔付支出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（一）基本每股收益,0.12,0.23,0.32,0.54,0.07,0.08,0.20,0.39,0.13,0.14,0.09,0.11,0.07,0.12,0.09,0.15,0.06,0.13,0.22,0.27,0.11,0.20,0.33,0.49,0.34,1.01,0.55,0.63,0.06,0.15,0.19,0.16,0.0042,0.06,0.10,0.12
减：摊回赔付支出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（二）稀释每股收益,0.12,0.23,0.32,0.54,0.07,0.08,0.20,0.39,0.13,0.14,0.09,0.11,0.07,0.12,0.09,0.15,0.06,0.13,0.22,0.27,0.11,0.20,0.33,0.49,0.34,1.01,0.55,0.63,0.06,0.15,0.19,0.16,0.0042,0.06,0.10,0.12
