科目,2010年度,2013年度,2014年度,2015年1-9月,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
公允价值变动收益,"8,331,573.11","-10,969,915.68","73,245,007.16",,"56,061,634.06","-28,807,415.28",,"-60,751,105.21","731,634.49","-68,315,446.73","-20,156,810.97","-87,055,707.88"
加：影响净利润的其他科目,,,,,,,,,,,,
汇兑收益,"-261,995.49","-1,529,392.36","3,529,031.51",,"62,062,152.53","-2,589,542.13",,"-3,442,833.21","-109,358.08","603,412.21","668,013.35","-1,290,753.60"
五、净利润,"513,935,114.31","238,427,460.69","549,982,734.14","1,256,807,800.00","1,402,380,565.99","314,378,606.92","563,252,500.00","746,724,781.70","114,787,064.19","167,968,867.27","410,357,017.37","521,162,715.92"
其他业务收入,"3,982,643.24","6,558,872.46","7,359,262.53",,"9,283,093.20","3,330,993.66",,"35,134,237.02","32,680,386.70","109,174,488.80","249,308,423.94","352,483,910.39"
（一）归属于母公司所有者的净利润,"513,935,114.31","252,934,345.88","562,290,151.78","1,256,160,900.00","1,405,500,406.97","306,156,189.40","549,755,800.00","718,646,243.11","100,047,305.09","133,373,517.65","355,758,026.50","441,982,592.67"
二、营业支出,"688,904,303.06","852,963,471.80","1,078,677,482.41","1,446,893,400.00","2,093,232,661.80","563,738,518.85","878,638,400.00","1,067,838,746.83","271,769,790.56","606,401,785.01","1,021,656,144.48","1,474,298,646.72"
（二）少数股东损益,,"-14,506,885.19","-12,307,417.64",,"-3,119,840.98","8,222,417.52",,"28,078,538.59","14,739,759.10","34,595,349.62","54,598,990.87","79,180,123.25"
退保金,,,,,,,,,,,,
六、每股收益,,,,,,,,,,,,
赔付支出,,,,,,,,,,,,
（一）基本每股收益,0.25,0.12,0.24,,0.49,0.10,,0.22,0.03,0.03,0.09,0.11
减：摊回赔付支出,,,,,,,,,,,,
（二）稀释每股收益,0.25,0.12,0.24,,0.49,0.10,,0.22,0.03,0.03,0.09,0.11
