科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2015年度
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"925,555.86","1,844,148.11","2,784,454.33","3,584,880.18","249,563.67","641,415.74","981,693.97","2,301,666.76","364,867.45","2,747,211.49","3,456,989.92","5,604,607.06","1,442,859.47","2,897,739.96","4,405,780.51","6,041,201.15","332,371.14","668,751.16","862,581.20","-187,403.12","-172,112.64","-145,805.80","-500,018.63","-525,882.01","-1,321.85","-1,914.78","-46,805.85","-31,392.45",-263.36,"-141,560.88"
三、利润总额,"-1,837,260.78","-4,649,139.33","-6,366,353.67","103,987,000.40","8,535,012.18","41,248,091.62","97,649,194.28","90,848,754.94","-608,792.55","-7,883,876.35","-9,544,610.88","-16,684,159.07","-2,590,282.73","-5,066,059.72","-8,069,902.06","33,081,771.76","-958,346.55","-1,558,478.57","19,493,963.04","19,436,821.14","-435,622.14","27,598,468.70","32,990,378.40","41,112,754.85","-405,080.05","-518,469.54","-84,784.00","1,392,599.84","-670,641.49","2,679,591.68"
资产减值损失,,"596,649.20","596,649.20","3,071,067.04",,"2,423,767.65","2,423,767.65","5,220,865.09",,"2,885,459.60","13,817.87","5,923,718.10",,,,"29,473,606.02",,,"-21,863,887.50","-23,052,325.70",,"245,310.16","245,310.16","778,962.86",,,,"426,536.46",,"1,770,899.79"
减:所得税,,"-46,464.41","-46,464.41",,,,,,,,,,,,,"88,917.64",,,,,,,,"1,849,149.98",,,,"-1,789,559.72",,"223,103.60"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,94.03,,,,,,,,,,,,,,,,,,"154,185.56","154,185.56",,542.99,542.99,754.24,,,,"1,015,255.91",,
四、净利润,"-1,837,260.78","-4,602,674.92","-6,319,889.26","103,987,000.40","8,535,012.18","41,248,091.62","97,649,194.28","90,848,754.94","-608,792.55","-7,883,876.35","-9,544,610.88","-16,684,159.07","-2,590,282.73","-5,066,059.72","-8,069,902.06","32,992,854.12","-958,346.55","-1,558,478.57","19,493,963.04","19,436,821.14","-435,622.14","27,598,468.70","32,990,378.40","39,263,604.87","-405,080.05","-518,469.54","-84,784.00","3,182,159.56","-670,641.49","2,456,488.08"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
归属于母公司所有者的净利润,"-1,837,260.78","-4,605,170.43","-6,324,706.97","103,939,594.12","8,535,012.18","41,165,745.86","97,566,848.52","90,765,968.27","-601,022.77","-7,871,400.29","-9,532,134.82","-16,671,683.00","-2,590,282.73","-5,065,973.96","-8,069,651.10","33,153,802.25","-958,346.55","-1,558,478.57","19,493,963.04","19,562,014.49","-435,462.41","26,693,484.67","32,123,927.59","39,660,839.65","-405,002.96","-408,526.58","8,100.63","3,257,767.29","-668,681.64","2,750,684.58"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,,"2,495.51","4,817.71","47,406.28",,"82,345.76","82,345.76","82,786.67","-7,769.78","-12,476.06","-12,476.06","-12,476.07",,-85.76,-250.96,"-160,948.13",,,,"-125,193.35",-159.73,"904,984.03","866,450.81","-397,234.78",-77.09,"-109,942.96","-92,884.63","-75,607.73","-1,959.85","-294,196.50"
