科目,2013年度,2014年度,2015年度,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
取得投资收益收到的现金,,,,,,,,"630,136.99","1,886,634.25","8,354,950.00","8,354,950.00","8,891,787.53",
筹资活动现金流出小计,"29,503,165.89","61,380,881.14","35,040,000.00","35,000,000.00","7,448,968.90","34,878,802.80","34,878,802.80","77,699,400.00",,"47,413,061.96","47,413,061.96","47,659,333.32","735,449.98"
处置固定资产、无形资产和其他长期资产收回的现金净额,"2,222,222.31","12,309.25","1,025,641.02","36,302.56",,"191,500.00","191,500.00","628,150.00","1,200.00","8,141,980.00","8,231,965.00","8,338,427.18",
筹资活动产生的现金流量净额,"-29,503,165.89","-36,630,881.14","-35,040,000.00","-27,278,400.00","602,526,710.94","575,096,877.04","575,096,877.04","586,615,000.00","36,350,820.00","-7,490,306.47","5,573,933.53","26,691,486.68","-735,449.98"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,"-2,210,613.42",,"912,746.71","31,261,721.78","3,374,225.65","-137,970.47"
收到其他与投资活动有关的现金,,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,
投资活动现金流入小计,"2,222,222.31","12,309.25","1,025,641.02","36,302.56",,"191,500.00","191,500.00","41,258,286.99","66,887,834.25","449,496,930.00","589,586,915.00","1,432,701,214.71","38,000,000.00"
五、现金及现金等价物净增加额,"16,137,262.06","12,764,936.10","1,208,432.99","4,367,117.78","580,285,907.87","277,316,827.47","171,641,223.41","73,227,918.82","-5,869,437.42","-38,876,716.37","-30,906,346.21","99,674,632.90","-185,307,035.74"
购建固定资产、无形资产和其他长期资产支付的现金,"20,261,350.22","41,606,216.76","72,645,155.75","104,077,467.31","40,615,730.20","112,014,989.60","147,704,229.75","208,750,973.63","68,827,846.71","120,135,094.83","161,642,193.71","215,685,628.75","56,318,700.18"
期初现金及现金等价物余额,"91,023,477.39","107,160,739.45","119,925,675.55","121,134,108.54","125,501,226.32","125,501,226.32","125,501,226.32","125,501,226.32","198,729,145.14","198,729,145.14","198,729,145.14","198,729,145.14","298,403,778.04"
投资支付的现金,,,,,,"240,000,000.00","355,000,000.00","466,671,000.00","60,000,000.00","438,800,000.00","623,800,000.00","1,408,800,000.00","195,452,800.00"
期末现金及现金等价物余额,"107,160,739.45","119,925,675.55","121,134,108.54","125,501,226.32","705,787,134.19","402,818,053.79","297,142,449.73","198,729,145.14","192,859,707.72","159,852,428.77","167,822,798.93","298,403,778.04","113,096,742.30"
