科目,2010年度,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
收到再保业务现金净额,,,,,,,,,,,,,,,,,,,,,
吸收投资收到的现金,,"266,666,700.00","4,900,000.00","27,512,916.52","9,999,259,800.34","9,806,174,000.00","10,177,910,239.52","9,885,154,000.00","715,000.00","3,751,100.00","6,305,662,179.78","6,418,115,804.59",,"980,000.00","980,000.00","11,029,670,055.79",,"-184,035.00","510,000.00","510,000.00",
保户储金及投资款净增加额,,,,,,,,,,,,,,,,,,,,,
发行债券收到的现金,"2,724,168,144.00",,"13,800,000,000.00","28,285,338,091.00","7,014,649,000.00","10,831,927,178.08","41,475,580,138.02","64,179,744,675.87","4,711,813,000.00","19,962,162,158.58","30,067,956,897.80","39,137,892,053.53","5,826,331,000.00","25,029,481,000.00","31,633,596,000.00","35,558,980,215.00","4,453,329,408.16","14,446,471,655.40","27,173,391,321.28","29,863,508,084.88","10,030,449,573.54"
收到其他与经营活动有关的现金,"1,389,074,133.54","646,228,597.66","2,901,445,351.97","16,441,726,819.17","2,829,558,588.67","39,523,987,760.75","11,921,558,842.74","-6,076,860,057.52","-2,918,274,947.09","-602,495,328.30","-1,452,877,912.95","-2,697,631,034.42","322,774,400.17","570,707,063.34","5,226,992,015.73","2,673,198,736.34","1,023,685,034.08","1,448,113,617.12","4,757,578,322.56","9,407,653,870.74","1,449,911,779.96"
取得借款收到的现金,,,,"366,706,000.00",,,,"380,320,000.00","39,145,000.00","42,040,000.00",,"2,323,912,217.20","523,118,372.27","463,837,003.97","517,933,469.13","1,521,579,785.10",,"279,256,685.88","1,180,133,815.35","2,182,238,567.91","1,182,747,188.02"
经营活动现金流入小计,"5,334,182,675.21","3,094,265,010.70","370,921,423.78","17,684,930,013.61","6,145,904,260.76","53,257,472,867.44","18,569,533,038.96","2,312,666,907.67","-4,696,190,168.84","-1,667,011,090.66","-978,952,560.26","-2,565,968,340.22","-1,884,999,720.82","-1,515,873,549.62","2,209,824,369.05","27,056,185,096.48","-3,670,829,731.50","6,968,257,235.26","21,580,689,181.30","21,494,055,879.10","15,391,266,625.16"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,"512,000.00",,"512,000.00",,"1,116,560.00",,"1,116,560.00",,
客户贷款及垫款净增加额,,,,,,,,,,,,,,,,,,,,,
筹资活动现金流入小计,"2,724,168,144.00","266,666,700.00","13,804,900,000.00","28,679,557,007.52","17,013,908,800.34","20,638,101,178.08","51,653,490,377.54","74,445,218,675.87","4,751,673,000.00","20,007,953,258.58","36,373,619,077.58","47,879,920,075.35","6,349,961,372.27","25,494,298,003.97","32,153,021,469.13","48,110,230,055.89","4,454,445,968.16","14,725,544,306.28","28,355,151,696.63","32,046,256,652.79","11,213,196,761.56"
存放中央银行和同业款项净增加额,,,,,,,,,,,,,,,,,,,,,
偿还债务支付的现金,,,"6,900,000,000.00","17,500,000,000.00","6,619,316,632.82","5,002,340,000.00","19,849,942,383.76","23,525,333,383.76","9,064,133,000.00","14,794,769,000.00","25,914,841,133.33","32,051,539,160.00","6,175,976,000.00","23,734,875,228.55","27,250,790,006.48","38,299,783,946.90","4,221,312,582.68","12,790,861,619.99","27,914,498,279.38","31,148,634,336.75","5,581,605,841.01"
支付的手续费及佣金的现金,"440,535,365.04","756,914,799.53","1,226,279,061.86","1,698,236,133.98","651,169,343.85","1,734,451,824.32","2,479,618,482.29","3,283,215,050.45","696,878,270.58","1,533,647,183.35","2,003,612,966.73","2,654,120,958.86","569,456,033.09","1,351,971,124.54","2,041,525,393.34","2,691,323,252.66","641,185,735.11","1,463,847,023.56","1,959,389,284.41","2,707,259,368.97","715,866,301.37"
分配股利、利润或偿付利息支付的现金,"658,766,603.20","428,174,292.10","496,053,668.07","915,552,909.18","51,939,696.00","897,433,673.90","1,392,614,578.19","2,438,644,216.69","343,529,342.91","2,962,956,700.19","3,604,216,739.54","4,745,637,624.89","332,275,204.33","1,621,568,604.84","3,038,494,814.37","4,295,160,964.15","293,792,492.65","1,716,278,873.49","3,995,516,502.07","4,856,906,068.51","730,260,781.26"
购买商品、提供劳务支付的现金,,,,,,,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金,,,"1,500,000.00","605,800.34",,"12,250,000.00","12,259,339.24","682,589.21",,"407,547.17","10,857,001.72","450,243,584.90","225,000.00",,"225,000.00",,,,"1,470,000.00",,"42,115,284.91"
支付原保险合同赔付款项的现金,,,,,,,,,,,,,,,,,,,,,
筹资活动现金流出小计,"658,766,603.20","428,174,292.10","7,397,553,668.07","18,416,158,709.52","6,671,256,328.82","5,912,023,673.90","21,254,816,301.19","25,964,660,189.66","9,407,662,342.91","17,758,133,247.36","29,529,914,874.59","37,247,420,369.79","6,508,476,204.33","25,356,443,833.39","30,289,509,820.85","42,594,944,911.05","4,515,105,075.33","14,507,140,493.48","31,911,484,781.45","36,005,540,405.26","6,353,981,907.18"
支付保单红利的现金,,,,,,,,,,,,,,,,,,,,,
筹资活动产生的现金流量净额,"2,065,401,540.80","-161,507,592.10","6,407,346,331.93","10,263,398,298.00","10,342,652,471.52","14,726,077,504.18","30,398,674,076.35","48,480,558,486.21","-4,655,989,342.91","2,249,820,011.22","6,843,704,202.99","10,632,499,705.56","-158,514,832.06","137,854,170.58","1,863,511,648.28","5,515,285,144.84","-60,659,107.17","218,403,812.80","-3,556,333,084.82","-3,959,283,752.47","4,859,214,854.38"
支付给职工以及为职工支付的现金,"672,595,757.59","934,439,420.10","1,087,544,815.19","1,285,565,028.51","534,025,767.06","1,161,232,380.55","1,696,751,041.11","2,216,091,941.55","964,065,627.65","2,037,130,012.93","2,437,257,679.53","2,974,183,513.13","938,072,459.83","1,986,838,041.97","2,536,819,314.75","3,124,032,701.33","861,542,483.51","2,273,420,647.44","2,665,353,301.91","3,433,938,039.89","867,512,815.43"
四、汇率变动对现金的影响,"-5,367,551.47","-2,140,633.54","-14,362,395.00","4,594,283.35","-4,137,747.06","-8,316,294.94","406,283,179.60","167,674,780.32","-35,660,925.85","114,966,533.42","84,986,355.11","420,054,581.68","-44,682,604.89","-100,538,829.19","-136,024,002.62","-399,552,509.18","-5,806,488.93","54,062,478.48","-922,889.82","215,765,527.94","-10,120,744.16"
支付的各项税费,"510,580,341.70","2,073,876,133.72","255,542,117.86","521,924,929.26","419,257,484.88","870,522,153.35","1,168,566,844.29","1,377,364,522.86","534,173,795.67","2,274,569,889.49","2,400,460,508.58","2,539,090,169.08","359,717,418.06","472,262,191.84","679,276,212.62","455,453,421.40","364,083,424.21","662,811,888.56","1,049,637,276.33","840,021,835.60","226,522,262.20"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"5,066,212,931.63","1,139,830,667.12","2,151,150,249.72","9,191,082,449.76","7,764,190,675.69","19,616,969,985.43","7,443,940,216.80","9,191,053,420.17","-2,382,291,004.12","8,591,683,716.58","14,331,031,940.19","2,624,424,316.44","5,991,794,395.76","8,065,940,487.96","12,450,855,388.65","14,116,105,795.26","2,291,295,876.99","7,062,575,677.78","8,123,442,920.75","7,869,014,418.50","2,176,969,771.44"
五、现金及现金等价物净增加额,"439,318,554.86","-2,150,335,668.61","1,175,236,551.27","14,601,799,721.83","6,776,156,844.04","44,578,931,480.62","35,239,890,699.00","34,138,420,661.68","-9,349,480,792.18","-14,604,624,338.59","-16,111,925,431.97","-11,239,803,246.78","-9,965,641,880.93","-13,175,099,522.39","-13,961,989,162.84","-2,978,058,797.69","-6,693,764,308.91","-7,156,129,950.24","-8,622,122,430.15","-5,157,606,959.72","10,740,766,176.66"
经营活动现金流出小计,"6,689,924,395.96","4,905,061,020.47","4,720,516,244.63","12,696,808,541.51","9,368,643,271.48","23,383,176,343.65","12,788,876,584.49","16,067,724,935.03","-187,173,310.22","14,437,030,802.35","21,172,363,095.03","18,424,317,209.68","7,859,040,306.74","11,877,011,846.31","17,708,476,309.36","41,617,269,205.40","4,158,107,519.82","15,439,419,229.63","13,797,822,783.40","15,774,375,744.52","8,870,740,572.89"
期初现金及现金等价物余额,"24,859,678,029.96","13,757,740,500.79","11,607,404,832.18","12,782,641,383.45","27,384,441,105.28","27,384,441,105.28","27,384,441,105.28","27,384,441,105.28","61,522,861,766.96","61,522,861,766.96","61,522,861,766.96","61,522,861,766.96","50,283,058,520.18","50,283,058,520.18","50,283,058,520.18","54,215,336,237.86","51,237,277,440.17","51,237,277,440.17","51,237,277,440.17","51,237,277,440.17","46,079,670,480.45"
经营活动产生的现金流量净额,"-1,355,741,720.75","-1,810,796,009.77","-4,349,594,820.85","4,988,121,472.10","-3,222,739,010.72","29,874,296,523.79","5,780,656,454.47","-13,755,058,027.36","-4,509,016,858.62","-16,104,041,893.01","-22,151,315,655.29","-20,990,285,549.90","-9,744,040,027.56","-13,392,885,395.93","-15,498,651,940.31","-14,561,084,108.92","-7,828,937,251.32","-8,471,161,994.37","7,782,866,397.90","5,719,680,134.58","6,520,526,052.27"
期末现金及现金等价物余额,"25,298,996,584.82","11,607,404,832.18","12,782,641,383.45","27,384,441,105.28","34,160,597,949.32","71,963,372,585.90","62,624,331,804.28","61,522,861,766.96","52,173,380,974.78","46,918,237,428.37","45,410,936,334.99","50,283,058,520.18","40,317,416,639.25","37,107,958,997.79","36,321,069,357.34","51,237,277,440.17","44,543,513,131.26","44,081,147,489.93","42,615,155,010.02","46,079,670,480.45","56,820,436,657.11"
二、投资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
