科目,2013年度,2014年度,2015年度,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
取得投资收益收到的现金,,,,,,"783,960.07","2,731,532.80","6,403,796.89","8,756,074.94","1,306,990.81","5,239,679.38"
筹资活动现金流出小计,"119,371,789.24","164,454,189.54","221,121,156.99","105,664,519.50","191,336,252.10","4,985,634.11","17,999,999.61","17,999,999.61","18,000,000.00",,"27,500,000.00"
处置固定资产、无形资产和其他长期资产收回的现金净额,"358,140.60","176,517.59","168,600.62","53,727.44","56,730.48","35,000.00","44,020.00","62,840.72","88,995.10","3,225.95","16,180.12"
筹资活动产生的现金流量净额,"5,628,210.76","19,845,810.46","-69,009,882.99","-19,411,593.66","282,275,624.18","-4,985,634.11","-17,999,999.61","-17,901,999.61","-17,902,000.00","126,528,030.00","98,908,330.00"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,
四、汇率变动对现金的影响,"-380,353.56","17,252.41","439,090.89","233,580.13","190,750.15","-10,555.44","-16,277.33","-11,385.54","-291,718.83","-92,950.99","34,041.27"
收到其他与投资活动有关的现金,,"2,894,732.25",,,,,,,,"-143,928.37","2,239,831.61"
四(2)、其他原因对现金的影响,,,,,,,,,,,
投资活动现金流入小计,"358,140.60","3,071,249.84","168,600.62","53,727.44","56,730.48","356,868,960.07","763,325,552.80","1,188,816,637.61","8,845,070.04","1,166,288.39","81,495,691.11"
五、现金及现金等价物净增加额,"55,655,873.55","-25,373,961.13","96,819,576.30","-175,309,804.05","251,381,225.43","-246,280,372.81","-381,625,277.39","-380,271,075.21","-224,688,091.69","-58,138,673.11","-81,698,371.42"
购建固定资产、无形资产和其他长期资产支付的现金,"30,554,394.84","37,749,783.80","22,334,001.59","36,911,687.57","43,047,981.45","8,437,476.18","16,427,059.37","51,073,964.65","56,078,206.52","12,009,315.00","73,073,489.79"
期初现金及现金等价物余额,"95,042,869.35","150,698,742.90","125,324,781.77","222,144,358.07","222,144,358.07","473,525,583.50","473,525,583.50","473,525,583.50","473,525,583.50","248,837,491.81","248,837,491.81"
投资支付的现金,,,"4,333,300.00",,"100,000,000.00","647,616,666.67","986,516,666.67","1,426,350,000.00","241,000,000.00","102,000,000.00","400,000.00"
期末现金及现金等价物余额,"150,698,742.90","125,324,781.77","222,144,358.07","46,834,554.02","473,525,583.50","227,245,210.69","91,900,306.11","93,254,508.29","248,837,491.81","190,698,818.70","167,139,120.39"
