科目,2010年度,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
其他业务收入,"12,024,514.60","14,032,776.69","20,434,521.27","29,367,453.60","10,498,600.87",,"54,780,760.05","24,318,613.88","12,077,234.83","25,158,438.70","21,989,867.86","9,650,815.69","31,787,674.41","34,921,098.93","734,651,912.48","107,659,200.89"
（一）归属于母公司所有者的净利润,"2,815,652,587.87","2,135,247,343.42","3,770,727,490.99","9,835,510,426.14","2,255,462,130.95","3,549,505,600.00","5,153,546,221.82","1,117,341,620.62","2,112,212,271.46","3,383,440,647.07","3,980,730,433.74","1,014,308,288.16","1,311,046,156.12","1,869,737,198.88","2,887,126,757.58","1,532,712,615.87"
二、营业支出,"4,020,964,498.49","4,588,266,968.66","6,427,747,534.97","13,136,692,108.81","3,467,889,488.91",,"6,690,823,075.45","1,709,421,736.54","3,046,833,696.09","4,789,554,682.71","6,495,594,731.24","1,386,743,925.41","2,597,650,240.55","3,927,485,496.71","6,253,062,932.89","1,699,665,138.41"
（二）少数股东损益,"13,454,111.79","19,684,380.12","19,656,047.70","41,139,676.51","15,596,955.10",,"31,860,425.91","8,713,435.72","19,002,809.49","30,243,758.74","38,243,543.39","13,270,149.63","23,448,019.33","33,899,151.36","44,610,075.47","9,765,992.84"
退保金,,,,,,,,,,,,,,,,
六、每股收益,,,,,,,,,,,,,,,,
赔付支出,,,,,,,,,,,,,,,,
（一）基本每股收益,,0.31,0.50,1.11,0.24,,0.54,0.11,0.21,0.34,0.39,0.10,0.13,0.18,0.28,0.15
减：摊回赔付支出,,,,,,,,,,,,,,,,
（二）稀释每股收益,,0.31,,,,,,,,,,,,,,
