科目,2011年度,2012年度,2013年度,2014年1-3月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
支付给职工以及为职工支付的现金,"57,492,653.92","71,203,615.04","87,321,632.66",,"77,126,064.67","120,398,835.75","33,421,721.97","62,486,695.01","94,641,818.47","138,897,250.69","51,682,064.18","113,378,380.96","158,375,256.58","217,402,104.26","62,286,755.30","122,486,203.06","175,040,366.72"
取得借款收到的现金,"392,500,000.00","663,000,000.00","934,700,000.00",,"521,927,000.00","777,723,000.00","502,403,000.00","906,045,000.00","1,412,629,000.00","1,740,049,654.80","473,832,000.00","1,001,612,805.00","1,304,553,000.00","2,000,255,178.48","304,200,000.00","1,009,245,964.97","1,411,744,469.97"
支付的各项税费,"23,312,302.86","22,257,271.05","28,433,605.44",,"27,165,351.75","38,968,146.59","16,098,689.24","24,404,385.60","45,281,820.62","74,603,129.19","37,533,896.82","70,601,755.80","108,304,846.96","139,232,987.33","55,049,148.76","89,655,671.46","137,105,542.53"
收到其他与筹资活动有关的现金,,"1,500,000.00",,,,,,,,"2,900,000.00",,,,"4,182,400.00",,,
支付其他与经营活动有关的现金,"48,485,850.36","66,657,797.07","69,616,180.81",,"101,057,468.38","89,851,285.21","65,447,731.67","101,573,636.61","129,750,663.82","143,323,224.83","105,645,286.96","337,087,349.73","278,503,523.95","268,230,775.14","55,273,666.08","99,230,852.36","190,625,181.79"
筹资活动现金流入小计,"392,500,000.00","664,500,000.00","938,675,000.00",,"763,971,686.00","1,007,693,530.00","502,403,000.00","906,045,000.00","1,519,129,881.80","1,936,575,694.60","473,832,000.00","1,527,412,805.00","1,836,413,000.00","2,556,439,114.81","316,900,000.00","1,051,945,964.97","1,454,444,469.97"
经营活动现金流出小计,"493,305,292.25","556,077,033.29","829,129,444.24",,"645,581,819.83","957,196,296.23","404,728,259.31","673,149,714.48","1,033,584,576.03","1,495,471,231.91","699,013,761.12","1,274,839,641.41","1,525,274,922.25","2,292,750,652.90","621,321,529.31","1,465,452,938.22","2,196,521,401.67"
偿还债务支付的现金,"250,620,000.00","450,620,000.00","670,169,000.00",,"564,754,271.67","792,029,672.51","375,289,959.27","655,457,170.13","870,881,142.61","1,170,203,170.19","133,623,940.30","730,402,350.00","900,160,760.34","1,146,840,530.29","411,114,083.21","574,679,901.24","813,216,569.78"
经营活动产生的现金流量净额,"-36,789,722.56","-42,916,062.88","-91,647,780.52","79,713,423.92","43,901,707.16","33,141,734.37","-100,384,169.94","-152,122,861.61","-285,509,034.64","-316,624,954.83","-382,574,507.67","-544,452,073.27","-561,802,631.10","-521,104,401.00","-43,784,794.80","-367,176,597.64","-504,316,060.26"
分配股利、利润或偿还利息支付的现金,"40,071,624.00","57,071,225.49","99,546,507.46",,"70,356,364.34","93,771,980.69","27,532,534.88","61,750,288.16","90,962,437.94","96,616,269.07","27,092,627.51","51,074,265.08","100,632,671.53","140,240,106.20","36,176,794.78","103,666,967.25","143,419,901.07"
收回投资收到的现金,"6,338,300.00","10,000,000.00","10,000,000.00",,"1,110,698.00","1,110,698.00",,,,,,,,,,,
支付其他与筹资活动有关的现金,"2,663,100.00","1,133,810.00","1,687,371.48",,"8,266,196.27","2,293,684.88",,,,"937,895.23","1,300,000.00","1,300,000.00","1,984,976.00","5,160,117.94",,"1,860,000.00","2,453,163.80"
取得投资收益收到的现金,,,"24,931.51",,,,,,,,,,,,"900,000.00","900,000.00","900,000.00"
筹资活动现金流出小计,"293,354,724.00","508,825,035.49","771,402,878.94",,"643,376,832.28","888,095,338.08","402,822,494.15","717,207,458.29","961,843,580.55","1,267,757,334.49","162,016,567.81","782,776,615.08","1,002,778,407.87","1,292,240,754.43","447,290,877.99","680,206,868.49","959,089,634.65"
处置固定资产、无形资产和其他长期资产收回的现金净额,"6,680.00","24,807.34","14,934,550.00",,145.30,"2,680.00",,,620.00,"1,518.40","168,328.00","169,150.00","169,150.00","410,038.61",,,"15,050.00"
筹资活动产生的现金流量净额,"99,145,276.00","155,674,964.51","167,272,121.06",,"120,594,853.72","119,598,191.92","99,580,505.85","188,837,541.71","557,286,301.25","668,818,360.11","311,815,432.19","744,636,189.92","833,634,592.13","1,264,198,360.38","-130,390,877.99","371,739,096.48","495,354,835.32"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-14,441.59","1,525.36",,,,,,,,"282,700.43",,"205,409.80","65,064.91","1,623,678.26","359,155.99","562,482.56","-212,976.65"
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,"37,818,938.58","37,818,938.58","37,818,938.58"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"6,344,980.00","10,024,807.34","24,959,481.51",,"1,110,843.30","1,113,378.00",,,620.00,"1,518.40","168,328.00","169,150.00","169,150.00","410,038.61","38,718,938.58","38,718,938.58","38,733,988.58"
五、现金及现金等价物净增加额,"32,543,592.79","-13,642,336.91","-5,079,796.53",,"158,521,308.56","138,989,390.63","-4,051,548.89","33,245,617.17","259,805,868.33","111,484,516.34","-120,554,676.08","191,030,431.46","60,491,054.33","275,837,295.75","-144,374,138.47","-5,068,085.96","-107,785,513.65"
购建固定资产、无形资产和其他长期资产支付的现金,"32,675,516.17","31,261,111.35","39,353,618.58",,"7,086,095.62","14,863,913.66","3,247,884.80","3,469,062.93","11,972,018.28","16,986,925.37","2,734,352.25","7,728,244.99","98,474,545.26","171,906,003.24","9,276,560.25","21,412,005.94","45,536,071.11"
期初现金及现金等价物余额,"35,562,234.55","68,105,827.34","54,463,490.43",,"49,383,693.90","49,383,693.90","188,373,084.53","188,373,084.53","188,373,084.53","188,373,084.53","299,857,600.87","299,857,600.87","299,857,600.87","299,857,600.87","575,694,896.62","575,694,896.62","575,694,896.62"
投资支付的现金,"3,466,982.89",,"10,000,000.00",,,,,,,,"47,229,576.35","1,800,000.00","113,100,576.35","13,566,200.00",,"27,500,000.00","88,461,522.10"
期末现金及现金等价物余额,"68,105,827.34","54,463,490.43","49,383,693.90",,"207,905,002.46","188,373,084.53","184,321,535.64","221,618,701.70","448,178,952.86","299,857,600.87","179,302,924.79","490,888,032.33","360,348,655.20","575,694,896.62","431,320,758.15","570,626,810.66","467,909,382.97"
