科目,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
资产减值损失,"99,202,200.00","-78,367,587.02",,"-13,200,911.21","-9,500,307.59","114,186,429.77","-19,674.00","-19,674.00","-23,056.34","450,769,533.55","-495,086.19","105,410,392.78","94,616,055.28","428,532,413.27","53,921,786.34"
委托客户管理资产业务净收入,"718,465,500.00","706,504,443.47","484,221,338.66","1,063,959,808.41","1,298,727,704.38",,"435,717,638.14","859,794,399.14","1,327,010,510.07","1,804,119,642.47","274,586,516.72","597,061,148.86","1,025,976,256.10","1,303,079,435.51","220,677,565.57"
其他业务成本,"11,843,600.00","29,796,367.59","59,019,277.40","39,341,839.26","54,332,118.78","70,706,802.75","1,634,355.95","2,942,549.65","4,348,441.67","10,119,097.15","14,880,497.89","17,393,703.58","19,704,869.57","48,218,607.94","1,503,417.81"
已赚保费,,,,,,,,,,,,,,,
三、营业利润,"4,170,712,900.00","4,359,652,628.38","3,717,933,690.03","10,084,595,681.39","11,750,842,722.35","17,496,403,297.54","1,332,904,772.64","2,505,368,595.33","4,408,251,927.48","6,236,625,808.28","1,320,032,095.58","2,740,739,320.65","4,651,226,675.09","5,943,027,472.84","1,293,042,471.44"
保险业务收入,,,,,,,,,,,,,,,
加：补贴收入,,,,,,,,,,,,,,,
其中：分保费收入,,,,,,,,,,,,,,,
营业外收入,"74,248,200.00","45,044,780.85","1,067,589.15","13,920,335.91","44,050,961.90","66,967,633.52","9,373,157.46","58,566,157.99","62,381,895.78","172,658,282.87","1,255,454.25","7,277,884.89","8,597,656.50","10,108,516.53","158,810.90"
减：分出保费,,,,,,,,,,,,,,,
减：营业外支出,"27,158,200.00","4,791,066.28","8,560,543.52","9,076,169.98","12,390,999.63","16,639,942.23","914,759.89","4,041,831.56","9,775,532.88","23,971,429.22","2,136,299.02","8,486,954.63","16,662,795.89","25,642,946.11","2,775,385.01"
提取未到期责任准备金,,,,,,,,,,,,,,,
加：影响利润总额的其他科目,,,,,,,,,,,,,,,
投资收益,"1,780,429,300.00","1,093,387,531.50","1,386,779,521.61","3,500,819,263.08","4,909,931,028.61","7,133,737,994.08","645,369,851.95","1,225,401,549.16","1,840,357,665.38","3,902,080,480.45","503,356,243.08","1,518,048,704.32","2,628,704,839.79","4,062,358,225.66","754,575,375.08"
四、利润总额,"4,217,802,800.00","4,399,906,342.95","3,710,440,735.66","10,089,439,847.32","11,782,502,684.62","17,546,730,988.83","1,341,363,170.21","2,559,892,921.76","4,460,858,290.38","6,385,312,661.93","1,319,151,250.81","2,739,530,250.91","4,643,161,535.70","5,927,493,043.26","1,290,425,897.33"
其中：对联营企业和合营企业的投资收益,"80,490,300.00","106,610,950.08",,"139,396,205.56","245,142,562.79","325,565,497.05","48,562,500.00","99,914,443.17","99,914,443.17",,,,,,
减：所得税,"1,067,528,400.00","895,472,184.71","1,093,583,809.69","2,573,966,267.99","3,147,186,955.49","5,118,295,238.89","274,372,970.65","390,321,374.56","522,912,020.34","857,027,339.60","323,892,542.07","634,393,970.61","980,732,084.85","1,201,740,391.81","272,062,552.74"
公允价值变动收益,"-181,445,900.00","163,387,831.52","260,567,091.20","626,440,887.63","-208,819,062.90","485,645,261.61","-599,250,150.06","-930,366,762.39","-754,322,724.58","-1,017,965,754.80","203,618,853.37","62,511,072.31","-139,854,359.07","-89,582,746.19","221,385,614.03"
加：影响净利润的其他科目,,,,,,,,,,,,,,,
汇兑收益,"-6,765,300.00","615,472.38","925,290.96","3,408,666.77","4,897,435.56","15,823,816.06","1,554,124.91","5,350,530.64","7,812,710.03","11,179,437.21","1,861,613.87","1,949,820.32","2,651,878.95","2,035,437.27","1,656,372.61"
五、净利润,"3,150,274,400.00","3,504,434,158.24","2,616,856,925.97","7,515,473,579.33","8,635,315,729.13","12,428,435,749.94","1,066,990,199.56","2,169,571,547.20","3,937,946,270.04","5,528,285,322.33","995,258,708.74","2,105,136,280.30","3,662,429,450.85","4,725,752,651.45","1,018,363,344.59"
其他业务收入,"34,379,200.00","46,603,194.55","70,692,089.63","73,736,996.59","108,804,858.03","107,426,463.29","24,129,553.64","60,617,329.09","77,104,858.44","54,038,617.29","28,371,470.53","93,290,618.50","130,957,031.57","105,677,318.83","13,135,265.15"
（一）归属于母公司所有者的净利润,"3,104,619,800.00","3,427,677,529.13","2,566,550,489.37","7,356,079,024.57","8,394,784,057.91","12,154,187,940.61","1,046,700,102.75","2,104,112,599.16","3,849,049,954.18","5,409,058,284.05","971,823,577.60","2,049,964,857.73","3,583,691,007.97","4,599,683,411.82","992,983,065.00"
二、营业支出,"5,895,035,300.00","4,297,144,245.58","2,350,068,440.78","6,968,858,322.84","9,914,092,061.97","12,966,199,836.75","1,606,874,568.31","3,584,892,097.59","5,755,452,672.08","8,483,350,327.02","1,505,685,643.59","3,321,741,485.41","4,990,139,961.38","7,424,755,507.00","1,587,248,697.51"
（二）少数股东损益,"45,654,600.00","76,756,629.11","50,306,436.60","159,394,554.76","240,531,671.22","274,247,809.33","20,290,096.81","65,458,948.04","88,896,315.86","119,227,038.28","23,435,131.14","55,171,422.57","78,738,442.88","126,069,239.63","25,380,279.59"
退保金,,,,,,,,,,,,,,,
六、每股收益,,,,,,,,,,,,,,,
赔付支出,,,,,,,,,,,,,,,
（一）基本每股收益,0.21,0.51,0.19,0.50,0.57,0.82,0.07,0.14,0.19,0.27,0.05,0.10,0.18,0.23,0.05
减：摊回赔付支出,,,,,,,,,,,,,,,
（二）稀释每股收益,0.21,0.51,0.19,0.50,0.57,0.82,0.07,0.14,0.19,0.27,0.05,0.10,0.18,0.23,0.05
