科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月
筹资活动现金流出小计,"817,530,914.04","1,676,495,386.84","3,196,951,134.54","5,145,388,090.23","1,683,335,022.87","3,240,651,655.94","5,068,293,631.55","6,044,683,289.72","2,939,183,568.42","6,561,779,850.48","8,332,022,046.49"
处置固定资产、无形资产和其他长期资产收回的现金净额,,,,"18,288,296.00",,"16,074,282.60","16,074,282.60","13,043,038.28",,"3,000.00","3,000.00"
筹资活动产生的现金流量净额,"951,069,085.96","1,244,604,613.16","1,176,148,865.46","793,711,909.77","2,146,964,977.13","3,509,648,344.06","3,187,006,368.45","3,552,616,710.28","170,316,431.58","1,643,120,149.52","3,542,377,953.51"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,
四、汇率变动对现金的影响,"-361,903.22","-2,987,205.34","-4,360,661.23","-5,630,240.98","-314,048.21","-2,221,821.65","-3,870,820.69","-3,863,536.39",,"-97,290.00","-97,290.00"
收到其他与投资活动有关的现金,,"4,185,592.64","4,185,592.64",,,"1,116,581.50","1,116,581.50","7,451,741.20",,"30,125,217.65","30,125,217.65"
四(2)、其他原因对现金的影响,,,,,,,,,,,
投资活动现金流入小计,,"26,357,323.76","26,357,323.76","62,573,954.00","676,020.00","17,866,884.10","17,866,884.10","21,296,769.48",,"36,327,585.88","38,918,598.10"
五、现金及现金等价物净增加额,"169,824,562.24","29,027,203.39","-341,981,055.61","829,476,933.05","525,742,283.84","1,205,395,370.48","578,335,956.31","61,340,551.02","2,398,488,923.23","1,901,882,029.26","-977,786,264.71"
购建固定资产、无形资产和其他长期资产支付的现金,"680,647,559.24","1,213,607,272.46","1,672,859,944.96","898,368,125.29","671,676,886.28","1,082,619,364.51","1,487,793,917.76","2,217,803,842.55","313,165,468.26","485,499,388.13","727,772,887.05"
期初现金及现金等价物余额,"1,820,901,847.32","1,820,901,847.32","1,820,901,847.32","1,820,901,847.32","2,650,378,780.37","2,650,378,780.37","2,650,378,780.37","2,650,378,780.37","2,711,719,331.39","2,711,719,331.39","2,711,719,331.39"
投资支付的现金,,"32,992,882.79","74,454,824.23","113,654,824.23",,,,,,,
期末现金及现金等价物余额,"1,990,726,409.56","1,849,929,050.71","1,478,920,791.71","2,650,378,780.37","3,176,121,064.21","3,855,774,150.85","3,228,714,736.68","2,711,719,331.39","5,110,208,254.62","4,613,601,360.65","1,733,933,066.68"
