科目,2010年度,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
筹资活动现金流入小计,"1,450,855,482.00","16,401,305,901.00","69,264,705,021.00","120,329,107,504.00","25,397,085,929.00","140,509,539,222.00","143,510,790,039.00","172,975,094,177.00","10,891,484,019.00","29,265,472,426.00","71,429,824,209.00","108,878,816,489.00","15,717,125,753.00","51,769,392,050.00","95,128,686,452.00","176,684,057,893.00","30,645,891,116.00","73,559,054,915.00","90,408,537,573.00","104,335,623,065.00","16,977,743,373.00"
存放中央银行和同业款项净增加额,,,,,,,,,,,,,,,,,,,,,
偿还债务支付的现金,"435,760,769.00","10,768,020,619.00","51,446,411,951.00","89,989,693,054.00","20,005,739,435.00","65,282,862,246.00","84,958,201,846.00","116,459,988,179.00","12,347,016,904.00","37,118,119,982.00","68,101,749,902.00","89,193,092,589.00","13,572,165,063.00","51,880,574,373.00","73,800,513,457.00","142,672,417,786.00","29,678,675,340.00","77,674,258,387.00","111,515,997,464.00","136,533,817,384.00","6,092,181,532.00"
支付的手续费及佣金的现金,"1,435,067,999.00","1,208,643,352.00","1,976,002,150.00","3,643,015,925.00","703,136,477.00","4,521,158,677.00","7,256,318,514.00","9,599,555,818.00","1,628,054,458.00","2,804,169,350.00","4,008,877,315.00","5,669,763,795.00","1,028,908,622.00","2,225,916,786.00","3,120,333,520.00","4,773,460,512.00","1,012,326,866.00","2,133,769,094.00","3,179,296,702.00","4,178,476,342.00","1,481,641,462.00"
分配股利、利润或偿付利息支付的现金,"479,711,335.00","265,502,622.00","964,028,130.00","2,390,569,359.00","342,080,074.00","1,378,465,844.00","2,342,609,059.00","4,506,203,124.00","906,553,881.00","7,174,520,566.00","8,147,360,360.00","9,244,452,593.00","4,007,337,282.00","5,658,132,130.00","7,849,553,933.00","8,449,924,638.00","1,449,553,086.00","5,876,705,770.00","8,097,235,613.00","8,593,989,148.00","1,005,531,918.00"
购买商品、提供劳务支付的现金,,,,,,,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金,,"600,000,000.00",,,,,,"62,119,154.00",,,,,,"38,246,003.00","62,762,005.00","307,754,679.00",153.00,"825,892,867.00","50,096,206.00","859,692,705.00",
支付原保险合同赔付款项的现金,,,,,,,,,,,,,,,,,,,,,
筹资活动现金流出小计,"915,472,104.00","11,633,523,241.00","52,410,440,081.00","92,380,262,413.00","20,347,819,509.00","66,661,328,090.00","87,300,810,905.00","121,028,310,457.00","13,253,570,785.00","44,292,640,548.00","76,249,110,262.00","98,437,545,182.00","17,579,502,345.00","57,576,952,506.00","81,712,829,395.00","151,430,097,103.00","31,128,228,579.00","84,376,857,024.00","119,663,329,283.00","145,987,499,237.00","7,097,713,450.00"
支付保单红利的现金,,,,,,,,,,,,,,,,,,,,,
筹资活动产生的现金流量净额,"535,383,378.00","4,767,782,660.00","16,854,264,940.00","27,948,845,091.00","5,049,266,420.00","73,848,211,132.00","56,209,979,134.00","51,946,783,720.00","-2,362,086,766.00","-15,027,168,122.00","-4,819,286,053.00","10,441,271,307.00","-1,862,376,592.00","-5,807,560,456.00","13,415,857,057.00","25,253,960,790.00","-482,337,463.00","-10,817,802,109.00","-29,254,791,710.00","-41,651,876,172.00","9,880,029,923.00"
支付给职工以及为职工支付的现金,"2,278,006,427.00","2,312,142,250.00","2,692,650,537.00","3,512,450,980.00","1,383,377,575.00","3,484,660,659.00","4,632,461,697.00","5,927,710,717.00","2,769,090,064.00","4,335,348,923.00","5,870,300,183.00","7,121,928,529.00","2,926,901,257.00","4,608,560,288.00","5,928,281,912.00","7,481,447,504.00","2,918,612,687.00","4,701,893,591.00","6,675,084,449.00","7,837,987,172.00","2,299,283,655.00"
四、汇率变动对现金的影响,"-242,662,763.00","1,326,262.00","-169,563,860.00","42,896,376.00","74,403,376.00","15,547,152.00","679,336,637.00","854,725,825.00","-81,240,313.00","376,401,126.00","137,250,375.00","955,754,400.00","-167,119,018.00","-286,487,457.00","-762,898,235.00","-969,197,928.00","-642,673,734.00","286,016,835.00","791,071,733.00","824,628,272.00","-582,299,188.00"
支付的各项税费,"2,175,391,274.00","1,373,170,522.00","1,424,292,518.00","1,845,363,741.00","1,366,904,712.00","3,093,795,721.00","5,197,109,919.00","5,559,027,010.00","2,599,081,230.00","5,064,090,611.00","5,936,888,271.00","6,861,757,515.00","1,445,055,795.00","3,861,915,676.00","4,268,230,351.00","5,221,769,785.00","1,774,636,408.00","2,788,260,180.00","3,305,661,776.00","4,208,176,241.00","1,302,950,186.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"13,312,210,015.00","4,207,766,695.00","2,892,638,924.00","7,238,526,740.00","32,520,179,325.00","76,400,327,961.00","44,769,195,838.00","47,803,773,628.00","29,922,388,536.00","28,618,746,233.00","52,434,310,232.00","54,112,433,391.00","28,879,349,886.00","27,912,173,822.00","34,765,940,602.00","50,040,333,225.00","1,105,662,027.00","4,085,785,590.00","2,107,855,930.00","8,301,678,221.00","3,651,017,389.00"
五、现金及现金等价物净增加额,"-11,717,166,208.00","-7,657,556,378.00","1,677,388,706.00","75,638,988,759.00","27,868,702,658.00","188,363,226,235.00","107,579,931,048.00","58,109,422,263.00","-8,828,917,553.00","-32,006,664,944.00","-62,207,584,955.00","-49,211,765,898.00","-17,250,651,753.00","-18,291,569,896.00","-27,523,552,594.00","-33,018,323,081.00","25,319,381,126.00","10,526,816,581.00","63,554,522.00","7,517,464,915.00","27,738,920,093.00"
经营活动现金流出小计,"20,825,469,188.00","28,385,515,378.00","33,780,830,434.00","69,136,313,121.00","35,973,598,089.00","87,499,943,018.00","61,855,085,968.00","68,890,067,173.00","36,918,614,288.00","59,975,675,097.00","121,763,690,555.00","144,409,779,307.00","34,280,215,560.00","55,072,603,425.00","79,689,662,207.00","108,365,730,959.00","7,530,009,523.00","30,994,431,394.00","52,832,529,296.00","64,586,496,802.00","42,236,203,426.00"
期初现金及现金等价物余额,"91,428,836,878.00","52,965,015,199.00","45,307,458,821.00","46,984,847,527.00","122,623,836,286.00","122,623,836,286.00","122,623,836,286.00","122,623,836,286.00","180,733,258,549.00","180,733,258,549.00","180,733,258,549.00","180,733,258,549.00","131,521,492,651.00","131,521,492,651.00","131,521,492,651.00","131,521,492,651.00","98,503,169,570.00","98,503,169,570.00","98,503,169,570.00","98,503,169,570.00","106,020,634,486.00"
经营活动产生的现金流量净额,"-7,971,175,529.00","-6,282,855,469.00","-12,203,768,957.00","49,415,382,215.00","21,702,192,120.00","118,068,094,103.00","74,979,662,394.00","28,159,442,155.00","-496,922,447.00","-12,669,511,273.00","-55,143,320,625.00","-58,815,899,163.00","-23,466,874,592.00","-22,392,397,108.00","-44,599,775,612.00","-63,794,250,579.00","33,012,209,174.00","37,847,954,297.00","42,735,604,946.00","73,571,646,397.00","15,410,305,333.00"
期末现金及现金等价物余额,"79,711,670,670.00","45,307,458,821.00","46,984,847,527.00","122,623,836,286.00","150,492,538,944.00","310,987,062,521.00","230,203,767,334.00","180,733,258,549.00","171,904,340,996.00","148,726,593,605.00","118,525,673,594.00","131,521,492,651.00","114,270,840,898.00","113,229,922,755.00","103,997,940,057.00","98,503,169,570.00","123,822,550,696.00","109,029,986,151.00","98,566,724,092.00","106,020,634,485.00","133,759,554,579.00"
二、投资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
