科目,2010年度,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
资产减值损失,"12,701,569.00","82,845,548.00","211,291,763.00","408,697,561.00","114,027,143.00","242,079,421.00","754,220,189.00","769,867,277.00","603,332,085.00","588,214,565.00","815,641,674.00","1,211,188,980.00","41,519,107.00","219,778,426.00","276,398,902.00"
委托客户管理资产业务净收入,"308,619,459.00","455,755,463.00","814,715,155.00","1,131,754,162.00","345,471,581.00","994,045,067.00","1,527,974,346.00","2,218,561,180.00","608,923,719.00","1,365,144,756.00","1,842,410,202.00",,,,
其他业务成本,"354,341,486.00","3,493,713.00","2,727,183.00","49,348.00","16,295.00","1,480,372.00","2,028,854.00","2,451,691.00","772,958.00","109,835,632.00","123,936,062.00","170,763,377.00","82,622,893.00","167,496,740.00","179,246,362.00"
已赚保费,,,,,,,,,,,,,,,
三、营业利润,"5,088,928,301.00","3,105,223,064.00","3,726,498,170.00","9,179,616,614.00","4,153,035,723.00","13,718,879,527.00","16,670,498,433.00","21,729,862,914.00","4,462,141,095.00","7,400,218,905.00","11,027,361,591.00","14,068,969,384.00","3,253,964,240.00","5,965,827,950.00","9,096,238,416.00"
保险业务收入,,,,,,,,,,,,,,,
加：补贴收入,,,,,,,,,,,,,,,
其中：分保费收入,,,,,,,,,,,,,,,
营业外收入,"144,944,147.00","230,851,246.00","209,558,298.00","309,345,540.00","1,671,126.00","17,453,049.00","304,014,602.00","343,914,462.00","5,531,498.00","698,103,271.00","713,322,401.00","768,654,893.00","393,431,877.00","711,890,369.00","750,054,789.00"
减：分出保费,,,,,,,,,,,,,,,
减：营业外支出,"25,818,836.00","-12,792,858.00","9,804,619.00","12,361,272.00","1,168,993.00","5,529,261.00","9,556,925.00","22,660,514.00","11,934,409.00","21,697,305.00","22,852,873.00","64,100,078.00","6,055,943.00","11,942,854.00","21,173,735.00"
提取未到期责任准备金,,,,,,,,,,,,,,,
加：影响利润总额的其他科目,,,,,,,,,,,,,,,
投资收益,"691,668,533.00","2,154,016,710.00","2,267,706,985.00","3,265,770,996.00","2,349,168,657.00","5,220,477,125.00","7,464,660,311.00","9,121,100,174.00","3,454,688,960.00","5,173,362,056.00","6,668,133,013.00","8,201,697,127.00","1,316,120,751.00","3,232,842,840.00","4,538,865,303.00"
四、利润总额,"5,208,053,612.00","3,348,867,168.00","3,926,251,849.00","9,476,600,882.00","4,153,537,856.00","13,730,803,315.00","16,964,956,110.00","22,051,116,862.00","4,455,738,184.00","8,076,624,871.00","11,717,831,119.00","14,773,524,199.00","3,641,340,174.00","6,665,775,465.00","9,825,119,470.00"
其中：对联营企业和合营企业的投资收益,"14,208,057.00","11,122,613.00","14,708,320.00","398,112.00",,,"3,120,000.00","17,271,674.00",,"51,196,868.00","51,097,341.00","42,964,795.00",,"14,985,783.00","17,946,264.00"
减：所得税,"1,140,239,931.00","786,381,313.00","897,935,751.00","2,305,004,612.00","1,029,688,709.00","3,327,350,467.00","4,163,079,907.00","5,356,308,067.00","1,102,759,940.00","1,886,109,279.00","2,684,712,709.00","3,420,560,521.00","869,435,513.00","1,573,699,707.00","2,272,940,013.00"
公允价值变动收益,"65,036,980.00","87,662,435.00","-780,768,830.00","3,013,902,046.00","57,680,585.00","1,507,436,822.00","-385,656,076.00","104,703,959.00","-103,439,332.00","-506,056,376.00","-114,699,179.00","-468,794,326.00","295,557,188.00","-67,173,657.00","144,480,665.00"
加：影响净利润的其他科目,,,,,,,,,,,,,,,
汇兑收益,"-3,178,632.00","314,573.00","2,100,037.00","-11,756,335.00","5,388,417.00","3,418,600.00","-9,341,099.00","-48,996,986.00","12,819,181.00","7,695,130.00","10,326,935.00","30,791,281.00","-815,654.00","-69,192,948.00","-132,600,901.00"
五、净利润,"4,067,813,681.00","2,562,485,855.00","3,028,316,098.00","7,171,596,270.00","3,123,849,147.00","10,403,452,848.00","12,801,876,203.00","16,694,808,795.00","3,352,978,244.00","6,190,515,592.00","9,033,118,410.00","11,352,963,678.00","2,771,904,661.00","5,092,075,758.00","7,552,179,457.00"
其他业务收入,"352,279,401.00","12,866,819.00","14,524,023.00","15,943,974.00","4,305,305.00","13,627,720.00","16,147,802.00","18,343,498.00","6,476,146.00","129,399,558.00","154,758,414.00","186,592,932.00","88,672,669.00","184,191,553.00","215,348,194.00"
（一）归属于母公司所有者的净利润,"4,067,813,681.00","2,489,965,117.00","2,878,969,287.00","6,757,912,467.00","2,835,356,465.00","9,637,622,478.00","11,961,111,038.00","15,700,291,010.00","2,374,868,202.00","5,020,164,364.00","7,646,548,753.00","9,841,416,726.00","2,563,344,817.00","4,756,266,103.00","7,035,315,463.00"
二、营业支出,"3,666,017,302.00","4,693,642,404.00","5,282,431,324.00","8,701,986,763.00","3,275,438,675.00","8,582,559,462.00","12,366,840,782.00","15,866,767,487.00","3,600,594,391.00","6,307,215,616.00","8,980,412,535.00","11,695,682,361.00","2,332,630,663.00","5,138,269,343.00","7,518,601,700.00"
（二）少数股东损益,,"72,520,738.00","149,346,811.00","413,683,803.00","288,492,682.00","765,830,370.00","840,765,165.00","994,517,785.00","978,110,042.00","1,170,351,228.00","1,386,569,657.00","1,511,546,952.00","208,559,844.00","335,809,655.00","516,863,994.00"
退保金,,,,,,,,,,,,,,,
六、每股收益,,,,,,,,,,,,,,,
赔付支出,,,,,,,,,,,,,,,
（一）基本每股收益,,0.43,0.47,1.11,0.46,1.54,,2.21,0.29,0.62,0.94,1.21,0.32,0.56,0.80
减：摊回赔付支出,,,,,,,,,,,,,,,
（二）稀释每股收益,,0.43,0.47,1.11,0.46,1.54,,2.21,0.29,0.62,0.94,1.21,0.32,0.56,0.80
