科目,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
委托客户管理资产业务净收入,"4,281,313.57","8,749,905.93","13,499,463.29","4,248,370.27","7,943,825.11","11,952,008.47","18,634,476.21","6,743,029.29","13,839,804.99","23,820,427.37","30,722,035.61","11,169,723.27","21,392,029.87","28,775,189.11","38,622,032.39","10,915,888.56","28,289,717.68","44,463,596.86","70,759,841.07","32,935,920.86","55,378,745.26","80,592,128.18","183,031,395.96","34,702,771.61","80,355,101.67","118,891,862.23","166,177,420.16"
其他业务成本,"973,644.18","1,460,466.27","1,947,288.36","486,822.09","861,620.23","1,180,406.41","1,499,192.59","318,786.18","637,572.36","956,358.54","1,275,144.72","318,786.18","648,266.24","983,093.25","1,317,920.27","5,682,288.91","654,191.91","977,422.33","46,538,003.31","10,368,435.54","50,224,186.10","73,842,497.99","127,833,751.35","41,514,742.95","111,188,432.09","134,264,042.58","176,092,562.57"
已赚保费,,,,,,,,,,,,,,,,,,,,,,,,,,,
三、营业利润,"234,791,605.80","75,824,879.97","150,911,795.62","97,589,251.75","219,962,041.57","239,211,770.53","205,521,074.89","140,119,056.86","267,140,274.17","417,310,035.21","461,754,390.80","156,024,436.72","326,910,138.25","616,431,766.50","932,040,962.22","566,139,968.11","1,507,472,910.93","1,927,484,836.29","2,436,750,520.79","450,693,763.36","752,523,147.46","1,347,140,001.80","1,399,170,895.25","274,658,066.49","470,389,329.98","753,872,471.10","569,194,822.05"
保险业务收入,,,,,,,,,,,,,,,,,,,,,,,,,,,
加：补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,
其中：分保费收入,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业外收入,"1,971,923.18","14,027,048.68","17,344,180.70","692,499.19","1,120,404.97","2,856,944.87","31,050,538.45","1,569,667.89","3,081,114.90","3,864,368.22","13,603,555.24","10,140,185.58","12,027,007.01","29,159,274.93","32,864,034.28","144,145.38","1,620,935.09","9,263,508.51","15,303,736.28","895,572.24","2,812,087.07","5,936,535.26","30,967,656.45","32,723,212.07","34,288,440.85","46,235,684.51","5,981,227.80"
减：分出保费,,,,,,,,,,,,,,,,,,,,,,,,,,,
减：营业外支出,"549,434.19","1,019,064.98","1,582,389.40","42,770.47","446,590.45","766,362.76","1,079,107.34","50,809.76","426,438.69","922,512.53","1,204,873.93","241,487.04","634,214.26","889,363.88","1,162,644.86","2,135,576.09","2,260,871.07","2,976,493.89","3,652,760.57","225,946.49","1,361,024.36","2,920,652.22","4,166,580.02","507,687.30","1,846,378.75","2,622,101.32","5,314,669.77"
提取未到期责任准备金,,,,,,,,,,,,,,,,,,,,,,,,,,,
加：影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,"68,821,687.85","32,214,861.66","63,285,996.12","12,144,442.79","96,233,324.87","147,127,147.68","193,001,277.72","56,381,441.17","120,266,199.41","132,589,772.74","151,625,181.99","50,054,290.43","160,999,251.55","313,572,963.07","478,864,935.89","126,488,022.35","246,899,136.78","400,411,829.71","562,879,988.64","168,787,548.28","365,183,438.90","591,590,113.41","886,590,871.06","295,975,412.84","590,853,289.55","984,647,184.76","1,252,945,316.51"
四、利润总额,"236,214,094.79","88,832,863.67","166,673,586.92","98,238,980.47","220,635,856.09","241,302,352.64","235,492,506.00","141,637,914.99","269,794,950.38","420,251,890.90","474,153,072.11","165,923,135.26","338,302,931.00","644,701,677.55","963,742,351.64","564,148,537.40","1,506,832,974.95","1,933,771,850.91","2,448,401,496.50","451,363,389.11","753,974,210.17","1,350,155,884.84","1,425,971,971.68","306,873,591.26","502,831,392.08","797,486,054.29","569,861,380.08"
其中：对联营企业和合营企业的投资收益,,,,,,,,,,,"-261,755.29","-46,466.09","-81,553.44","-169,835.27","-716,614.32","111,187.84","-869,694.51","-1,060,989.45","-918,125.00","1,235,787.02","923,175.99","992,454.26",,,,,
减：所得税,"61,645,470.76","25,879,660.90","52,332,115.28","24,394,316.67","55,136,464.71","59,980,424.70","71,360,370.43","35,663,877.92","68,672,451.82","106,034,643.94","131,385,338.32","41,720,860.54","85,355,692.10","161,217,398.16","248,433,119.13","140,843,394.76","377,702,628.45","481,121,902.59","607,428,806.80","107,781,524.79","179,437,394.95","333,665,498.92","360,197,296.50","78,285,102.66","126,094,098.27","195,482,448.35","138,916,701.12"
公允价值变动收益,"-76,635,269.44","-216,447,281.65","-139,861,591.74","43,055,181.93","132,646,765.70","99,466,594.83","108,072,215.81","11,812,906.54","-6,833,173.71","-20,005,183.30","-40,766,614.38","4,003,029.21","71,338,054.56","96,642,839.21","46,125,140.10","-14,831,999.95","65,574,323.63","95,346,009.44","162,074,577.79","-26,237,867.63","-121,971,023.15","-128,048,732.06","-262,085,595.99","29,446,754.15","76,114,017.09","66,697,588.89","-49,947,192.86"
加：影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,
汇兑收益,"-293,616.58","-532,152.80","-628,375.60","-9,496.70","56,791.80","92,506.82","-22,830.68","-56,335.82","-294,237.03","-374,917.35","-515,947.67","149,149.27","157,936.34","145,335.08","69,427.24","59,458.36","-12,071.37","646,340.03","974,261.06","-86,539.40","331,574.40","443,825.48","1,039,930.22","-115,927.16","-430,721.49","-733,548.00","-980,456.63"
五、净利润,"174,568,624.03","62,953,202.77","114,341,471.64","73,844,663.80","165,499,391.38","181,321,927.94","164,132,135.57","105,974,037.07","201,122,498.56","314,217,246.96","342,767,733.79","124,202,274.72","252,947,238.90","483,484,279.39","715,309,232.51","423,305,142.64","1,129,130,346.50","1,452,649,948.32","1,840,972,689.70","343,581,864.32","574,536,815.22","1,016,490,385.92","1,065,774,675.18","228,588,488.60","376,737,293.81","602,003,605.94","430,944,678.96"
其他业务收入,"3,179,991.40","5,751,721.60","6,430,530.12","983,846.23","3,233,502.22","5,207,179.27","6,600,188.67","791,612.68","2,602,201.44","4,590,209.46","6,053,974.52","1,859,028.09","2,869,712.20","4,569,886.50","5,982,689.37","7,390,924.64","5,639,815.47","5,853,736.44","52,724,196.51","11,072,978.08","51,808,259.37","79,992,667.86","135,993,103.43","43,617,368.80","119,029,977.61","143,612,670.26","186,334,028.04"
（一）归属于母公司所有者的净利润,"155,331,748.40","32,379,004.94","75,528,733.67","65,110,018.78","149,218,039.62","159,247,069.68","133,358,654.72","95,409,531.86","181,438,286.85","286,282,254.91","308,745,854.57","120,191,207.84","244,715,066.70","465,450,652.99","690,035,776.56","416,060,698.18","1,101,510,222.46","1,410,356,371.07","1,792,923,492.86","330,269,553.39","543,346,607.47","978,738,555.84","1,015,511,746.44","219,525,808.63","357,883,791.72","561,245,156.75","375,760,243.11"
二、营业支出,"515,419,788.13","770,218,550.33","1,119,632,606.68","253,861,657.53","568,473,264.27","860,245,903.78","1,254,202,343.43","297,778,282.83","630,619,564.24","976,923,924.83","1,357,006,421.52","302,228,894.58","653,155,061.04","1,056,212,447.46","1,612,940,966.12","446,607,998.25","1,012,304,483.79","1,662,899,279.82","2,522,406,678.38","473,361,913.98","941,223,567.39","1,517,213,674.05","2,438,410,296.63","462,370,507.57","967,624,308.34","1,464,332,538.99","2,089,526,479.64"
（二）少数股东损益,"19,236,875.63","30,574,197.83","38,812,737.97","8,734,645.02","16,281,351.76","22,074,858.26","30,773,480.85","10,564,505.21","19,684,211.71","27,934,992.05","34,021,879.22","4,011,066.88","8,232,172.20","18,033,626.40","25,273,455.95","7,244,444.46","27,620,124.04","42,293,577.25","48,049,196.84","13,312,310.93","31,190,207.75","37,751,830.08","50,262,928.74","9,062,679.97","18,853,502.09","40,758,449.19","55,184,435.85"
退保金,,,,,,,,,,,,,,,,,,,,,,,,,,,
六、每股收益,,,,,,,,,,,,,,,,,,,,,,,,,,,
赔付支出,,,,,,,,,,,,,,,,,,,,,,,,,,,
（一）基本每股收益,0.28,0.05,0.12,0.09,0.08,0.09,0.07,0.05,0.10,0.16,0.15,0.05,0.11,0.20,0.30,0.18,0.48,0.58,0.71,0.12,0.13,0.23,0.24,0.05,0.08,0.13,0.09
减：摊回赔付支出,,,,,,,,,,,,,,,,,,,,,,,,,,,
（二）稀释每股收益,0.28,0.05,0.12,0.09,0.08,0.09,0.07,0.05,0.10,0.16,0.15,0.05,0.11,0.20,0.30,0.18,0.48,0.58,0.71,0.12,0.13,0.23,0.24,0.05,0.08,0.13,0.09
