科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月
三、营业利润,"459,775,146.30","1,527,555,446.47","2,919,512,916.24","3,232,082,593.75","518,675,131.15","572,751,163.08","667,573,120.11","736,132,473.80","419,671,955.97","709,973,785.93","1,224,981,297.78","1,564,857,676.06","550,553,916.20","965,258,905.52","1,489,797,237.80","1,739,635,101.20","448,964,401.97","815,849,794.20","897,547,108.98","879,300,989.87","362,624,166.05","861,325,320.00","1,072,624,903.34","1,180,977,828.61","652,536,044.63","1,117,725,985.18","1,510,389,953.69","1,673,408,344.46","477,650,152.41","993,316,389.14","1,676,864,777.28"
保险业务收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加：补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其中：分保费收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业外收入,"26,227.39","92,003.14","219,338.65","702,950.82","147,543.33","308,025.04","4,201,435.55","4,454,172.22","47,890.33","114,645.96","255,960.18","384,423.89","1,267,430.00","1,325,270.00","1,405,487.00","13,538,290.02","5,040.00","120,221.56","518,377.35","3,299,343.13","1,665,167.73","1,794,997.13","4,274,609.62","6,017,152.32","387,947.37","2,544,973.14","4,355,881.34","16,562,639.67","980,910.15","9,702,180.03","13,950,653.08"
减：分出保费,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
减：营业外支出,"116,552.17","1,960,514.41","1,367,841.72","7,213,903.86","115,319,021.18","3,165,969.21","3,482,200.57","5,552,663.98","56,721.97","3,579,734.82","5,506,082.72","8,032,526.84","134,206.22","442,705.21","1,709,196.77","3,023,246.27","337,561.34","1,021,482.02","2,845,585.87","3,683,686.94","2,685.47","540,189.18","1,085,358.62","1,728,843.54","1,394,066.93","4,380,163.90","4,984,335.51","20,841,236.10","795,828.03","953,464.65","1,078,435.40"
提取未到期责任准备金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加：影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,"149,203,803.89","458,185,430.18","1,003,228,068.06","1,531,588,540.55","458,842,302.19","609,751,082.92","437,246,235.32","442,813,172.95","117,082,548.21","200,399,669.21","313,025,528.82","371,430,013.45","222,524,028.18","378,396,037.44","574,819,831.15","717,810,915.15","141,853,741.64","255,110,640.11","306,041,423.01","365,721,796.94","289,541,145.66","636,567,091.56","748,357,579.59","913,494,211.07","354,791,232.53","776,911,504.01","986,907,962.82","1,379,782,750.10","234,421,594.25","407,204,398.57","806,335,909.88"
四、利润总额,"459,684,821.52","1,525,686,935.20","2,918,364,413.17","3,225,571,640.71","403,503,653.30","569,893,218.91","668,292,355.09","735,033,982.04","419,663,124.33","706,508,697.07","1,219,731,175.24","1,557,209,573.11","551,687,139.98","966,141,470.31","1,489,493,528.03","1,750,150,144.95","448,631,880.63","814,948,533.74","895,219,900.46","878,916,646.06","364,286,648.31","862,580,127.95","1,075,814,154.34","1,185,266,137.39","651,529,925.07","1,115,890,794.42","1,509,761,499.52","1,669,129,748.03","477,835,234.53","1,002,065,104.52","1,689,736,994.96"
其中：对联营企业和合营企业的投资收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
减：所得税,"150,022,525.05","499,065,005.16","954,212,189.77","1,187,271,198.18","99,653,149.68","218,624,556.42","242,157,207.20","193,386,120.52","104,466,291.87","184,991,357.26","312,124,767.15","405,558,647.26","131,838,643.42","235,327,439.75","363,739,856.93","443,770,574.01","109,981,803.09","200,656,621.85","215,080,339.24","233,325,528.36","88,096,646.25","218,554,964.33","271,517,232.47","317,586,130.30","161,608,892.46","280,793,782.64","378,006,291.14","441,331,002.62","117,958,790.81","267,921,385.23","441,571,143.52"
公允价值变动收益,"214,756,338.79","356,697,511.12","718,731,262.44","393,568,360.55","-292,836,581.31","-582,183,623.82","-491,296,521.82","-434,154,202.36","34,486,973.05","22,468,316.72","-29,474,450.36","-6,557,618.36","50,392,387.99","-2,646,573.74","90,710,117.98","-24,960,897.43","14,529,238.43","3,560,657.44","-97,765,125.64","-8,246,045.71","28,356,772.71","139,896,211.18","77,195,277.91","104,095,938.05","292,958,647.53","246,973,337.63","254,230,318.85","-125,636,793.28","85,286,891.82","214,693,257.82","410,416,912.32"
加：影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
汇兑收益,"-841,527.21","-2,165,161.48","-3,054,353.86","-6,351,283.75","-3,509,186.96","-5,610,901.42","-6,145,210.47","-5,910,775.28","-2,768.26","-51,976.80","-89,266.82","-101,901.16","-28,946.36","-498,212.03","-1,655,910.20","-2,708,392.41","-875,127.74","-2,031,945.41","-3,643,290.05","-4,372,709.95","-86,081.00","343,046.18","570,601.55","-428,469.11","-177,877.80","-1,176,550.46","-1,398,330.93","-2,093,099.46","579,451.65","587,657.52","582,234.31"
五、净利润,"309,662,296.47","1,026,621,930.04","1,964,152,223.40","2,038,300,442.53","303,850,503.62","351,268,662.49","426,135,147.89","541,647,861.52","315,196,832.46","521,517,339.81","907,606,408.09","1,151,650,925.85","419,848,496.56","730,814,030.56","1,125,753,671.10","1,306,379,570.94","338,650,077.54","614,291,911.89","680,139,561.22","645,591,117.70","276,190,002.06","644,025,163.62","804,296,921.87","867,680,007.09","489,921,032.61","835,097,011.78","1,131,755,208.38","1,227,798,745.41","359,876,443.72","734,143,719.29","1,248,165,851.44"
其他业务收入,"14,120,302.31","31,221,289.19","8,028,084.99","93,448,340.44","34,789,949.57","55,556,623.27","62,414,797.68","73,173,531.77","1,869,423.18","5,021,209.29","6,198,768.96","6,096,607.76","6,962,057.40","8,261,150.49","10,247,771.76","13,011,039.48","7,807,373.74","11,468,529.29","15,098,353.28","20,685,685.54","7,381,615.81","12,471,263.68","16,942,402.28","18,790,281.84","10,141,780.65","15,067,820.46","22,561,184.90","23,377,740.00","38,696,254.71","90,126,501.47","128,952,018.72"
（一）归属于母公司所有者的净利润,"309,662,296.47","1,026,621,930.04","1,964,152,223.40","2,038,300,442.53","303,850,503.62","351,268,662.49","426,135,147.89","541,647,861.52","315,196,832.46",,"907,606,408.09","1,151,650,925.85","419,848,496.56","730,814,030.56","1,125,753,671.10","1,306,379,570.94","338,650,077.54","614,291,911.89","680,139,561.22","645,591,117.70","276,190,002.06","644,025,163.62","804,296,921.87","867,680,007.09","489,921,032.61","835,097,011.78","1,131,769,050.65","1,227,292,426.20","359,548,867.22","733,672,076.58","1,247,403,255.69"
二、营业支出,"145,628,162.72","573,081,431.72","775,891,171.82","1,203,057,507.68","188,567,861.50","397,760,815.65","565,273,265.63","862,335,835.84","200,434,569.03","601,091,235.76","899,481,045.27","1,355,046,322.48","392,865,383.55","743,278,864.35","1,106,587,233.18","1,565,079,980.45","363,859,831.75","739,477,072.27","976,490,831.12","1,474,402,641.30","538,559,814.80","973,394,027.42","1,365,520,201.45","2,114,891,106.06","749,143,873.44","1,310,890,987.40","1,842,785,567.79","2,445,102,237.37","592,731,992.89","1,153,846,678.30","1,888,776,703.59"
（二）少数股东损益,,,,,,,,,,,,,,,,,,,,,,,,,,,"-13,842.27","506,319.21","327,576.50","471,642.71","762,595.75"
退保金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
六、每股收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
赔付支出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（一）基本每股收益,0.2119,0.703,1.34,1.39,0.21,0.24,0.292,0.37,0.2157,0.36,0.621,0.79,0.2873,0.5001,0.77,0.89,0.23,0.42,0.47,0.44,0.189,0.44,0.4916,0.50,0.25,0.21,0.28,0.31,0.09,0.18,0.31
减：摊回赔付支出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（二）稀释每股收益,,0.703,1.34,1.39,0.21,0.24,0.292,0.37,0.2157,0.36,0.621,0.79,0.2873,0.5001,0.77,0.89,0.23,0.42,0.47,0.44,0.189,0.44,0.4916,0.50,0.25,0.21,0.28,0.31,0.09,0.18,0.31
