科目,2011年度,2012年度,2013年度,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
处置固定资产、无形资产和其他长期资产收回的现金净额,"733,365.40","306,293.63","197,741.76","51,000.00","205,532.06",,"94,135.92","94,135.92","287,290.09",,,,,,,
筹资活动产生的现金流量净额,"100,030,330.69","-92,019,323.76","14,568,744.60","18,097,961.63","34,805,815.79","120,110,984.58","32,433,708.98","2,041,864.08","27,865,610.65","-266,110.00","65,059.12","530,116,497.11","510,707,114.04","89,034,826.25","-54,757,070.81","-31,985,896.78"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-2,895,864.78","-306,795.52","-1,165,848.49","-2,081,797.52","-3,271,510.13","-2,340,585.05","-1,372,182.15","2,033,309.53","2,849,081.01","906,294.51","1,156,605.29","3,274,324.14","4,920,963.78","9,791.64","356,844.81","-163,854.49"
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,
投资活动现金流入小计,"733,365.40","8,810,368.97","23,209,422.57","51,000.00","205,532.06",,"94,135.92","94,135.92","287,290.09",,,,,,"410,223,781.60","410,223,781.60"
五、现金及现金等价物净增加额,"91,665,750.24","-74,210,409.13","-4,495,202.19","-9,767,624.42","1,089,187.97","108,330,754.97","49,000,502.54","-3,080,625.54","21,627,241.11","-22,029,553.91","-19,115,580.98","529,094,378.34","73,186,495.96","-40,095,693.45","31,795,898.00","45,563,457.27"
购建固定资产、无形资产和其他长期资产支付的现金,"29,598,060.51","62,684,799.43","51,393,139.81","71,297,463.75","84,653,044.59","11,223,419.31","24,155,504.15","24,034,861.84","2,827,962.89","9,810,897.98","30,661,965.66","36,493,553.32","75,869,451.17","15,312,248.07","42,743,248.31","55,894,871.87"
期初现金及现金等价物余额,"7,714,960.82","99,380,711.06","25,170,301.93","20,675,099.74","20,675,099.74","21,764,287.71","21,764,287.71","21,764,287.71","21,764,287.71","43,391,528.82","43,391,528.82","43,391,528.82","43,391,528.82","116,688,003.20","116,578,024.78","116,578,024.78"
投资支付的现金,"210,744.00","8,500,000.00","23,000,000.00",,,,,,,,,,"400,000,000.00","111,806,711.00","205,260,780.82","205,260,780.82"
期末现金及现金等价物余额,"99,380,711.06","25,170,301.93","20,675,099.74","10,907,475.32","21,764,287.71","130,095,042.68","70,764,790.25","18,683,662.17","43,391,528.82","21,361,974.91","24,275,947.84","572,485,907.16","116,578,024.78","76,592,309.75","148,373,922.78","162,141,482.05"
