科目,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
手续费及佣金收入,,,,,"257,110,142.32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"318,189,095.28",,"811,978,941.30",,"380,233,046.81",,"735,576,070.22",
手续费及佣金支出2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金支出,,,,,"16,679,242.37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"49,109,084.90",,"104,225,599.40",,"57,212,901.73",,"114,660,077.39",
业务及管理费,"63,274,293.54","249,883,989.40","67,286,400.93","129,111,003.74","192,121,004.33","258,840,331.44","61,233,812.63","139,393,098.82","241,654,203.79","395,050,553.70","81,046,172.26","162,416,147.28","278,506,107.48","390,138,000.70","130,923,653.01","243,655,493.82","337,672,014.42","424,204,115.21","87,990,245.93","199,056,214.85","290,477,455.90","395,975,934.79","85,685,131.55","178,753,326.38","266,834,626.51","351,338,866.17","91,982,911.82","191,560,983.25","344,823,494.51","529,587,763.45","172,467,453.32","534,959,750.94","658,248,908.63","970,389,402.94","183,472,096.25","420,971,030.02","683,942,837.92","1,012,730,041.01","241,055,506.61","464,674,711.94","753,634,265.85","1,081,941,911.03","288,163,237.71","534,702,213.71","800,111,503.53","1,126,197,403.95","297,608,305.91"
其中：代理买卖证券业务净收入,"216,773,375.25","450,546,488.01","111,220,184.50","202,118,996.98",,"322,568,847.08","103,312,955.60","243,921,386.65","431,420,086.09","586,992,469.12","108,670,433.44","206,676,023.02","310,259,836.50","463,373,086.83","97,164,447.23","171,735,787.76","235,662,850.69","279,529,142.42","55,734,551.73","107,248,808.10","150,838,013.70","190,603,132.88","61,354,660.97","115,116,107.51","191,572,399.75","259,150,067.64","62,693,462.03","112,532,310.70","214,101,328.33","379,941,920.55","188,709,845.58","628,286,785.80","847,270,221.41","1,037,972,678.71","101,607,427.72","199,981,298.13","289,405,488.51",,,,,,,,"234,080,848.22","298,226,208.71","84,099,185.35"
减：摊回分保费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
证券承销业务净收入,"772,519.92","8,542,803.26","16,239,455.37","16,629,275.37",,"17,584,242.37","2,590,000.00","3,795,000.00","5,340,000.00","5,725,000.00","8,554,000.00","60,944,602.00","105,090,602.00","121,883,720.00","56,204,629.00","116,308,994.00","138,536,180.00","163,464,980.00","25,232,000.00","55,926,554.00","98,995,454.00","123,839,754.00","9,227,700.00","39,365,400.00","45,885,400.00","59,423,566.67","10,175,500.00","49,005,100.00","64,533,848.80","101,775,976.47","7,623,516.67","31,257,261.29","61,663,988.23","104,649,154.41","21,855,955.51","84,560,189.89","121,801,237.20",,,,,,,,"95,956,671.18","160,148,040.11","13,983,060.85"
资产减值损失,"91,219.39","90,347.36",,"204,356.51","204,356.51","288,394.63",,"-95,456.37","-95,456.37","136,120.50",,"145,777.63","145,777.63","92,232.75",,"316,110.77","316,110.77","484,771.47",,"328,422.55","327,988.58","487,547.04",,"216,003.69","216,003.69","-397,188.81",,"-260,300.73","-260,300.73","6,549,449.64",,"282,863.59","1,254,455.40","139,336,331.91","-35,265,031.48","-16,643,052.11","-16,816,120.20","-15,051,849.03","-8,571,019.63","-11,316,785.62","-11,201,337.33","-13,083,754.75","2,834,520.47","-16,598,682.90","-24,248,481.88","937,809,592.48","-69,580,474.70"
委托客户管理资产业务净收入,,,,,,,,,,,,,,,,,,,,,,"545,248.92","1,228,234.95","4,317,782.08","11,077,057.68","15,146,060.34","12,880,617.01","29,441,552.78","42,288,961.29","60,798,889.89","19,991,782.29","30,510,730.49","45,543,900.32","70,315,899.09","19,520,633.01","45,546,714.59","78,937,458.75",,,,,,,,"121,989,572.25","152,808,649.17","35,531,832.56"
其他业务成本,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
已赚保费,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三、营业利润,"360,081,840.93","749,735,553.29","-253,194,468.82","-440,867,380.36","-529,389,528.63","-666,532,199.50","112,424,833.12","205,748,479.13","300,434,223.94","405,198,444.65","72,059,400.79","64,621,664.04","164,783,256.36","244,128,131.23","120,021,207.66","182,731,364.90","176,502,397.14","201,411,223.64","21,991,131.30","95,031,709.04","34,649,339.93","98,457,512.83","26,294,072.99","33,955,719.63","106,317,300.64","106,796,027.29","78,290,020.07","192,952,442.10","488,823,526.53","751,249,940.11","370,611,531.35","1,222,861,642.50","1,101,915,893.21","1,441,775,756.19","13,325,682.15","153,037,566.10","312,281,890.81","758,489,624.74","-74,539,490.63","-84,089,268.84","136,656,676.42","214,949,350.56","44,737,960.00","-35,418,868.90","-142,316,980.76","-1,687,045,481.02","478,038,499.06"
保险业务收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加：补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其中：分保费收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业外收入,,"3,025.14",,,,"479,711.23","11,000.00","418,402.40","445,065.03","992,508.89","43,925.84","992,716.67","1,342,142.05","1,452,870.65","58,160.02","2,183,007.37","3,552,562.72","4,578,698.04","24,139.64","1,570,470.49","2,791,566.67","4,735,537.06","30,810.96","848,800.28","2,058,629.37","1,936,567.44","18,194.90","730,828.57","854,941.03","1,422,093.29","267,607.37","2,944,949.95","3,040,046.20","8,309,879.27","10,447.54","1,523,294.94","1,893,779.79","5,835,180.39","1,998,649.07","5,731,319.86","9,755,024.56","11,872,645.98","717,255.25","2,641,674.91","8,573,347.96","8,333,200.16","3,242,187.30"
减：分出保费,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
减：营业外支出,"20,108.53","300,563.79","219,143.22","1,827,867.23","1,828,531.64","1,881,691.43","7,175.04","18,783.30","538,097.32","673,784.25","705,566.20","941,680.59","1,177,831.37","1,261,506.93","459,335.75","505,572.04","572,285.39","600,426.78","478,635.53","633,088.07","3,314,537.01","3,768,273.59","20,352.21","1,958,690.21","2,042,916.86","2,442,223.23","188,585.03","224,582.40","1,110,629.52","1,964,269.81","16,150.51","22,004.35","22,222.58","1,459,823.69","2,414.17","38,414.14","496,715.11","1,442,564.52","967,747.33","1,017,387.39","2,585,579.56","21,489,810.82","39,700,832.33","60,029,057.56","11,615,353.18","-8,130,278.21","74,146.67"
提取未到期责任准备金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加：影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,"255,102,994.71","498,225,910.71","15,417,825.61","7,740,620.98","-82,638,726.41","-399,193,816.82","-208,744,672.95","-209,974,698.91","-192,120,031.20","-180,741,949.88","39,559,622.92","65,216,869.50","36,506,445.05","65,068,948.03","51,151,499.11","136,859,888.40","163,582,389.80","135,659,787.61","27,252,981.82","57,263,792.77","114,801,071.08","130,841,052.09","38,017,506.62","69,739,520.23","103,950,113.82","122,479,204.88","63,593,906.44","136,136,712.74","251,748,536.18","475,244,045.80","311,448,655.07","1,060,641,008.13","1,104,807,184.73","1,311,442,501.51","-49,315,113.86","100,485,457.81","269,535,594.57","609,331,668.82","53,261,167.56","174,745,653.85","323,754,010.27","550,381,276.44","129,186,803.17","439,337,990.72","620,164,991.83","393,687,096.13","219,212,117.33"
四、利润总额,"360,061,732.40","749,438,014.64","-253,413,612.04","-442,695,247.59","-531,218,060.27","-667,934,179.70","112,428,658.08","206,148,098.23","300,341,191.65","405,517,169.29","71,397,760.43","64,672,700.12","164,947,567.04","244,319,494.95","119,620,031.93","184,408,800.23","179,482,674.47","205,389,494.90","21,536,635.41","95,969,091.46","34,126,369.59","99,424,776.30","26,304,531.74","32,845,829.70","106,333,013.15","106,290,371.50","78,119,629.94","193,458,688.27","488,567,838.04","750,707,763.59","370,862,988.21","1,225,784,588.10","1,104,933,716.83","1,448,625,811.77","13,333,715.52","154,522,446.90","313,678,955.49","762,882,240.61","-73,508,588.89","-79,375,336.37","143,826,121.42","205,332,185.72","5,754,382.92","-92,806,251.55","-145,358,985.98","-1,670,582,002.65","481,206,539.69"
其中：对联营企业和合营企业的投资收益,,,,,,,,,,,,,,,,,,,,,,,,,,"-546,044.91","-446,463.48","-1,056,234.33","-1,249,802.18","-1,507,248.59","-159,137.22","-297,317.48","-608,805.69","-558,200.78","-65,295.62","-41,809.76","-76,971.81","199,892.13","-45,253.85","417,932.16","1,918,381.81","1,787,776.63","-5,929,832.40","5,859,850.73","9,270,223.45","10,795,644.38","253,033.23"
减：所得税,"104,830,259.65","140,238,086.70","-3,184,189.44","4,520,462.52","4,462,059.78","-22,682,097.76",,,,"167,810.42",,"8,193,108.79","16,144,531.34","40,547,868.77","27,248,941.04","49,166,569.55","57,419,900.71","48,708,693.95","5,183,020.59","24,953,834.59","25,957,861.20","28,933,447.59","6,576,132.93","12,313,530.26","27,145,418.10","31,689,908.61","16,426,999.60","49,601,504.15","116,641,076.23","178,153,596.08","83,952,938.26","279,508,543.24","261,901,018.56","313,869,372.51","7,724,278.02","10,720,272.23","29,778,754.86","96,750,386.21","23,261,643.75","33,230,076.24","45,943,949.60","79,466,191.87","-142,706.89","12,073,192.70","29,995,429.85","-345,125,417.85","128,700,950.38"
公允价值变动收益,"-38,556,298.43","56,454,645.86","-336,381,331.08","-551,443,873.68","-549,994,927.14","-380,039,193.88","268,640,438.80","289,495,936.84","269,732,858.55","337,750,195.43","-7,439,906.08","-121,884,655.07","-43,911,822.09","-64,036,746.13","40,016,209.78","-11,427,053.35","-49,366,503.76","6,791,574.37","804,553.06","57,077,129.21","-62,054,143.79","11,499,845.58","-1,183,927.21","-22,156,421.26","2,794,758.15","-21,451,138.49","19,033,720.50","39,009,423.96","156,020,316.66","97,130,108.95","-44,252,213.13","-86,999,369.98","-408,430,333.07","-32,631,759.06","5,980,440.06","-4,763,256.72","-33,905,346.96","-50,448,994.78","-143,951,955.37","-217,425,530.45","-62,227,887.07","-144,237,129.67","82,457,691.19","-196,387,068.46","-356,242,293.88","-461,130,327.13","445,232,254.76"
加：影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
汇兑收益,"-206,911.37","-648,238.99","-406,138.79","-479,265.66","-691,001.15","-665,150.19","1,871.16","-3,956.17","-8,353.78","-10,120.26","-3,990.59","-61,784.93","-200,344.45","-327,839.91","-105,959.79","-241,943.76","-431,857.53","-516,960.94","-9,796.90","41,372.43","68,727.06","-23,627.08","-29,348.55","-180,594.55","-232,344.69","-319,739.46","94,033.00","96,038.22","93,710.80","35,968.04","41,633.45","-36,351.64","330,338.75","1,535,195.60","-278,939.76","1,178,801.79","1,578,425.96","4,120,234.61","-393,403.02","-1,802,736.56","-3,331,504.68","-4,404,961.25","-2,215,112.34","-1,556,386.45","-1,016,044.27","-1,051,909.56","-267,406.63"
五、净利润,"255,231,472.75","609,199,927.94","-250,229,422.60","-447,215,710.11","-535,680,120.05","-645,252,081.94","112,428,658.08","206,148,098.23","300,341,191.65","405,349,358.87","71,397,760.43","56,479,591.33","148,803,035.70","203,771,626.18","92,371,090.89","135,242,230.68","122,062,773.76","156,680,800.95","16,353,614.82","71,015,256.87","8,168,508.39","70,491,328.71","19,728,398.81","20,532,299.44","79,187,595.05","74,600,462.89","61,692,630.34","143,857,184.12","371,926,761.81","572,554,167.51","286,910,049.95","946,276,044.86","843,032,698.27","1,134,756,439.26","5,609,437.50","143,802,174.67","283,900,200.63","666,131,854.40","-96,770,232.64","-112,605,412.61","97,882,171.82","125,865,993.85","5,897,089.81","-104,879,444.25","-175,354,415.83","-1,325,456,584.80","352,505,589.31"
其他业务收入,"934,576.00","659,316.00",,,"21,950.69","25,041.25",,,,,,,,,,,,,,,,,,,,,,,,,,,"87,378.64","87,378.64","37,500.00","38,034.59","38,034.59","505,801.88","1,387,451.23","2,727,073.32","2,936,107.43","2,955,296.82",,,,,
（一）归属于母公司所有者的净利润,"255,231,472.75","609,199,927.94","-250,229,422.60","-447,215,710.11","-535,680,120.05","-645,252,081.94","112,428,658.08","206,148,098.23","300,341,191.65","405,349,358.87","71,397,760.43","56,479,591.33","148,803,035.70","203,771,626.18","92,371,090.89","135,242,230.68","122,062,773.76","156,680,800.95","16,353,614.82","71,015,256.87","8,168,508.39","70,491,328.71","19,728,398.81","20,532,299.44","79,187,595.05","74,600,462.89","61,734,818.86","144,133,681.56","349,520,762.69","543,319,759.03","275,338,153.43","917,179,252.89","780,453,100.16","1,133,055,229.17","7,428,558.53","146,303,200.09","288,558,742.22","667,720,967.04","-94,658,809.06","-123,199,035.32","86,982,648.37","116,278,799.56","5,252,537.61","-105,380,467.46","-177,068,544.47","-1,322,256,826.72","354,763,910.79"
二、营业支出,"89,775,387.58","302,278,192.42","75,609,235.26","142,547,572.44","208,165,964.76","279,374,822.43","67,275,948.70","153,686,673.97","266,869,786.44","430,211,722.22","90,118,475.95","182,190,590.17","306,791,114.92","430,824,521.02","143,816,531.25","272,727,389.56","373,939,873.74","464,212,011.95","95,597,271.09","214,461,163.15","315,098,723.82","427,344,563.29","92,224,337.19","193,375,682.94","289,091,086.91","379,628,218.41","101,830,021.06","213,589,618.34","385,185,987.92","607,908,738.53","208,114,558.62","655,765,825.20","811,090,658.53","1,301,594,913.69","172,269,150.21","440,937,709.98","707,820,777.14","1,045,482,687.16","233,820,680.45","457,633,391.81","749,894,815.82","1,081,946,275.48","293,802,304.80","526,074,187.50","787,142,491.99","2,079,561,144.18","231,412,970.22"
（二）少数股东损益,,,,,,,,,,,,,,,,,,,,,,,,,,,"-42,188.52","-276,497.44","22,405,999.12","29,234,408.48","11,571,896.52","29,096,791.97","62,579,598.11","1,701,210.09","-1,819,121.03","-2,501,025.42","-4,658,541.59","-1,589,112.64","-2,111,423.58","10,593,622.71","10,899,523.45","9,587,194.29","644,552.20","501,023.21","1,714,128.64","-3,199,758.08","-2,258,321.48"
退保金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
六、每股收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
赔付支出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（一）基本每股收益,0.2144,0.4522,-0.1665,-0.297,-0.356,-0.429,0.075,0.137,0.20,0.27,0.047,0.038,0.099,0.136,0.061,0.09,0.081,0.10,0.01,0.04,0.005,0.04,0.01,0.01,0.05,0.05,0.04,0.08,0.11,0.171,0.08,0.26,0.22,0.32,0.002,0.033,0.043,0.10,-0.014,-0.018,0.013,0.017,0.001,-0.015,-0.026,-0.194,0.052
减：摊回赔付支出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（二）稀释每股收益,0.2144,0.4522,-0.1665,-0.297,-0.356,-0.429,0.075,0.137,0.20,0.27,0.047,0.038,0.099,0.136,0.061,0.09,0.081,0.10,0.01,0.04,0.005,0.04,0.01,0.01,0.05,0.05,0.04,0.08,0.11,0.171,0.08,0.26,0.22,0.32,0.002,0.033,0.043,0.10,-0.014,-0.018,0.013,0.017,0.001,-0.015,-0.026,-0.194,0.052
