科目,2012-12-31,2013-12-31,2014-03-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
一年内到期的非流动负债,,"21,750,000.00",,"63,800,000.00",,"20,700,000.00","10,930,000.00","54,320,000.00","41,820,000.00","64,195,000.00","5,500,000.00","21,500,000.00","6,000,000.00","13,700,000.00","13,700,000.00","48,700,000.00","38,700,000.00","26,000,000.00","23,000,000.00","95,400,000.00","75,400,000.00"
其他流动资产,"2,637,022.58","3,253,111.48",,"4,311,729.64",,,"230,150,000.00","281,300,000.00","268,311,448.50","294,895,658.73","832,000,000.00","1,124,300,000.00","1,093,650,000.00","994,361,767.00","931,513,547.00","671,000,000.00","1,367,000,000.00","1,071,000,000.00","916,000,000.00","746,000,000.00","570,000,000.00"
其他流动负债,,,,,,,,,,,,,,,,,,,,,
流动资产合计,"125,480,051.12","209,087,892.93","237,768,700.00","331,864,339.37","293,415,100.00","667,633,153.56","567,547,193.71","531,364,029.89","595,831,201.39","510,680,642.77","1,301,241,200.58","1,569,715,792.78","1,376,766,649.53","1,293,360,121.15","1,170,764,037.30","1,950,965,932.08","1,902,380,210.10","1,634,804,811.32","1,476,083,669.56","1,372,003,196.14","1,919,051,668.07"
流动负债合计,"54,368,639.02","57,946,355.19","49,132,700.00","119,839,560.35","87,808,200.00","100,790,981.07","93,483,208.62","276,906,952.81","344,201,715.72","351,089,253.07","316,255,254.54","361,770,563.93","246,312,888.48","245,444,932.80","270,084,163.44","308,163,954.16","255,726,853.72","248,459,589.88","245,451,993.52","326,874,945.64","257,823,219.47"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,,
长期借款,"126,052,800.17","292,118,181.88",,"386,235,235.60",,"397,680,954.80","310,888,856.35","298,215,922.86","277,588,568.21","331,919,818.52","141,778,632.97","462,866,706.05","411,366,706.05","403,517,473.47","403,309,546.39","344,140,729.70","354,140,729.70","311,140,729.70","284,063,656.81","281,864,308.98","901,864,308.98"
持有至到期投资,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,"707,506,963.63","717,627,231.04","727,328,408.58","737,339,020.88","747,440,327.08","757,432,609.88"
长期应收款,,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,,,,
长期股权投资,,,,,,"6,883,422.00","6,768,941.08","6,543,117.56","6,543,117.56","6,683,203.41","6,683,203.41","6,401,108.74","6,401,108.74","42,370,147.10","52,370,147.10","50,675,143.52","50,675,143.52","50,349,651.98","47,805,617.31","46,744,880.33","46,744,880.33"
专项应付款,,,,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,,,,,,,,,
固定资产,"262,705,408.46","348,266,766.29",,"436,159,902.38",,"464,362,740.40","452,362,437.64","563,259,972.80","552,242,095.13","550,870,793.40","667,189,972.46","770,278,165.65","764,116,212.16","865,311,944.84","918,015,771.55","1,219,037,619.81","1,338,918,847.91","1,353,001,101.38","1,436,056,692.92","1,796,321,459.46","1,788,236,537.65"
递延所得税负债,,,,,,,,,,,,,,,,,,,,,
在建工程,"51,944,768.88","112,168,769.01",,"165,040,069.63",,"240,597,910.20","290,122,642.74","411,097,728.65","472,814,575.91","569,213,724.36","579,363,627.51","599,766,025.34","660,929,923.63","638,987,966.51","740,285,114.18","564,169,844.64","545,744,910.42","648,241,081.90","753,948,979.38","512,665,501.56","579,023,910.89"
其他非流动负债,,,,,,,,,,,,,,,,,,,,,
工程物资,"910,526.90","2,266,006.01",,"5,064,977.99",,"4,456,695.35","3,829,913.06","3,235,943.23","3,390,012.40","4,222,870.13","2,673,590.65","10,505,555.39","2,372,248.91","1,403,715.25","2,502,872.31","13,706,073.77","10,256,519.34","2,809,258.55",,,
非流动负债合计,"154,043,314.53","332,605,226.84",,"443,246,992.63","439,913,500.00","457,504,098.27","373,907,516.49","367,897,536.12","346,746,237.20","399,593,543.24","207,968,413.42","560,352,030.43","513,077,504.68","503,295,746.35","501,155,293.52","1,148,655,568.55","1,166,759,748.67","1,132,044,838.92","1,121,042,291.04","1,149,983,286.17","1,786,118,272.10"
固定资产清理,,,,,,,,,,,,,,,,,,,,,
负债合计,"208,411,953.55","390,551,582.03","381,621,900.00","563,086,552.98","527,721,600.00","558,295,079.34","467,390,725.11","644,804,488.93","690,947,952.92","750,682,796.31","524,223,667.96","922,122,594.36","759,390,393.16","748,740,679.15","771,239,456.96","1,456,819,522.71","1,422,486,602.39","1,380,504,428.80","1,366,494,284.56","1,476,858,231.81","2,043,941,491.57"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"111,677,800.00","111,677,800.00",,"111,677,800.00",,"148,927,800.00","148,927,800.00","148,927,800.00","319,647,374.00","319,647,374.00","373,330,707.00","373,330,707.00","373,330,707.00","373,330,707.00","373,330,707.00","373,330,707.00","373,330,707.00","373,321,231.00","373,330,459.00","373,333,278.00","367,685,300.00"
油气资产,,,,,,,,,,,,,,,,,,,,,
资本公积,"162,510,390.47","162,510,390.47",,"162,510,390.47",,"551,298,443.64","551,298,443.64","557,570,243.64","480,470,099.64","483,605,999.64","1,538,946,771.65","1,540,514,721.64","1,542,082,671.65","1,543,650,621.66","1,545,218,571.67","1,550,270,854.97","1,550,270,854.97","1,551,638,510.66","1,552,435,655.63","1,551,996,808.72","1,518,529,458.58"
无形资产,"96,118,758.83","119,519,228.96",,"121,795,866.18",,"120,473,134.44","119,812,549.57","165,698,774.84","164,369,837.46","163,458,979.45","217,220,589.51","216,032,152.79","237,181,861.17","236,380,495.69","235,055,230.21","233,785,381.40","232,455,365.93","247,514,222.07","271,140,987.69","292,023,276.74","290,374,445.51"
盈余公积,"7,230,337.63","9,849,195.51",,"13,172,559.55",,"13,172,559.55","13,172,559.55","15,376,560.68","15,376,560.68","15,376,560.68","15,376,560.68","19,272,110.90","19,272,110.90","19,272,110.90","19,272,110.90","21,966,880.91","21,966,880.91","21,966,880.91","21,966,880.91","23,531,930.45","23,531,930.45"
开发支出,,,,,,,,,,,,,,,,,,,,,
减:库存股,,,,,,,,,"97,954,009.61","97,954,009.61","97,954,009.61","97,954,009.61","68,646,447.05","68,646,447.05","68,646,447.05","68,646,447.05","39,262,507.35","39,169,682.87","39,169,682.87","139,169,418.42","99,999,735.55"
商誉,,,,,,,,,,,,,,,,,,,,,
未分配利润,"68,630,326.81","120,761,863.31",,"208,319,027.40",,"235,944,155.99","264,285,340.50","309,328,604.09","379,253,140.61","368,085,884.88","412,614,616.44","447,561,281.23","460,465,299.77","474,071,561.59","515,148,389.87","549,806,492.76","638,054,585.89","549,552,325.36","618,381,969.39","622,847,414.93","690,170,637.78"
长期待摊费用,,,,,,,,,,,,,,,,,,,,,
少数股东权益,"1,246,743.53","2,447,604.16","2,441,600.00","2,373,825.15","2,355,500.00","2,337,374.78","2,315,396.13","6,659,290.71","8,603,143.44","7,797,287.38","8,724,410.18","9,487,521.75","9,980,396.04","9,560,838.24","9,763,478.23","9,992,527.11","11,278,058.84","9,658,821.25","10,575,241.53","2,024,811.52","2,621,072.82"
递延所得税资产,,,,,,,,,,,,,,,,,,,,,
外币报表折算价差,,,,,,,,,,,,,,,,,,,,,
其他非流动资产,"22,548,037.80","6,489,772.28",,"1,215,000.00",,"5,568,357.35","7,091,984.35","1,528,999.25","1,215,000.00","42,436,139.58","1,215,000.00","41,895,015.25","48,366,016.00","23,087,580.22","47,254,994.20","59,207,319.20","95,700,961.44","108,746,849.83","117,042,567.08","89,640,049.31","28,683,999.25"
非正常经营项目收益调整,,,,,,,,,,,,,,,,,,,,,
非流动资产合计,"434,227,500.87","588,710,542.55",,"729,275,816.18","778,969,700.00","842,342,259.74","879,988,468.44","1,151,364,536.33","1,200,574,638.46","1,336,885,710.33","1,474,345,983.54","1,644,878,023.16","1,719,367,370.61","1,807,541,849.61","1,995,484,129.55","2,140,581,382.34","2,273,751,748.56","2,410,662,165.71","2,625,994,844.38","2,737,395,167.40","2,825,391,994.89"
所有者权益(或股东权益)合计,"351,295,598.44","407,246,853.45","458,623,200.00","498,053,602.57","544,663,300.00","951,680,333.96","980,144,937.04","1,037,924,077.29","1,105,457,886.93","1,096,883,556.79","2,251,363,516.16","2,292,471,221.58","2,336,743,626.98","2,352,161,291.61","2,395,008,709.89","2,634,727,791.71","2,753,645,356.27","2,664,962,548.23","2,735,584,229.38","2,632,540,131.73","2,700,502,171.39"
资产总计,"559,707,551.99","797,798,435.48","840,245,200.00","1,061,140,155.55","1,072,384,900.00","1,509,975,413.30","1,447,535,662.15","1,682,728,566.22","1,796,405,839.85","1,847,566,353.10","2,775,587,184.12","3,214,593,815.94","3,096,134,020.14","3,100,901,970.76","3,166,248,166.85","4,091,547,314.42","4,176,131,958.66","4,045,466,977.03","4,102,078,513.94","4,109,398,363.54","4,744,443,662.96"
负债和所有者(或股东权益)合计,"559,707,551.99","797,798,435.48","840,245,200.00","1,061,140,155.55","1,072,384,900.00","1,509,975,413.30","1,447,535,662.15","1,682,728,566.22","1,796,405,839.85","1,847,566,353.10","2,775,587,184.12","3,214,593,815.94","3,096,134,020.14","3,100,901,970.76","3,166,248,166.85","4,091,547,314.42","4,176,131,958.66","4,045,466,977.03","4,102,078,513.94","4,109,398,363.54","4,744,443,662.96"
