科目,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
三、利润总额,"38,319,600.89","16,388,214.59","31,705,904.90","22,909,283.63","35,329,032.17","41,059,481.17","3,865,022.42","17,587,904.35","37,273,409.20","57,809,529.06","21,410,171.14","37,209,423.96","95,051,355.07","21,291,720.64","52,388,352.74","91,188,750.24","131,815,964.65","37,313,334.08","85,884,074.61"
资产减值损失,"892,232.71","276,284.75","1,899,754.90","2,189,992.46","1,960,665.72","2,113,042.30",,"484,978.20","484,978.20","1,111,574.43",,"1,171,777.23","2,179,253.99","69,184.49","1,465,241.47","1,425,201.07","5,489,356.04","-161,552.33","7,456,563.17"
减:所得税,"6,108,353.03","3,763,990.14","6,017,263.15","2,391,409.52","3,759,683.47","4,489,526.64","697,935.72","2,830,899.46","5,092,706.53","6,622,586.02","3,371,807.44","6,939,150.35","14,858,184.53","4,168,307.47","8,175,399.22","13,689,201.82","14,470,879.61","5,789,361.94","10,676,844.05"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,
投资收益,"543,982.48","-733,603.26","-235,802.86",,,,,,,"-406,548.96","-276,803.00","-1,200,429.39","1,901,745.41","1,148,282.74","5,908,322.09","6,076,852.41","5,966,329.85","1,146,839.55","155,559.82"
四、净利润,"32,211,247.86","12,624,224.45","25,688,641.75","20,517,874.11","31,569,348.70","36,569,954.53","3,167,086.70","14,757,004.89","32,180,702.67","51,186,943.04","18,038,363.70","30,270,273.61","80,193,170.54","17,123,413.17","44,212,953.52","77,499,548.42","117,345,085.04","31,523,972.14","75,207,230.56"
其中:对联营企业和合营企业的投资权益,"458,475.63","-877,026.58","-517,767.77",,,,,,,"-406,548.96","-276,803.00","-1,200,429.39","-4,209,667.84","-2,488,617.94","-1,867,990.74","-3,326,306.75","-8,991,390.52","-2,062,581.58","-3,541,179.89"
归属于母公司所有者的净利润,"32,252,815.53","12,705,441.45","25,586,450.51","20,517,874.11","31,569,348.70","36,569,954.53","3,167,086.70","14,757,004.89","32,217,341.17","51,093,066.68","18,079,412.30","30,345,266.95","80,824,026.13","17,316,511.18","44,658,296.19","80,231,130.56","113,575,361.25","31,804,126.18","75,548,564.56"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,
少数股东损益,"-41,567.67","-81,217.00","102,191.24",,,,,,"-36,638.50","93,876.36","-41,048.60","-74,993.34","-630,855.59","-193,098.01","-445,342.67","-2,731,582.14","3,769,723.79","-280,154.04","-341,334.00"
