科目,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
堪探费用,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"18,736,738.21","22,036,721.25","27,076,414.75","16,570,509.67","25,249,684.17","31,207,078.24","5,594,513.63","11,843,216.90","17,925,840.21","21,886,313.24","3,163,896.65","6,328,706.78","9,841,745.91","12,979,492.53","4,939,984.62","13,360,163.24","24,181,599.00","33,092,626.17","8,298,050.66","17,729,681.99","25,317,674.21","35,477,425.07","8,919,392.21"
三、利润总额,"97,762,304.91","90,246,830.19","71,699,572.84","30,023,871.45","44,310,736.67","78,541,719.71","8,679,097.86","26,298,610.57","36,215,082.72","60,001,923.35","8,039,403.91","23,886,025.36","29,076,271.41","60,937,867.15","9,024,579.76","31,958,129.31","42,260,812.53","55,558,357.46","23,415,404.89","62,972,667.47","132,095,729.88","196,152,297.71","57,630,030.09"
资产减值损失,"7,206,472.67","4,512,165.66","2,367,709.39","-363,353.81","5,242,301.60","1,912,833.14","1,561,862.34","7,493,096.43","15,290,839.75","1,702,862.20","4,817,003.63","7,834,687.05","11,244,198.05","7,031,418.02","3,640,877.00","13,113,231.18","24,863,409.34","7,970,599.41","15,989,458.99","25,231,977.42","20,725,371.84","13,556,442.92","11,533,516.69"
减:所得税,"14,579,081.11","12,186,165.33","9,133,823.42","3,939,516.54","5,814,136.27","13,525,994.61","1,346,290.80","3,491,163.46","5,167,421.56","9,617,890.04","1,342,735.73","2,457,152.48","2,195,376.54","9,084,510.44","1,240,615.71","3,859,831.38","5,420,987.52","5,364,797.47","3,138,633.29","6,706,184.49","16,824,524.07","24,718,103.99","8,204,397.01"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,,,"-1,870.46",,"-264,758.60",
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,
投资收益,,,,"102,858.63","189,653.15","189,653.15",,,"632,260.27","632,260.27",,,,"-53,081.46",,,,"-301,039.28","-82,187.88","29,060.74","-338,919.59","6,896,048.74",
四、净利润,"83,183,223.80","78,060,664.86","62,565,749.42","26,084,354.91","38,496,600.40","65,015,725.10","7,332,807.06","22,807,447.11","31,047,661.16","50,384,033.31","6,696,668.18","21,428,872.88","26,880,894.87","51,853,356.71","7,783,964.05","28,098,297.93","36,839,825.01","50,193,559.99","20,276,771.60","56,266,482.98","115,271,205.81","171,434,193.72","49,425,633.08"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,,,,,,,,,"-124,280.38",
归属于母公司所有者的净利润,"83,183,223.80","78,060,664.86","62,565,749.42","26,084,354.91","38,496,600.40","65,015,725.10","7,332,807.06","22,807,447.11","31,047,661.16","50,384,033.31","6,696,668.18","21,428,872.88","26,880,894.87","51,853,356.71","7,783,964.05","28,098,297.93","36,839,825.01","50,193,559.99","20,276,771.60","56,266,482.98","115,271,205.81","171,433,835.63","49,417,882.22"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,,,,,,,,,,,,,,,,,,,,,,358.09,"7,750.86"
