科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
手续费及佣金收入,"1,937,676,999.80","280,452,783.35","2,269,463,834.67",,,,,,,,,,,,,,,,,,,,,"2,533,403,270.13",,"5,227,896,328.85",,,,"4,410,759,436.25"
手续费及佣金支出2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
手续费及佣金支出,,"280,452,783.35",,,,,,,,,,,,,,,,,,,,,,"267,780,085.70",,"676,749,599.02",,,,"719,676,599.95"
业务及管理费,"918,585,603.93","1,275,360,356.85","1,276,576,263.99","537,512,607.37","926,667,696.07","1,397,616,965.54","289,788,586.38","613,087,605.55","934,937,400.82","1,464,656,551.68","301,658,974.24","629,999,935.50","975,804,207.60","1,660,206,700.50","329,377,521.64","883,812,474.39","1,516,006,104.25","2,325,315,336.15","414,491,839.72","1,451,571,249.58","2,243,362,456.51","4,232,502,516.02","735,918,834.30","1,707,153,596.03","2,790,903,185.74","4,356,764,268.87","751,950,499.56","1,832,976,406.19","2,853,563,766.15","4,079,920,158.53"
其中：代理买卖证券业务净收入,"1,837,318,211.66","2,629,450,625.88","1,792,906,509.54","669,162,781.81","922,225,554.21","1,129,829,035.35","234,478,250.18","487,033,635.33","698,842,000.79","915,045,942.65","322,160,659.12","649,020,515.87","1,088,766,739.25","1,478,020,046.96","405,918,417.10","744,843,009.85","1,546,964,770.29","2,399,685,127.38","1,070,887,445.78","3,611,035,488.79","5,143,508,910.91","6,899,959,235.17","887,055,670.39",,"2,689,364,237.26",,,,,
减：摊回分保费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
证券承销业务净收入,"934,712.36","84,202,309.04","243,186,273.78","18,540,398.83","96,197,068.55","128,970,628.63","11,774,197.45","30,569,304.64","89,376,215.75","143,710,424.75","28,497,013.06","43,087,013.06","42,819,954.24","207,802,784.50","28,237,349.31","87,191,195.00","150,672,238.40","188,345,523.02","48,463,900.42","87,690,976.16","180,676,733.89","363,900,109.81","150,602,830.85",,"410,168,465.12",,,,,
资产减值损失,"-14,812,011.30","-34,973,583.83","-7,849,430.50","215,176.91","-34,792.41","-117,592,106.98",-143.17,"1,966,977.30","-28,174,491.31","25,639,040.70","-1,383.32","269,387,921.17","274,544,945.25","286,441,840.75","-2,085.00","1,370,955.52","5,301,649.92","6,141,047.00","-51,361.57","8,570,884.56","8,541,315.80","456,913,349.43","-1,500,856.59","-3,764,772.17","-3,794,386.98","48,744,056.07","-112,156.08","6,341,880.51","6,284,297.35","74,225,547.19"
委托客户管理资产业务净收入,,,"8,975,836.46","11,992,671.36","23,835,276.19","35,610,310.89","7,842,667.36","15,354,044.02","19,355,558.32","22,650,332.06","4,200,896.71","15,292,069.22","26,907,727.47","40,939,052.34","12,319,068.90","27,537,887.32","52,430,911.51","58,470,317.87","36,377,748.60","36,069,279.82","63,971,016.67","99,826,691.71","34,214,495.19",,"91,064,878.50",,,,,
其他业务成本,"3,604,225.04","27,093,703.58","6,755,062.06","12,923,028.55","13,061,951.81","13,324,069.42","179,570.79","266,742.64","118,690,349.86","133,413,058.80","163,133.46","495,113.53","699,743.78","919,408.49","13,785,830.83","16,491,682.06","43,542,398.83","43,656,312.02","9,312,491.58","16,941,066.56","23,656,515.97","36,531,141.60","346,923.53","1,696,701.35","4,243,142.82","5,185,178.47","14,418,335.19","42,956,827.57","52,047,778.66","55,713,386.55"
已赚保费,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三、营业利润,"1,134,683,673.41","1,877,917,911.14","1,674,411,270.59","365,197,182.28","285,208,483.49","331,982,609.81","256,273,859.86","546,982,918.65","641,929,878.42","622,901,802.61","429,678,233.58","469,405,074.00","1,031,811,501.97","1,350,189,211.33","546,682,677.17","943,982,865.81","1,880,855,519.41","2,295,851,246.82","1,305,365,288.33","3,801,603,598.94","5,235,883,705.71","5,520,799,659.60","1,066,631,652.16","2,613,346,690.31","3,263,314,165.51","3,150,625,706.65","547,865,362.70","1,062,988,381.54","1,753,875,308.50","1,693,712,833.28"
保险业务收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加：补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其中：分保费收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业外收入,"9,846,341.82","7,050,324.09","39,155,256.47","6,951,365.65","7,891,619.26","27,870,942.54","443,964.41","1,024,095.92","14,204,907.18","50,329,208.98","5,162,839.29","8,177,856.79","9,019,920.03","25,395,211.45","557,708.16","9,615,956.48","11,703,603.28","16,379,247.58","864,135.91","1,727,724.43","10,951,350.01","41,186,187.45","1,051,796.15","9,406,355.25","20,639,134.55","65,811,674.56","607,495.38","6,882,191.39","11,684,707.21","230,194,949.75"
减：分出保费,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
减：营业外支出,"6,788,506.42","4,588,487.69","3,991,525.98","577,873.14","967,309.32","1,551,931.98","1,271,807.87","1,942,919.86","2,934,545.68","6,840,584.63","3,794,808.85","5,678,779.53","8,650,876.21","15,712,402.34","523,901.67","-750,309.27","-14,964.45","12,145,372.99","1,795,382.53","2,952,340.17","84,250,853.45","114,521,441.74","-320,074.89","5,357,685.97","7,614,821.74","54,317,965.31","3,162,323.10","12,466,604.21","15,616,608.84","37,286,617.61"
提取未到期责任准备金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加：影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,"60,551,584.49","125,561,657.21","235,640,031.27","124,173,760.52","145,779,060.46","16,290,000.18","76,536,665.08","176,144,699.33","300,333,735.40","306,541,944.25","166,122,432.59","274,890,982.64","461,415,132.42","705,050,012.94","215,272,676.06","559,397,593.12","944,338,851.07","1,217,731,565.61","388,193,108.36","1,129,804,308.49","1,370,627,983.08","2,296,667,532.76","809,328,156.50","2,234,482,001.47","2,766,182,168.08","3,587,046,962.46","444,354,979.13","1,149,731,934.26","1,444,064,996.45","2,410,090,580.50"
四、利润总额,"1,137,741,508.81","1,880,379,747.54","1,709,575,001.08","371,570,674.79","292,132,793.43","358,301,620.37","255,446,016.40","546,064,094.71","653,200,239.92","666,390,426.96","431,046,264.02","471,904,151.26","1,032,180,545.79","1,359,872,020.44","546,716,483.66","954,349,131.56","1,892,574,087.14","2,300,085,121.41","1,304,434,041.71","3,800,378,983.20","5,162,584,202.27","5,447,464,405.31","1,068,003,523.20","2,617,395,359.59","3,276,338,478.32","3,162,119,415.90","545,310,534.98","1,057,403,968.72","1,749,943,406.87","1,886,621,165.42"
其中：对联营企业和合营企业的投资收益,"411,450.59","794,771.39","323,885.20",,,,"72,381,189.48","99,834,995.45","186,611,896.95","283,031,775.60","85,067,050.62","196,747,600.00","314,788,015.64","394,009,555.67","89,223,523.99","209,170,584.85","269,933,186.76","260,103,592.47",,,,"-3,251,218.02",,,,"-31,113,475.95",,,,"-15,636,004.13"
减：所得税,"278,600,079.14","488,892,558.10","437,194,298.64","91,726,475.36","78,452,058.24","107,043,228.01","48,288,371.99","116,936,047.91","126,344,103.51","106,993,313.84","99,591,941.11","76,559,588.72","216,168,144.34","260,503,829.74","110,331,490.30","186,721,967.16","408,435,686.34","499,700,448.45","321,641,050.62","851,801,889.81","1,207,642,889.02","1,348,970,822.74","222,530,417.08","474,014,378.75","618,550,104.50","579,797,104.99","132,758,004.20","244,767,122.46","419,073,708.35","434,033,844.53"
公允价值变动收益,"-93,414,953.64","30,043,504.45","249,283,271.26","-119,572,466.41","-327,680,112.58","-305,342,303.09","14,203,443.68","89,592,630.41","-87,626,197.46","28,685,105.86","19,622,369.94","-8,880,360.80","41,050,542.67","31,399,618.92","-7,819,859.45","19,338,803.83","59,250,096.06","-6,657,752.58","-69,799,700.28","-80,694,260.29","163,065,628.95","224,787,917.57","-14,009,518.78","-60,614,521.36","-19,003,394.57","-499,509,770.07","-191,386,508.31","-290,644,309.15","-531,286,875.11","-848,523,644.40"
加：影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
汇兑收益,"-6,894,728.90","-828,220.36","-864,787.37","-362,779.37","-1,492,840.01","-2,252,649.53","12,611.18","199,506.70","311,650.35","60,760.03","-269,866.18","-522,278.19","-645,048.10","-825,452.96","98,767.92","143,633.37","114,222.09","292,074.49","202,648.64","141,095.27","901,546.38","1,850,758.19","-127,325.55","819,348.34","1,112,842.32","2,620,958.21","-140,778.41","-544,864.55","-815,196.25","-1,050,197.64"
五、净利润,"859,141,429.67","1,391,487,189.44","1,272,380,702.44","279,844,199.43","213,680,735.19","251,258,392.36","207,157,644.41","429,128,046.80","526,856,136.41","559,397,113.12","331,454,322.91","395,344,562.54","816,012,401.45","1,099,368,190.70","436,384,993.36","767,627,164.40","1,484,138,400.80","1,800,384,672.96","982,792,991.09","2,948,577,093.39","3,954,941,313.25","4,098,493,582.57","845,473,106.12","2,143,380,980.84","2,657,788,373.82","2,582,322,310.91","412,552,530.78","812,636,846.26","1,330,869,698.52","1,452,587,320.89"
其他业务收入,"16,284,149.01","36,262,115.39","18,827,085.81","21,831,635.30","28,004,434.26","32,674,910.80","5,877,916.06","10,560,418.28","138,652,633.93","136,251,559.41","3,331,001.04","11,128,904.11","17,162,680.52","24,826,244.61","20,057,217.35","47,003,413.61","86,949,111.34","75,978,833.05","31,026,001.81","35,578,742.14","51,416,552.03","69,221,876.60","10,790,876.27","24,408,037.20","54,656,128.70","36,866,185.32","18,915,785.55","58,405,804.49","98,941,294.07","92,214,836.74"
（一）归属于母公司所有者的净利润,"859,122,572.41","1,385,424,635.48","1,248,122,995.14","287,967,480.59","219,828,874.54","256,917,133.54","210,563,051.17","439,046,013.11","533,049,470.98","562,221,627.30","333,488,628.89","404,841,151.34","838,404,095.78","1,105,625,249.57","435,190,224.28","769,464,426.48","1,482,238,635.72","1,796,097,769.62","970,330,828.19","2,926,052,501.90","3,927,102,499.75","4,064,211,991.64","847,686,647.77","2,152,250,085.97","2,665,247,145.99","2,569,336,882.57","404,829,106.98","824,194,520.23","1,330,630,363.38","1,452,957,913.42"
二、营业支出,"1,017,441,725.66","1,434,008,373.09","1,413,292,159.25","601,148,042.52","1,013,845,956.23","1,377,051,240.60","310,058,831.37","657,310,545.48","1,089,783,158.22","1,708,722,275.55","333,214,441.61","965,251,835.99","1,352,719,384.81","2,091,352,202.11","381,526,200.89","978,205,272.24","1,721,010,234.26","2,603,847,983.24","534,477,239.85","1,817,175,951.70","2,755,723,330.07","5,394,190,047.02","858,316,779.99","1,874,275,582.72","2,973,747,943.28","4,609,271,132.49","776,658,476.57","1,905,186,659.51","2,949,278,441.24","4,259,274,411.53"
（二）少数股东损益,"18,857.26","6,062,553.96","24,257,707.30","-8,123,281.16","-6,148,139.35","-5,658,741.18","-3,405,406.76","-9,917,966.31","-6,193,334.57","-2,824,514.18","-2,034,305.98","-9,496,588.80","-22,391,694.33","-6,257,058.87","1,194,769.08","-1,837,262.08","1,899,765.08","4,286,903.34","12,462,162.90","22,524,591.49","27,838,813.50","34,281,590.93","-2,213,541.65","-8,869,105.13","-7,458,772.17","12,985,428.34","7,723,423.80","-11,557,673.97","239,335.14","-370,592.53"
退保金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
六、每股收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
赔付支出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（一）基本每股收益,0.1868,0.3012,0.2713,0.06,0.05,0.0504,0.03,0.07,0.09,0.09,0.05,0.07,0.14,0.18,0.07,0.13,0.23,0.26,0.12,0.36,0.48,0.49,0.10,0.26,0.32,0.31,0.05,0.10,0.16,0.18
减：摊回赔付支出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（二）稀释每股收益,0.1868,0.3012,0.2713,0.06,0.05,0.0504,0.03,0.07,0.09,0.09,0.05,0.07,0.14,0.18,0.07,0.13,0.23,0.26,0.12,0.36,0.48,0.49,0.10,0.26,0.32,0.31,0.05,0.10,0.16,0.18
