科目,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
投资收益,"463,680,057.92","660,354,406.70","61,647,208.68","148,276,639.39","83,997,959.05","150,531,452.14","18,826,147.43","103,607,308.90","184,632,043.62","291,830,456.69","138,011,408.03","77,286,099.30","88,293,470.38","269,266,563.08","55,730,891.74","40,257,158.04","14,213,783.06","-69,465,502.98","-28,182,903.82","17,583,160.31","78,834,361.15","150,319,416.79","204,803,509.36","378,686,795.70","506,656,126.54","618,504,603.06","112,988,603.87","187,026,923.46","392,318,808.63","887,309,534.38","582,131,940.23","1,768,434,809.57","2,153,698,179.63","2,678,676,098.29","392,361,485.49","819,033,548.22","1,520,612,030.49","2,138,396,891.10","237,439,119.12","506,882,319.01","1,056,144,933.75","1,556,422,958.74","159,645,503.02","455,089,652.83","711,831,695.04","1,402,866,099.75","117,256,971.28"
四、利润总额,"1,502,411,901.72","1,684,689,313.69","231,449,865.42","419,319,789.34","436,833,141.75","514,175,363.31","277,461,509.67","615,788,925.18","813,723,341.27","1,190,214,621.43","260,348,107.14","134,406,850.46","420,326,431.05","685,872,681.78","136,204,051.05","109,345,374.24","-37,971,743.46","-168,001,422.31","62,478,470.69","142,089,081.22","163,145,119.16","179,649,609.45","214,391,563.25","368,442,837.63","546,757,182.40","577,738,390.32","238,945,154.80","439,003,165.97","804,197,391.32","1,390,907,278.56","728,138,705.61","2,377,722,674.47","2,895,075,786.71","3,414,447,439.00","509,192,173.84","770,225,879.10","1,468,309,261.66","1,652,896,632.49","253,649,234.94","386,579,474.12","801,103,529.07","780,572,570.66","173,035,841.19","314,686,809.96","340,876,994.34","299,303,059.74","764,626,447.74"
其中：对联营企业和合营企业的投资收益,"95,314,256.80","136,986,676.43","21,248,092.03","52,871,580.15","59,586,175.09","50,357,162.02","21,172,104.39","36,632,251.78","67,722,379.55","73,899,608.99","21,745,165.83","40,828,341.96","60,682,580.57","85,191,028.94","12,416,687.01","29,011,333.07","42,995,748.23","42,877,176.11","7,747,704.65","23,965,046.15","40,611,541.92","51,224,341.83","15,128,970.28","30,599,058.15","49,717,683.43","62,722,253.23","4,828,129.18","19,947,228.94","39,537,230.59","68,235,082.25","21,280,505.83","90,950,205.13","90,050,689.70","112,589,942.49","21,243,100.48","28,362,177.01","53,068,403.30",,,,,,,,,,
减：所得税,"452,004,828.04","570,875,951.64","52,016,100.10","75,959,780.66","92,227,781.01","104,201,123.38","64,068,585.59","139,336,863.33","180,914,194.49","277,329,745.48","59,035,476.54","23,942,715.25","90,455,678.35","158,338,029.00","30,936,668.91","20,222,164.89","-19,925,844.91","-16,996,826.18","13,209,932.83","18,619,785.26","20,049,622.48","28,419,242.19","27,518,956.88","59,669,557.49","99,975,566.70","94,575,688.92","58,936,052.82","104,258,854.91","196,652,537.77","316,261,174.72","175,419,012.09","524,945,585.82","628,180,096.83","722,303,083.24","105,336,430.83","170,619,196.67","282,862,998.01","290,807,126.89","56,355,353.16","60,489,265.45","134,947,969.47","77,869,582.06","33,496,599.49","56,194,805.83","59,859,881.26","-12,651,504.02","181,997,865.75"
公允价值变动收益,"107,701,933.92","65,008,528.11","-42,471,328.85","-112,434,085.89","-112,969,816.64","-129,792,665.70","81,599,306.77","158,663,468.80","27,980,867.99","140,130,515.29","-57,777,336.48","-220,498,744.38","-34,681,372.09","-65,894,375.68","21,421,036.64","-7,657,989.38","-105,372,682.84","-78,653,937.28","41,989,553.40","60,713,124.30","62,764,322.50","88,340,658.40","29,043,487.56","-1,697,621.59","-38,246,008.45","-118,471,333.67","67,692,030.88","175,396,779.54","216,312,263.28","219,197,296.93","-97,591,287.55","-15,055,152.86","-179,221,785.67","33,546,262.31","18,152,934.88","-133,253,716.56","-77,227,880.03","-233,641,620.92","-30,244,831.30","-10,475,531.59","20,462,303.80","8,180,718.47","92,100,915.81","95,327,615.63","153,412,134.22","237,695,202.22","970,058,046.41"
加：影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
汇兑收益,,"-890,225.16",,,"-428,198.98","-431,927.76","1,376.67","6,615.29","-4,493.74","-6,637.37","-5,292.78","-70,367.60","-221,956.13","-372,353.48","-125,386.17","-290,193.13","-528,805.99","-630,916.71","-11,490.38","53,322.74","88,204.66","-27,673.92","-38,748.23","-233,311.32","-301,155.79","-417,365.14","125,712.88","129,103.90","124,189.52","46,989.41","56,239.09","-14,838.78","659,851.56","1,020,276.60","-97,612.95","401,198.74","540,465.85","1,322,524.95","-119,785.92","-515,858.59","-940,369.73","-1,261,603.34","-777,929.56","-1,007,870.70","-643,990.77","-625,407.62","-415,912.09"
五、净利润,"1,050,407,073.68","1,113,813,362.05","179,433,765.32","343,360,008.68","344,605,360.74","409,974,239.93","213,392,924.08","476,452,061.85","632,809,146.78","912,884,875.95","201,312,630.60","110,464,135.21","329,870,752.70","527,534,652.78","105,267,382.14","89,123,209.35","-18,045,898.55","-151,004,596.13","49,268,537.86","123,469,295.96","143,095,496.68","151,230,367.26","186,872,606.37","308,773,280.14","446,781,615.70","483,162,701.40","180,009,101.98","334,744,311.06","607,544,853.55","1,074,646,103.84","552,719,693.52","1,852,777,088.65","2,266,895,689.88","2,692,144,355.76","403,855,743.01","599,606,682.43","1,185,446,263.65","1,362,089,505.60","197,293,881.78","326,090,208.67","666,155,559.60","702,702,988.60","139,539,241.70","258,492,004.13","281,017,113.08","311,954,563.76","582,628,581.99"
其他业务收入,"48,503,027.10","86,395,017.31","15,263,255.59","39,961,678.28","57,237,903.13","69,024,366.93","11,484,912.51","22,238,925.49","41,635,808.40","13,973,373.33","3,604,407.45","5,175,326.52","7,538,129.13","9,519,616.96","2,569,431.92","5,274,571.22","9,803,936.90","14,111,929.20","4,638,878.93","8,530,287.43","13,612,544.10","18,556,473.56","4,214,646.66","7,374,470.28","11,210,418.84","11,352,854.82","13,235,918.37","27,198,970.00","40,120,584.90","14,093,875.05","3,587,844.83","8,265,972.73","11,620,394.17","16,393,543.21","3,797,604.00","5,739,069.80","14,214,773.82","314,435,152.47","451,784,756.76","894,601,766.06","1,345,949,305.40","1,839,228,403.86","9,919,733.57","814,025,946.08","2,278,050,623.89","3,721,684,601.08","865,686,475.12"
（一）归属于母公司所有者的净利润,"1,050,348,914.09","1,113,823,250.40","179,258,428.55","343,340,146.07","344,592,438.48","409,952,307.03","213,413,230.69","476,411,709.69","632,727,289.32","912,875,912.84","201,315,346.93","110,403,898.09","329,646,692.39","527,133,155.88","105,093,415.61","88,874,046.37","-18,409,606.76","-151,553,964.49","49,027,417.80","123,124,511.07","142,616,281.43","150,595,137.38","186,112,958.18","307,688,100.33","444,733,094.52","480,057,377.95","178,198,552.44","331,717,288.11","602,322,029.04","1,060,025,355.59","548,682,537.34","1,829,376,943.09","2,232,487,040.09","2,630,058,890.07","400,359,882.54","588,109,937.06","1,159,404,761.59","1,314,941,187.90","193,357,411.04","310,946,599.50","640,900,585.78","666,946,558.98","132,905,501.51","248,576,087.92","270,941,359.35","301,352,976.41","567,906,600.98"
二、营业支出,"551,956,056.40","869,353,656.86","150,857,516.84","295,605,404.68","422,386,996.66","599,280,673.90","128,020,058.44","333,892,468.24","556,260,563.58","802,784,110.50","194,081,407.80","383,137,849.34","633,703,196.26","1,015,932,213.43","238,378,207.76","470,183,451.69","717,833,927.89","988,001,263.76","205,234,420.21","479,882,255.04","719,435,740.14","1,044,876,245.28","309,568,660.31","576,275,364.23","856,387,252.30","1,200,164,426.94","330,515,882.27","652,343,785.17","1,053,744,994.10","1,709,266,030.62","481,817,215.12","1,652,485,118.90","2,128,201,370.73","3,348,296,850.86","437,415,098.56","1,010,904,475.49","1,668,935,029.30","2,882,228,889.67","818,509,441.40","1,741,799,483.26","2,779,031,183.84","4,171,203,799.79","780,669,204.40","1,761,591,327.64","3,818,214,839.00","6,530,996,042.67","1,511,917,539.21"
（二）少数股东损益,"58,159.59","-9,888.35","11,287.07","19,862.61","12,922.26","21,932.90","-20,306.61","40,352.16","81,857.46","8,963.11","-2,716.33","60,237.12","224,060.31","401,496.90","173,966.53","249,162.98","363,708.21","549,368.36","241,120.06","344,784.89","479,215.25","635,229.88","759,648.19","1,085,179.81","2,048,521.18","3,105,323.45","1,810,549.54","3,027,022.95","5,222,824.51","14,620,748.25","4,037,156.18","23,400,145.56","34,408,649.79","62,085,465.69","3,495,860.47","11,496,745.37","26,041,502.06","47,148,317.70","3,936,470.74","15,143,609.17","25,254,973.82","35,756,429.62","6,633,740.19","9,915,916.21","10,075,753.73","10,601,587.35","14,721,981.01"
退保金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
六、每股收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
赔付支出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（一）基本每股收益,1.81,2.36,0.31,0.59,0.59,0.71,0.37,0.75,0.99,1.43,0.31,0.17,0.52,0.82,0.16,0.14,-0.03,-0.24,0.08,0.19,0.21,0.20,0.19,0.31,0.45,0.49,0.09,0.17,0.31,0.54,0.28,0.93,1.14,1.34,0.20,0.27,0.52,0.58,0.08,0.13,0.27,0.28,0.06,0.11,0.12,0.13,0.24
减：摊回赔付支出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
（二）稀释每股收益,1.81,2.36,0.31,0.59,0.59,0.71,0.37,0.75,0.99,1.43,0.31,0.17,0.52,0.82,0.16,0.14,-0.03,-0.24,0.08,0.19,0.21,0.20,0.19,0.31,0.45,0.49,0.09,0.17,0.31,0.54,0.28,0.93,1.14,1.34,0.20,0.27,0.52,0.58,0.08,0.13,0.27,0.28,0.06,0.11,0.12,0.13,0.24
