科目,2010年度,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
加：补贴收入,,,,,,,,,,,,,,,,
其中：分保费收入,,,,,,,,,,,,,,,,
营业外收入,"31,215,069.27","156,053,392.06","42,348,397.31","54,488,290.05","353,508.18","98,701,220.70","118,910,155.31","122,341,914.32","4,105,482.80","217,475,995.90","217,865,535.94","220,072,676.69","279,615,269.08","308,614,767.51","309,400,236.99","312,022,456.30"
减：分出保费,,,,,,,,,,,,,,,,
减：营业外支出,"4,518,503.87","6,302,165.92","3,697,260.41","10,722,021.38","5,000,221.22","14,278,534.93","14,651,241.75","17,704,829.83","429,504.53","1,272,377.09","6,902,751.70","10,179,585.93","223,768.40","9,778,154.57","11,655,874.00","28,348,045.65"
提取未到期责任准备金,,,,,,,,,,,,,,,,
加：影响利润总额的其他科目,,,,,,,,,,,,,,,,
投资收益,"1,108,314,511.84","1,254,359,492.67","2,415,233,530.64","3,798,092,011.09","1,980,530,275.85","7,138,818,548.53","8,138,366,196.13","9,507,362,048.30","913,935,089.88","1,716,597,216.00","2,627,183,372.62","3,613,855,881.80","852,743,366.15","2,072,077,772.92","3,464,917,829.35","5,528,362,176.28"
四、利润总额,"1,652,134,051.89","712,321,383.32","1,134,237,458.95","2,933,688,169.54","2,515,719,140.34","7,700,561,550.42","7,818,846,732.54","9,499,085,291.69","569,165,597.77","1,560,603,694.20","2,315,883,320.15","2,813,322,916.29","1,097,113,967.67","2,182,277,241.48","3,209,804,816.96","4,388,512,215.66"
其中：对联营企业和合营企业的投资收益,"138,795,962.03","72,043,179.09","123,675,278.47","136,126,696.90","19,865,304.40","161,349,245.11","220,896,026.59","436,295,503.88","68,071,209.71","132,769,962.00","221,231,074.42","398,583,391.48","76,005,670.28","173,443,415.80","228,564,205.80","476,783,128.75"
减：所得税,"336,847,655.37","121,493,457.42","151,907,956.07","574,986,526.93","555,928,095.54","1,767,970,363.45","1,851,131,918.13","2,124,915,559.91","98,012,350.02","204,226,535.08","360,800,973.60","386,672,253.25","227,391,267.34","373,674,044.83","511,849,774.18","785,494,593.18"
公允价值变动收益,"-37,844,803.13","89,712,015.12","-142,224,038.48","244,304,999.87","1,157,192,654.42","579,507,340.48","-839,839,722.43","270,865,036.15","-500,313,567.53","-581,567,354.88","-476,878,724.06","-401,697,205.64","558,644,791.94","1,186,005,467.57","1,460,020,989.78","1,686,996,294.85"
加：影响净利润的其他科目,,,,,,,,,,,,,,,,
汇兑收益,"-2,766,910.57","-2,160,060.81","-6,444,053.77","4,098,821.02","-4,137,747.06","2,289,363.26","15,209,699.47","69,639,933.20","-56,873,861.25","43,658,718.84","84,986,355.11","291,370,961.98","-42,226,614.05","-77,673,355.62","-123,135,938.76","-129,905,049.68"
五、净利润,"1,315,286,396.52","590,827,925.90","982,329,502.88","2,358,701,642.61","1,959,791,044.80","5,932,591,186.97","5,967,714,814.41","7,374,169,731.78","471,153,247.75","1,356,377,159.12","1,955,082,346.55","2,426,650,663.04","869,722,700.33","1,808,603,196.65","2,697,955,042.78","3,603,017,622.48"
其他业务收入,"7,414,037.32","8,743,487.37","11,690,687.12","17,160,459.13","2,489,916.50","12,908,471.36","12,970,295.82","15,705,590.88","10,392,750.64","14,102,347.56","18,146,194.87","26,440,653.37","35,831,008.48","104,214,306.34","234,727,654.93","450,037,484.38"
（一）归属于母公司所有者的净利润,"1,315,286,396.52","609,480,516.69","1,007,421,947.97","2,341,671,183.75","1,939,946,048.50","5,877,605,505.21","5,910,867,136.32","7,325,224,517.53","423,098,320.77","1,283,431,509.35","1,875,819,989.55","2,313,974,857.75","844,297,461.03","1,755,242,262.97","2,628,915,372.22","3,553,626,384.73"
二、营业支出,"1,465,041,323.13","1,818,720,074.61","2,148,350,420.39","2,609,681,110.15","1,600,580,947.15","3,385,355,588.21","4,167,477,530.90","6,040,256,854.07","815,508,837.99","1,548,500,853.22","2,663,042,489.08","4,273,509,216.67","1,311,165,400.15","2,744,489,806.14","4,146,932,909.19","6,426,673,519.12"
（二）少数股东损益,,"-18,652,590.79","-25,092,445.09","17,030,458.86","19,844,996.30","54,985,681.76","56,847,678.09","48,945,214.25","48,054,926.98","72,945,649.77","79,262,357.00","112,675,805.29","25,425,239.30","53,360,933.68","69,039,670.56","49,391,237.75"
退保金,,,,,,,,,,,,,,,,
六、每股收益,,,,,,,,,,,,,,,,
赔付支出,,,,,,,,,,,,,,,,
（一）基本每股收益,0.40,0.14,0.24,0.55,0.45,1.23,1.19,1.46,0.08,0.24,0.34,0.41,0.14,0.28,0.42,0.57
减：摊回赔付支出,,,,,,,,,,,,,,,,
（二）稀释每股收益,0.40,0.14,0.24,0.55,0.45,1.23,1.19,1.46,0.08,0.24,0.34,0.41,0.14,0.28,0.42,
