科目,2010年度,2013年度,2014年度,2015年1-9月,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
筹资活动产生的现金流量净额,,"922,500,000.00","3,331,641,206.38","8,368,426,700.00","8,718,761,124.28","-958,584,964.73","-1,279,959,200.00","917,064,980.02","-992,952,318.85","-3,836,749,226.02","-1,378,381,435.68","444,638,473.66","-433,578,245.43"
支付给职工以及为职工支付的现金,"389,861,525.00","442,724,619.62","515,699,389.36",,"1,060,272,767.63","589,455,684.21",,"950,258,167.20","244,023,254.24","437,174,104.63","586,022,527.20","766,100,987.44","268,792,942.85"
四、汇率变动对现金的影响,"-261,995.49","-1,529,392.36","3,529,031.51","61,960,100.00","62,062,152.53","-2,589,542.13","-2,498,200.00","-3,442,833.21","-109,358.08","603,412.21","668,013.35","-1,290,753.60","3,253,955.21"
支付的各项税费,"295,140,975.74","185,480,069.85","257,861,277.21",,"695,208,790.43","256,738,425.35",,"583,123,607.72","100,978,336.21","160,943,422.46","220,915,187.91","318,162,878.04","61,250,453.28"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"1,533,194,008.84","434,768,571.71","976,845,378.62",,"900,263,888.55","522,317,507.96",,"786,914,139.38","1,130,094,995.66","1,567,490,729.31","4,186,197,025.58","5,046,788,447.68","2,412,386,332.10"
五、现金及现金等价物净增加额,"-743,256,357.00","-386,596,930.47","5,665,271,389.74","10,080,807,000.00","5,859,793,164.27","-2,210,616,580.34","-4,466,604,300.00","-1,975,704,085.05","-2,972,811,638.23","-4,057,422,252.65","-4,842,717,447.92","-4,200,061,186.65","-1,115,629,348.82"
经营活动现金流出小计,"2,422,686,430.12","3,554,692,382.88","7,224,867,181.49",,"11,535,912,402.23","5,838,393,684.50",,"9,611,103,735.09","3,729,889,853.58","2,313,541,294.05","5,822,116,576.92","8,177,188,069.76","2,973,270,205.96"
期初现金及现金等价物余额,"11,750,103,943.92","6,024,608,680.45","5,638,011,749.98",,"11,303,283,139.72","17,163,076,303.99",,"17,163,076,303.99","15,187,372,218.94","15,187,372,218.94","15,187,372,218.94","15,187,372,218.94","10,987,311,032.29"
经营活动产生的现金流量净额,"-607,336,442.64","-883,841,427.07","2,645,370,610.33","2,739,475,900.00","-1,062,141,293.30","-879,362,073.48","-2,688,641,500.00","-2,701,990,424.05","-2,418,805,617.99","368,355,988.32","-2,825,542,694.99","-4,153,277,912.05","-398,605,694.96"
期末现金及现金等价物余额,"11,006,847,586.92","5,638,011,749.98","11,303,283,139.72",,"17,163,076,303.99","14,952,459,723.65",,"15,187,372,218.94","12,214,560,580.71","11,129,949,966.29","10,344,654,771.02","10,987,311,032.29","9,871,681,683.47"
二、投资活动产生的现金流量,,,,,,,,,,,,,
,,,,,,,,,,,,,
