科目,2011年度,2012年度,2013年度,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
堪探费用,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,
财务费用,"-243,401.43","381,148.12","140,447.88","-201,431.62","-1,505,158.07","116,748.39","-654,183.20","-905,635.20","-3,077,800.92","-315,898.75","-788,541.05","-1,199,796.55","-1,284,186.11","3,098,131.34","4,424,567.76","8,523,935.69","14,294,088.36","4,952,607.37","9,404,468.35"
三、利润总额,"54,727,379.82","62,517,956.05","71,974,541.81","39,435,841.35","58,954,865.30","5,929,319.84","37,261,430.82","41,137,887.81","53,549,878.42","7,497,157.82","37,426,096.40","49,045,821.62","80,141,492.16","636,774.15","42,558,237.19","56,414,945.21","113,015,237.79","16,899,505.96","81,508,416.79"
资产减值损失,"5,093,220.19","1,577,292.66","-196,619.06","8,838,145.31","9,628,935.84","1,495,561.73","8,394,964.82","12,315,659.50","16,935,958.35","1,544,658.63","10,790,993.88","11,311,353.66","9,561,473.79","2,914,446.91","17,863,620.56","17,826,416.65","24,252,550.37","-3,238,629.60","13,495,624.75"
减:所得税,"8,392,167.32","9,866,865.86","11,654,823.29","3,864,035.19","5,312,793.70","1,755,940.30","2,758,596.40","2,810,961.59","2,769,775.03","1,583,449.56","3,543,066.07","5,191,194.86","9,504,770.38","2,293,106.61","6,347,215.44","7,969,581.95","14,104,999.64","6,126,315.90","13,842,088.99"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,
投资收益,,,,,,,,,,,,,,,"667,898.35","1,658,196.40","2,573,359.38","781,668.71","2,036,146.49"
四、净利润,"46,335,212.50","52,651,090.19","60,319,718.52","35,571,806.16","53,642,071.60","4,173,379.54","34,502,834.42","38,326,926.22","50,780,103.39","5,913,708.26","33,883,030.33","43,854,626.76","70,636,721.78","-1,656,332.46","36,211,021.75","48,445,363.26","98,910,238.15","10,773,190.06","67,666,327.80"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,,,,"2,573,359.38",,
归属于母公司所有者的净利润,"46,307,719.13","53,552,996.52","59,317,378.44","36,067,583.38","53,979,241.06","4,454,844.57","35,326,599.02","39,288,234.28","52,185,685.23","6,129,557.42","33,626,425.48","43,588,998.03","69,533,774.01","-645,867.85","37,596,136.17","49,888,607.81","92,411,313.88","11,233,270.60","68,794,194.36"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,0.01,
少数股东损益,"27,493.37","-901,906.33","1,002,340.08","-495,777.22","-337,169.46","-281,465.03","-823,764.60","-961,308.06","-1,405,581.84","-215,849.16","256,604.85","265,628.73","1,102,947.77","-1,010,464.61","-1,385,114.42","-1,443,244.55","6,498,924.27","-460,080.54","-1,127,866.56"
