科目,2010年度,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
四、利润总额,"422,920,306.90","200,480,716.47","661,555,039.86","1,320,897,250.06","147,538,499.91","334,078,876.92","617,326,192.27","772,656,613.32","82,264,848.30","245,986,244.85","385,542,938.07"
其中：对联营企业和合营企业的投资收益,"96,497,202.53","83,251,188.23","91,768,003.16","156,609,130.22","13,424,574.66","36,734,049.27","74,237,952.00",,,,
减：所得税,"74,384,595.37","32,248,891.72","143,954,088.80","283,201,487.18","40,748,224.19","83,834,729.18","148,701,707.12","182,962,154.79","15,577,933.25","49,477,085.74","79,216,578.91"
公允价值变动收益,"-23,010,887.92","-79,729,242.03","61,694,702.54","-201,825,304.11","-100,755,104.36","-206,383,474.38","-274,469,172.11","-477,549,292.19","-42,077,879.99","-52,715,288.52","-81,941,151.11"
加：影响净利润的其他科目,,,,,,,,,,,
汇兑收益,"-556,571.51","-636,715.75","58,820.27","1,192,839.91",-848.29,"428,958.84","430,185.07","1,426,044.18",-919.42,"-743,402.26","-746,943.09"
五、净利润,"348,535,711.53","168,231,824.75","517,600,951.06","1,037,695,762.88","106,790,275.72","250,244,147.74","468,624,485.15","589,694,458.53","66,686,915.05","196,509,159.11","306,326,359.16"
其他业务收入,"82,414.50","14,400.00","31,727,713.36","59,436,765.74","7,163,904.41","28,020,138.86","41,924,207.58","57,162,047.67","12,548,223.81","24,392,780.77","38,489,534.82"
（一）归属于母公司所有者的净利润,"348,535,711.53","162,774,150.76","508,166,224.38","1,021,272,659.70","99,891,212.21","230,675,852.87","424,324,194.53","561,781,266.87","68,615,330.15","189,220,336.77","298,869,965.97"
二、营业支出,"581,465,637.59","841,167,667.21","1,199,458,091.57","1,701,832,005.40","234,817,868.40","499,313,076.26","845,463,854.17","1,269,960,754.74","287,687,323.80","629,856,685.64","987,779,391.11"
（二）少数股东损益,,"5,457,673.99","9,434,726.68","16,423,103.18","6,899,063.51","19,568,294.87","44,300,290.62","27,913,191.66","-1,928,415.10","7,288,822.34","7,456,393.19"
退保金,,,,,,,,,,,
六、每股收益,,,,,,,,,,,
赔付支出,,,,,,,,,,,
（一）基本每股收益,,0.08,0.26,0.52,0.05,0.11,0.21,0.27,0.03,0.05,0.09
减：摊回赔付支出,,,,,,,,,,,
（二）稀释每股收益,,0.08,0.26,0.52,0.05,0.11,0.21,0.27,0.03,0.05,0.09
