科目,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
经营活动现金流入小计,"19,437,436,700.00","60,401,185,025.89","72,854,684,143.97","198,785,552,806.27","71,349,412,572.44","127,043,242,703.45","27,743,164,665.78","45,504,725,453.68","24,018,219,629.20","62,816,830,230.99","6,087,908,680.70","20,743,846,011.92","26,878,635,524.97","27,660,850,021.63","30,021,315,497.84","15,968,402,838.97","25,739,672,699.95","42,158,549,380.09","29,305,970,702.91"
收到其他与筹资活动有关的现金,,,"3,550,431,601.26",,,,,,"202,302,128.65",,"739,020,771.00",,,,,,,,
客户贷款及垫款净增加额,,,,,,,,,,,,,,,,,,,
筹资活动现金流入小计,"19,647,562,200.00","36,204,497,092.92","9,799,717,918.49","45,217,214,180.07","45,503,353,318.95","49,737,698,833.02","10,476,722,000.00","15,965,050,036.89","20,324,546,712.64","50,079,166,730.89","13,870,169,771.00","25,948,421,000.00","29,131,192,158.45","48,429,948,603.82","25,338,422,280.13","54,810,037,884.60","77,913,929,842.00","91,155,876,935.56","14,144,287,000.00"
存放中央银行和同业款项净增加额,,,,,,,,,,,,,,,,,,,
偿还债务支付的现金,"9,000,000,000.00","22,736,359,415.28","7,503,729,005.28","9,196,649,000.00","9,798,320,249.59","23,053,224,931.71","7,356,308,000.00","27,756,033,402.94","19,595,669,851.10","35,372,562,252.00","2,728,679,657.53","17,439,456,908.02","24,890,785,436.07","31,600,933,576.15","13,912,079,870.70","28,594,856,347.24","42,998,727,021.12","60,988,958,068.06","23,403,715,694.00"
支付的手续费及佣金的现金,"1,474,496,200.00","1,677,814,925.58","991,775,922.74","4,188,281,570.51","4,453,649,861.17","9,166,220,031.27","1,309,249,324.64","2,533,112,601.27","4,231,439,531.68","4,825,166,518.25","766,929,993.16","2,224,569,415.87","1,926,189,008.93","4,924,484,561.26","822,425,772.15","2,570,885,315.25","3,183,679,116.09","4,662,713,904.85","718,875,790.46"
分配股利、利润或偿付利息支付的现金,"2,169,036,700.00","1,324,295,573.71","99,340,674.27","162,954,628.44","455,470,347.14","1,166,540,785.33","354,371,252.08","1,948,540,233.54","3,898,427,622.64","4,697,135,927.62","539,390,748.09","3,740,590,426.20","4,460,579,181.92","4,069,243,553.15","1,307,225,243.94","2,366,298,339.12","3,916,800,531.59","4,369,771,570.59","1,168,757,509.37"
购买商品、提供劳务支付的现金,,,,,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金,"11,737,100.00","18,279,136.75",,"78,642,501.94","69,872,576.53","78,569,362.82","53,339,112.24",,"214,646,712.33",,,,"5,991,750.00",,"10,897,933.88","11,697,933.88","11,697,933.88",,"9,006,000.00"
支付原保险合同赔付款项的现金,,,,,,,,,,,,,,,,,,,
筹资活动现金流出小计,"11,180,773,800.00","24,078,934,125.74","7,603,069,679.55","9,438,246,130.38","10,323,663,173.26","24,298,335,079.86","7,764,018,364.32","29,704,573,636.48","23,708,744,186.07","40,069,698,179.62","3,268,070,405.62","21,180,047,334.22","29,357,356,367.99","35,670,177,129.30","15,230,203,048.52","30,972,852,620.24","46,927,225,486.59","65,358,729,638.65","24,581,479,203.37"
支付保单红利的现金,,,,,,,,,,,,,,,,,,,
筹资活动产生的现金流量净额,"8,466,788,400.00","12,125,562,967.18","2,196,648,238.94","35,778,968,049.69","35,179,690,145.69","25,439,363,753.16","2,712,703,635.68","-13,739,523,599.59","-3,384,197,473.43","10,009,468,551.27","10,602,099,365.38","4,768,373,665.78","-226,164,209.54","12,759,771,474.52","10,108,219,231.61","23,837,185,264.36","30,986,704,355.41","25,797,147,296.91","-10,437,192,203.37"
支付给职工以及为职工支付的现金,"3,225,994,800.00","2,543,998,006.69","1,223,814,968.36","2,014,334,376.98","3,571,227,776.45","4,439,579,230.53","1,053,864,908.22","4,170,337,463.99","4,738,665,953.98","6,422,949,782.77","1,487,083,652.86","4,285,066,544.06","4,695,509,643.10","6,913,549,176.67","1,137,653,086.59","3,095,330,460.80","4,231,948,597.97","5,556,313,539.87","1,053,481,831.40"
四、汇率变动对现金的影响,"-6,765,300.00","615,472.38","11,827,479.57","3,408,666.77","286,497,523.12","15,823,816.06","-25,835,765.09","5,350,530.64","5,253,828.27","11,179,437.21","-1,786,319.30","1,949,820.32","-13,801,056.17","2,035,437.27","-11,276,555.63","7,012,082.89","15,575,042.51","4,715,227.84","-96,983.49"
支付的各项税费,"1,577,692,300.00","1,032,378,527.73","1,065,543,919.58","1,978,359,533.32","3,287,146,257.83","3,881,657,294.87","2,510,865,006.61","4,542,763,974.13","4,981,476,022.20","5,562,201,270.98","893,613,442.46","1,385,864,098.55","2,402,390,413.28","2,864,137,781.81","487,314,483.69","745,688,225.71","1,650,465,764.25","1,468,587,159.26","860,116,044.28"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"17,289,939,100.00","33,485,911,848.90","35,892,992,491.95","84,707,521,814.16","6,928,843,333.72","59,091,290,128.99","35,466,576,957.07","33,548,553,490.86","62,181,231,673.32","47,245,487,745.87","15,260,539,727.73","18,162,235,217.60","21,102,461,730.17","43,544,099,618.32","2,461,719,322.01","8,348,455,308.50","5,859,478,621.62","7,591,224,082.66","778,957,947.44"
五、现金及现金等价物净增加额,"-4,059,684,500.00","34,730,851,296.37","37,451,123,144.63","142,578,207,832.33","83,157,231,604.38","58,534,301,400.79","-13,457,429,189.00","-30,512,824,412.39","-52,616,153,972.82","-36,676,004,861.60","-8,316,678,384.82","-4,217,206,818.25","-21,101,946,763.02","-25,887,161,872.10","4,735,480,318.40","-10,700,202,952.88","-7,067,396,416.07","8,310,452,545.07","7,130,692,709.18"
经营活动现金流出小计,"26,312,642,000.00","38,740,103,308.90","39,174,127,302.63","92,888,497,294.97","18,240,867,229.17","76,578,746,685.66","40,340,556,196.54","60,036,113,782.79","76,132,813,181.18","101,323,411,203.46","24,984,831,411.99","37,825,767,435.55","48,956,038,001.22","58,246,271,138.06","25,922,339,128.96","41,160,154,454.59","55,152,678,050.88","56,040,706,078.29","12,944,077,779.21"
期初现金及现金等价物余额,"49,668,853,500.00","34,698,326,343.32","91,335,061,473.51","93,026,756,969.44","93,026,756,969.44","93,026,756,969.44","151,561,058,370.23","151,561,058,370.23","151,561,058,370.23","151,561,058,370.23","114,885,053,508.63","114,885,053,508.63","114,885,053,508.63","114,885,053,508.63","88,997,891,636.53","88,997,891,636.53","88,997,891,636.53","88,997,891,636.53","97,308,344,181.53"
经营活动产生的现金流量净额,"-6,875,205,200.00","21,661,081,716.99","33,680,556,841.34","105,897,055,511.30","53,108,545,343.27","50,464,496,017.79","-12,597,391,530.76","-14,531,388,329.11","-52,114,593,551.98","-38,506,580,972.47","-18,896,922,731.29","-17,081,921,423.63","-22,077,402,476.25","-30,585,421,116.43","4,098,976,368.87","-25,191,751,615.62","-29,413,005,350.93","-13,882,156,698.20","16,361,892,923.70"
期末现金及现金等价物余额,"45,609,169,000.00","69,429,177,639.69","128,786,184,618.14","235,604,964,801.77","176,183,988,573.82","151,561,058,370.23","138,103,629,181.23","121,048,233,957.84","98,944,904,397.41","114,885,053,508.63","106,568,375,123.81","110,667,846,690.38","93,783,106,745.61","88,997,891,636.53","93,733,371,954.93","78,297,688,683.65","81,930,495,220.46","97,308,344,181.60","104,439,036,890.71"
二、投资活动产生的现金流量,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
