科目,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
已赚保费,"5,570,249,832.10","8,597,040,871.35","12,018,113,031.88","3,458,207,198.53","6,915,593,211.85","10,488,822,099.32","14,086,234,784.40","3,908,369,334.94","7,687,270,223.26"
三、营业利润,"-36,081,057.13","-201,013,838.03","-190,488,009.65","2,495,705,164.77","2,007,100,068.90","2,194,264,194.10","2,201,770,311.44","362,020,119.98","443,091,788.86"
保险业务收入,"6,783,817,466.43","10,080,462,386.34","13,898,199,603.75","3,845,919,317.16","7,257,129,811.11","10,604,461,668.10","14,224,465,589.53","4,427,191,302.21","8,339,878,610.11"
加：补贴收入,,,,,,,,,
其中：分保费收入,"15,509,217.07","21,539,883.94","23,838,757.14","14,615,038.02","23,389,231.21","35,276,535.81","52,508,158.50","17,288,936.36","23,090,852.76"
营业外收入,"9,275,925.02","213,314,332.83","220,698,867.75","2,823,816.25","848,740,589.56","860,208,057.70","924,590,166.18","5,679,512.34","55,633,224.00"
减：分出保费,"333,170,762.29","465,717,429.71","563,650,257.89","219,516,723.56","307,746,384.08","363,387,205.22","440,513,906.65","193,595,175.35","308,409,965.61"
减：营业外支出,"1,618,361.57","18,181,956.92","22,636,023.68","1,194,577.60","2,414,174.48","9,316,119.18","10,540,166.81","1,540,261.23","4,811,591.90"
提取未到期责任准备金,"880,396,872.04","1,017,704,085.28","1,316,436,313.98","168,195,395.07","33,790,215.18","-247,747,636.44","-302,283,101.52","325,226,791.92","344,198,421.24"
加：影响利润总额的其他科目,,,,,,,,,
投资收益,"8,363,017,784.38","12,002,713,368.66","17,995,392,183.00","5,742,140,894.33","8,190,610,095.62","11,302,927,299.67","15,630,147,033.73","2,575,761,033.06","4,736,880,787.68"
四、利润总额,"-28,423,493.68","-5,881,462.12","7,574,834.42","2,497,334,403.42","2,853,426,483.98","3,045,156,132.62","3,115,820,310.81","366,159,371.09","493,913,420.96"
其中：对联营企业和合营企业的投资收益,"-880,450.48","10,404,010.83","444,542,094.52",,"1,037,928,716.08","1,745,312,528.94","2,134,844,747.88","826,306,557.56","1,572,295,885.80"
减：所得税,"-6,060,196.77","-13,613,649.69","-323,901,693.68","296,302,907.40","305,652,458.10","302,800,427.62","679,064,445.30","-2,082,577.27","-3,558,618.11"
公允价值变动收益,"-545,529.37","258,744.30","162,115,465.06","-405,395.70","-736,297.28","-650,504.52","-134,486,660.81","-1,239.00","-1,239.01"
加：影响净利润的其他科目,,,,,,,,,
汇兑收益,"15,310,210.80","19,654,229.89","57,444,482.99","-1,841,701.97","-21,485,380.97","-51,466,116.92","-52,281,544.83","-32,451,204.01","-31,198,714.33"
五、净利润,"-22,363,296.91","7,732,187.57","331,476,528.10","2,201,031,496.02","2,547,774,025.88","2,742,355,705.00","2,436,755,865.51","368,241,948.36","497,472,039.07"
其他业务收入,"166,481,197.60","342,475,203.11","370,595,347.15","290,618,728.91","535,610,732.72","664,130,656.94","713,772,927.30","115,341,781.26","177,854,071.29"
（一）归属于母公司所有者的净利润,"6,014,057.56","38,611,063.21","35,995,654.52","2,117,886,770.85","2,355,706,007.93","2,486,709,661.11","2,395,087,594.39","213,511,722.13","319,722,287.05"
二、营业支出,"14,150,594,552.64","21,163,156,255.34","30,794,148,519.73","6,993,014,559.33","13,612,492,293.04","20,209,499,240.39","28,044,651,578.55","6,205,681,628.16","12,128,401,555.45"
（二）少数股东损益,"-28,377,354.47","-30,878,875.64","295,480,873.58","83,144,725.17","192,068,017.95","255,646,043.89","41,668,271.12","154,730,226.23","177,749,752.02"
退保金,,,,,,,,,
六、每股收益,,,,,,,,,
赔付支出,"3,448,492,789.51","5,273,277,897.95","7,280,830,857.91","1,773,891,449.22","3,629,939,653.96","5,664,040,335.30","7,850,010,827.82","1,915,748,297.57","3,881,918,698.19"
（一）基本每股收益,0.0059,0.0369,0.034,1.9376,2.1551,2.275,2.1912,0.1953,0.2925
减：摊回赔付支出,"694,424,610.46","952,451,594.41","1,344,454,488.91","66,369,110.64","129,532,934.22","200,256,547.54","300,583,532.86","45,589,027.69","97,703,495.05"
（二）稀释每股收益,0.0059,0.0369,0.034,1.9376,2.1551,2.275,2.1912,0.1953,0.2925
